date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,Hoffenheim II,KSV Hessen Kassel,374,3,1,/spielbericht/index/spielbericht/2467004,2014,Regionalliga Südwest
05.08.2014,19:00,KSV Hessen Kassel,FK Pirmasens,2.000,0,0,/spielbericht/index/spielbericht/2467014,2014,Regionalliga Südwest
09.08.2014,14:00,SpVgg Neckarelz,KSV Hessen Kassel,450,2,5,/spielbericht/index/spielbericht/2467023,2014,Regionalliga Südwest
16.08.2014,14:00,KSV Hessen Kassel,Wormatia Worms,2.000,2,1,/spielbericht/index/spielbericht/2467044,2014,Regionalliga Südwest
22.08.2014,19:00,FC 08 Homburg,KSV Hessen Kassel,910,3,2,/spielbericht/index/spielbericht/2467030,2014,Regionalliga Südwest
27.08.2014,19:00,KSV Hessen Kassel,SC Freiburg II,1.600,2,1,/spielbericht/index/spielbericht/2467061,2014,Regionalliga Südwest
30.08.2014,14:00,FCA Walldorf,KSV Hessen Kassel,585,1,1,/spielbericht/index/spielbericht/2467125,2014,Regionalliga Südwest
05.09.2014,19:00,KSV Hessen Kassel,SV Elversberg,2.300,1,0,/spielbericht/index/spielbericht/2467134,2014,Regionalliga Südwest
16.09.2014,19:00,KSV Baunatal,KSV Hessen Kassel,6.000,1,3,/spielbericht/index/spielbericht/2467150,2014,Regionalliga Südwest
20.09.2014,14:00,KSV Hessen Kassel,SVN Zweibrücken,1.600,1,2,/spielbericht/index/spielbericht/2467157,2014,Regionalliga Südwest
26.09.2014,19:00,FC Nöttingen,KSV Hessen Kassel,831,1,0,/spielbericht/index/spielbericht/2467162,2014,Regionalliga Südwest
03.10.2014,15:30,KSV Hessen Kassel,TuS Koblenz,1.600,3,0,/spielbericht/index/spielbericht/2467172,2014,Regionalliga Südwest
11.10.2014,14:00,W. Mannheim,KSV Hessen Kassel,2.487,3,1,/spielbericht/index/spielbericht/2467182,2014,Regionalliga Südwest
18.10.2014,14:00,KSV Hessen Kassel,Saarbrücken,1.850,2,1,/spielbericht/index/spielbericht/2467193,2014,Regionalliga Südwest
26.10.2014,14:00,K'lautern II,KSV Hessen Kassel,240,1,1,/spielbericht/index/spielbericht/2467204,2014,Regionalliga Südwest
02.11.2014,14:00,KSV Hessen Kassel,Eintracht Trier,1.700,0,0,/spielbericht/index/spielbericht/2467212,2014,Regionalliga Südwest
11.11.2014,20:15,K. Offenbach,KSV Hessen Kassel,5.564,1,0,/spielbericht/index/spielbericht/2467215,2014,Regionalliga Südwest
22.11.2014,14:00,KSV Hessen Kassel,Hoffenheim II,1.300,2,0,/spielbericht/index/spielbericht/2467224,2014,Regionalliga Südwest
29.11.2014,14:00,FK Pirmasens,KSV Hessen Kassel,708,0,0,/spielbericht/index/spielbericht/2467238,2014,Regionalliga Südwest
06.12.2014,14:00,KSV Hessen Kassel,SpVgg Neckarelz,3.500,0,1,/spielbericht/index/spielbericht/2467247,2014,Regionalliga Südwest
28.02.2015,14:00,Wormatia Worms,KSV Hessen Kassel,1.061,1,0,/spielbericht/index/spielbericht/2490715,2014,Regionalliga Südwest
07.03.2015,14:00,KSV Hessen Kassel,FC 08 Homburg,1.500,0,2,/spielbericht/index/spielbericht/2490728,2014,Regionalliga Südwest
15.03.2015,14:00,SC Freiburg II,KSV Hessen Kassel,180,2,2,/spielbericht/index/spielbericht/2490740,2014,Regionalliga Südwest
21.03.2015,14:00,KSV Hessen Kassel,FCA Walldorf,1.000,4,0,/spielbericht/index/spielbericht/2490744,2014,Regionalliga Südwest
28.03.2015,14:00,SV Elversberg,KSV Hessen Kassel,849,0,2,/spielbericht/index/spielbericht/2490758,2014,Regionalliga Südwest
31.03.2015,19:00,KSV Hessen Kassel,KSV Baunatal,3.400,1,0,/spielbericht/index/spielbericht/2490767,2014,Regionalliga Südwest
04.04.2015,14:00,SVN Zweibrücken,KSV Hessen Kassel,124,0,4,/spielbericht/index/spielbericht/2490776,2014,Regionalliga Südwest
11.04.2015,14:00,KSV Hessen Kassel,FC Nöttingen,1.000,0,2,/spielbericht/index/spielbericht/2490783,2014,Regionalliga Südwest
17.04.2015,19:30,TuS Koblenz,KSV Hessen Kassel,1.188,1,0,/spielbericht/index/spielbericht/2490794,2014,Regionalliga Südwest
24.04.2015,19:30,KSV Hessen Kassel,W. Mannheim,1.200,1,2,/spielbericht/index/spielbericht/2490800,2014,Regionalliga Südwest
02.05.2015,14:00,Saarbrücken,KSV Hessen Kassel,3.669,2,0,/spielbericht/index/spielbericht/2490812,2014,Regionalliga Südwest
09.05.2015,14:00,KSV Hessen Kassel,K'lautern II,750,0,0,/spielbericht/index/spielbericht/2490815,2014,Regionalliga Südwest
16.05.2015,14:00,Eintracht Trier,KSV Hessen Kassel,1.217,1,1,/spielbericht/index/spielbericht/2490823,2014,Regionalliga Südwest
23.05.2015,14:00,KSV Hessen Kassel,K. Offenbach,2.000,1,0,/spielbericht/index/spielbericht/2490831,2014,Regionalliga Südwest
08.11.2014,14:00,TSV Steinbach,KSV Hessen Kassel,1.300,1,3,/spielbericht/index/spielbericht/2810657,2014,Landespokal Hessen
24.03.2015,19:00,K. Offenbach,KSV Hessen Kassel,2.318,0,1,/spielbericht/index/spielbericht/2988454,2014,Landespokal Hessen
29.04.2015,19:00,KSV Hessen Kassel,Wehen Wiesbaden,2.600,1,0,/spielbericht/index/spielbericht/2988450,2014,Landespokal Hessen
13.05.2015,19:00,VfB Gießen,KSV Hessen Kassel,6.100,1,2,/spielbericht/index/spielbericht/2841140,2014,Landespokal Hessen
31.07.2015,19:00,KSV Hessen Kassel,K. Offenbach,5.300,2,2,/spielbericht/index/spielbericht/2585966,2015,Regionalliga Südwest
19.08.2015,18:00,SC Freiburg II,KSV Hessen Kassel,500,0,2,/spielbericht/index/spielbericht/2605311,2015,Regionalliga Südwest
14.08.2015,19:30,KSV Hessen Kassel,TSV Steinbach,2.063,5,0,/spielbericht/index/spielbericht/2605314,2015,Regionalliga Südwest
22.08.2015,14:00,Wormatia Worms,KSV Hessen Kassel,672,0,1,/spielbericht/index/spielbericht/2605326,2015,Regionalliga Südwest
26.08.2015,19:30,KSV Hessen Kassel,FK Pirmasens,3.117,3,1,/spielbericht/index/spielbericht/2605338,2015,Regionalliga Südwest
30.08.2015,14:00,SV Spielberg,KSV Hessen Kassel,500,0,1,/spielbericht/index/spielbericht/2605345,2015,Regionalliga Südwest
05.09.2015,14:00,KSV Hessen Kassel,SV Elversberg,3.589,0,1,/spielbericht/index/spielbericht/2605356,2015,Regionalliga Südwest
12.09.2015,14:00,SV Saar 05,KSV Hessen Kassel,350,0,1,/spielbericht/index/spielbericht/2605358,2015,Regionalliga Südwest
21.09.2015,20:15,KSV Hessen Kassel,W. Mannheim,3.722,0,0,/spielbericht/index/spielbericht/2605374,2015,Regionalliga Südwest
27.09.2015,14:00,Hoffenheim II,KSV Hessen Kassel,300,2,2,/spielbericht/index/spielbericht/2605383,2015,Regionalliga Südwest
06.10.2015,20:15,KSV Hessen Kassel,Eintracht Trier,2.140,0,2,/spielbericht/index/spielbericht/2605392,2015,Regionalliga Südwest
10.10.2015,14:00,SpVgg Neckarelz,KSV Hessen Kassel,350,1,1,/spielbericht/index/spielbericht/2605399,2015,Regionalliga Südwest
17.10.2015,14:00,KSV Hessen Kassel,FCA Walldorf,1.311,0,0,/spielbericht/index/spielbericht/2605410,2015,Regionalliga Südwest
24.10.2015,14:00,K'lautern II,KSV Hessen Kassel,270,0,0,/spielbericht/index/spielbericht/2605415,2015,Regionalliga Südwest
31.10.2015,14:00,KSV Hessen Kassel,Bahlinger SC,1.403,0,0,/spielbericht/index/spielbericht/2605428,2015,Regionalliga Südwest
06.11.2015,19:00,Saarbrücken,KSV Hessen Kassel,3.047,0,1,/spielbericht/index/spielbericht/2605430,2015,Regionalliga Südwest
21.11.2015,14:00,KSV Hessen Kassel,FC 08 Homburg,1.298,1,1,/spielbericht/index/spielbericht/2605446,2015,Regionalliga Südwest
01.12.2015,20:15,K. Offenbach,KSV Hessen Kassel,5.113,2,1,/spielbericht/index/spielbericht/2605455,2015,Regionalliga Südwest
05.12.2015,14:00,KSV Hessen Kassel,SC Freiburg II,1.636,1,0,/spielbericht/index/spielbericht/2605463,2015,Regionalliga Südwest
26.02.2016,19:00,TSV Steinbach,KSV Hessen Kassel,1.450,2,2,/spielbericht/index/spielbericht/2605473,2015,Regionalliga Südwest
05.03.2016,14:00,KSV Hessen Kassel,Wormatia Worms,1.410,2,1,/spielbericht/index/spielbericht/2605474,2015,Regionalliga Südwest
12.03.2016,14:00,FK Pirmasens,KSV Hessen Kassel,610,2,1,/spielbericht/index/spielbericht/2605491,2015,Regionalliga Südwest
19.03.2016,14:00,KSV Hessen Kassel,SV Spielberg,1.130,1,0,/spielbericht/index/spielbericht/2605492,2015,Regionalliga Südwest
23.03.2016,19:00,SV Elversberg,KSV Hessen Kassel,1.220,0,1,/spielbericht/index/spielbericht/2605509,2015,Regionalliga Südwest
26.03.2016,14:00,KSV Hessen Kassel,SV Saar 05,1.200,1,1,/spielbericht/index/spielbericht/2605510,2015,Regionalliga Südwest
02.04.2016,14:00,W. Mannheim,KSV Hessen Kassel,6.274,2,0,/spielbericht/index/spielbericht/2605520,2015,Regionalliga Südwest
09.04.2016,14:00,KSV Hessen Kassel,Hoffenheim II,1.172,1,1,/spielbericht/index/spielbericht/2605530,2015,Regionalliga Südwest
15.04.2016,19:00,Eintracht Trier,KSV Hessen Kassel,2.420,4,0,/spielbericht/index/spielbericht/2605545,2015,Regionalliga Südwest
