date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
27.07.2014,15:00,Lüneburger SK Hansa,Braunschweig II,1.000,2,2,/spielbericht/index/spielbericht/2463636,2014,Regionalliga Nord
03.08.2014,15:00,BSV Rehden,Lüneburger SK Hansa,400,1,1,/spielbericht/index/spielbericht/2471372,2014,Regionalliga Nord
10.08.2014,15:00,Lüneburger SK Hansa,St. Pauli II,1.850,0,1,/spielbericht/index/spielbericht/2471379,2014,Regionalliga Nord
16.08.2014,13:00,Hannover 96 II,Lüneburger SK Hansa,1.494,3,0,/spielbericht/index/spielbericht/2471391,2014,Regionalliga Nord
24.08.2014,15:00,Lüneburger SK Hansa,VfR Neumünster,850,0,2,/spielbericht/index/spielbericht/2485671,2014,Regionalliga Nord
31.08.2014,14:00,Hamburger SV II,Lüneburger SK Hansa,550,3,1,/spielbericht/index/spielbericht/2485677,2014,Regionalliga Nord
07.09.2014,15:00,Lüneburger SK Hansa,SV Meppen,750,1,3,/spielbericht/index/spielbericht/2485688,2014,Regionalliga Nord
14.09.2014,13:00,TSV Havelse,Lüneburger SK Hansa,421,1,2,/spielbericht/index/spielbericht/2486138,2014,Regionalliga Nord
03.09.2014,18:00,Lüneburger SK Hansa,VfB Lübeck,1.200,2,3,/spielbericht/index/spielbericht/2486143,2014,Regionalliga Nord
28.09.2014,14:00,Goslarer SC,Lüneburger SK Hansa,345,2,3,/spielbericht/index/spielbericht/2486159,2014,Regionalliga Nord
05.10.2014,15:00,Lüneburger SK Hansa,E. Norderstedt,837,2,0,/spielbericht/index/spielbericht/2490261,2014,Regionalliga Nord
12.10.2014,15:00,VfB Oldenburg,Lüneburger SK Hansa,1.530,1,0,/spielbericht/index/spielbericht/2490270,2014,Regionalliga Nord
19.10.2014,15:00,Lüneburger SK Hansa,ETSV Weiche,751,1,0,/spielbericht/index/spielbericht/2490279,2014,Regionalliga Nord
25.10.2014,14:00,Wolfsburg II,Lüneburger SK Hansa,232,2,2,/spielbericht/index/spielbericht/2490282,2014,Regionalliga Nord
02.11.2014,14:00,Lüneburger SK Hansa,FT Braunschweig,730,1,0,/spielbericht/index/spielbericht/2490294,2014,Regionalliga Nord
09.11.2014,14:00,Lüneburger SK Hansa,W. Bremen II,1.057,2,2,/spielbericht/index/spielbericht/2490304,2014,Regionalliga Nord
16.11.2014,14:00,BV Cloppenburg,Lüneburger SK Hansa,376,4,1,/spielbericht/index/spielbericht/2490315,2014,Regionalliga Nord
23.11.2014,14:00,Lüneburger SK Hansa,BSV Rehden,530,1,1,/spielbericht/index/spielbericht/2490451,2014,Regionalliga Nord
29.11.2014,14:00,St. Pauli II,Lüneburger SK Hansa,154,3,0,/spielbericht/index/spielbericht/2490454,2014,Regionalliga Nord
06.12.2014,14:00,Lüneburger SK Hansa,Hannover 96 II,500,2,0,/spielbericht/index/spielbericht/2490466,2014,Regionalliga Nord
14.02.2015,14:00,VfR Neumünster,Lüneburger SK Hansa,388,1,1,/spielbericht/index/spielbericht/2490477,2014,Regionalliga Nord
22.02.2015,15:00,Lüneburger SK Hansa,Hamburger SV II,1.507,3,1,/spielbericht/index/spielbericht/2490488,2014,Regionalliga Nord
01.03.2015,14:00,SV Meppen,Lüneburger SK Hansa,1.250,2,1,/spielbericht/index/spielbericht/2490497,2014,Regionalliga Nord
08.03.2015,15:00,Lüneburger SK Hansa,TSV Havelse,805,0,1,/spielbericht/index/spielbericht/2490507,2014,Regionalliga Nord
14.03.2015,14:00,VfB Lübeck,Lüneburger SK Hansa,1.148,0,0,/spielbericht/index/spielbericht/2490508,2014,Regionalliga Nord
22.03.2015,15:00,Lüneburger SK Hansa,Goslarer SC,653,0,8,/spielbericht/index/spielbericht/2490525,2014,Regionalliga Nord
29.03.2015,14:00,E. Norderstedt,Lüneburger SK Hansa,438,2,0,/spielbericht/index/spielbericht/2490530,2014,Regionalliga Nord
12.04.2015,15:00,Lüneburger SK Hansa,VfB Oldenburg,808,0,0,/spielbericht/index/spielbericht/2490542,2014,Regionalliga Nord
19.04.2015,14:00,ETSV Weiche,Lüneburger SK Hansa,663,1,3,/spielbericht/index/spielbericht/2490544,2014,Regionalliga Nord
26.04.2015,15:00,Lüneburger SK Hansa,Wolfsburg II,680,1,1,/spielbericht/index/spielbericht/2490560,2014,Regionalliga Nord
03.05.2015,15:00,FT Braunschweig,Lüneburger SK Hansa,210,0,2,/spielbericht/index/spielbericht/2490563,2014,Regionalliga Nord
10.05.2015,14:00,W. Bremen II,Lüneburger SK Hansa,715,2,2,/spielbericht/index/spielbericht/2490575,2014,Regionalliga Nord
17.05.2015,15:00,Lüneburger SK Hansa,BV Cloppenburg,910,3,2,/spielbericht/index/spielbericht/2490588,2014,Regionalliga Nord
22.05.2015,19:30,Braunschweig II,Lüneburger SK Hansa,334,0,1,/spielbericht/index/spielbericht/2490593,2014,Regionalliga Nord
26.07.2015,15:00,Lüneburger SK Hansa,SV Meppen,926,1,1,/spielbericht/index/spielbericht/2586354,2015,Regionalliga Nord
01.08.2015,14:00,Braunschweig II,Lüneburger SK Hansa,487,2,1,/spielbericht/index/spielbericht/2586359,2015,Regionalliga Nord
09.08.2015,15:00,Lüneburger SK Hansa,Hannover 96 II,812,1,0,/spielbericht/index/spielbericht/2586373,2015,Regionalliga Nord
16.08.2015,14:00,TSV Havelse,Lüneburger SK Hansa,485,0,1,/spielbericht/index/spielbericht/2586381,2015,Regionalliga Nord
23.08.2015,15:00,Lüneburger SK Hansa,St. Pauli II,1.200,3,3,/spielbericht/index/spielbericht/2586391,2015,Regionalliga Nord
29.08.2015,15:00,BSV Rehden,Lüneburger SK Hansa,350,2,2,/spielbericht/index/spielbericht/2586399,2015,Regionalliga Nord
06.09.2015,15:00,Lüneburger SK Hansa,VfB Lübeck,1.200,1,1,/spielbericht/index/spielbericht/2586410,2015,Regionalliga Nord
13.09.2015,15:00,VfB Oldenburg,Lüneburger SK Hansa,1.954,4,2,/spielbericht/index/spielbericht/2586420,2015,Regionalliga Nord
20.09.2015,15:00,VfV Hildesheim,Lüneburger SK Hansa,820,4,2,/spielbericht/index/spielbericht/2586428,2015,Regionalliga Nord
27.09.2015,15:00,Lüneburger SK Hansa,Goslarer SC,700,1,2,/spielbericht/index/spielbericht/2586437,2015,Regionalliga Nord
04.10.2015,15:00,TSV Schilksee,Lüneburger SK Hansa,300,1,2,/spielbericht/index/spielbericht/2586441,2015,Regionalliga Nord
11.10.2015,15:00,Lüneburger SK Hansa,Wolfsburg II,730,1,2,/spielbericht/index/spielbericht/2586455,2015,Regionalliga Nord
18.10.2015,14:00,BV Cloppenburg,Lüneburger SK Hansa,312,1,1,/spielbericht/index/spielbericht/2586464,2015,Regionalliga Nord
25.10.2015,14:00,Lüneburger SK Hansa,ETSV Weiche,750,1,1,/spielbericht/index/spielbericht/2586474,2015,Regionalliga Nord
01.11.2015,14:00,Drochtersen/A.,Lüneburger SK Hansa,1.238,2,1,/spielbericht/index/spielbericht/2586484,2015,Regionalliga Nord
08.11.2015,14:00,Lüneburger SK Hansa,E. Norderstedt,780,2,0,/spielbericht/index/spielbericht/2586492,2015,Regionalliga Nord
09.12.2015,18:30,Hamburger SV II,Lüneburger SK Hansa,250,3,2,/spielbericht/index/spielbericht/2586496,2015,Regionalliga Nord
22.11.2015,14:00,SV Meppen,Lüneburger SK Hansa,1.065,3,2,/spielbericht/index/spielbericht/2586508,2015,Regionalliga Nord
29.11.2015,14:00,Lüneburger SK Hansa,Braunschweig II,350,0,4,/spielbericht/index/spielbericht/2586518,2015,Regionalliga Nord
