date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,J. Regensburg,MSV Duisburg,4.423,3,1,/spielbericht/index/spielbericht/2462897,2014,3. Liga
02.08.2014,14:00,MSV Duisburg,Sonnenhof-Gr.,11.512,1,1,/spielbericht/index/spielbericht/2462908,2014,3. Liga
06.08.2014,19:00,FSV Mainz 05 II,MSV Duisburg,2.230,3,4,/spielbericht/index/spielbericht/2462922,2014,3. Liga
09.08.2014,14:00,MSV Duisburg,Hallescher FC,11.095,1,1,/spielbericht/index/spielbericht/2462928,2014,3. Liga
24.08.2014,14:00,Chemnitzer FC,MSV Duisburg,6.124,0,0,/spielbericht/index/spielbericht/2462935,2014,3. Liga
27.08.2014,19:00,MSV Duisburg,Arm. Bielefeld,13.416,1,1,/spielbericht/index/spielbericht/2462948,2014,3. Liga
30.08.2014,14:00,Fortuna Köln,MSV Duisburg,4.078,0,1,/spielbericht/index/spielbericht/2462957,2014,3. Liga
06.09.2014,14:00,MSV Duisburg,VfL Osnabrück,11.764,3,0,/spielbericht/index/spielbericht/2462968,2014,3. Liga
13.09.2014,14:00,MSV Duisburg,Stuttg. Kickers,11.533,2,0,/spielbericht/index/spielbericht/2462978,2014,3. Liga
19.09.2014,19:00,Unterhaching,MSV Duisburg,2.200,1,1,/spielbericht/index/spielbericht/2462990,2014,3. Liga
24.09.2014,19:00,MSV Duisburg,B. Dortmund II,11.080,2,1,/spielbericht/index/spielbericht/2462998,2014,3. Liga
27.09.2014,14:00,Hansa Rostock,MSV Duisburg,6.700,1,3,/spielbericht/index/spielbericht/2463012,2014,3. Liga
04.10.2014,14:00,MSV Duisburg,Stuttgart II,13.441,1,1,/spielbericht/index/spielbericht/2463018,2014,3. Liga
18.10.2014,14:00,Energie Cottbus,MSV Duisburg,7.886,2,0,/spielbericht/index/spielbericht/2463033,2014,3. Liga
25.10.2014,14:00,MSV Duisburg,Dynamo Dresden,13.720,0,0,/spielbericht/index/spielbericht/2463038,2014,3. Liga
02.11.2014,14:00,Pr. Münster,MSV Duisburg,12.011,1,0,/spielbericht/index/spielbericht/2463046,2014,3. Liga
08.11.2014,14:00,MSV Duisburg,Rot-Weiß Erfurt,10.149,2,0,/spielbericht/index/spielbericht/2463058,2014,3. Liga
22.11.2014,14:00,Holstein Kiel,MSV Duisburg,5.802,1,0,/spielbericht/index/spielbericht/2463068,2014,3. Liga
29.11.2014,14:00,MSV Duisburg,Wehen Wiesbaden,10.203,3,2,/spielbericht/index/spielbericht/2463078,2014,3. Liga
06.12.2014,14:00,MSV Duisburg,J. Regensburg,10.081,2,0,/spielbericht/index/spielbericht/2463091,2014,3. Liga
13.12.2014,14:00,Sonnenhof-Gr.,MSV Duisburg,2.378,1,1,/spielbericht/index/spielbericht/2463098,2014,3. Liga
20.12.2014,14:00,MSV Duisburg,FSV Mainz 05 II,11.637,1,1,/spielbericht/index/spielbericht/2463112,2014,3. Liga
31.01.2015,14:00,Hallescher FC,MSV Duisburg,6.286,1,2,/spielbericht/index/spielbericht/2463118,2014,3. Liga
07.02.2015,14:00,MSV Duisburg,Chemnitzer FC,11.270,3,0,/spielbericht/index/spielbericht/2463125,2014,3. Liga
15.02.2015,14:00,Arm. Bielefeld,MSV Duisburg,18.430,4,2,/spielbericht/index/spielbericht/2463138,2014,3. Liga
21.02.2015,14:00,MSV Duisburg,Fortuna Köln,12.041,2,0,/spielbericht/index/spielbericht/2463147,2014,3. Liga
28.02.2015,14:00,VfL Osnabrück,MSV Duisburg,8.300,1,1,/spielbericht/index/spielbericht/2463158,2014,3. Liga
07.03.2015,14:00,Stuttg. Kickers,MSV Duisburg,8.650,4,2,/spielbericht/index/spielbericht/2463168,2014,3. Liga
14.03.2015,14:00,MSV Duisburg,Unterhaching,11.322,1,0,/spielbericht/index/spielbericht/2463180,2014,3. Liga
21.03.2015,14:00,B. Dortmund II,MSV Duisburg,3.109,1,4,/spielbericht/index/spielbericht/2463188,2014,3. Liga
05.04.2015,14:00,MSV Duisburg,Hansa Rostock,15.640,2,2,/spielbericht/index/spielbericht/2463202,2014,3. Liga
12.04.2015,14:00,Stuttgart II,MSV Duisburg,800,1,2,/spielbericht/index/spielbericht/2463208,2014,3. Liga
18.04.2015,14:00,MSV Duisburg,Energie Cottbus,12.556,3,2,/spielbericht/index/spielbericht/2463223,2014,3. Liga
26.04.2015,14:00,Dynamo Dresden,MSV Duisburg,22.353,0,2,/spielbericht/index/spielbericht/2463228,2014,3. Liga
03.05.2015,14:00,MSV Duisburg,Pr. Münster,22.763,2,1,/spielbericht/index/spielbericht/2463236,2014,3. Liga
10.05.2015,14:00,Rot-Weiß Erfurt,MSV Duisburg,4.864,0,2,/spielbericht/index/spielbericht/2463248,2014,3. Liga
16.05.2015,13:30,MSV Duisburg,Holstein Kiel,31.002,3,1,/spielbericht/index/spielbericht/2463258,2014,3. Liga
23.05.2015,13:30,Wehen Wiesbaden,MSV Duisburg,9.000,1,0,/spielbericht/index/spielbericht/2463268,2014,3. Liga
15.08.2014,20:00,MSV Duisburg,1.FC Nürnberg,18.108,1,0,/spielbericht/index/spielbericht/2458320,2014,DFB-Pokal
28.10.2014,20:30,MSV Duisburg,1.FC Köln,30.600,1,4,/spielbericht/index/spielbericht/2488530,2014,DFB-Pokal
24.07.2015,20:30,MSV Duisburg,1.FC K'lautern,23.686,1,3,/spielbericht/index/spielbericht/2581165,2015,2. Bundesliga
01.08.2015,13:00,VfL Bochum,MSV Duisburg,23.542,3,0,/spielbericht/index/spielbericht/2581418,2015,2. Bundesliga
16.08.2015,13:30,MSV Duisburg,Arm. Bielefeld,17.040,2,2,/spielbericht/index/spielbericht/2581444,2015,2. Bundesliga
22.08.2015,13:00,Karlsruher SC,MSV Duisburg,15.135,2,0,/spielbericht/index/spielbericht/2583817,2015,2. Bundesliga
29.08.2015,13:00,MSV Duisburg,Greuther Fürth,12.695,2,2,/spielbericht/index/spielbericht/2583834,2015,2. Bundesliga
14.09.2015,20:15,FC St. Pauli,MSV Duisburg,29.546,2,0,/spielbericht/index/spielbericht/2583840,2015,2. Bundesliga
20.09.2015,13:30,MSV Duisburg,FSV Frankfurt,15.124,0,1,/spielbericht/index/spielbericht/2583852,2015,2. Bundesliga
23.09.2015,17:30,MSV Duisburg,E. Braunschweig,12.509,0,5,/spielbericht/index/spielbericht/2583861,2015,2. Bundesliga
26.09.2015,13:00,Union Berlin,MSV Duisburg,18.425,3,2,/spielbericht/index/spielbericht/2583867,2015,2. Bundesliga
05.10.2015,20:15,MSV Duisburg,SC Paderborn,14.667,1,0,/spielbericht/index/spielbericht/2583879,2015,2. Bundesliga
18.10.2015,13:30,1.FC Heidenheim,MSV Duisburg,12.146,1,0,/spielbericht/index/spielbericht/2583887,2015,2. Bundesliga
24.10.2015,13:00,MSV Duisburg,1.FC Nürnberg,13.000,0,0,/spielbericht/index/spielbericht/2583897,2015,2. Bundesliga
01.11.2015,13:30,1860 München,MSV Duisburg,17.100,1,0,/spielbericht/index/spielbericht/2583904,2015,2. Bundesliga
07.11.2015,13:00,MSV Duisburg,SC Freiburg,15.311,1,1,/spielbericht/index/spielbericht/2583915,2015,2. Bundesliga
20.11.2015,18:30,F. Düsseldorf,MSV Duisburg,34.688,1,1,/spielbericht/index/spielbericht/2583919,2015,2. Bundesliga
29.11.2015,13:30,MSV Duisburg,SV Sandhausen,13.454,3,0,/spielbericht/index/spielbericht/2583933,2015,2. Bundesliga
06.12.2015,13:30,RB Leipzig,MSV Duisburg,27.477,4,2,/spielbericht/index/spielbericht/2583936,2015,2. Bundesliga
13.12.2015,13:30,1.FC K'lautern,MSV Duisburg,22.277,2,0,/spielbericht/index/spielbericht/2583943,2015,2. Bundesliga
20.12.2015,13:30,MSV Duisburg,VfL Bochum,22.351,0,0,/spielbericht/index/spielbericht/2583957,2015,2. Bundesliga
08.02.2016,20:15,Arm. Bielefeld,MSV Duisburg,15.083,2,1,/spielbericht/index/spielbericht/2583969,2015,2. Bundesliga
13.02.2016,13:00,MSV Duisburg,Karlsruher SC,14.138,0,1,/spielbericht/index/spielbericht/2583970,2015,2. Bundesliga
19.02.2016,18:30,Greuther Fürth,MSV Duisburg,8.920,1,1,/spielbericht/index/spielbericht/2583987,2015,2. Bundesliga
28.02.2016,13:30,MSV Duisburg,FC St. Pauli,20.790,0,2,/spielbericht/index/spielbericht/2583993,2015,2. Bundesliga
02.03.2016,17:30,FSV Frankfurt,MSV Duisburg,4.773,3,3,/spielbericht/index/spielbericht/2584005,2015,2. Bundesliga
06.03.2016,13:30,E. Braunschweig,MSV Duisburg,20.158,1,1,/spielbericht/index/spielbericht/2584014,2015,2. Bundesliga
12.03.2016,13:00,MSV Duisburg,Union Berlin,12.702,2,1,/spielbericht/index/spielbericht/2584020,2015,2. Bundesliga
18.03.2016,18:30,SC Paderborn,MSV Duisburg,10.828,0,0,/spielbericht/index/spielbericht/2584032,2015,2. Bundesliga
01.04.2016,18:30,MSV Duisburg,1.FC Heidenheim,14.039,0,2,/spielbericht/index/spielbericht/2584040,2015,2. Bundesliga
10.04.2016,13:30,1.FC Nürnberg,MSV Duisburg,40.169,1,2,/spielbericht/index/spielbericht/2584050,2015,2. Bundesliga
15.04.2016,18:30,MSV Duisburg,1860 München,22.482,2,1,/spielbericht/index/spielbericht/2584057,2015,2. Bundesliga
22.04.2016,18:30,SC Freiburg,MSV Duisburg,23.500,3,0,/spielbericht/index/spielbericht/2584068,2015,2. Bundesliga
29.04.2016,18:30,MSV Duisburg,F. Düsseldorf,28.500,2,1,/spielbericht/index/spielbericht/2584072,2015,2. Bundesliga
08.05.2016,15:30,SV Sandhausen,MSV Duisburg,8.023,2,2,/spielbericht/index/spielbericht/2584086,2015,2. Bundesliga
15.05.2016,15:30,MSV Duisburg,RB Leipzig,28.209,1,0,/spielbericht/index/spielbericht/2584089,2015,2. Bundesliga
20.05.2016,19:10,Würzb. Kickers,MSV Duisburg,9.806,2,0,/spielbericht/index/spielbericht/2692035,2015,Relegation 2. Bundesliga
24.05.2016,19:10,MSV Duisburg,Würzb. Kickers,30.000,1,2,/spielbericht/index/spielbericht/2692036,2015,Relegation 2. Bundesliga
29.07.2016,20:30,MSV Duisburg,SC Paderborn,16.476,1,0,/spielbericht/index/spielbericht/2709772,2016,3. Liga
07.08.2016,14:00,VfL Osnabrück,MSV Duisburg,11.573,1,1,/spielbericht/index/spielbericht/2709794,2016,3. Liga
10.08.2016,19:00,Pr. Münster,MSV Duisburg,9.544,1,1,/spielbericht/index/spielbericht/2709805,2016,3. Liga
13.08.2016,14:00,MSV Duisburg,FSV Mainz 05 II,11.577,4,0,/spielbericht/index/spielbericht/2709823,2016,3. Liga
26.08.2016,18:30,1.FC Magdeburg,MSV Duisburg,15.718,1,2,/spielbericht/index/spielbericht/2709841,2016,3. Liga
10.09.2016,14:00,MSV Duisburg,W. Bremen II,12.452,1,0,/spielbericht/index/spielbericht/2709863,2016,3. Liga
16.09.2016,19:00,Wehen Wiesbaden,MSV Duisburg,3.052,3,0,/spielbericht/index/spielbericht/2709879,2016,3. Liga
20.09.2016,19:00,MSV Duisburg,Holstein Kiel,11.642,0,0,/spielbericht/index/spielbericht/2709903,2016,3. Liga
25.09.2016,14:00,Rot-Weiß Erfurt,MSV Duisburg,4.981,0,1,/spielbericht/index/spielbericht/2709907,2016,3. Liga
01.10.2016,14:00,MSV Duisburg,Chemnitzer FC,12.151,1,0,/spielbericht/index/spielbericht/2709933,2016,3. Liga
15.10.2016,14:00,J. Regensburg,MSV Duisburg,7.786,1,2,/spielbericht/index/spielbericht/2709944,2016,3. Liga
22.10.2016,14:00,MSV Duisburg,Hansa Rostock,15.610,0,1,/spielbericht/index/spielbericht/2709963,2016,3. Liga
29.10.2016,14:00,Sonnenhof-Gr.,MSV Duisburg,2.400,0,0,/spielbericht/index/spielbericht/2709982,2016,3. Liga
05.11.2016,14:03,MSV Duisburg,Hallescher FC,12.568,0,0,/spielbericht/index/spielbericht/2709993,2016,3. Liga
19.11.2016,14:00,FSV Frankfurt,MSV Duisburg,4.639,0,0,/spielbericht/index/spielbericht/2710010,2016,3. Liga
26.11.2016,14:00,MSV Duisburg,VfR Aalen,10.443,2,2,/spielbericht/index/spielbericht/2710023,2016,3. Liga
04.12.2016,14:00,SF Lotte,MSV Duisburg,4.038,0,2,/spielbericht/index/spielbericht/2710038,2016,3. Liga
10.12.2016,14:00,MSV Duisburg,Fortuna Köln,13.315,2,0,/spielbericht/index/spielbericht/2710063,2016,3. Liga
18.12.2016,14:00,FSV Zwickau,MSV Duisburg,5.268,1,1,/spielbericht/index/spielbericht/2710076,2016,3. Liga
28.01.2017,14:03,SC Paderborn,MSV Duisburg,7.731,0,1,/spielbericht/index/spielbericht/2710103,2016,3. Liga
04.02.2017,14:00,MSV Duisburg,VfL Osnabrück,17.745,2,2,/spielbericht/index/spielbericht/2710144,2016,3. Liga
12.02.2017,14:00,MSV Duisburg,Pr. Münster,14.345,3,2,/spielbericht/index/spielbericht/2710125,2016,3. Liga
17.02.2017,19:00,FSV Mainz 05 II,MSV Duisburg,1.898,0,2,/spielbericht/index/spielbericht/2710123,2016,3. Liga
24.02.2017,18:45,MSV Duisburg,1.FC Magdeburg,18.164,0,0,/spielbericht/index/spielbericht/2710111,2016,3. Liga
05.03.2017,14:00,W. Bremen II,MSV Duisburg,2.510,0,0,/spielbericht/index/spielbericht/2710093,2016,3. Liga
11.03.2017,14:00,MSV Duisburg,Wehen Wiesbaden,12.164,0,1,/spielbericht/index/spielbericht/2710069,2016,3. Liga
14.03.2017,19:00,Holstein Kiel,MSV Duisburg,5.745,2,0,/spielbericht/index/spielbericht/2710053,2016,3. Liga
18.03.2017,14:00,MSV Duisburg,Rot-Weiß Erfurt,11.087,3,2,/spielbericht/index/spielbericht/2710027,2016,3. Liga
25.03.2017,14:00,Chemnitzer FC,MSV Duisburg,6.841,2,3,/spielbericht/index/spielbericht/2710003,2016,3. Liga
01.04.2017,14:03,MSV Duisburg,J. Regensburg,12.345,1,1,/spielbericht/index/spielbericht/2709974,2016,3. Liga
05.04.2017,19:00,Hansa Rostock,MSV Duisburg,9.000,1,0,/spielbericht/index/spielbericht/2709953,2016,3. Liga
08.04.2017,14:00,MSV Duisburg,Sonnenhof-Gr.,13.116,2,1,/spielbericht/index/spielbericht/2709922,2016,3. Liga
15.04.2017,14:07,Hallescher FC,MSV Duisburg,6.381,1,1,/spielbericht/index/spielbericht/2709893,2016,3. Liga
22.04.2017,14:00,MSV Duisburg,FSV Frankfurt,12.839,3,2,/spielbericht/index/spielbericht/2709870,2016,3. Liga
29.04.2017,14:01,VfR Aalen,MSV Duisburg,5.236,2,1,/spielbericht/index/spielbericht/2709853,2016,3. Liga
06.05.2017,14:04,MSV Duisburg,SF Lotte,17.133,1,1,/spielbericht/index/spielbericht/2709828,2016,3. Liga
13.05.2017,13:30,Fortuna Köln,MSV Duisburg,8.314,0,3,/spielbericht/index/spielbericht/2709803,2016,3. Liga
20.05.2017,13:30,MSV Duisburg,FSV Zwickau,24.182,5,1,/spielbericht/index/spielbericht/2709776,2016,3. Liga
21.08.2016,15:30,MSV Duisburg,Union Berlin,14.209,1,2,/spielbericht/index/spielbericht/2699115,2016,DFB-Pokal
30.07.2017,15:30,Dynamo Dresden,MSV Duisburg,28.520,1,0,/spielbericht/index/spielbericht/2871528,2017,2. Bundesliga
05.08.2017,13:00,MSV Duisburg,VfL Bochum,22.893,1,1,/spielbericht/index/spielbericht/2871541,2017,2. Bundesliga
19.08.2017,13:00,1.FC Heidenheim,MSV Duisburg,10.200,1,2,/spielbericht/index/spielbericht/2871558,2017,2. Bundesliga
25.08.2017,18:30,MSV Duisburg,Darmstadt 98,16.297,1,2,/spielbericht/index/spielbericht/2871580,2017,2. Bundesliga
09.09.2017,13:00,Arm. Bielefeld,MSV Duisburg,18.537,0,4,/spielbericht/index/spielbericht/2871589,2017,2. Bundesliga
16.09.2017,13:00,MSV Duisburg,1.FC Nürnberg,17.788,1,6,/spielbericht/index/spielbericht/2871607,2017,2. Bundesliga
19.09.2017,18:30,FC Ingolstadt,MSV Duisburg,8.199,2,2,/spielbericht/index/spielbericht/2871609,2017,2. Bundesliga
22.09.2017,18:30,MSV Duisburg,Holstein Kiel,13.578,1,3,/spielbericht/index/spielbericht/2871625,2017,2. Bundesliga
02.10.2017,20:30,F. Düsseldorf,MSV Duisburg,41.764,3,1,/spielbericht/index/spielbericht/2871631,2017,2. Bundesliga
13.10.2017,18:30,MSV Duisburg,E. Braunschweig,13.855,0,0,/spielbericht/index/spielbericht/2871644,2017,2. Bundesliga
22.10.2017,13:30,1.FC K'lautern,MSV Duisburg,22.833,0,1,/spielbericht/index/spielbericht/2871670,2017,2. Bundesliga
29.10.2017,13:30,MSV Duisburg,Union Berlin,15.492,1,1,/spielbericht/index/spielbericht/2871689,2017,2. Bundesliga
03.11.2017,18:30,SV Sandhausen,MSV Duisburg,5.652,0,1,/spielbericht/index/spielbericht/2871702,2017,2. Bundesliga
19.11.2017,13:30,MSV Duisburg,Erzgebirge Aue,13.309,3,0,/spielbericht/index/spielbericht/2871717,2017,2. Bundesliga
25.11.2017,13:00,J. Regensburg,MSV Duisburg,9.889,4,0,/spielbericht/index/spielbericht/2871744,2017,2. Bundesliga
02.12.2017,13:00,MSV Duisburg,Greuther Fürth,12.017,2,0,/spielbericht/index/spielbericht/2871752,2017,2. Bundesliga
10.12.2017,13:30,FC St. Pauli,MSV Duisburg,29.546,2,2,/spielbericht/index/spielbericht/2871766,2017,2. Bundesliga
17.12.2017,13:30,MSV Duisburg,Dynamo Dresden,14.792,2,0,/spielbericht/index/spielbericht/2871789,2017,2. Bundesliga
23.01.2018,18:30,VfL Bochum,MSV Duisburg,17.564,0,2,/spielbericht/index/spielbericht/2871804,2017,2. Bundesliga
27.01.2018,13:00,MSV Duisburg,1.FC Heidenheim,13.105,3,3,/spielbericht/index/spielbericht/2871825,2017,2. Bundesliga
04.02.2018,13:30,Darmstadt 98,MSV Duisburg,15.100,1,2,/spielbericht/index/spielbericht/2871837,2017,2. Bundesliga
10.02.2018,13:00,MSV Duisburg,Arm. Bielefeld,16.219,2,2,/spielbericht/index/spielbericht/2871852,2017,2. Bundesliga
18.02.2018,13:30,1.FC Nürnberg,MSV Duisburg,25.257,3,1,/spielbericht/index/spielbericht/2871868,2017,2. Bundesliga
24.02.2018,13:00,MSV Duisburg,FC Ingolstadt,12.446,2,1,/spielbericht/index/spielbericht/2871888,2017,2. Bundesliga
03.03.2018,13:00,Holstein Kiel,MSV Duisburg,10.143,5,0,/spielbericht/index/spielbericht/2871898,2017,2. Bundesliga
11.03.2018,13:30,MSV Duisburg,F. Düsseldorf,28.000,1,2,/spielbericht/index/spielbericht/2871924,2017,2. Bundesliga
18.03.2018,13:30,E. Braunschweig,MSV Duisburg,20.015,3,2,/spielbericht/index/spielbericht/2871927,2017,2. Bundesliga
31.03.2018,13:00,MSV Duisburg,1.FC K'lautern,18.273,1,4,/spielbericht/index/spielbericht/2871951,2017,2. Bundesliga
