date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.08.2017,17:00,MTV Eintracht Celle,Arm. Hannover,528,2,5,/spielbericht/index/spielbericht/2870163,2017,Oberliga Niedersachsen
19.08.2017,16:00,SVA Delmenhorst,MTV Eintracht Celle,925,3,1,/spielbericht/index/spielbericht/2903127,2017,Oberliga Niedersachsen
27.08.2017,15:00,TuS Sulingen,MTV Eintracht Celle,380,1,0,/spielbericht/index/spielbericht/2903137,2017,Oberliga Niedersachsen
03.09.2017,15:00,MTV Eintracht Celle,SSV Vorsfelde,350,3,1,/spielbericht/index/spielbericht/2903149,2017,Oberliga Niedersachsen
09.09.2017,16:00,1.FC Wunstorf,MTV Eintracht Celle,120,3,2,/spielbericht/index/spielbericht/2903631,2017,Oberliga Niedersachsen
17.09.2017,15:00,MTV Eintracht Celle,Heeslinger SC,300,1,1,/spielbericht/index/spielbericht/2903644,2017,Oberliga Niedersachsen
24.09.2017,15:00,TuS Bersenbrück,MTV Eintracht Celle,350,1,3,/spielbericht/index/spielbericht/2903649,2017,Oberliga Niedersachsen
01.10.2017,15:00,MTV Eintracht Celle,Eintr. Northeim,250,2,8,/spielbericht/index/spielbericht/2903661,2017,Oberliga Niedersachsen
08.10.2017,15:00,VfL Oldenburg,MTV Eintracht Celle,250,4,0,/spielbericht/index/spielbericht/2903669,2017,Oberliga Niedersachsen
15.10.2017,15:00,MTV Eintracht Celle,MTV Gifhorn,390,2,0,/spielbericht/index/spielbericht/2903676,2017,Oberliga Niedersachsen
21.10.2017,15:00,Lupo-Martini,MTV Eintracht Celle,150,1,0,/spielbericht/index/spielbericht/2904569,2017,Oberliga Niedersachsen
29.10.2017,14:00,MTV Eintracht Celle,BV Cloppenburg,600,0,2,/spielbericht/index/spielbericht/2904578,2017,Oberliga Niedersachsen
05.11.2017,14:00,TB Uphusen,MTV Eintracht Celle,200,3,1,/spielbericht/index/spielbericht/2904582,2017,Oberliga Niedersachsen
11.11.2017,14:00,MTV Eintracht Celle,Spelle-Venhaus,300,1,2,/spielbericht/index/spielbericht/2904598,2017,Oberliga Niedersachsen
19.11.2017,14:00,SVG Göttingen,MTV Eintracht Celle,150,0,1,/spielbericht/index/spielbericht/2904606,2017,Oberliga Niedersachsen
18.04.2018,18:15,Arm. Hannover,MTV Eintracht Celle,320,2,1,/spielbericht/index/spielbericht/2904619,2017,Oberliga Niedersachsen
31.03.2018,16:00,MTV Eintracht Celle,SVA Delmenhorst,320,1,5,/spielbericht/index/spielbericht/2904627,2017,Oberliga Niedersachsen
02.04.2018,16:00,MTV Eintracht Celle,TuS Sulingen,200,2,2,/spielbericht/index/spielbericht/2904629,2017,Oberliga Niedersachsen
25.02.2018,15:00,SSV Vorsfelde,MTV Eintracht Celle,150,1,1,/spielbericht/index/spielbericht/2904643,2017,Oberliga Niedersachsen
