date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
27.07.2014,14:00,Preußen Münster,Hansa Rostock,10.901,3,4,/spielbericht/index/spielbericht/2462903,2014,3. Liga
02.08.2014,14:00,Stuttgart II,Preußen Münster,1.050,0,3,/spielbericht/index/spielbericht/2462904,2014,3. Liga
06.08.2014,19:00,Preußen Münster,Energie Cottbus,9.781,0,0,/spielbericht/index/spielbericht/2462916,2014,3. Liga
09.08.2014,14:00,Dynamo Dresden,Preußen Münster,22.344,3,1,/spielbericht/index/spielbericht/2462925,2014,3. Liga
23.08.2014,14:00,VfL Osnabrück,Preußen Münster,12.282,0,1,/spielbericht/index/spielbericht/2462934,2014,3. Liga
27.08.2014,19:00,Preußen Münster,Rot-Weiß Erfurt,8.090,2,2,/spielbericht/index/spielbericht/2462946,2014,3. Liga
30.08.2014,14:00,Holstein Kiel,Preußen Münster,4.150,1,1,/spielbericht/index/spielbericht/2462958,2014,3. Liga
07.09.2014,14:00,Preußen Münster,Wehen Wiesbaden,7.661,3,2,/spielbericht/index/spielbericht/2462966,2014,3. Liga
13.09.2014,14:00,J. Regensburg,Preußen Münster,2.798,0,1,/spielbericht/index/spielbericht/2462980,2014,3. Liga
20.09.2014,14:00,Preußen Münster,Sonnenhof-Gr.,7.385,3,1,/spielbericht/index/spielbericht/2462986,2014,3. Liga
23.09.2014,19:00,FSV Mainz 05 II,Preußen Münster,774,4,0,/spielbericht/index/spielbericht/2463002,2014,3. Liga
28.09.2014,14:00,Preußen Münster,Hallescher FC,7.553,2,0,/spielbericht/index/spielbericht/2463006,2014,3. Liga
04.10.2014,14:00,Chemnitzer FC,Preußen Münster,5.813,1,0,/spielbericht/index/spielbericht/2463015,2014,3. Liga
19.10.2014,14:00,Preußen Münster,Arm. Bielefeld,14.300,3,1,/spielbericht/index/spielbericht/2463026,2014,3. Liga
24.10.2014,19:00,Fortuna Köln,Preußen Münster,3.714,1,1,/spielbericht/index/spielbericht/2463037,2014,3. Liga
02.11.2014,14:00,Preußen Münster,MSV Duisburg,12.011,1,0,/spielbericht/index/spielbericht/2463046,2014,3. Liga
08.11.2014,14:00,Stuttg. Kickers,Preußen Münster,3.150,1,1,/spielbericht/index/spielbericht/2463059,2014,3. Liga
22.11.2014,14:00,Preußen Münster,Unterhaching,8.519,2,0,/spielbericht/index/spielbericht/2463066,2014,3. Liga
30.11.2014,14:00,B. Dortmund II,Preußen Münster,4.426,1,1,/spielbericht/index/spielbericht/2463081,2014,3. Liga
06.12.2014,14:00,Hansa Rostock,Preußen Münster,5.600,0,2,/spielbericht/index/spielbericht/2463093,2014,3. Liga
13.12.2014,14:00,Preußen Münster,Stuttgart II,8.023,1,0,/spielbericht/index/spielbericht/2463094,2014,3. Liga
20.12.2014,14:00,Energie Cottbus,Preußen Münster,6.848,2,1,/spielbericht/index/spielbericht/2463106,2014,3. Liga
01.02.2015,14:00,Preußen Münster,Dynamo Dresden,12.225,2,1,/spielbericht/index/spielbericht/2463115,2014,3. Liga
07.02.2015,14:00,Preußen Münster,VfL Osnabrück,14.300,2,0,/spielbericht/index/spielbericht/2463124,2014,3. Liga
14.02.2015,14:00,Rot-Weiß Erfurt,Preußen Münster,6.451,1,0,/spielbericht/index/spielbericht/2463136,2014,3. Liga
21.02.2015,14:00,Preußen Münster,Holstein Kiel,8.672,1,3,/spielbericht/index/spielbericht/2463148,2014,3. Liga
28.02.2015,14:00,Wehen Wiesbaden,Preußen Münster,2.746,2,2,/spielbericht/index/spielbericht/2463156,2014,3. Liga
07.03.2015,14:00,Preußen Münster,J. Regensburg,8.507,3,0,/spielbericht/index/spielbericht/2463170,2014,3. Liga
14.03.2015,14:00,Sonnenhof-Gr.,Preußen Münster,1.900,1,1,/spielbericht/index/spielbericht/2463177,2014,3. Liga
21.03.2015,14:00,Preußen Münster,FSV Mainz 05 II,8.026,1,1,/spielbericht/index/spielbericht/2463192,2014,3. Liga
04.04.2015,14:00,Hallescher FC,Preußen Münster,7.498,3,0,/spielbericht/index/spielbericht/2463196,2014,3. Liga
11.04.2015,14:00,Preußen Münster,Chemnitzer FC,8.414,2,3,/spielbericht/index/spielbericht/2463205,2014,3. Liga
18.04.2015,14:00,Arm. Bielefeld,Preußen Münster,25.192,2,1,/spielbericht/index/spielbericht/2463216,2014,3. Liga
25.04.2015,14:00,Preußen Münster,Fortuna Köln,8.136,1,0,/spielbericht/index/spielbericht/2463227,2014,3. Liga
03.05.2015,14:00,MSV Duisburg,Preußen Münster,22.763,2,1,/spielbericht/index/spielbericht/2463236,2014,3. Liga
