date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,13:00,RB Leipzig,VfR Aalen,21.354,0,0,/spielbericht/index/spielbericht/2460939,2014,2. Bundesliga
10.08.2014,15:30,1860 München,RB Leipzig,32.000,0,3,/spielbericht/index/spielbericht/2460943,2014,2. Bundesliga
22.08.2014,18:30,RB Leipzig,Erzgebirge Aue,34.273,1,0,/spielbericht/index/spielbericht/2460959,2014,2. Bundesliga
29.08.2014,18:30,FSV Frankfurt,RB Leipzig,6.041,0,0,/spielbericht/index/spielbericht/2460968,2014,2. Bundesliga
13.09.2014,13:00,RB Leipzig,E. Braunschweig,24.969,3,1,/spielbericht/index/spielbericht/2460977,2014,2. Bundesliga
21.09.2014,13:30,Union Berlin,RB Leipzig,21.366,2,1,/spielbericht/index/spielbericht/2460984,2014,2. Bundesliga
24.09.2014,17:30,RB Leipzig,Karlsruher SC,18.235,3,1,/spielbericht/index/spielbericht/2460995,2014,2. Bundesliga
28.09.2014,13:30,F. Düsseldorf,RB Leipzig,30.477,2,2,/spielbericht/index/spielbericht/2461000,2014,2. Bundesliga
06.10.2014,20:15,RB Leipzig,1.FC Heidenheim,18.820,1,1,/spielbericht/index/spielbericht/2461013,2014,2. Bundesliga
17.10.2014,20:30,1.FC Nürnberg,RB Leipzig,28.571,1,0,/spielbericht/index/spielbericht/2461015,2014,2. Bundesliga
24.10.2014,18:30,RB Leipzig,VfL Bochum,30.194,2,0,/spielbericht/index/spielbericht/2461031,2014,2. Bundesliga
03.11.2014,20:15,RB Leipzig,1.FC K'lautern,25.637,0,0,/spielbericht/index/spielbericht/2461041,2014,2. Bundesliga
08.11.2014,13:00,Darmstadt 98,RB Leipzig,14.400,1,0,/spielbericht/index/spielbericht/2461050,2014,2. Bundesliga
23.11.2014,13:30,RB Leipzig,FC St. Pauli,38.660,4,1,/spielbericht/index/spielbericht/2461059,2014,2. Bundesliga
30.11.2014,13:30,SV Sandhausen,RB Leipzig,4.518,0,0,/spielbericht/index/spielbericht/2461065,2014,2. Bundesliga
07.12.2014,13:30,RB Leipzig,FC Ingolstadt,23.985,0,1,/spielbericht/index/spielbericht/2461076,2014,2. Bundesliga
12.12.2014,18:30,Greuther Fürth,RB Leipzig,10.225,0,1,/spielbericht/index/spielbericht/2461079,2014,2. Bundesliga
17.12.2014,17:30,VfR Aalen,RB Leipzig,5.015,0,0,/spielbericht/index/spielbericht/2461092,2014,2. Bundesliga
22.12.2014,20:15,RB Leipzig,1860 München,27.370,1,1,/spielbericht/index/spielbericht/2461103,2014,2. Bundesliga
06.02.2015,18:30,Erzgebirge Aue,RB Leipzig,13.600,2,0,/spielbericht/index/spielbericht/2461112,2014,2. Bundesliga
15.02.2015,13:30,RB Leipzig,FSV Frankfurt,18.237,0,1,/spielbericht/index/spielbericht/2461120,2014,2. Bundesliga
23.02.2015,20:15,E. Braunschweig,RB Leipzig,20.650,1,1,/spielbericht/index/spielbericht/2461122,2014,2. Bundesliga
01.03.2015,13:30,RB Leipzig,Union Berlin,24.780,3,2,/spielbericht/index/spielbericht/2461138,2014,2. Bundesliga
09.03.2015,20:15,Karlsruher SC,RB Leipzig,17.829,0,0,/spielbericht/index/spielbericht/2461142,2014,2. Bundesliga
16.03.2015,20:15,RB Leipzig,F. Düsseldorf,17.087,3,1,/spielbericht/index/spielbericht/2461156,2014,2. Bundesliga
22.03.2015,13:30,1.FC Heidenheim,RB Leipzig,12.000,1,0,/spielbericht/index/spielbericht/2461166,2014,2. Bundesliga
05.04.2015,13:30,RB Leipzig,1.FC Nürnberg,30.479,2,1,/spielbericht/index/spielbericht/2461174,2014,2. Bundesliga
12.04.2015,13:30,VfL Bochum,RB Leipzig,18.529,1,2,/spielbericht/index/spielbericht/2461183,2014,2. Bundesliga
20.04.2015,20:15,1.FC K'lautern,RB Leipzig,31.141,1,1,/spielbericht/index/spielbericht/2461186,2014,2. Bundesliga
24.04.2015,18:30,RB Leipzig,Darmstadt 98,25.336,2,1,/spielbericht/index/spielbericht/2461202,2014,2. Bundesliga
03.05.2015,13:30,FC St. Pauli,RB Leipzig,23.584,1,0,/spielbericht/index/spielbericht/2461206,2014,2. Bundesliga
08.05.2015,18:30,RB Leipzig,SV Sandhausen,18.904,0,4,/spielbericht/index/spielbericht/2461220,2014,2. Bundesliga
17.05.2015,15:30,FC Ingolstadt,RB Leipzig,15.000,2,1,/spielbericht/index/spielbericht/2461225,2014,2. Bundesliga
24.05.2015,15:30,RB Leipzig,Greuther Fürth,27.117,2,0,/spielbericht/index/spielbericht/2461237,2014,2. Bundesliga
25.07.2015,15:30,FSV Frankfurt,RB Leipzig,7.021,0,1,/spielbericht/index/spielbericht/2581164,2015,2. Bundesliga
03.08.2015,20:15,RB Leipzig,Greuther Fürth,27.216,2,2,/spielbericht/index/spielbericht/2581415,2015,2. Bundesliga
15.08.2015,13:00,E. Braunschweig,RB Leipzig,21.315,0,2,/spielbericht/index/spielbericht/2581438,2015,2. Bundesliga
23.08.2015,13:30,RB Leipzig,FC St. Pauli,41.795,0,1,/spielbericht/index/spielbericht/2583819,2015,2. Bundesliga
28.08.2015,18:30,Union Berlin,RB Leipzig,21.283,1,1,/spielbericht/index/spielbericht/2583830,2015,2. Bundesliga
11.09.2015,18:30,RB Leipzig,SC Paderborn,25.394,2,0,/spielbericht/index/spielbericht/2583837,2015,2. Bundesliga
18.09.2015,18:30,1.FC Heidenheim,RB Leipzig,12.486,1,1,/spielbericht/index/spielbericht/2583851,2015,2. Bundesliga
24.09.2015,20:15,RB Leipzig,SC Freiburg,25.869,1,1,/spielbericht/index/spielbericht/2583855,2015,2. Bundesliga
27.09.2015,13:30,1860 München,RB Leipzig,21.600,2,2,/spielbericht/index/spielbericht/2583869,2015,2. Bundesliga
04.10.2015,13:30,RB Leipzig,1.FC Nürnberg,28.987,3,2,/spielbericht/index/spielbericht/2583873,2015,2. Bundesliga
18.10.2015,13:30,VfL Bochum,RB Leipzig,20.704,0,1,/spielbericht/index/spielbericht/2583885,2015,2. Bundesliga
23.10.2015,18:30,RB Leipzig,F. Düsseldorf,24.095,2,1,/spielbericht/index/spielbericht/2583890,2015,2. Bundesliga
01.11.2015,13:30,SV Sandhausen,RB Leipzig,5.811,1,2,/spielbericht/index/spielbericht/2583906,2015,2. Bundesliga
08.11.2015,13:30,RB Leipzig,1.FC K'lautern,33.598,0,2,/spielbericht/index/spielbericht/2583909,2015,2. Bundesliga
21.11.2015,13:00,Arm. Bielefeld,RB Leipzig,18.664,0,1,/spielbericht/index/spielbericht/2583924,2015,2. Bundesliga
