date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.08.2018,15:15,SC Neheim,RSV Meinerzhagen,150,1,1,/spielbericht/index/spielbericht/3079561,2018,Westfalenliga 2
18.08.2018,18:00,Finnentrop/Bam.,RSV Meinerzhagen,,0,3,/spielbericht/index/spielbericht/3142749,2018,Westfalenliga 2
26.08.2018,15:00,RSV Meinerzhagen,Erkenschwick,250,2,2,/spielbericht/index/spielbericht/3142758,2018,Westfalenliga 2
02.09.2018,15:00,Wanne-Eickel,RSV Meinerzhagen,150,1,4,/spielbericht/index/spielbericht/3142766,2018,Westfalenliga 2
09.09.2018,15:00,RSV Meinerzhagen,TuS 05 Sinsen,531,5,0,/spielbericht/index/spielbericht/3142774,2018,Westfalenliga 2
16.09.2018,15:00,C. Wiemelhausen,RSV Meinerzhagen,200,2,2,/spielbericht/index/spielbericht/3142785,2018,Westfalenliga 2
23.09.2018,15:00,RSV Meinerzhagen,SV Horst 08,250,1,1,/spielbericht/index/spielbericht/3142790,2018,Westfalenliga 2
30.09.2018,15:00,Kirchhörder SC,RSV Meinerzhagen,120,0,1,/spielbericht/index/spielbericht/3142800,2018,Westfalenliga 2
07.10.2018,15:00,RSV Meinerzhagen,FC Iserlohn,322,3,1,/spielbericht/index/spielbericht/3142806,2018,Westfalenliga 2
14.10.2018,15:00,YEG Hassel,RSV Meinerzhagen,150,4,2,/spielbericht/index/spielbericht/3142815,2018,Westfalenliga 2
28.10.2018,15:00,RSV Meinerzhagen,FC Lennestadt,200,9,0,/spielbericht/index/spielbericht/3142850,2018,Westfalenliga 2
04.11.2018,14:30,DJK TuS Hordel,RSV Meinerzhagen,263,2,3,/spielbericht/index/spielbericht/3142858,2018,Westfalenliga 2
18.11.2018,14:30,Lüner SV,RSV Meinerzhagen,150,1,2,/spielbericht/index/spielbericht/3142877,2018,Westfalenliga 2
02.12.2018,14:30,RSV Meinerzhagen,BSV Schüren,100,1,0,/spielbericht/index/spielbericht/3142881,2018,Westfalenliga 2
09.12.2018,14:30,Westf. Wickede,RSV Meinerzhagen,60,1,2,/spielbericht/index/spielbericht/3142890,2018,Westfalenliga 2
14.02.2019,19:30,RSV Meinerzhagen,SC Neheim,95,3,0,/spielbericht/index/spielbericht/3142901,2018,Westfalenliga 2
10.02.2019,15:00,RSV Meinerzhagen,Finnentrop/Bam.,180,0,1,/spielbericht/index/spielbericht/3142907,2018,Westfalenliga 2
17.02.2019,15:00,Erkenschwick,RSV Meinerzhagen,147,2,3,/spielbericht/index/spielbericht/3142915,2018,Westfalenliga 2
24.02.2019,15:00,RSV Meinerzhagen,Wanne-Eickel,250,2,3,/spielbericht/index/spielbericht/3142921,2018,Westfalenliga 2
21.03.2019,20:00,TuS 05 Sinsen,RSV Meinerzhagen,432,0,3,/spielbericht/index/spielbericht/3142931,2018,Westfalenliga 2
17.03.2019,15:00,RSV Meinerzhagen,C. Wiemelhausen,100,3,4,/spielbericht/index/spielbericht/3142941,2018,Westfalenliga 2
24.03.2019,15:15,SV Horst 08,RSV Meinerzhagen,140,1,4,/spielbericht/index/spielbericht/3142954,2018,Westfalenliga 2
31.03.2019,15:00,RSV Meinerzhagen,Kirchhörder SC,250,2,0,/spielbericht/index/spielbericht/3142964,2018,Westfalenliga 2
05.04.2019,19:30,FC Iserlohn,RSV Meinerzhagen,180,1,3,/spielbericht/index/spielbericht/3142979,2018,Westfalenliga 2
14.04.2019,15:30,RSV Meinerzhagen,YEG Hassel,200,6,0,/spielbericht/index/spielbericht/3142987,2018,Westfalenliga 2
22.04.2019,15:30,FC Lennestadt,RSV Meinerzhagen,500,1,1,/spielbericht/index/spielbericht/3143007,2018,Westfalenliga 2
28.04.2019,15:30,RSV Meinerzhagen,DJK TuS Hordel,250,4,1,/spielbericht/index/spielbericht/3143008,2018,Westfalenliga 2
12.05.2019,15:30,RSV Meinerzhagen,Lüner SV,350,2,0,/spielbericht/index/spielbericht/3143031,2018,Westfalenliga 2
