date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,Sievershäger SV,Rostocker FC 1895,80,0,3,/spielbericht/index/spielbericht/2537679,2014,Verbandsliga Mecklenburg-Vorpommern
09.08.2014,14:00,Rostocker FC 1895,FC Pommern,177,5,1,/spielbericht/index/spielbericht/2537686,2014,Verbandsliga Mecklenburg-Vorpommern
23.08.2014,14:00,E. Ueckermünde,Rostocker FC 1895,190,1,2,/spielbericht/index/spielbericht/2537695,2014,Verbandsliga Mecklenburg-Vorpommern
30.08.2014,14:00,Rostocker FC 1895,VFC Anklam,155,5,0,/spielbericht/index/spielbericht/2537712,2014,Verbandsliga Mecklenburg-Vorpommern
13.09.2014,14:00,SV Pastow,Rostocker FC 1895,128,0,1,/spielbericht/index/spielbericht/2537709,2014,Verbandsliga Mecklenburg-Vorpommern
20.09.2014,14:00,Rostocker FC 1895,SGA Boizenburg,116,0,1,/spielbericht/index/spielbericht/2537718,2014,Verbandsliga Mecklenburg-Vorpommern
27.09.2014,14:00,Rostocker FC 1895,Greifswalder SV,129,3,2,/spielbericht/index/spielbericht/2537726,2014,Verbandsliga Mecklenburg-Vorpommern
04.10.2014,14:00,Grimmener SV,Rostocker FC 1895,137,1,1,/spielbericht/index/spielbericht/2537733,2014,Verbandsliga Mecklenburg-Vorpommern
19.10.2014,14:00,Rostocker FC 1895,MSV Pampow,227,2,0,/spielbericht/index/spielbericht/2537744,2014,Verbandsliga Mecklenburg-Vorpommern
24.10.2014,20:00,FCM Schwerin,Rostocker FC 1895,420,2,1,/spielbericht/index/spielbericht/2537745,2014,Verbandsliga Mecklenburg-Vorpommern
01.11.2014,13:30,Rostocker FC 1895,Torgelower FC,235,2,4,/spielbericht/index/spielbericht/2537756,2014,Verbandsliga Mecklenburg-Vorpommern
08.11.2014,13:30,Anker Wismar,Rostocker FC 1895,230,4,0,/spielbericht/index/spielbericht/2537763,2014,Verbandsliga Mecklenburg-Vorpommern
29.11.2014,13:30,FC Förderkader,Rostocker FC 1895,95,4,0,/spielbericht/index/spielbericht/2537777,2014,Verbandsliga Mecklenburg-Vorpommern
15.11.2014,13:30,Rostocker FC 1895,TSV Friedland,146,3,3,/spielbericht/index/spielbericht/2537780,2014,Verbandsliga Mecklenburg-Vorpommern
28.02.2015,13:30,Rostocker FC 1895,Sievershäger SV,179,2,0,/spielbericht/index/spielbericht/2537791,2014,Verbandsliga Mecklenburg-Vorpommern
07.03.2015,14:00,FC Pommern,Rostocker FC 1895,80,2,0,/spielbericht/index/spielbericht/2537797,2014,Verbandsliga Mecklenburg-Vorpommern
14.03.2015,14:00,Rostocker FC 1895,E. Ueckermünde,127,2,1,/spielbericht/index/spielbericht/2537806,2014,Verbandsliga Mecklenburg-Vorpommern
21.03.2015,14:00,VFC Anklam,Rostocker FC 1895,63,1,2,/spielbericht/index/spielbericht/2537812,2014,Verbandsliga Mecklenburg-Vorpommern
28.03.2015,14:00,Rostocker FC 1895,SV Pastow,277,5,1,/spielbericht/index/spielbericht/2537818,2014,Verbandsliga Mecklenburg-Vorpommern
04.04.2015,15:00,SGA Boizenburg,Rostocker FC 1895,232,2,0,/spielbericht/index/spielbericht/2537828,2014,Verbandsliga Mecklenburg-Vorpommern
12.04.2015,14:00,Greifswalder SV,Rostocker FC 1895,245,1,2,/spielbericht/index/spielbericht/2537834,2014,Verbandsliga Mecklenburg-Vorpommern
18.04.2015,14:00,Rostocker FC 1895,Grimmener SV,236,0,1,/spielbericht/index/spielbericht/2537838,2014,Verbandsliga Mecklenburg-Vorpommern
24.04.2015,20:00,MSV Pampow,Rostocker FC 1895,325,0,1,/spielbericht/index/spielbericht/2537876,2014,Verbandsliga Mecklenburg-Vorpommern
03.05.2015,14:00,Rostocker FC 1895,FCM Schwerin,283,0,3,/spielbericht/index/spielbericht/2537889,2014,Verbandsliga Mecklenburg-Vorpommern
09.05.2015,14:00,Torgelower FC,Rostocker FC 1895,100,3,0,/spielbericht/index/spielbericht/2537909,2014,Verbandsliga Mecklenburg-Vorpommern
16.05.2015,14:00,Rostocker FC 1895,Anker Wismar,127,1,1,/spielbericht/index/spielbericht/2568055,2014,Verbandsliga Mecklenburg-Vorpommern
31.05.2015,14:00,Rostocker FC 1895,FC Förderkader,199,0,0,/spielbericht/index/spielbericht/2537976,2014,Verbandsliga Mecklenburg-Vorpommern
06.06.2015,14:00,TSV Friedland,Rostocker FC 1895,174,5,1,/spielbericht/index/spielbericht/2537982,2014,Verbandsliga Mecklenburg-Vorpommern
16.08.2015,14:00,Rostocker FC 1895,MSV Pampow,195,0,4,/spielbericht/index/spielbericht/2584693,2015,Verbandsliga Mecklenburg-Vorpommern
30.08.2015,14:00,FCM Schwerin,Rostocker FC 1895,260,4,2,/spielbericht/index/spielbericht/2603333,2015,Verbandsliga Mecklenburg-Vorpommern
13.09.2015,14:00,Rostocker FC 1895,SV Pastow,233,4,0,/spielbericht/index/spielbericht/2603341,2015,Verbandsliga Mecklenburg-Vorpommern
19.09.2015,14:00,Torgelower FC,Rostocker FC 1895,150,1,0,/spielbericht/index/spielbericht/2603344,2015,Verbandsliga Mecklenburg-Vorpommern
26.09.2015,14:00,Rostocker FC 1895,FC Pommern,167,2,0,/spielbericht/index/spielbericht/2603355,2015,Verbandsliga Mecklenburg-Vorpommern
03.10.2015,16:00,SGA Boizenburg,Rostocker FC 1895,330,0,5,/spielbericht/index/spielbericht/2603357,2015,Verbandsliga Mecklenburg-Vorpommern
18.10.2015,14:00,Rostocker FC 1895,Greifswalder FC,125,3,3,/spielbericht/index/spielbericht/2603369,2015,Verbandsliga Mecklenburg-Vorpommern
24.10.2015,15:00,Güstrower SC,Rostocker FC 1895,220,0,0,/spielbericht/index/spielbericht/2603375,2015,Verbandsliga Mecklenburg-Vorpommern
01.11.2015,14:00,Rostocker FC 1895,FC Förderkader,185,0,5,/spielbericht/index/spielbericht/2603383,2015,Verbandsliga Mecklenburg-Vorpommern
07.11.2015,13:30,TSV Friedland,Rostocker FC 1895,139,1,5,/spielbericht/index/spielbericht/2603388,2015,Verbandsliga Mecklenburg-Vorpommern
21.11.2015,13:00,Rostocker FC 1895,E. Ueckermünde,85,2,1,/spielbericht/index/spielbericht/2603637,2015,Verbandsliga Mecklenburg-Vorpommern
28.11.2015,13:00,Grimmener SV,Rostocker FC 1895,50,1,1,/spielbericht/index/spielbericht/2603639,2015,Verbandsliga Mecklenburg-Vorpommern
06.12.2015,13:00,Rostocker FC 1895,TSG Neustre. II,85,2,0,/spielbericht/index/spielbericht/2603651,2015,Verbandsliga Mecklenburg-Vorpommern
12.12.2015,13:00,VFC Anklam,Rostocker FC 1895,130,1,2,/spielbericht/index/spielbericht/2603653,2015,Verbandsliga Mecklenburg-Vorpommern
19.02.2016,20:00,MSV Pampow,Rostocker FC 1895,222,3,2,/spielbericht/index/spielbericht/2603665,2015,Verbandsliga Mecklenburg-Vorpommern
05.03.2016,14:00,Rostocker FC 1895,FCM Schwerin,198,2,2,/spielbericht/index/spielbericht/2645291,2015,Verbandsliga Mecklenburg-Vorpommern
12.03.2016,14:00,SV Pastow,Rostocker FC 1895,80,3,4,/spielbericht/index/spielbericht/2645294,2015,Verbandsliga Mecklenburg-Vorpommern
19.03.2016,14:00,Rostocker FC 1895,Torgelower FC,99,3,2,/spielbericht/index/spielbericht/2645305,2015,Verbandsliga Mecklenburg-Vorpommern
02.04.2016,14:00,FC Pommern,Rostocker FC 1895,140,0,1,/spielbericht/index/spielbericht/2645308,2015,Verbandsliga Mecklenburg-Vorpommern
09.04.2016,14:00,Rostocker FC 1895,SGA Boizenburg,173,3,1,/spielbericht/index/spielbericht/2645319,2015,Verbandsliga Mecklenburg-Vorpommern
17.04.2016,14:00,Greifswalder FC,Rostocker FC 1895,342,1,0,/spielbericht/index/spielbericht/2645326,2015,Verbandsliga Mecklenburg-Vorpommern
24.04.2016,14:00,Rostocker FC 1895,Güstrower SC,245,4,2,/spielbericht/index/spielbericht/2645333,2015,Verbandsliga Mecklenburg-Vorpommern
30.04.2016,14:30,FC Förderkader,Rostocker FC 1895,100,0,2,/spielbericht/index/spielbericht/2645336,2015,Verbandsliga Mecklenburg-Vorpommern
07.05.2016,14:00,Rostocker FC 1895,TSV Friedland,137,3,0,/spielbericht/index/spielbericht/2645347,2015,Verbandsliga Mecklenburg-Vorpommern
14.05.2016,14:00,E. Ueckermünde,Rostocker FC 1895,118,1,1,/spielbericht/index/spielbericht/2645351,2015,Verbandsliga Mecklenburg-Vorpommern
22.05.2016,14:00,Rostocker FC 1895,Grimmener SV,220,1,1,/spielbericht/index/spielbericht/2645361,2015,Verbandsliga Mecklenburg-Vorpommern
04.06.2016,15:00,TSG Neustre. II,Rostocker FC 1895,45,1,7,/spielbericht/index/spielbericht/2645368,2015,Verbandsliga Mecklenburg-Vorpommern
12.06.2016,14:00,Rostocker FC 1895,VFC Anklam,200,6,4,/spielbericht/index/spielbericht/2645369,2015,Verbandsliga Mecklenburg-Vorpommern
13.08.2016,15:00,Hagenower SV,Rostocker FC 1895,130,0,0,/spielbericht/index/spielbericht/2718025,2016,Verbandsliga Mecklenburg-Vorpommern
20.08.2016,14:00,Rostocker FC 1895,MSV Pampow,185,0,1,/spielbericht/index/spielbericht/2718029,2016,Verbandsliga Mecklenburg-Vorpommern
27.08.2016,14:00,TSV Friedland,Rostocker FC 1895,151,0,4,/spielbericht/index/spielbericht/2718037,2016,Verbandsliga Mecklenburg-Vorpommern
10.09.2016,14:00,Rostocker FC 1895,Torgelower FC,132,2,3,/spielbericht/index/spielbericht/2718044,2016,Verbandsliga Mecklenburg-Vorpommern
17.09.2016,14:00,Rostocker FC 1895,Grimmener SV,117,4,0,/spielbericht/index/spielbericht/2718052,2016,Verbandsliga Mecklenburg-Vorpommern
24.09.2016,15:00,Güstrower SC,Rostocker FC 1895,139,4,1,/spielbericht/index/spielbericht/2718065,2016,Verbandsliga Mecklenburg-Vorpommern
01.10.2016,14:00,Rostocker FC 1895,SV 90 Görmin,130,1,4,/spielbericht/index/spielbericht/2718069,2016,Verbandsliga Mecklenburg-Vorpommern
15.10.2016,14:00,E. Ueckermünde,Rostocker FC 1895,120,1,2,/spielbericht/index/spielbericht/2718074,2016,Verbandsliga Mecklenburg-Vorpommern
22.10.2016,14:00,Rostocker FC 1895,Neubrandenburg,101,5,2,/spielbericht/index/spielbericht/2718084,2016,Verbandsliga Mecklenburg-Vorpommern
29.10.2016,14:00,FC Pommern,Rostocker FC 1895,70,0,0,/spielbericht/index/spielbericht/2718096,2016,Verbandsliga Mecklenburg-Vorpommern
05.11.2016,14:00,Rostocker FC 1895,SV Pastow,117,4,0,/spielbericht/index/spielbericht/2718101,2016,Verbandsliga Mecklenburg-Vorpommern
26.11.2016,13:00,Rostocker FC 1895,FC Förderkader,126,3,0,/spielbericht/index/spielbericht/2718118,2016,Verbandsliga Mecklenburg-Vorpommern
11.12.2016,13:00,Greifswalder FC,Rostocker FC 1895,248,3,1,/spielbericht/index/spielbericht/2718137,2016,Verbandsliga Mecklenburg-Vorpommern
17.12.2016,13:00,Rostocker FC 1895,SGA Boizenburg,79,0,1,/spielbericht/index/spielbericht/2718141,2016,Verbandsliga Mecklenburg-Vorpommern
17.04.2017,14:00,TSV Bützow,Rostocker FC 1895,191,1,2,/spielbericht/index/spielbericht/2718150,2016,Verbandsliga Mecklenburg-Vorpommern
11.02.2017,13:00,Rostocker FC 1895,Greifswalder FC,120,2,1,/spielbericht/index/spielbericht/2718155,2016,Verbandsliga Mecklenburg-Vorpommern
25.02.2017,14:00,Rostocker FC 1895,Hagenower SV,80,3,3,/spielbericht/index/spielbericht/2718184,2016,Verbandsliga Mecklenburg-Vorpommern
04.03.2017,15:00,MSV Pampow,Rostocker FC 1895,183,1,0,/spielbericht/index/spielbericht/2718191,2016,Verbandsliga Mecklenburg-Vorpommern
11.03.2017,14:00,Rostocker FC 1895,TSV Friedland,90,6,0,/spielbericht/index/spielbericht/2718207,2016,Verbandsliga Mecklenburg-Vorpommern
18.03.2017,14:00,Torgelower FC,Rostocker FC 1895,100,7,1,/spielbericht/index/spielbericht/2718211,2016,Verbandsliga Mecklenburg-Vorpommern
01.04.2017,14:00,Grimmener SV,Rostocker FC 1895,95,0,0,/spielbericht/index/spielbericht/2718222,2016,Verbandsliga Mecklenburg-Vorpommern
08.04.2017,14:00,Rostocker FC 1895,Güstrower SC,153,5,3,/spielbericht/index/spielbericht/2718227,2016,Verbandsliga Mecklenburg-Vorpommern
15.04.2017,14:00,SV 90 Görmin,Rostocker FC 1895,120,1,4,/spielbericht/index/spielbericht/2718572,2016,Verbandsliga Mecklenburg-Vorpommern
22.04.2017,14:00,Rostocker FC 1895,E. Ueckermünde,85,2,3,/spielbericht/index/spielbericht/2718587,2016,Verbandsliga Mecklenburg-Vorpommern
29.04.2017,14:00,Neubrandenburg,Rostocker FC 1895,120,2,1,/spielbericht/index/spielbericht/2718607,2016,Verbandsliga Mecklenburg-Vorpommern
06.05.2017,14:00,Rostocker FC 1895,FC Pommern,85,2,2,/spielbericht/index/spielbericht/2718632,2016,Verbandsliga Mecklenburg-Vorpommern
13.05.2017,14:00,SV Pastow,Rostocker FC 1895,116,0,5,/spielbericht/index/spielbericht/2718641,2016,Verbandsliga Mecklenburg-Vorpommern
03.06.2017,14:00,FC Förderkader,Rostocker FC 1895,92,2,3,/spielbericht/index/spielbericht/2718658,2016,Verbandsliga Mecklenburg-Vorpommern
11.06.2017,14:00,SGA Boizenburg,Rostocker FC 1895,140,2,4,/spielbericht/index/spielbericht/2718665,2016,Verbandsliga Mecklenburg-Vorpommern
17.06.2017,15:00,Rostocker FC 1895,TSV Bützow,150,0,2,/spielbericht/index/spielbericht/2718674,2016,Verbandsliga Mecklenburg-Vorpommern
04.08.2017,18:30,SV Pastow,Rostocker FC 1895,399,0,2,/spielbericht/index/spielbericht/2903108,2017,Verbandsliga Mecklenburg-Vorpommern
18.08.2017,18:30,Rostocker FC 1895,FC Förderkader,195,0,0,/spielbericht/index/spielbericht/2903119,2017,Verbandsliga Mecklenburg-Vorpommern
25.08.2017,19:30,Gnoiener SV,Rostocker FC 1895,312,3,2,/spielbericht/index/spielbericht/2915392,2017,Verbandsliga Mecklenburg-Vorpommern
09.09.2017,14:00,Rostocker FC 1895,Neubrandenburg,80,2,2,/spielbericht/index/spielbericht/2923970,2017,Verbandsliga Mecklenburg-Vorpommern
16.09.2017,14:00,Grimmener SV,Rostocker FC 1895,59,1,3,/spielbericht/index/spielbericht/2924166,2017,Verbandsliga Mecklenburg-Vorpommern
23.09.2017,14:00,Rostocker FC 1895,TSV Bützow,220,4,1,/spielbericht/index/spielbericht/2926723,2017,Verbandsliga Mecklenburg-Vorpommern
30.09.2017,14:00,SV 90 Görmin,Rostocker FC 1895,181,0,4,/spielbericht/index/spielbericht/2929173,2017,Verbandsliga Mecklenburg-Vorpommern
14.10.2017,14:00,Rostocker FC 1895,FSV Malchin,187,4,3,/spielbericht/index/spielbericht/2931358,2017,Verbandsliga Mecklenburg-Vorpommern
21.10.2017,14:00,Rostocker FC 1895,E. Ueckermünde,76,4,1,/spielbericht/index/spielbericht/2942363,2017,Verbandsliga Mecklenburg-Vorpommern
28.10.2017,14:00,FC Pommern,Rostocker FC 1895,80,0,6,/spielbericht/index/spielbericht/2942372,2017,Verbandsliga Mecklenburg-Vorpommern
04.11.2017,14:00,Rostocker FC 1895,SGA Boizenburg,94,5,1,/spielbericht/index/spielbericht/2942381,2017,Verbandsliga Mecklenburg-Vorpommern
18.11.2017,13:30,Rostocker FC 1895,MSV Pampow,109,0,3,/spielbericht/index/spielbericht/2957683,2017,Verbandsliga Mecklenburg-Vorpommern
25.11.2017,13:00,TSV Friedland,Rostocker FC 1895,43,1,4,/spielbericht/index/spielbericht/2957694,2017,Verbandsliga Mecklenburg-Vorpommern
02.12.2017,18:00,Güstrower SC,Rostocker FC 1895,68,2,2,/spielbericht/index/spielbericht/2978082,2017,Verbandsliga Mecklenburg-Vorpommern
09.12.2017,13:00,Rostocker FC 1895,Greifswalder FC,152,0,0,/spielbericht/index/spielbericht/2978087,2017,Verbandsliga Mecklenburg-Vorpommern
24.02.2018,14:00,SGA Boizenburg,Rostocker FC 1895,74,0,2,/spielbericht/index/spielbericht/2981456,2017,Verbandsliga Mecklenburg-Vorpommern
24.03.2018,14:00,Rostocker FC 1895,SV Pastow,74,3,0,/spielbericht/index/spielbericht/2981462,2017,Verbandsliga Mecklenburg-Vorpommern
10.03.2018,14:00,FC Förderkader,Rostocker FC 1895,60,0,4,/spielbericht/index/spielbericht/3017040,2017,Verbandsliga Mecklenburg-Vorpommern
01.05.2018,14:00,Rostocker FC 1895,Gnoiener SV,180,3,2,/spielbericht/index/spielbericht/3017213,2017,Verbandsliga Mecklenburg-Vorpommern
31.03.2018,14:00,Neubrandenburg,Rostocker FC 1895,74,1,2,/spielbericht/index/spielbericht/3027716,2017,Verbandsliga Mecklenburg-Vorpommern
07.04.2018,14:00,Rostocker FC 1895,Grimmener SV,48,5,0,/spielbericht/index/spielbericht/3027725,2017,Verbandsliga Mecklenburg-Vorpommern
14.04.2018,14:00,TSV Bützow,Rostocker FC 1895,82,2,1,/spielbericht/index/spielbericht/3040700,2017,Verbandsliga Mecklenburg-Vorpommern
21.04.2018,14:00,Rostocker FC 1895,SV 90 Görmin,75,1,2,/spielbericht/index/spielbericht/3040708,2017,Verbandsliga Mecklenburg-Vorpommern
28.04.2018,14:00,FSV Malchin,Rostocker FC 1895,101,1,3,/spielbericht/index/spielbericht/3040718,2017,Verbandsliga Mecklenburg-Vorpommern
04.05.2018,19:30,E. Ueckermünde,Rostocker FC 1895,60,3,3,/spielbericht/index/spielbericht/3040723,2017,Verbandsliga Mecklenburg-Vorpommern
12.05.2018,14:00,Rostocker FC 1895,FC Pommern,61,6,1,/spielbericht/index/spielbericht/3040732,2017,Verbandsliga Mecklenburg-Vorpommern
26.05.2018,14:00,Rostocker FC 1895,TSV Friedland,96,7,1,/spielbericht/index/spielbericht/3040744,2017,Verbandsliga Mecklenburg-Vorpommern
02.06.2018,15:00,MSV Pampow,Rostocker FC 1895,110,0,0,/spielbericht/index/spielbericht/3040751,2017,Verbandsliga Mecklenburg-Vorpommern
09.06.2018,15:00,Rostocker FC 1895,Güstrower SC,155,3,1,/spielbericht/index/spielbericht/3040758,2017,Verbandsliga Mecklenburg-Vorpommern
16.06.2018,15:00,Greifswalder FC,Rostocker FC 1895,287,5,0,/spielbericht/index/spielbericht/3040764,2017,Verbandsliga Mecklenburg-Vorpommern
11.08.2018,14:00,Rostocker FC 1895,Neubrandenburg,72,0,0,/spielbericht/index/spielbericht/3079554,2018,Verbandsliga Mecklenburg-Vorpommern
25.08.2018,14:00,FCM Schwerin,Rostocker FC 1895,210,2,1,/spielbericht/index/spielbericht/3092258,2018,Verbandsliga Mecklenburg-Vorpommern
01.09.2018,14:00,Rostocker FC 1895,TSV Bützow,82,3,3,/spielbericht/index/spielbericht/3097464,2018,Verbandsliga Mecklenburg-Vorpommern
15.09.2018,14:00,SV Pastow,Rostocker FC 1895,138,0,0,/spielbericht/index/spielbericht/3106347,2018,Verbandsliga Mecklenburg-Vorpommern
22.09.2018,14:00,MSV Pampow,Rostocker FC 1895,100,4,0,/spielbericht/index/spielbericht/3107106,2018,Verbandsliga Mecklenburg-Vorpommern
29.09.2018,14:00,Rostocker FC 1895,Grimmener SV,146,1,0,/spielbericht/index/spielbericht/3113492,2018,Verbandsliga Mecklenburg-Vorpommern
03.10.2018,14:00,Kühlungsborn,Rostocker FC 1895,190,1,1,/spielbericht/index/spielbericht/3113498,2018,Verbandsliga Mecklenburg-Vorpommern
06.10.2018,14:00,Rostocker FC 1895,E. Ueckermünde,153,0,2,/spielbericht/index/spielbericht/3113508,2018,Verbandsliga Mecklenburg-Vorpommern
21.10.2018,13:00,SV Hanse 01,Rostocker FC 1895,55,2,4,/spielbericht/index/spielbericht/3118085,2018,Verbandsliga Mecklenburg-Vorpommern
27.10.2018,14:00,Rostocker FC 1895,Güstrower SC,86,0,2,/spielbericht/index/spielbericht/3118091,2018,Verbandsliga Mecklenburg-Vorpommern
31.10.2018,14:00,SV 90 Görmin,Rostocker FC 1895,80,3,1,/spielbericht/index/spielbericht/3118101,2018,Verbandsliga Mecklenburg-Vorpommern
03.11.2018,14:00,Rostocker FC 1895,FC Förderkader,64,4,1,/spielbericht/index/spielbericht/3118106,2018,Verbandsliga Mecklenburg-Vorpommern
10.11.2018,13:30,TSV Stralsund,Rostocker FC 1895,35,1,4,/spielbericht/index/spielbericht/3123213,2018,Verbandsliga Mecklenburg-Vorpommern
24.11.2018,13:00,Rostocker FC 1895,FSV Malchin,104,1,1,/spielbericht/index/spielbericht/3123896,2018,Verbandsliga Mecklenburg-Vorpommern
01.12.2018,13:00,SGA Boizenburg,Rostocker FC 1895,106,0,0,/spielbericht/index/spielbericht/3127604,2018,Verbandsliga Mecklenburg-Vorpommern
08.12.2018,13:00,Neubrandenburg,Rostocker FC 1895,120,1,0,/spielbericht/index/spielbericht/3131199,2018,Verbandsliga Mecklenburg-Vorpommern
23.02.2019,14:00,Rostocker FC 1895,FCM Schwerin,106,2,0,/spielbericht/index/spielbericht/3152962,2018,Verbandsliga Mecklenburg-Vorpommern
02.03.2019,14:00,TSV Bützow,Rostocker FC 1895,90,1,3,/spielbericht/index/spielbericht/3156963,2018,Verbandsliga Mecklenburg-Vorpommern
09.03.2019,14:00,Rostocker FC 1895,SV Pastow,146,1,2,/spielbericht/index/spielbericht/3161262,2018,Verbandsliga Mecklenburg-Vorpommern
16.03.2019,14:00,Rostocker FC 1895,MSV Pampow,92,0,2,/spielbericht/index/spielbericht/3166349,2018,Verbandsliga Mecklenburg-Vorpommern
30.03.2019,14:00,Grimmener SV,Rostocker FC 1895,60,2,2,/spielbericht/index/spielbericht/3167998,2018,Verbandsliga Mecklenburg-Vorpommern
06.04.2019,14:00,Rostocker FC 1895,Kühlungsborn,198,4,2,/spielbericht/index/spielbericht/3168982,2018,Verbandsliga Mecklenburg-Vorpommern
13.04.2019,14:00,E. Ueckermünde,Rostocker FC 1895,80,1,1,/spielbericht/index/spielbericht/3169832,2018,Verbandsliga Mecklenburg-Vorpommern
20.04.2019,14:00,Rostocker FC 1895,SV Hanse 01,96,5,1,/spielbericht/index/spielbericht/3169838,2018,Verbandsliga Mecklenburg-Vorpommern
27.04.2019,14:00,Güstrower SC,Rostocker FC 1895,65,6,3,/spielbericht/index/spielbericht/3178516,2018,Verbandsliga Mecklenburg-Vorpommern
01.05.2019,14:00,Rostocker FC 1895,SV 90 Görmin,153,6,0,/spielbericht/index/spielbericht/3191438,2018,Verbandsliga Mecklenburg-Vorpommern
04.05.2019,14:00,FC Förderkader,Rostocker FC 1895,77,0,7,/spielbericht/index/spielbericht/3182766,2018,Verbandsliga Mecklenburg-Vorpommern
11.05.2019,14:00,Rostocker FC 1895,TSV Stralsund,85,3,0,/spielbericht/index/spielbericht/3182774,2018,Verbandsliga Mecklenburg-Vorpommern
18.05.2019,14:00,FSV Malchin,Rostocker FC 1895,110,0,4,/spielbericht/index/spielbericht/3188267,2018,Verbandsliga Mecklenburg-Vorpommern
01.06.2019,14:00,Rostocker FC 1895,SGA Boizenburg,165,3,1,/spielbericht/index/spielbericht/3191449,2018,Verbandsliga Mecklenburg-Vorpommern
