date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:30,Rot-Weiss Essen,SF Lotte,10.260,1,1,/spielbericht/index/spielbericht/2470735,2014,Regionalliga West
08.08.2014,19:00,SC Wiedenbrück,Rot-Weiss Essen,2.263,0,3,/spielbericht/index/spielbericht/2470744,2014,Regionalliga West
16.08.2014,14:00,Rot-Weiss Essen,Alem. Aachen,12.097,1,1,/spielbericht/index/spielbericht/2470753,2014,Regionalliga West
23.08.2014,14:00,VfL Bochum II,Rot-Weiss Essen,1.800,2,3,/spielbericht/index/spielbericht/2470766,2014,Regionalliga West
30.08.2014,14:00,Rot-Weiss Essen,RW Oberhausen,11.077,4,4,/spielbericht/index/spielbericht/2470772,2014,Regionalliga West
05.09.2014,19:30,FC Kray,Rot-Weiss Essen,7.128,4,2,/spielbericht/index/spielbericht/2470783,2014,Regionalliga West
12.09.2014,19:30,Rot-Weiss Essen,M'gladbach II,7.107,2,2,/spielbericht/index/spielbericht/2470818,2014,Regionalliga West
20.09.2014,13:00,Schalke 04 II,Rot-Weiss Essen,1.200,1,1,/spielbericht/index/spielbericht/2470827,2014,Regionalliga West
23.09.2014,19:30,Rot-Weiss Essen,Viktoria Köln,6.571,2,1,/spielbericht/index/spielbericht/2470837,2014,Regionalliga West
29.09.2014,19:30,SV Rödinghausen,Rot-Weiss Essen,2.243,0,1,/spielbericht/index/spielbericht/2470850,2014,Regionalliga West
03.10.2014,18:00,Rot-Weiss Essen,SC Verl,7.747,1,1,/spielbericht/index/spielbericht/2470854,2014,Regionalliga West
17.10.2014,19:30,Spfr. Siegen,Rot-Weiss Essen,2.414,1,3,/spielbericht/index/spielbericht/2470866,2014,Regionalliga West
26.10.2014,14:00,Rot-Weiss Essen,Wattenscheid 09,14.415,6,0,/spielbericht/index/spielbericht/2470872,2014,Regionalliga West
02.11.2014,14:00,Hennef 05,Rot-Weiss Essen,1.445,0,4,/spielbericht/index/spielbericht/2470882,2014,Regionalliga West
09.11.2014,14:00,KFC Uerdingen,Rot-Weiss Essen,6.375,0,0,/spielbericht/index/spielbericht/2471382,2014,Regionalliga West
14.11.2014,19:30,Rot-Weiss Essen,Düsseldorf II,9.407,3,0,/spielbericht/index/spielbericht/2471401,2014,Regionalliga West
29.11.2014,13:30,1.FC Köln II,Rot-Weiss Essen,1.948,0,1,/spielbericht/index/spielbericht/2471416,2014,Regionalliga West
06.12.2014,14:00,SF Lotte,Rot-Weiss Essen,2.150,1,1,/spielbericht/index/spielbericht/2471427,2014,Regionalliga West
12.12.2014,19:30,Rot-Weiss Essen,SC Wiedenbrück,7.889,3,2,/spielbericht/index/spielbericht/2471440,2014,Regionalliga West
07.02.2015,14:00,Alem. Aachen,Rot-Weiss Essen,30.313,1,0,/spielbericht/index/spielbericht/2471454,2014,Regionalliga West
13.02.2015,19:00,Rot-Weiss Essen,VfL Bochum II,7.214,1,0,/spielbericht/index/spielbericht/2471465,2014,Regionalliga West
22.02.2015,14:00,RW Oberhausen,Rot-Weiss Essen,9.380,1,0,/spielbericht/index/spielbericht/2471472,2014,Regionalliga West
27.02.2015,19:30,Rot-Weiss Essen,FC Kray,8.756,0,1,/spielbericht/index/spielbericht/2473340,2014,Regionalliga West
07.03.2015,15:30,M'gladbach II,Rot-Weiss Essen,1.214,1,0,/spielbericht/index/spielbericht/2473349,2014,Regionalliga West
14.03.2015,14:00,Rot-Weiss Essen,Schalke 04 II,6.785,1,0,/spielbericht/index/spielbericht/2473357,2014,Regionalliga West
22.03.2015,14:00,Viktoria Köln,Rot-Weiss Essen,1.338,0,0,/spielbericht/index/spielbericht/2473367,2014,Regionalliga West
27.03.2015,19:30,Rot-Weiss Essen,SV Rödinghausen,6.107,0,3,/spielbericht/index/spielbericht/2473381,2014,Regionalliga West
11.04.2015,14:00,SC Verl,Rot-Weiss Essen,1.022,1,0,/spielbericht/index/spielbericht/2473385,2014,Regionalliga West
18.04.2015,14:00,Rot-Weiss Essen,Spfr. Siegen,6.151,2,1,/spielbericht/index/spielbericht/2473396,2014,Regionalliga West
25.04.2015,14:00,Wattenscheid 09,Rot-Weiss Essen,1.213,0,3,/spielbericht/index/spielbericht/2473402,2014,Regionalliga West
02.05.2015,14:00,Rot-Weiss Essen,Hennef 05,5.817,1,3,/spielbericht/index/spielbericht/2473412,2014,Regionalliga West
08.05.2015,19:30,Rot-Weiss Essen,KFC Uerdingen,6.540,5,0,/spielbericht/index/spielbericht/2473419,2014,Regionalliga West
17.05.2015,14:00,Düsseldorf II,Rot-Weiss Essen,924,2,3,/spielbericht/index/spielbericht/2473429,2014,Regionalliga West
23.05.2015,14:00,Rot-Weiss Essen,1.FC Köln II,5.598,1,2,/spielbericht/index/spielbericht/2473444,2014,Regionalliga West
01.08.2015,14:00,Rot-Weiss Essen,SC Wiedenbrück,9.107,0,3,/spielbericht/index/spielbericht/2587071,2015,Regionalliga West
16.09.2015,19:30,1.FC Köln II,Rot-Weiss Essen,800,2,0,/spielbericht/index/spielbericht/2587081,2015,Regionalliga West
14.08.2015,19:30,Rot-Weiss Essen,SV Rödinghausen,7.212,1,1,/spielbericht/index/spielbericht/2587089,2015,Regionalliga West
25.08.2015,19:30,Rot-Weiss Essen,TuS Erndtebrück,6.716,9,1,/spielbericht/index/spielbericht/2587107,2015,Regionalliga West
01.09.2015,20:15,Wattenscheid 09,Rot-Weiss Essen,2.758,3,0,/spielbericht/index/spielbericht/2587117,2015,Regionalliga West
04.09.2015,19:30,Rot-Weiss Essen,Wegberg-Beeck,6.333,1,0,/spielbericht/index/spielbericht/2587126,2015,Regionalliga West
12.09.2015,14:00,SSVg Velbert 02,Rot-Weiss Essen,1.600,0,1,/spielbericht/index/spielbericht/2587135,2015,Regionalliga West
19.09.2015,14:00,M'gladbach II,Rot-Weiss Essen,831,3,1,/spielbericht/index/spielbericht/2587140,2015,Regionalliga West
22.09.2015,19:30,Rot-Weiss Essen,Düsseldorf II,5.578,3,2,/spielbericht/index/spielbericht/2587145,2015,Regionalliga West
26.09.2015,14:00,SC Verl,Rot-Weiss Essen,952,1,1,/spielbericht/index/spielbericht/2587155,2015,Regionalliga West
02.10.2015,19:30,Rot-Weiss Essen,Viktoria Köln,7.029,1,1,/spielbericht/index/spielbericht/2587171,2015,Regionalliga West
18.10.2015,14:00,SF Lotte,Rot-Weiss Essen,1.420,3,1,/spielbericht/index/spielbericht/2587175,2015,Regionalliga West
24.10.2015,14:00,Rot-Weiss Essen,Rot Weiss Ahlen,11.164,2,0,/spielbericht/index/spielbericht/2587187,2015,Regionalliga West
31.10.2015,14:05,Alem. Aachen,Rot-Weiss Essen,11.200,2,0,/spielbericht/index/spielbericht/2587196,2015,Regionalliga West
08.11.2015,14:00,Rot-Weiss Essen,Schalke 04 II,6.427,2,0,/spielbericht/index/spielbericht/2587203,2015,Regionalliga West
15.11.2015,13:15,RW Oberhausen,Rot-Weiss Essen,5.619,2,1,/spielbericht/index/spielbericht/2587216,2015,Regionalliga West
27.11.2015,19:30,Rot-Weiss Essen,FC Kray,7.557,1,1,/spielbericht/index/spielbericht/2587220,2015,Regionalliga West
05.12.2015,15:30,B. Dortmund II,Rot-Weiss Essen,1.775,1,1,/spielbericht/index/spielbericht/2587228,2015,Regionalliga West
12.12.2015,14:00,SC Wiedenbrück,Rot-Weiss Essen,981,2,2,/spielbericht/index/spielbericht/2597795,2015,Regionalliga West
31.01.2016,14:00,Rot-Weiss Essen,1.FC Köln II,6.607,0,0,/spielbericht/index/spielbericht/2597800,2015,Regionalliga West
06.02.2016,14:00,SV Rödinghausen,Rot-Weiss Essen,1.650,0,0,/spielbericht/index/spielbericht/2597813,2015,Regionalliga West
12.04.2016,19:00,TuS Erndtebrück,Rot-Weiss Essen,750,1,0,/spielbericht/index/spielbericht/2617982,2015,Regionalliga West
26.02.2016,19:30,Rot-Weiss Essen,Wattenscheid 09,8.239,2,2,/spielbericht/index/spielbericht/2617994,2015,Regionalliga West
01.03.2016,19:30,Wegberg-Beeck,Rot-Weiss Essen,648,1,1,/spielbericht/index/spielbericht/2618000,2015,Regionalliga West
27.04.2016,19:30,Rot-Weiss Essen,SSVg Velbert 02,6.578,3,2,/spielbericht/index/spielbericht/2618010,2015,Regionalliga West
11.03.2016,19:30,Rot-Weiss Essen,M'gladbach II,6.685,3,3,/spielbericht/index/spielbericht/2618014,2015,Regionalliga West
19.03.2016,13:00,Düsseldorf II,Rot-Weiss Essen,497,1,0,/spielbericht/index/spielbericht/2618063,2015,Regionalliga West
24.03.2016,19:30,Rot-Weiss Essen,SC Verl,6.426,1,0,/spielbericht/index/spielbericht/2618091,2015,Regionalliga West
28.03.2016,14:00,Viktoria Köln,Rot-Weiss Essen,1.249,1,0,/spielbericht/index/spielbericht/2618101,2015,Regionalliga West
02.04.2016,14:00,Rot-Weiss Essen,SF Lotte,6.700,0,2,/spielbericht/index/spielbericht/2618107,2015,Regionalliga West
08.04.2016,19:30,Rot Weiss Ahlen,Rot-Weiss Essen,3.188,1,2,/spielbericht/index/spielbericht/2618119,2015,Regionalliga West
17.04.2016,14:45,Rot-Weiss Essen,Alem. Aachen,8.623,3,2,/spielbericht/index/spielbericht/2618131,2015,Regionalliga West
23.04.2016,16:00,Schalke 04 II,Rot-Weiss Essen,1.300,0,0,/spielbericht/index/spielbericht/2618137,2015,Regionalliga West
07.05.2016,13:00,Rot-Weiss Essen,RW Oberhausen,8.881,0,2,/spielbericht/index/spielbericht/2618147,2015,Regionalliga West
14.05.2016,14:00,FC Kray,Rot-Weiss Essen,4.250,2,3,/spielbericht/index/spielbericht/2618155,2015,Regionalliga West
21.05.2016,13:00,Rot-Weiss Essen,B. Dortmund II,6.543,2,1,/spielbericht/index/spielbericht/2618163,2015,Regionalliga West
09.08.2015,16:00,Rot-Weiss Essen,F. Düsseldorf,17.500,1,3,/spielbericht/index/spielbericht/2576672,2015,DFB-Pokal
31.07.2016,14:00,SC Wiedenbrück,Rot-Weiss Essen,2.350,0,2,/spielbericht/index/spielbericht/2710307,2016,Regionalliga West
05.08.2016,19:30,Rot-Weiss Essen,Bonner SC,9.507,2,1,/spielbericht/index/spielbericht/2710320,2016,Regionalliga West
09.08.2016,19:30,Wuppertaler SV,Rot-Weiss Essen,11.243,0,0,/spielbericht/index/spielbericht/2710324,2016,Regionalliga West
13.08.2016,14:00,Rot-Weiss Essen,Viktoria Köln,8.140,0,4,/spielbericht/index/spielbericht/2710333,2016,Regionalliga West
16.12.2016,18:30,Düsseldorf II,Rot-Weiss Essen,850,2,1,/spielbericht/index/spielbericht/2710523,2016,Regionalliga West
27.08.2016,14:00,Rot-Weiss Essen,M'gladbach II,6.107,0,2,/spielbericht/index/spielbericht/2710533,2016,Regionalliga West
02.09.2016,19:30,Rot-Weiss Essen,SV Rödinghausen,6.307,0,1,/spielbericht/index/spielbericht/2710548,2016,Regionalliga West
10.09.2016,14:00,Rot Weiss Ahlen,Rot-Weiss Essen,1.520,0,3,/spielbericht/index/spielbericht/2710570,2016,Regionalliga West
16.09.2016,19:30,Rot-Weiss Essen,SC Verl,6.773,2,0,/spielbericht/index/spielbericht/2710590,2016,Regionalliga West
25.09.2016,14:00,Alem. Aachen,Rot-Weiss Essen,8.800,1,0,/spielbericht/index/spielbericht/2710604,2016,Regionalliga West
01.10.2016,15:30,Rot-Weiss Essen,B. Dortmund II,11.547,1,1,/spielbericht/index/spielbericht/2710619,2016,Regionalliga West
19.11.2016,14:00,Schalke 04 II,Rot-Weiss Essen,1.100,1,1,/spielbericht/index/spielbericht/2710631,2016,Regionalliga West
15.10.2016,14:00,Rot-Weiss Essen,1.FC Köln II,5.780,5,2,/spielbericht/index/spielbericht/2710646,2016,Regionalliga West
21.10.2016,19:30,Spfr. Siegen,Rot-Weiss Essen,1.924,1,5,/spielbericht/index/spielbericht/2710656,2016,Regionalliga West
28.10.2016,19:30,Rot-Weiss Essen,Wattenscheid 09,8.317,0,0,/spielbericht/index/spielbericht/2710736,2016,Regionalliga West
06.11.2016,15:30,RW Oberhausen,Rot-Weiss Essen,5.573,2,2,/spielbericht/index/spielbericht/2710762,2016,Regionalliga West
11.11.2016,19:30,Rot-Weiss Essen,Sprockhövel,6.167,3,2,/spielbericht/index/spielbericht/2710781,2016,Regionalliga West
25.11.2016,19:30,Rot-Weiss Essen,SC Wiedenbrück,6.157,0,0,/spielbericht/index/spielbericht/2710796,2016,Regionalliga West
