date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Rot-Weiß Erfurt,B. Dortmund II,6.481,1,2,/spielbericht/index/spielbericht/2462895,2014,3. Liga
02.08.2014,14:00,Hansa Rostock,Rot-Weiß Erfurt,14.000,1,1,/spielbericht/index/spielbericht/2462912,2014,3. Liga
05.08.2014,19:00,Rot-Weiß Erfurt,Stuttgart II,4.618,3,1,/spielbericht/index/spielbericht/2462917,2014,3. Liga
09.08.2014,14:00,Energie Cottbus,Rot-Weiß Erfurt,6.149,0,0,/spielbericht/index/spielbericht/2462933,2014,3. Liga
23.08.2014,14:00,Rot-Weiß Erfurt,Dynamo Dresden,10.676,2,0,/spielbericht/index/spielbericht/2462937,2014,3. Liga
27.08.2014,19:00,Pr. Münster,Rot-Weiß Erfurt,8.090,2,2,/spielbericht/index/spielbericht/2462946,2014,3. Liga
30.08.2014,14:00,VfL Osnabrück,Rot-Weiß Erfurt,7.196,3,1,/spielbericht/index/spielbericht/2462954,2014,3. Liga
06.09.2014,14:00,Rot-Weiß Erfurt,Holstein Kiel,4.673,3,2,/spielbericht/index/spielbericht/2462967,2014,3. Liga
12.09.2014,19:00,Wehen Wiesbaden,Rot-Weiß Erfurt,2.783,3,1,/spielbericht/index/spielbericht/2462979,2014,3. Liga
20.09.2014,14:00,Rot-Weiß Erfurt,J. Regensburg,4.983,2,0,/spielbericht/index/spielbericht/2462987,2014,3. Liga
24.09.2014,19:00,Sonnenhof-Gr.,Rot-Weiß Erfurt,1.202,1,1,/spielbericht/index/spielbericht/2463001,2014,3. Liga
27.09.2014,14:00,Rot-Weiß Erfurt,FSV Mainz 05 II,3.975,1,0,/spielbericht/index/spielbericht/2463007,2014,3. Liga
05.10.2014,14:00,Hallescher FC,Rot-Weiß Erfurt,8.336,1,2,/spielbericht/index/spielbericht/2463023,2014,3. Liga
18.10.2014,14:00,Rot-Weiß Erfurt,Chemnitzer FC,7.493,2,0,/spielbericht/index/spielbericht/2463027,2014,3. Liga
24.10.2014,19:00,Arm. Bielefeld,Rot-Weiß Erfurt,11.710,3,0,/spielbericht/index/spielbericht/2463036,2014,3. Liga
02.11.2014,14:00,Rot-Weiß Erfurt,Fortuna Köln,5.951,2,1,/spielbericht/index/spielbericht/2463047,2014,3. Liga
08.11.2014,14:00,MSV Duisburg,Rot-Weiß Erfurt,10.149,2,0,/spielbericht/index/spielbericht/2463058,2014,3. Liga
22.11.2014,14:00,Rot-Weiß Erfurt,Stuttg. Kickers,4.171,1,1,/spielbericht/index/spielbericht/2463067,2014,3. Liga
29.11.2014,14:00,Unterhaching,Rot-Weiß Erfurt,1.300,4,2,/spielbericht/index/spielbericht/2463080,2014,3. Liga
06.12.2014,14:00,B. Dortmund II,Rot-Weiß Erfurt,2.080,0,0,/spielbericht/index/spielbericht/2463088,2014,3. Liga
13.12.2014,14:00,Rot-Weiß Erfurt,Hansa Rostock,7.378,4,1,/spielbericht/index/spielbericht/2463102,2014,3. Liga
20.12.2014,14:00,Stuttgart II,Rot-Weiß Erfurt,636,2,2,/spielbericht/index/spielbericht/2463107,2014,3. Liga
31.01.2015,14:00,Rot-Weiß Erfurt,Energie Cottbus,6.972,2,0,/spielbericht/index/spielbericht/2463123,2014,3. Liga
