date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,E. Frankfurt,SC Freiburg,46.200,1,0,/spielbericht/index/spielbericht/2460632,2014,Bundesliga
31.08.2014,17:30,SC Freiburg,Bor. M'gladbach,24.000,0,0,/spielbericht/index/spielbericht/2460641,2014,Bundesliga
13.09.2014,15:30,Bor. Dortmund,SC Freiburg,80.200,3,1,/spielbericht/index/spielbericht/2460645,2014,Bundesliga
19.09.2014,20:30,SC Freiburg,Hertha BSC,23.600,2,2,/spielbericht/index/spielbericht/2460657,2014,Bundesliga
23.09.2014,20:00,TSG Hoffenheim,SC Freiburg,24.872,3,3,/spielbericht/index/spielbericht/2460666,2014,Bundesliga
27.09.2014,15:30,SC Freiburg,B. Leverkusen,23.500,0,0,/spielbericht/index/spielbericht/2460675,2014,Bundesliga
04.10.2014,15:30,Werder Bremen,SC Freiburg,40.029,1,1,/spielbericht/index/spielbericht/2460687,2014,Bundesliga
18.10.2014,15:30,SC Freiburg,VfL Wolfsburg,23.500,1,2,/spielbericht/index/spielbericht/2460693,2014,Bundesliga
25.10.2014,15:30,FC Augsburg,SC Freiburg,28.324,2,0,/spielbericht/index/spielbericht/2460702,2014,Bundesliga
02.11.2014,17:30,1.FC Köln,SC Freiburg,49.500,0,1,/spielbericht/index/spielbericht/2460714,2014,Bundesliga
08.11.2014,15:30,SC Freiburg,FC Schalke 04,24.000,2,0,/spielbericht/index/spielbericht/2460724,2014,Bundesliga
22.11.2014,15:30,1.FSV Mainz 05,SC Freiburg,27.000,2,2,/spielbericht/index/spielbericht/2460728,2014,Bundesliga
28.11.2014,20:30,SC Freiburg,VfB Stuttgart,24.000,1,4,/spielbericht/index/spielbericht/2460742,2014,Bundesliga
06.12.2014,15:30,SC Paderborn,SC Freiburg,14.738,1,1,/spielbericht/index/spielbericht/2460751,2014,Bundesliga
13.12.2014,15:30,SC Freiburg,Hamburger SV,24.000,0,0,/spielbericht/index/spielbericht/2460760,2014,Bundesliga
16.12.2014,20:00,Bayern München,SC Freiburg,71.000,2,0,/spielbericht/index/spielbericht/2460761,2014,Bundesliga
21.12.2014,17:30,SC Freiburg,Hannover 96,23.550,2,2,/spielbericht/index/spielbericht/2460777,2014,Bundesliga
31.01.2015,15:30,SC Freiburg,E. Frankfurt,24.000,4,1,/spielbericht/index/spielbericht/2460785,2014,Bundesliga
03.02.2015,20:00,Bor. M'gladbach,SC Freiburg,37.091,1,0,/spielbericht/index/spielbericht/2460790,2014,Bundesliga
