date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,15:30,SG Betzdorf,SC Hauenstein,215,0,2,/spielbericht/index/spielbericht/2466661,2014,Oberliga Rheinland-Pfalz/Saar
09.08.2014,15:30,SC Hauenstein,FV Diefflen,300,2,0,/spielbericht/index/spielbericht/2466670,2014,Oberliga Rheinland-Pfalz/Saar
13.08.2014,18:30,SC Hauenstein,A. Ludwigshafen,150,0,0,/spielbericht/index/spielbericht/2466679,2014,Oberliga Rheinland-Pfalz/Saar
16.08.2014,15:30,Pfeddersheim,SC Hauenstein,250,1,1,/spielbericht/index/spielbericht/2466686,2014,Oberliga Rheinland-Pfalz/Saar
22.08.2014,18:30,SC Hauenstein,Mechtersheim,300,2,1,/spielbericht/index/spielbericht/2466693,2014,Oberliga Rheinland-Pfalz/Saar
26.08.2014,19:00,Schott Mainz,SC Hauenstein,150,1,2,/spielbericht/index/spielbericht/2466703,2014,Oberliga Rheinland-Pfalz/Saar
30.08.2014,15:30,SC Hauenstein,FSV Salmrohr,180,2,0,/spielbericht/index/spielbericht/2466712,2014,Oberliga Rheinland-Pfalz/Saar
07.09.2014,15:00,Elversberg II,SC Hauenstein,193,2,1,/spielbericht/index/spielbericht/2466726,2014,Oberliga Rheinland-Pfalz/Saar
13.09.2014,15:30,SC Hauenstein,B. Neunkirchen,500,2,0,/spielbericht/index/spielbericht/2466737,2014,Oberliga Rheinland-Pfalz/Saar
19.09.2014,19:30,Hertha Wiesbach,SC Hauenstein,500,0,3,/spielbericht/index/spielbericht/2466741,2014,Oberliga Rheinland-Pfalz/Saar
27.09.2014,15:30,SC Hauenstein,SpVgg Burgbrohl,150,1,0,/spielbericht/index/spielbericht/2466755,2014,Oberliga Rheinland-Pfalz/Saar
03.10.2014,15:00,Idar-Oberstein,SC Hauenstein,443,2,4,/spielbericht/index/spielbericht/2466759,2014,Oberliga Rheinland-Pfalz/Saar
11.10.2014,15:30,SC Hauenstein,SV Röchling,350,2,1,/spielbericht/index/spielbericht/2466774,2014,Oberliga Rheinland-Pfalz/Saar
19.10.2014,15:00,SV Gonsenheim,SC Hauenstein,130,1,0,/spielbericht/index/spielbericht/2466785,2014,Oberliga Rheinland-Pfalz/Saar
25.10.2014,15:30,SC Hauenstein,Saarbrücken II,150,3,1,/spielbericht/index/spielbericht/2466792,2014,Oberliga Rheinland-Pfalz/Saar
01.11.2014,14:30,SpVgg Wirges,SC Hauenstein,320,1,0,/spielbericht/index/spielbericht/2466796,2014,Oberliga Rheinland-Pfalz/Saar
08.11.2014,14:30,SC Hauenstein,SV Saar 05,500,1,0,/spielbericht/index/spielbericht/2466807,2014,Oberliga Rheinland-Pfalz/Saar
22.11.2014,14:30,SC Hauenstein,SG Betzdorf,130,5,0,/spielbericht/index/spielbericht/2466818,2014,Oberliga Rheinland-Pfalz/Saar
29.11.2014,15:00,FV Diefflen,SC Hauenstein,250,2,5,/spielbericht/index/spielbericht/2466827,2014,Oberliga Rheinland-Pfalz/Saar
