date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,16:00,SC Verl,RW Oberhausen,1.010,3,0,/spielbericht/index/spielbericht/2470738,2014,Regionalliga West
10.08.2014,15:00,FC Kray,SC Verl,613,1,1,/spielbericht/index/spielbericht/2470746,2014,Regionalliga West
15.08.2014,18:00,SC Verl,M'gladbach II,704,1,2,/spielbericht/index/spielbericht/2470755,2014,Regionalliga West
23.08.2014,14:00,Schalke 04 II,SC Verl,120,1,4,/spielbericht/index/spielbericht/2470770,2014,Regionalliga West
29.08.2014,18:00,SC Verl,Viktoria Köln,810,1,2,/spielbericht/index/spielbericht/2470776,2014,Regionalliga West
05.09.2014,19:00,SV Rödinghausen,SC Verl,1.300,2,0,/spielbericht/index/spielbericht/2470786,2014,Regionalliga West
13.09.2014,14:00,KFC Uerdingen,SC Verl,1.502,0,0,/spielbericht/index/spielbericht/2470819,2014,Regionalliga West
20.09.2014,14:00,SC Verl,Spfr. Siegen,584,0,0,/spielbericht/index/spielbericht/2470832,2014,Regionalliga West
23.09.2014,19:30,Wattenscheid 09,SC Verl,380,0,1,/spielbericht/index/spielbericht/2470839,2014,Regionalliga West
27.09.2014,14:00,SC Verl,Hennef 05,512,1,0,/spielbericht/index/spielbericht/2470851,2014,Regionalliga West
03.10.2014,18:00,RW Essen,SC Verl,7.747,1,1,/spielbericht/index/spielbericht/2470854,2014,Regionalliga West
18.10.2014,14:00,SC Verl,Düsseldorf II,475,0,1,/spielbericht/index/spielbericht/2470867,2014,Regionalliga West
25.10.2014,14:00,1.FC Köln II,SC Verl,400,0,2,/spielbericht/index/spielbericht/2470878,2014,Regionalliga West
02.11.2014,14:00,SC Verl,SF Lotte,627,1,0,/spielbericht/index/spielbericht/2470885,2014,Regionalliga West
07.11.2014,19:00,SC Wiedenbrück,SC Verl,1.310,1,0,/spielbericht/index/spielbericht/2471387,2014,Regionalliga West
15.11.2014,14:00,SC Verl,Alem. Aachen,1.563,0,0,/spielbericht/index/spielbericht/2471405,2014,Regionalliga West
29.11.2014,14:00,VfL Bochum II,SC Verl,200,0,5,/spielbericht/index/spielbericht/2471412,2014,Regionalliga West
06.12.2014,14:00,RW Oberhausen,SC Verl,1.986,1,1,/spielbericht/index/spielbericht/2471431,2014,Regionalliga West
13.12.2014,14:00,SC Verl,FC Kray,413,5,0,/spielbericht/index/spielbericht/2471436,2014,Regionalliga West
11.03.2015,19:00,M'gladbach II,SC Verl,340,3,2,/spielbericht/index/spielbericht/2471458,2014,Regionalliga West
14.02.2015,14:00,SC Verl,Schalke 04 II,510,1,0,/spielbericht/index/spielbericht/2471470,2014,Regionalliga West
21.02.2015,14:00,Viktoria Köln,SC Verl,624,2,0,/spielbericht/index/spielbericht/2471476,2014,Regionalliga West
28.02.2015,14:00,SC Verl,SV Rödinghausen,516,2,2,/spielbericht/index/spielbericht/2473345,2014,Regionalliga West
07.03.2015,14:00,SC Verl,KFC Uerdingen,573,5,0,/spielbericht/index/spielbericht/2473348,2014,Regionalliga West
14.03.2015,14:00,Spfr. Siegen,SC Verl,1.299,0,2,/spielbericht/index/spielbericht/2473363,2014,Regionalliga West
21.03.2015,14:00,SC Verl,Wattenscheid 09,438,4,3,/spielbericht/index/spielbericht/2473369,2014,Regionalliga West
28.03.2015,14:00,Hennef 05,SC Verl,220,1,3,/spielbericht/index/spielbericht/2473380,2014,Regionalliga West
11.04.2015,14:00,SC Verl,RW Essen,1.022,1,0,/spielbericht/index/spielbericht/2473385,2014,Regionalliga West
18.04.2015,14:00,Düsseldorf II,SC Verl,200,2,0,/spielbericht/index/spielbericht/2473397,2014,Regionalliga West
25.04.2015,14:00,SC Verl,1.FC Köln II,373,0,1,/spielbericht/index/spielbericht/2473408,2014,Regionalliga West
02.05.2015,14:00,SF Lotte,SC Verl,528,1,1,/spielbericht/index/spielbericht/2473415,2014,Regionalliga West
09.05.2015,14:00,SC Verl,SC Wiedenbrück,528,2,2,/spielbericht/index/spielbericht/2473424,2014,Regionalliga West
17.05.2015,14:00,Alem. Aachen,SC Verl,12.700,2,0,/spielbericht/index/spielbericht/2473433,2014,Regionalliga West
21.05.2015,14:00,SC Verl,VfL Bochum II,228,3,1,/spielbericht/index/spielbericht/2473440,2014,Regionalliga West
01.08.2015,14:00,SC Verl,FC Kray,546,1,1,/spielbericht/index/spielbericht/2587065,2015,Regionalliga West
08.08.2015,14:00,B. Dortmund II,SC Verl,1.780,1,2,/spielbericht/index/spielbericht/2587075,2015,Regionalliga West
15.08.2015,14:00,SC Verl,SC Wiedenbrück,780,1,1,/spielbericht/index/spielbericht/2587083,2015,Regionalliga West
22.08.2015,14:00,1.FC Köln II,SC Verl,250,0,0,/spielbericht/index/spielbericht/2587094,2015,Regionalliga West
25.08.2015,19:30,SC Verl,SV Rödinghausen,554,1,1,/spielbericht/index/spielbericht/2587108,2015,Regionalliga West
05.09.2015,14:00,SC Verl,TuS Erndtebrück,392,2,0,/spielbericht/index/spielbericht/2587120,2015,Regionalliga West
12.09.2015,14:00,Wattenscheid 09,SC Verl,534,2,1,/spielbericht/index/spielbericht/2587133,2015,Regionalliga West
19.09.2015,14:00,SC Verl,Wegberg-Beeck,340,3,0,/spielbericht/index/spielbericht/2587137,2015,Regionalliga West
22.09.2015,17:30,SSVg Velbert 02,SC Verl,250,0,2,/spielbericht/index/spielbericht/2587153,2015,Regionalliga West
26.09.2015,14:00,SC Verl,RW Essen,952,1,1,/spielbericht/index/spielbericht/2587155,2015,Regionalliga West
03.10.2015,14:00,Düsseldorf II,SC Verl,143,1,4,/spielbericht/index/spielbericht/2587169,2015,Regionalliga West
17.10.2015,14:00,M'gladbach II,SC Verl,304,1,0,/spielbericht/index/spielbericht/2587176,2015,Regionalliga West
23.10.2015,18:00,SC Verl,Viktoria Köln,549,0,1,/spielbericht/index/spielbericht/2587189,2015,Regionalliga West
31.10.2015,14:00,SF Lotte,SC Verl,685,2,0,/spielbericht/index/spielbericht/2587193,2015,Regionalliga West
07.11.2015,14:00,SC Verl,Rot Weiss Ahlen,545,0,3,/spielbericht/index/spielbericht/2587201,2015,Regionalliga West
14.11.2015,14:00,Alem. Aachen,SC Verl,6.320,3,0,/spielbericht/index/spielbericht/2587214,2015,Regionalliga West
28.11.2015,14:00,SC Verl,Schalke 04 II,530,2,1,/spielbericht/index/spielbericht/2587218,2015,Regionalliga West
05.12.2015,14:00,RW Oberhausen,SC Verl,1.500,1,1,/spielbericht/index/spielbericht/2587230,2015,Regionalliga West
12.12.2015,14:00,FC Kray,SC Verl,170,1,1,/spielbericht/index/spielbericht/2597793,2015,Regionalliga West
06.04.2016,18:00,SC Verl,B. Dortmund II,1.040,0,3,/spielbericht/index/spielbericht/2597802,2015,Regionalliga West
07.02.2016,14:00,SC Wiedenbrück,SC Verl,910,0,1,/spielbericht/index/spielbericht/2597811,2015,Regionalliga West
13.02.2016,14:00,SC Verl,1.FC Köln II,465,2,0,/spielbericht/index/spielbericht/2597818,2015,Regionalliga West
27.04.2016,19:30,SV Rödinghausen,SC Verl,862,0,1,/spielbericht/index/spielbericht/2617981,2015,Regionalliga West
01.03.2016,19:30,TuS Erndtebrück,SC Verl,201,5,0,/spielbericht/index/spielbericht/2617998,2015,Regionalliga West
05.03.2016,14:00,SC Verl,Wattenscheid 09,426,0,2,/spielbericht/index/spielbericht/2618012,2015,Regionalliga West
12.03.2016,14:00,Wegberg-Beeck,SC Verl,208,0,1,/spielbericht/index/spielbericht/2618017,2015,Regionalliga West
19.03.2016,14:00,SC Verl,SSVg Velbert 02,371,2,0,/spielbericht/index/spielbericht/2618064,2015,Regionalliga West
24.03.2016,19:30,RW Essen,SC Verl,6.426,1,0,/spielbericht/index/spielbericht/2618091,2015,Regionalliga West
28.03.2016,14:00,SC Verl,Düsseldorf II,426,1,1,/spielbericht/index/spielbericht/2618100,2015,Regionalliga West
02.04.2016,14:00,SC Verl,M'gladbach II,483,1,1,/spielbericht/index/spielbericht/2618106,2015,Regionalliga West
09.04.2016,14:00,Viktoria Köln,SC Verl,596,3,2,/spielbericht/index/spielbericht/2618117,2015,Regionalliga West
16.04.2016,14:00,SC Verl,SF Lotte,584,2,3,/spielbericht/index/spielbericht/2618125,2015,Regionalliga West
23.04.2016,14:00,Rot Weiss Ahlen,SC Verl,839,1,2,/spielbericht/index/spielbericht/2618135,2015,Regionalliga West
07.05.2016,14:00,SC Verl,Alem. Aachen,683,1,3,/spielbericht/index/spielbericht/2618149,2015,Regionalliga West
14.05.2016,14:00,Schalke 04 II,SC Verl,104,1,2,/spielbericht/index/spielbericht/2618153,2015,Regionalliga West
21.05.2016,14:00,SC Verl,RW Oberhausen,579,3,1,/spielbericht/index/spielbericht/2618165,2015,Regionalliga West
30.07.2016,14:00,Wattenscheid 09,SC Verl,905,1,2,/spielbericht/index/spielbericht/2710312,2016,Regionalliga West
06.08.2016,14:00,SC Verl,RW Oberhausen,1.050,1,0,/spielbericht/index/spielbericht/2710317,2016,Regionalliga West
09.08.2016,19:30,Sprockhövel,SC Verl,600,2,2,/spielbericht/index/spielbericht/2710328,2016,Regionalliga West
12.08.2016,19:00,SC Verl,SC Wiedenbrück,1.470,1,1,/spielbericht/index/spielbericht/2710336,2016,Regionalliga West
20.08.2016,14:00,Bonner SC,SC Verl,1.100,1,0,/spielbericht/index/spielbericht/2710517,2016,Regionalliga West
27.08.2016,14:00,SC Verl,Wuppertaler SV,1.020,2,2,/spielbericht/index/spielbericht/2710527,2016,Regionalliga West
03.09.2016,14:00,Viktoria Köln,SC Verl,786,2,1,/spielbericht/index/spielbericht/2710613,2016,Regionalliga West
10.09.2016,14:00,SC Verl,Düsseldorf II,653,2,0,/spielbericht/index/spielbericht/2710612,2016,Regionalliga West
16.09.2016,19:30,RW Essen,SC Verl,6.773,2,0,/spielbericht/index/spielbericht/2710590,2016,Regionalliga West
24.09.2016,14:00,SC Verl,SV Rödinghausen,758,2,3,/spielbericht/index/spielbericht/2710605,2016,Regionalliga West
01.10.2016,14:00,Rot Weiss Ahlen,SC Verl,612,1,2,/spielbericht/index/spielbericht/2710617,2016,Regionalliga West
07.10.2016,19:00,SC Verl,M'gladbach II,858,0,2,/spielbericht/index/spielbericht/2710625,2016,Regionalliga West
14.10.2016,19:00,SC Verl,Alem. Aachen,1.052,1,1,/spielbericht/index/spielbericht/2710643,2016,Regionalliga West
22.10.2016,14:00,B. Dortmund II,SC Verl,359,2,0,/spielbericht/index/spielbericht/2710650,2016,Regionalliga West
29.10.2016,14:00,SC Verl,Schalke 04 II,760,2,1,/spielbericht/index/spielbericht/2710733,2016,Regionalliga West
05.11.2016,14:00,1.FC Köln II,SC Verl,300,2,0,/spielbericht/index/spielbericht/2710765,2016,Regionalliga West
12.11.2016,14:00,SC Verl,Spfr. Siegen,604,2,0,/spielbericht/index/spielbericht/2710778,2016,Regionalliga West
26.11.2016,14:00,SC Verl,Wattenscheid 09,556,1,1,/spielbericht/index/spielbericht/2710799,2016,Regionalliga West
03.12.2016,14:00,RW Oberhausen,SC Verl,1.517,7,1,/spielbericht/index/spielbericht/2710814,2016,Regionalliga West
11.02.2017,14:00,SC Verl,Sprockhövel,414,2,0,/spielbericht/index/spielbericht/2710833,2016,Regionalliga West
17.02.2017,19:00,SC Wiedenbrück,SC Verl,1.006,1,1,/spielbericht/index/spielbericht/2710992,2016,Regionalliga West
25.02.2017,14:00,SC Verl,Bonner SC,578,0,1,/spielbericht/index/spielbericht/2711000,2016,Regionalliga West
04.03.2017,14:00,Wuppertaler SV,SC Verl,2.944,0,0,/spielbericht/index/spielbericht/2711019,2016,Regionalliga West
11.03.2017,14:00,SC Verl,Viktoria Köln,887,1,2,/spielbericht/index/spielbericht/2711033,2016,Regionalliga West
18.03.2017,14:00,Düsseldorf II,SC Verl,180,2,3,/spielbericht/index/spielbericht/2711037,2016,Regionalliga West
24.03.2017,19:00,SC Verl,RW Essen,1.470,0,0,/spielbericht/index/spielbericht/2711049,2016,Regionalliga West
01.04.2017,14:00,SV Rödinghausen,SC Verl,843,5,2,/spielbericht/index/spielbericht/2711055,2016,Regionalliga West
08.04.2017,14:00,SC Verl,Rot Weiss Ahlen,768,0,2,/spielbericht/index/spielbericht/2711065,2016,Regionalliga West
13.04.2017,19:30,M'gladbach II,SC Verl,316,2,2,/spielbericht/index/spielbericht/2711082,2016,Regionalliga West
21.04.2017,19:30,Alem. Aachen,SC Verl,4.800,1,1,/spielbericht/index/spielbericht/2711092,2016,Regionalliga West
29.04.2017,14:00,SC Verl,B. Dortmund II,988,0,0,/spielbericht/index/spielbericht/2711099,2016,Regionalliga West
06.05.2017,14:00,Schalke 04 II,SC Verl,234,0,0,/spielbericht/index/spielbericht/2711110,2016,Regionalliga West
13.05.2017,14:00,SC Verl,1.FC Köln II,588,1,1,/spielbericht/index/spielbericht/2711124,2016,Regionalliga West
20.05.2017,14:00,Spfr. Siegen,SC Verl,344,1,2,/spielbericht/index/spielbericht/2711128,2016,Regionalliga West
29.07.2017,14:00,Viktoria Köln,SC Verl,998,1,0,/spielbericht/index/spielbericht/2878241,2017,Regionalliga West
05.08.2017,14:00,SC Verl,Alem. Aachen,1.411,2,2,/spielbericht/index/spielbericht/2887935,2017,Regionalliga West
12.08.2017,14:00,RW Oberhausen,SC Verl,1.567,1,1,/spielbericht/index/spielbericht/2887948,2017,Regionalliga West
19.08.2017,14:00,SC Verl,TuS Erndtebrück,611,1,1,/spielbericht/index/spielbericht/2887953,2017,Regionalliga West
26.08.2017,14:00,Düsseldorf II,SC Verl,385,3,2,/spielbericht/index/spielbericht/2887965,2017,Regionalliga West
10.04.2018,19:00,SC Verl,B. Dortmund II,1.344,1,1,/spielbericht/index/spielbericht/2923708,2017,Regionalliga West
