date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,SC Weiche Flensburg 08,St. Pauli II,812,0,0,/spielbericht/index/spielbericht/2463631,2014,Regionalliga Nord
02.08.2014,13:00,Hannover 96 II,SC Weiche Flensburg 08,1.100,1,0,/spielbericht/index/spielbericht/2471366,2014,Regionalliga Nord
10.08.2014,14:00,SC Weiche Flensburg 08,VfR Neumünster,1.018,1,0,/spielbericht/index/spielbericht/2471376,2014,Regionalliga Nord
16.08.2014,14:00,Hamburger SV II,SC Weiche Flensburg 08,370,3,1,/spielbericht/index/spielbericht/2471392,2014,Regionalliga Nord
24.08.2014,14:00,SC Weiche Flensburg 08,SV Meppen,546,0,1,/spielbericht/index/spielbericht/2485667,2014,Regionalliga Nord
31.08.2014,14:00,TSV Havelse,SC Weiche Flensburg 08,401,2,0,/spielbericht/index/spielbericht/2485681,2014,Regionalliga Nord
07.09.2014,14:00,SC Weiche Flensburg 08,VfB Lübeck,945,1,1,/spielbericht/index/spielbericht/2485686,2014,Regionalliga Nord
14.09.2014,14:00,Goslarer SC,SC Weiche Flensburg 08,280,0,0,/spielbericht/index/spielbericht/2486141,2014,Regionalliga Nord
20.09.2014,14:00,SC Weiche Flensburg 08,E. Norderstedt,371,1,1,/spielbericht/index/spielbericht/2486146,2014,Regionalliga Nord
28.09.2014,14:00,SC Weiche Flensburg 08,VfB Oldenburg,548,2,3,/spielbericht/index/spielbericht/2486160,2014,Regionalliga Nord
04.10.2014,14:00,SC Weiche Flensburg 08,FT Braunschweig,356,7,1,/spielbericht/index/spielbericht/2490257,2014,Regionalliga Nord
08.10.2014,16:00,SC Weiche Flensburg 08,Wolfsburg II,436,3,2,/spielbericht/index/spielbericht/2490263,2014,Regionalliga Nord
19.10.2014,15:00,LSK Hansa,SC Weiche Flensburg 08,751,1,0,/spielbericht/index/spielbericht/2490279,2014,Regionalliga Nord
26.10.2014,14:00,SC Weiche Flensburg 08,W. Bremen II,576,1,1,/spielbericht/index/spielbericht/2490284,2014,Regionalliga Nord
02.11.2014,14:00,BV Cloppenburg,SC Weiche Flensburg 08,336,1,2,/spielbericht/index/spielbericht/2490297,2014,Regionalliga Nord
08.11.2014,14:00,SC Weiche Flensburg 08,Braunschweig II,368,1,0,/spielbericht/index/spielbericht/2490302,2014,Regionalliga Nord
15.11.2014,15:00,BSV Rehden,SC Weiche Flensburg 08,270,1,3,/spielbericht/index/spielbericht/2490312,2014,Regionalliga Nord
23.11.2014,13:45,SC Weiche Flensburg 08,Hannover 96 II,668,3,0,/spielbericht/index/spielbericht/2490445,2014,Regionalliga Nord
30.11.2014,14:00,VfR Neumünster,SC Weiche Flensburg 08,484,1,6,/spielbericht/index/spielbericht/2490459,2014,Regionalliga Nord
06.12.2014,14:00,SC Weiche Flensburg 08,Hamburger SV II,965,2,1,/spielbericht/index/spielbericht/2490463,2014,Regionalliga Nord
15.02.2015,14:00,SV Meppen,SC Weiche Flensburg 08,1.590,2,2,/spielbericht/index/spielbericht/2490479,2014,Regionalliga Nord
22.02.2015,14:00,SC Weiche Flensburg 08,TSV Havelse,463,0,0,/spielbericht/index/spielbericht/2490483,2014,Regionalliga Nord
28.02.2015,14:00,VfB Lübeck,SC Weiche Flensburg 08,1.256,1,1,/spielbericht/index/spielbericht/2490491,2014,Regionalliga Nord
08.03.2015,14:00,SC Weiche Flensburg 08,Goslarer SC,486,2,2,/spielbericht/index/spielbericht/2490501,2014,Regionalliga Nord
15.03.2015,14:00,E. Norderstedt,SC Weiche Flensburg 08,605,0,2,/spielbericht/index/spielbericht/2490514,2014,Regionalliga Nord
22.03.2015,15:00,VfB Oldenburg,SC Weiche Flensburg 08,958,0,1,/spielbericht/index/spielbericht/2490520,2014,Regionalliga Nord
29.03.2015,15:00,FT Braunschweig,SC Weiche Flensburg 08,100,0,4,/spielbericht/index/spielbericht/2490526,2014,Regionalliga Nord
11.04.2015,13:00,Wolfsburg II,SC Weiche Flensburg 08,304,1,1,/spielbericht/index/spielbericht/2490537,2014,Regionalliga Nord
19.04.2015,14:00,SC Weiche Flensburg 08,LSK Hansa,663,1,3,/spielbericht/index/spielbericht/2490544,2014,Regionalliga Nord
26.04.2015,13:00,W. Bremen II,SC Weiche Flensburg 08,350,2,0,/spielbericht/index/spielbericht/2490558,2014,Regionalliga Nord
03.05.2015,14:00,SC Weiche Flensburg 08,BV Cloppenburg,443,1,3,/spielbericht/index/spielbericht/2490565,2014,Regionalliga Nord
10.05.2015,14:00,Braunschweig II,SC Weiche Flensburg 08,95,0,1,/spielbericht/index/spielbericht/2490571,2014,Regionalliga Nord
17.05.2015,14:00,SC Weiche Flensburg 08,BSV Rehden,441,1,2,/spielbericht/index/spielbericht/2490581,2014,Regionalliga Nord
22.05.2015,19:30,St. Pauli II,SC Weiche Flensburg 08,112,0,2,/spielbericht/index/spielbericht/2490595,2014,Regionalliga Nord
12.07.2014,16:00,TSV Schilksee,SC Weiche Flensburg 08,380,0,3,/spielbericht/index/spielbericht/2539031,2014,Landespokal Schleswig-Holstein
12.10.2014,14:00,SC Weiche Flensburg 08,Holstein Kiel,1.420,0,6,/spielbericht/index/spielbericht/2539041,2014,Landespokal Schleswig-Holstein
26.07.2015,14:00,BV Cloppenburg,SC Weiche Flensburg 08,467,1,1,/spielbericht/index/spielbericht/2586351,2015,Regionalliga Nord
02.08.2015,14:00,SC Weiche Flensburg 08,VfV Hildesheim,508,6,1,/spielbericht/index/spielbericht/2586365,2015,Regionalliga Nord
09.08.2015,14:00,SC Weiche Flensburg 08,Drochtersen/A.,478,4,0,/spielbericht/index/spielbericht/2586369,2015,Regionalliga Nord
