date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:00,Hennef 05,SC Wiedenbrück,786,0,1,/spielbericht/index/spielbericht/2470743,2014,Regionalliga West
08.08.2014,19:00,SC Wiedenbrück,RW Essen,2.263,0,3,/spielbericht/index/spielbericht/2470744,2014,Regionalliga West
16.08.2014,14:00,Düsseldorf II,SC Wiedenbrück,346,1,1,/spielbericht/index/spielbericht/2470758,2014,Regionalliga West
23.08.2014,14:00,SC Wiedenbrück,1.FC Köln II,525,1,2,/spielbericht/index/spielbericht/2470768,2014,Regionalliga West
29.08.2014,19:30,SF Lotte,SC Wiedenbrück,487,1,1,/spielbericht/index/spielbericht/2470777,2014,Regionalliga West
06.09.2014,14:00,SC Wiedenbrück,KFC Uerdingen,967,3,1,/spielbericht/index/spielbericht/2470785,2014,Regionalliga West
13.09.2014,14:00,SC Wiedenbrück,Alem. Aachen,1.205,1,0,/spielbericht/index/spielbericht/2470822,2014,Regionalliga West
19.09.2014,19:00,VfL Bochum II,SC Wiedenbrück,226,1,3,/spielbericht/index/spielbericht/2470830,2014,Regionalliga West
23.09.2014,19:00,SC Wiedenbrück,RW Oberhausen,867,0,2,/spielbericht/index/spielbericht/2470841,2014,Regionalliga West
27.09.2014,14:00,FC Kray,SC Wiedenbrück,270,1,3,/spielbericht/index/spielbericht/2470846,2014,Regionalliga West
03.10.2014,19:00,SC Wiedenbrück,M'gladbach II,970,0,1,/spielbericht/index/spielbericht/2470858,2014,Regionalliga West
18.10.2014,14:00,Schalke 04 II,SC Wiedenbrück,130,1,2,/spielbericht/index/spielbericht/2470870,2014,Regionalliga West
24.10.2014,19:00,SC Wiedenbrück,Viktoria Köln,765,3,2,/spielbericht/index/spielbericht/2470876,2014,Regionalliga West
31.10.2014,19:00,SV Rödinghausen,SC Wiedenbrück,1.100,7,1,/spielbericht/index/spielbericht/2470886,2014,Regionalliga West
07.11.2014,19:00,SC Wiedenbrück,SC Verl,1.310,1,0,/spielbericht/index/spielbericht/2471387,2014,Regionalliga West
15.11.2014,14:00,Spfr. Siegen,SC Wiedenbrück,1.580,1,0,/spielbericht/index/spielbericht/2471404,2014,Regionalliga West
29.11.2014,14:00,SC Wiedenbrück,Wattenscheid 09,506,2,1,/spielbericht/index/spielbericht/2471414,2014,Regionalliga West
