date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,SG Dynamo Dresden,Stuttgart II,20.653,2,1,/spielbericht/index/spielbericht/2462900,2014,3. Liga
03.08.2014,14:00,Energie Cottbus,SG Dynamo Dresden,14.800,1,3,/spielbericht/index/spielbericht/2462913,2014,3. Liga
06.08.2014,18:30,VfL Osnabrück,SG Dynamo Dresden,10.131,2,2,/spielbericht/index/spielbericht/2462914,2014,3. Liga
09.08.2014,14:00,SG Dynamo Dresden,Pr. Münster,22.344,3,1,/spielbericht/index/spielbericht/2462925,2014,3. Liga
23.08.2014,14:00,Rot-Weiß Erfurt,SG Dynamo Dresden,10.676,2,0,/spielbericht/index/spielbericht/2462937,2014,3. Liga
26.08.2014,19:00,SG Dynamo Dresden,Holstein Kiel,24.530,1,2,/spielbericht/index/spielbericht/2462945,2014,3. Liga
30.08.2014,14:00,Wehen Wiesbaden,SG Dynamo Dresden,5.300,0,2,/spielbericht/index/spielbericht/2462959,2014,3. Liga
06.09.2014,14:00,SG Dynamo Dresden,J. Regensburg,21.802,2,1,/spielbericht/index/spielbericht/2462965,2014,3. Liga
13.09.2014,14:00,Sonnenhof-Gr.,SG Dynamo Dresden,7.329,1,3,/spielbericht/index/spielbericht/2462981,2014,3. Liga
19.09.2014,19:00,SG Dynamo Dresden,FSV Mainz 05 II,23.221,1,1,/spielbericht/index/spielbericht/2462985,2014,3. Liga
24.09.2014,19:00,Hallescher FC,SG Dynamo Dresden,12.466,1,1,/spielbericht/index/spielbericht/2463003,2014,3. Liga
27.09.2014,14:00,SG Dynamo Dresden,Chemnitzer FC,29.652,1,0,/spielbericht/index/spielbericht/2463005,2014,3. Liga
04.10.2014,14:00,Arm. Bielefeld,SG Dynamo Dresden,14.708,4,1,/spielbericht/index/spielbericht/2463016,2014,3. Liga
18.10.2014,14:00,SG Dynamo Dresden,Fortuna Köln,23.811,0,0,/spielbericht/index/spielbericht/2463025,2014,3. Liga
25.10.2014,14:00,MSV Duisburg,SG Dynamo Dresden,13.720,0,0,/spielbericht/index/spielbericht/2463038,2014,3. Liga
01.11.2014,14:00,SG Dynamo Dresden,Stuttg. Kickers,23.501,1,1,/spielbericht/index/spielbericht/2463045,2014,3. Liga
08.11.2014,14:00,Unterhaching,SG Dynamo Dresden,7.000,3,0,/spielbericht/index/spielbericht/2463060,2014,3. Liga
21.11.2014,19:00,SG Dynamo Dresden,B. Dortmund II,23.235,1,1,/spielbericht/index/spielbericht/2463065,2014,3. Liga
29.11.2014,14:00,Hansa Rostock,SG Dynamo Dresden,20.500,1,3,/spielbericht/index/spielbericht/2463082,2014,3. Liga
07.12.2014,15:00,Stuttgart II,SG Dynamo Dresden,3.210,0,0,/spielbericht/index/spielbericht/2463087,2014,3. Liga
13.12.2014,14:00,SG Dynamo Dresden,Energie Cottbus,28.440,1,0,/spielbericht/index/spielbericht/2463103,2014,3. Liga
20.12.2014,14:00,SG Dynamo Dresden,VfL Osnabrück,22.953,2,1,/spielbericht/index/spielbericht/2463104,2014,3. Liga
01.02.2015,14:00,Pr. Münster,SG Dynamo Dresden,12.225,2,1,/spielbericht/index/spielbericht/2463115,2014,3. Liga
07.02.2015,14:00,SG Dynamo Dresden,Rot-Weiß Erfurt,x,0,1,/spielbericht/index/spielbericht/2463127,2014,3. Liga
14.02.2015,14:00,Holstein Kiel,SG Dynamo Dresden,7.008,1,0,/spielbericht/index/spielbericht/2463135,2014,3. Liga
21.02.2015,14:00,SG Dynamo Dresden,Wehen Wiesbaden,20.797,0,1,/spielbericht/index/spielbericht/2463149,2014,3. Liga
28.02.2015,14:00,J. Regensburg,SG Dynamo Dresden,8.742,2,3,/spielbericht/index/spielbericht/2463155,2014,3. Liga
07.03.2015,14:00,SG Dynamo Dresden,Sonnenhof-Gr.,28.144,0,1,/spielbericht/index/spielbericht/2463171,2014,3. Liga
14.03.2015,14:00,FSV Mainz 05 II,SG Dynamo Dresden,2.433,1,0,/spielbericht/index/spielbericht/2463175,2014,3. Liga
21.03.2015,14:05,SG Dynamo Dresden,Hallescher FC,25.391,2,3,/spielbericht/index/spielbericht/2463193,2014,3. Liga
04.04.2015,14:00,Chemnitzer FC,SG Dynamo Dresden,10.000,2,0,/spielbericht/index/spielbericht/2463195,2014,3. Liga
11.04.2015,14:00,SG Dynamo Dresden,Arm. Bielefeld,21.653,2,0,/spielbericht/index/spielbericht/2463206,2014,3. Liga
18.04.2015,14:00,Fortuna Köln,SG Dynamo Dresden,3.284,1,0,/spielbericht/index/spielbericht/2463215,2014,3. Liga
26.04.2015,14:00,SG Dynamo Dresden,MSV Duisburg,22.353,0,2,/spielbericht/index/spielbericht/2463228,2014,3. Liga
02.05.2015,14:00,Stuttg. Kickers,SG Dynamo Dresden,8.000,3,4,/spielbericht/index/spielbericht/2463235,2014,3. Liga
09.05.2015,14:00,SG Dynamo Dresden,Unterhaching,20.202,5,1,/spielbericht/index/spielbericht/2463250,2014,3. Liga
16.05.2015,13:30,B. Dortmund II,SG Dynamo Dresden,4.100,2,3,/spielbericht/index/spielbericht/2463255,2014,3. Liga
23.05.2015,13:30,SG Dynamo Dresden,Hansa Rostock,29.534,2,1,/spielbericht/index/spielbericht/2463272,2014,3. Liga
18.08.2014,20:30,SG Dynamo Dresden,FC Schalke 04,29.590,2,1,/spielbericht/index/spielbericht/2458317,2014,DFB-Pokal
28.10.2014,20:30,SG Dynamo Dresden,VfL Bochum,28.053,2,1,/spielbericht/index/spielbericht/2488529,2014,DFB-Pokal
03.03.2015,20:30,SG Dynamo Dresden,Bor. Dortmund,30.503,0,2,/spielbericht/index/spielbericht/2507899,2014,DFB-Pokal
12.10.2014,14:00,BSC Freiberg,SG Dynamo Dresden,3.871,1,5,/spielbericht/index/spielbericht/2639504,2014,Landespokal Sachsen
16.11.2014,13:00,FCO Neugersdorf,SG Dynamo Dresden,,2,1,/spielbericht/index/spielbericht/2640335,2014,Landespokal Sachsen
25.07.2015,14:00,SG Dynamo Dresden,Stuttgart II,25.530,4,1,/spielbericht/index/spielbericht/2584707,2015,3. Liga
01.08.2015,14:00,Würzb. Kickers,SG Dynamo Dresden,9.011,1,1,/spielbericht/index/spielbericht/2584931,2015,3. Liga
13.08.2015,20:30,SG Dynamo Dresden,Rot-Weiß Erfurt,28.174,3,1,/spielbericht/index/spielbericht/2584936,2015,3. Liga
23.08.2015,14:00,FSV Mainz 05 II,SG Dynamo Dresden,3.424,1,1,/spielbericht/index/spielbericht/2584949,2015,3. Liga
26.08.2015,20:30,SG Dynamo Dresden,Hallescher FC,27.135,3,2,/spielbericht/index/spielbericht/2584956,2015,3. Liga
29.08.2015,14:00,W. Bremen II,SG Dynamo Dresden,2.950,1,2,/spielbericht/index/spielbericht/2584967,2015,3. Liga
06.09.2015,14:00,SG Dynamo Dresden,Chemnitzer FC,29.555,1,0,/spielbericht/index/spielbericht/2584976,2015,3. Liga
12.09.2015,14:00,Fortuna Köln,SG Dynamo Dresden,3.341,1,5,/spielbericht/index/spielbericht/2584985,2015,3. Liga
19.09.2015,14:00,SG Dynamo Dresden,VfL Osnabrück,26.368,2,1,/spielbericht/index/spielbericht/2584996,2015,3. Liga
23.09.2015,19:00,Stuttg. Kickers,SG Dynamo Dresden,8.000,1,2,/spielbericht/index/spielbericht/2585013,2015,3. Liga
27.09.2015,14:00,SG Dynamo Dresden,VfR Aalen,26.489,4,0,/spielbericht/index/spielbericht/2585016,2015,3. Liga
03.10.2015,14:00,Hansa Rostock,SG Dynamo Dresden,17.600,1,3,/spielbericht/index/spielbericht/2585031,2015,3. Liga
17.10.2015,14:00,SG Dynamo Dresden,Energie Cottbus,28.996,0,1,/spielbericht/index/spielbericht/2585036,2015,3. Liga
24.10.2015,14:00,Holstein Kiel,SG Dynamo Dresden,6.639,1,2,/spielbericht/index/spielbericht/2585049,2015,3. Liga
31.10.2015,14:00,SG Dynamo Dresden,1.FC Magdeburg,29.321,3,2,/spielbericht/index/spielbericht/2585056,2015,3. Liga
06.11.2015,19:00,Wehen Wiesbaden,SG Dynamo Dresden,5.942,2,2,/spielbericht/index/spielbericht/2585067,2015,3. Liga
21.11.2015,14:06,Erzgebirge Aue,SG Dynamo Dresden,15.000,1,1,/spielbericht/index/spielbericht/2585075,2015,3. Liga
28.11.2015,14:00,SG Dynamo Dresden,Pr. Münster,27.853,0,0,/spielbericht/index/spielbericht/2585086,2015,3. Liga
04.12.2015,19:15,Sonnenhof-Gr.,SG Dynamo Dresden,9.751,0,0,/spielbericht/index/spielbericht/2585103,2015,3. Liga
11.12.2015,19:00,Stuttgart II,SG Dynamo Dresden,1.930,1,1,/spielbericht/index/spielbericht/2585106,2015,3. Liga
17.12.2015,20:30,SG Dynamo Dresden,Würzb. Kickers,25.775,2,1,/spielbericht/index/spielbericht/2585121,2015,3. Liga
23.01.2016,14:00,Rot-Weiß Erfurt,SG Dynamo Dresden,7.273,3,2,/spielbericht/index/spielbericht/2585126,2015,3. Liga
30.01.2016,14:00,SG Dynamo Dresden,FSV Mainz 05 II,24.184,3,0,/spielbericht/index/spielbericht/2585139,2015,3. Liga
07.02.2016,14:00,Hallescher FC,SG Dynamo Dresden,11.534,0,0,/spielbericht/index/spielbericht/2585146,2015,3. Liga
14.02.2016,14:00,SG Dynamo Dresden,W. Bremen II,24.844,2,1,/spielbericht/index/spielbericht/2585157,2015,3. Liga
20.02.2016,15:00,Chemnitzer FC,SG Dynamo Dresden,10.644,2,2,/spielbericht/index/spielbericht/2585166,2015,3. Liga
27.02.2016,14:00,SG Dynamo Dresden,Fortuna Köln,24.142,4,0,/spielbericht/index/spielbericht/2585175,2015,3. Liga
02.03.2016,20:30,VfL Osnabrück,SG Dynamo Dresden,13.783,0,3,/spielbericht/index/spielbericht/2585186,2015,3. Liga
06.03.2016,14:00,SG Dynamo Dresden,Stuttg. Kickers,26.890,1,1,/spielbericht/index/spielbericht/2585203,2015,3. Liga
11.03.2016,19:00,VfR Aalen,SG Dynamo Dresden,7.512,0,0,/spielbericht/index/spielbericht/2585206,2015,3. Liga
19.03.2016,14:00,SG Dynamo Dresden,Hansa Rostock,28.622,2,2,/spielbericht/index/spielbericht/2585221,2015,3. Liga
02.04.2016,14:00,Energie Cottbus,SG Dynamo Dresden,15.255,0,2,/spielbericht/index/spielbericht/2585226,2015,3. Liga
