date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,14:00,SG Wattenscheid 09,Alem. Aachen,2.203,0,1,/spielbericht/index/spielbericht/2470742,2014,Regionalliga West
09.08.2014,14:00,VfL Bochum II,SG Wattenscheid 09,1.300,1,1,/spielbericht/index/spielbericht/2470748,2014,Regionalliga West
17.08.2014,14:00,SG Wattenscheid 09,RW Oberhausen,1.360,2,2,/spielbericht/index/spielbericht/2470759,2014,Regionalliga West
22.08.2014,19:00,FC Kray,SG Wattenscheid 09,385,2,1,/spielbericht/index/spielbericht/2470764,2014,Regionalliga West
02.09.2014,20:15,SG Wattenscheid 09,M'gladbach II,509,2,3,/spielbericht/index/spielbericht/2470774,2014,Regionalliga West
06.09.2014,14:00,Schalke 04 II,SG Wattenscheid 09,600,1,1,/spielbericht/index/spielbericht/2470787,2014,Regionalliga West
12.09.2014,19:30,SG Wattenscheid 09,Viktoria Köln,614,0,1,/spielbericht/index/spielbericht/2470820,2014,Regionalliga West
20.09.2014,14:00,SV Rödinghausen,SG Wattenscheid 09,1.033,0,0,/spielbericht/index/spielbericht/2470833,2014,Regionalliga West
23.09.2014,19:30,SG Wattenscheid 09,SC Verl,380,0,1,/spielbericht/index/spielbericht/2470839,2014,Regionalliga West
28.09.2014,14:00,Spfr. Siegen,SG Wattenscheid 09,1.000,1,2,/spielbericht/index/spielbericht/2470849,2014,Regionalliga West
04.10.2014,14:00,KFC Uerdingen,SG Wattenscheid 09,2.034,1,3,/spielbericht/index/spielbericht/2471444,2014,Regionalliga West
18.10.2014,14:00,SG Wattenscheid 09,Hennef 05,509,3,1,/spielbericht/index/spielbericht/2470865,2014,Regionalliga West
26.10.2014,14:00,RW Essen,SG Wattenscheid 09,14.415,6,0,/spielbericht/index/spielbericht/2470872,2014,Regionalliga West
31.10.2014,19:30,SG Wattenscheid 09,Düsseldorf II,387,0,2,/spielbericht/index/spielbericht/2470883,2014,Regionalliga West
08.11.2014,14:00,1.FC Köln II,SG Wattenscheid 09,420,2,1,/spielbericht/index/spielbericht/2471389,2014,Regionalliga West
15.11.2014,14:00,SG Wattenscheid 09,SF Lotte,385,1,0,/spielbericht/index/spielbericht/2471403,2014,Regionalliga West
29.11.2014,14:00,SC Wiedenbrück,SG Wattenscheid 09,506,2,1,/spielbericht/index/spielbericht/2471414,2014,Regionalliga West
06.12.2014,14:00,Alem. Aachen,SG Wattenscheid 09,7.000,3,0,/spielbericht/index/spielbericht/2471429,2014,Regionalliga West
02.04.2015,19:30,SG Wattenscheid 09,VfL Bochum II,1.907,0,2,/spielbericht/index/spielbericht/2471438,2014,Regionalliga West
10.02.2015,20:15,RW Oberhausen,SG Wattenscheid 09,2.577,0,1,/spielbericht/index/spielbericht/2471456,2014,Regionalliga West
14.02.2015,14:00,SG Wattenscheid 09,FC Kray,909,3,0,/spielbericht/index/spielbericht/2471463,2014,Regionalliga West
21.02.2015,14:00,M'gladbach II,SG Wattenscheid 09,384,3,0,/spielbericht/index/spielbericht/2471474,2014,Regionalliga West
28.02.2015,14:00,SG Wattenscheid 09,Schalke 04 II,650,1,1,/spielbericht/index/spielbericht/2473347,2014,Regionalliga West
07.03.2015,14:00,Viktoria Köln,SG Wattenscheid 09,788,2,0,/spielbericht/index/spielbericht/2473351,2014,Regionalliga West
14.03.2015,14:00,SG Wattenscheid 09,SV Rödinghausen,473,2,1,/spielbericht/index/spielbericht/2473364,2014,Regionalliga West
21.03.2015,14:00,SC Verl,SG Wattenscheid 09,438,4,3,/spielbericht/index/spielbericht/2473369,2014,Regionalliga West
28.03.2015,14:00,SG Wattenscheid 09,Spfr. Siegen,879,1,1,/spielbericht/index/spielbericht/2473379,2014,Regionalliga West
