date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,SSV Jahn Regensburg,MSV Duisburg,4.423,3,1,/spielbericht/index/spielbericht/2462897,2014,3. Liga
02.08.2014,14:00,Stuttg. Kickers,SSV Jahn Regensburg,2.765,3,1,/spielbericht/index/spielbericht/2462909,2014,3. Liga
05.08.2014,19:00,SSV Jahn Regensburg,Unterhaching,5.090,0,2,/spielbericht/index/spielbericht/2462920,2014,3. Liga
09.08.2014,14:00,B. Dortmund II,SSV Jahn Regensburg,9.999,5,1,/spielbericht/index/spielbericht/2462931,2014,3. Liga
23.08.2014,14:00,SSV Jahn Regensburg,Hansa Rostock,3.807,4,4,/spielbericht/index/spielbericht/2462940,2014,3. Liga
27.08.2014,19:00,Stuttgart II,SSV Jahn Regensburg,850,1,2,/spielbericht/index/spielbericht/2462944,2014,3. Liga
30.08.2014,14:00,SSV Jahn Regensburg,Energie Cottbus,3.548,1,1,/spielbericht/index/spielbericht/2462960,2014,3. Liga
06.09.2014,14:00,Dynamo Dresden,SSV Jahn Regensburg,21.802,2,1,/spielbericht/index/spielbericht/2462965,2014,3. Liga
13.09.2014,14:00,SSV Jahn Regensburg,Pr. Münster,2.798,0,1,/spielbericht/index/spielbericht/2462980,2014,3. Liga
20.09.2014,14:00,Rot-Weiß Erfurt,SSV Jahn Regensburg,4.983,2,0,/spielbericht/index/spielbericht/2462987,2014,3. Liga
24.09.2014,19:00,SSV Jahn Regensburg,Holstein Kiel,2.615,0,2,/spielbericht/index/spielbericht/2463000,2014,3. Liga
27.09.2014,14:00,Wehen Wiesbaden,SSV Jahn Regensburg,3.225,2,0,/spielbericht/index/spielbericht/2463009,2014,3. Liga
04.10.2014,14:00,VfL Osnabrück,SSV Jahn Regensburg,7.664,2,0,/spielbericht/index/spielbericht/2463014,2014,3. Liga
18.10.2014,14:00,SSV Jahn Regensburg,Sonnenhof-Gr.,2.723,2,0,/spielbericht/index/spielbericht/2463030,2014,3. Liga
26.10.2014,14:00,FSV Mainz 05 II,SSV Jahn Regensburg,668,1,0,/spielbericht/index/spielbericht/2463042,2014,3. Liga
02.11.2014,14:00,SSV Jahn Regensburg,Hallescher FC,3.772,1,1,/spielbericht/index/spielbericht/2463050,2014,3. Liga
08.11.2014,14:00,Chemnitzer FC,SSV Jahn Regensburg,5.070,4,1,/spielbericht/index/spielbericht/2463055,2014,3. Liga
22.11.2014,14:00,SSV Jahn Regensburg,Arm. Bielefeld,4.070,0,1,/spielbericht/index/spielbericht/2463070,2014,3. Liga
29.11.2014,14:00,Fortuna Köln,SSV Jahn Regensburg,1.320,1,0,/spielbericht/index/spielbericht/2463077,2014,3. Liga
06.12.2014,14:00,MSV Duisburg,SSV Jahn Regensburg,10.081,2,0,/spielbericht/index/spielbericht/2463091,2014,3. Liga
13.12.2014,14:00,SSV Jahn Regensburg,Stuttg. Kickers,2.909,0,2,/spielbericht/index/spielbericht/2463099,2014,3. Liga
20.12.2014,14:00,Unterhaching,SSV Jahn Regensburg,2.000,3,2,/spielbericht/index/spielbericht/2463110,2014,3. Liga
31.01.2015,14:00,SSV Jahn Regensburg,B. Dortmund II,2.820,3,0,/spielbericht/index/spielbericht/2463121,2014,3. Liga
07.02.2015,14:00,Hansa Rostock,SSV Jahn Regensburg,8.100,2,2,/spielbericht/index/spielbericht/2463130,2014,3. Liga
14.02.2015,14:00,SSV Jahn Regensburg,Stuttgart II,2.789,4,1,/spielbericht/index/spielbericht/2463134,2014,3. Liga
21.02.2015,14:00,Energie Cottbus,SSV Jahn Regensburg,6.390,4,1,/spielbericht/index/spielbericht/2463150,2014,3. Liga
28.02.2015,14:00,SSV Jahn Regensburg,Dynamo Dresden,8.742,2,3,/spielbericht/index/spielbericht/2463155,2014,3. Liga
07.03.2015,14:00,Pr. Münster,SSV Jahn Regensburg,8.507,3,0,/spielbericht/index/spielbericht/2463170,2014,3. Liga
14.03.2015,14:00,SSV Jahn Regensburg,Rot-Weiß Erfurt,2.762,1,0,/spielbericht/index/spielbericht/2463176,2014,3. Liga
21.03.2015,14:00,Holstein Kiel,SSV Jahn Regensburg,6.154,1,0,/spielbericht/index/spielbericht/2463190,2014,3. Liga
04.04.2015,14:00,SSV Jahn Regensburg,Wehen Wiesbaden,2.827,3,0,/spielbericht/index/spielbericht/2463199,2014,3. Liga
11.04.2015,14:00,SSV Jahn Regensburg,VfL Osnabrück,4.300,1,1,/spielbericht/index/spielbericht/2463204,2014,3. Liga
18.04.2015,14:00,Sonnenhof-Gr.,SSV Jahn Regensburg,1.900,2,1,/spielbericht/index/spielbericht/2463220,2014,3. Liga
25.04.2015,14:00,SSV Jahn Regensburg,FSV Mainz 05 II,3.515,0,0,/spielbericht/index/spielbericht/2463232,2014,3. Liga
02.05.2015,14:00,Hallescher FC,SSV Jahn Regensburg,6.054,2,1,/spielbericht/index/spielbericht/2463240,2014,3. Liga
09.05.2015,14:00,SSV Jahn Regensburg,Chemnitzer FC,2.304,0,1,/spielbericht/index/spielbericht/2463245,2014,3. Liga
16.05.2015,13:30,Arm. Bielefeld,SSV Jahn Regensburg,25.008,2,2,/spielbericht/index/spielbericht/2463260,2014,3. Liga
23.05.2015,13:30,SSV Jahn Regensburg,Fortuna Köln,3.889,4,0,/spielbericht/index/spielbericht/2463267,2014,3. Liga
16.07.2015,19:00,SSV Jahn Regensburg,Aschaffenburg,7.800,3,2,/spielbericht/index/spielbericht/2579692,2015,Regionalliga Bayern
21.07.2015,19:00,Ingolstadt II,SSV Jahn Regensburg,1.200,1,3,/spielbericht/index/spielbericht/2599408,2015,Regionalliga Bayern
25.07.2015,14:00,Unterhaching,SSV Jahn Regensburg,2.000,0,2,/spielbericht/index/spielbericht/2602890,2015,Regionalliga Bayern
31.07.2015,19:00,SSV Jahn Regensburg,Schweinfurt 05,6.910,5,0,/spielbericht/index/spielbericht/2605773,2015,Regionalliga Bayern
08.08.2015,14:00,FC Augsburg II,SSV Jahn Regensburg,669,0,1,/spielbericht/index/spielbericht/2607245,2015,Regionalliga Bayern
14.08.2015,19:00,SSV Jahn Regensburg,FC Amberg,12.689,4,3,/spielbericht/index/spielbericht/2607256,2015,Regionalliga Bayern
22.08.2015,14:00,FV Illertissen,SSV Jahn Regensburg,690,1,3,/spielbericht/index/spielbericht/2607261,2015,Regionalliga Bayern
28.08.2015,19:00,SSV Jahn Regensburg,SpVgg Bayreuth,7.093,1,1,/spielbericht/index/spielbericht/2607274,2015,Regionalliga Bayern
06.09.2015,14:00,1860 München II,SSV Jahn Regensburg,2.055,0,1,/spielbericht/index/spielbericht/2607277,2015,Regionalliga Bayern
12.09.2015,14:00,SSV Jahn Regensburg,TSV Buchbach,4.010,3,1,/spielbericht/index/spielbericht/2607292,2015,Regionalliga Bayern
19.09.2015,16:00,TSV Rain/Lech,SSV Jahn Regensburg,870,2,1,/spielbericht/index/spielbericht/2607301,2015,Regionalliga Bayern
26.09.2015,14:00,SSV Jahn Regensburg,W. Burghausen,6.623,3,2,/spielbericht/index/spielbericht/2607310,2015,Regionalliga Bayern
03.10.2015,14:00,SV Schalding,SSV Jahn Regensburg,1.865,0,0,/spielbericht/index/spielbericht/2607317,2015,Regionalliga Bayern
09.10.2015,19:00,SSV Jahn Regensburg,B. München II,15.224,1,1,/spielbericht/index/spielbericht/2607328,2015,Regionalliga Bayern
