date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,18:00,VfL Oldenburg,SSV Jeddeloh II,698,2,2,/spielbericht/index/spielbericht/2462874,2014,Oberliga Niedersachsen
09.08.2014,16:00,SSV Jeddeloh II,Spelle-Venhaus,275,4,0,/spielbericht/index/spielbericht/2464289,2014,Oberliga Niedersachsen
17.08.2014,15:00,Osnabrück II,SSV Jeddeloh II,75,1,2,/spielbericht/index/spielbericht/2470154,2014,Oberliga Niedersachsen
23.08.2014,15:00,SSV Jeddeloh II,Arm. Hannover,350,4,1,/spielbericht/index/spielbericht/2470160,2014,Oberliga Niedersachsen
30.08.2014,16:00,Ottersberg,SSV Jeddeloh II,130,0,1,/spielbericht/index/spielbericht/2470175,2014,Oberliga Niedersachsen
06.09.2014,16:00,SSV Jeddeloh II,Eintr. Northeim,411,5,0,/spielbericht/index/spielbericht/2486072,2014,Oberliga Niedersachsen
14.09.2014,15:00,Lupo-Martini,SSV Jeddeloh II,150,1,2,/spielbericht/index/spielbericht/2491037,2014,Oberliga Niedersachsen
20.09.2014,16:00,SSV Jeddeloh II,G. Egestorf/L.,310,3,1,/spielbericht/index/spielbericht/2495813,2014,Oberliga Niedersachsen
26.09.2014,20:30,1.FC Wunstorf,SSV Jeddeloh II,160,1,1,/spielbericht/index/spielbericht/2495825,2014,Oberliga Niedersachsen
04.10.2014,16:00,SSV Jeddeloh II,Teutonia Uelzen,360,1,1,/spielbericht/index/spielbericht/2499160,2014,Oberliga Niedersachsen
11.10.2014,16:00,SSV Jeddeloh II,Rotenburger SV,455,3,1,/spielbericht/index/spielbericht/2499166,2014,Oberliga Niedersachsen
19.10.2014,15:00,VfV Hildesheim,SSV Jeddeloh II,610,4,0,/spielbericht/index/spielbericht/2499176,2014,Oberliga Niedersachsen
25.10.2014,16:00,SSV Jeddeloh II,Göttingen 05,405,3,0,/spielbericht/index/spielbericht/2499183,2014,Oberliga Niedersachsen
01.11.2014,14:30,TB Uphusen,SSV Jeddeloh II,150,2,4,/spielbericht/index/spielbericht/2499190,2014,Oberliga Niedersachsen
08.11.2014,16:00,SSV Jeddeloh II,Drochtersen/A.,938,3,1,/spielbericht/index/spielbericht/2499199,2014,Oberliga Niedersachsen
14.11.2014,19:30,SSV Jeddeloh II,VfL Oldenburg,628,2,2,/spielbericht/index/spielbericht/2499206,2014,Oberliga Niedersachsen
23.11.2014,14:00,Spelle-Venhaus,SSV Jeddeloh II,650,6,2,/spielbericht/index/spielbericht/2499216,2014,Oberliga Niedersachsen
28.11.2014,19:30,SSV Jeddeloh II,Osnabrück II,248,5,1,/spielbericht/index/spielbericht/2499224,2014,Oberliga Niedersachsen
01.03.2015,15:00,Arm. Hannover,SSV Jeddeloh II,330,3,3,/spielbericht/index/spielbericht/2499233,2014,Oberliga Niedersachsen
07.03.2015,16:00,SSV Jeddeloh II,Ottersberg,466,0,0,/spielbericht/index/spielbericht/2499239,2014,Oberliga Niedersachsen
14.05.2015,15:00,Eintr. Northeim,SSV Jeddeloh II,280,0,4,/spielbericht/index/spielbericht/2499249,2014,Oberliga Niedersachsen
21.03.2015,16:00,SSV Jeddeloh II,Lupo-Martini,236,1,0,/spielbericht/index/spielbericht/2499255,2014,Oberliga Niedersachsen
28.03.2015,16:00,G. Egestorf/L.,SSV Jeddeloh II,220,1,0,/spielbericht/index/spielbericht/2499264,2014,Oberliga Niedersachsen
11.04.2015,16:00,SSV Jeddeloh II,1.FC Wunstorf,202,1,0,/spielbericht/index/spielbericht/2499272,2014,Oberliga Niedersachsen
19.04.2015,15:00,Teutonia Uelzen,SSV Jeddeloh II,215,2,3,/spielbericht/index/spielbericht/2499280,2014,Oberliga Niedersachsen
25.04.2015,14:00,Rotenburger SV,SSV Jeddeloh II,85,2,3,/spielbericht/index/spielbericht/2499286,2014,Oberliga Niedersachsen
02.05.2015,16:00,SSV Jeddeloh II,VfV Hildesheim,371,1,3,/spielbericht/index/spielbericht/2499294,2014,Oberliga Niedersachsen
09.05.2015,13:30,Göttingen 05,SSV Jeddeloh II,120,1,3,/spielbericht/index/spielbericht/2499304,2014,Oberliga Niedersachsen
16.05.2015,16:00,SSV Jeddeloh II,TB Uphusen,199,1,1,/spielbericht/index/spielbericht/2499311,2014,Oberliga Niedersachsen
23.05.2015,17:00,Drochtersen/A.,SSV Jeddeloh II,920,3,2,/spielbericht/index/spielbericht/2499320,2014,Oberliga Niedersachsen
08.08.2015,16:00,SSV Jeddeloh II,Heeslinger SC,300,4,0,/spielbericht/index/spielbericht/2587236,2015,Oberliga Niedersachsen
16.08.2015,15:00,TB Uphusen,SSV Jeddeloh II,140,3,3,/spielbericht/index/spielbericht/2607036,2015,Oberliga Niedersachsen
21.08.2015,19:30,SSV Jeddeloh II,TuS Lingen,306,2,2,/spielbericht/index/spielbericht/2607038,2015,Oberliga Niedersachsen
26.08.2015,20:00,VfL Oldenburg,SSV Jeddeloh II,567,2,2,/spielbericht/index/spielbericht/2607046,2015,Oberliga Niedersachsen
06.09.2015,14:00,SSV Jeddeloh II,Teutonia Uelzen,242,5,1,/spielbericht/index/spielbericht/2607055,2015,Oberliga Niedersachsen
13.09.2015,15:00,Arm. Hannover,SSV Jeddeloh II,350,3,1,/spielbericht/index/spielbericht/2607066,2015,Oberliga Niedersachsen
19.09.2015,16:00,SSV Jeddeloh II,Eintr. Northeim,211,3,1,/spielbericht/index/spielbericht/2607070,2015,Oberliga Niedersachsen
27.09.2015,15:00,1.FC Wunstorf,SSV Jeddeloh II,130,0,2,/spielbericht/index/spielbericht/2607083,2015,Oberliga Niedersachsen
03.10.2015,16:00,SSV Jeddeloh II,G. Egestorf/L.,324,2,1,/spielbericht/index/spielbericht/2607088,2015,Oberliga Niedersachsen
14.02.2016,14:00,VfL Bückeburg,SSV Jeddeloh II,50,1,1,/spielbericht/index/spielbericht/2607095,2015,Oberliga Niedersachsen
17.10.2015,16:00,SSV Jeddeloh II,FT Braunschweig,302,0,1,/spielbericht/index/spielbericht/2607103,2015,Oberliga Niedersachsen
25.10.2015,14:00,Spelle-Venhaus,SSV Jeddeloh II,320,2,3,/spielbericht/index/spielbericht/2607111,2015,Oberliga Niedersachsen
31.10.2015,16:00,SSV Jeddeloh II,Lupo-Martini,324,0,4,/spielbericht/index/spielbericht/2607138,2015,Oberliga Niedersachsen
07.11.2015,16:00,SSV Jeddeloh II,Osnabrück II,255,4,8,/spielbericht/index/spielbericht/2607144,2015,Oberliga Niedersachsen
15.11.2015,14:00,SVG Göttingen,SSV Jeddeloh II,350,2,0,/spielbericht/index/spielbericht/2607158,2015,Oberliga Niedersachsen
22.11.2015,14:00,Heeslinger SC,SSV Jeddeloh II,200,3,4,/spielbericht/index/spielbericht/2607160,2015,Oberliga Niedersachsen
27.11.2015,19:30,SSV Jeddeloh II,TB Uphusen,265,1,2,/spielbericht/index/spielbericht/2607168,2015,Oberliga Niedersachsen
06.12.2015,14:00,TuS Lingen,SSV Jeddeloh II,220,2,2,/spielbericht/index/spielbericht/2607177,2015,Oberliga Niedersachsen
20.02.2016,16:00,SSV Jeddeloh II,SVG Göttingen,174,2,2,/spielbericht/index/spielbericht/2607184,2015,Oberliga Niedersachsen
26.02.2016,19:30,SSV Jeddeloh II,VfL Oldenburg,374,2,0,/spielbericht/index/spielbericht/2608183,2015,Oberliga Niedersachsen
06.03.2016,15:00,Teutonia Uelzen,SSV Jeddeloh II,150,4,2,/spielbericht/index/spielbericht/2608191,2015,Oberliga Niedersachsen
