date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2015,14:00,Eintracht Trier,SV 07 Elversberg,2.027,2,2,/spielbericht/index/spielbericht/2585973,2015,Regionalliga Südwest
18.08.2015,19:00,SV 07 Elversberg,SpVgg Neckarelz,623,2,0,/spielbericht/index/spielbericht/2605309,2015,Regionalliga Südwest
15.08.2015,14:00,FCA Walldorf,SV 07 Elversberg,500,0,3,/spielbericht/index/spielbericht/2605317,2015,Regionalliga Südwest
22.08.2015,14:00,SV 07 Elversberg,K'lautern II,719,1,0,/spielbericht/index/spielbericht/2605323,2015,Regionalliga Südwest
26.08.2015,18:00,Bahlinger SC,SV 07 Elversberg,1.120,1,2,/spielbericht/index/spielbericht/2605335,2015,Regionalliga Südwest
29.08.2015,14:00,SV 07 Elversberg,Saarbrücken,7.124,0,0,/spielbericht/index/spielbericht/2605340,2015,Regionalliga Südwest
05.09.2015,14:00,Hessen Kassel,SV 07 Elversberg,3.589,0,1,/spielbericht/index/spielbericht/2605356,2015,Regionalliga Südwest
13.09.2015,14:00,SV 07 Elversberg,K. Offenbach,1.577,4,3,/spielbericht/index/spielbericht/2605359,2015,Regionalliga Südwest
19.09.2015,14:00,SC Freiburg II,SV 07 Elversberg,200,0,1,/spielbericht/index/spielbericht/2605372,2015,Regionalliga Südwest
26.09.2015,14:00,SV 07 Elversberg,TSV Steinbach,1.112,4,0,/spielbericht/index/spielbericht/2605377,2015,Regionalliga Südwest
03.10.2015,14:00,Wormatia Worms,SV 07 Elversberg,760,2,1,/spielbericht/index/spielbericht/2605388,2015,Regionalliga Südwest
10.10.2015,14:00,SV 07 Elversberg,FK Pirmasens,1.126,3,1,/spielbericht/index/spielbericht/2605395,2015,Regionalliga Südwest
17.10.2015,14:00,SV Spielberg,SV 07 Elversberg,500,2,0,/spielbericht/index/spielbericht/2605405,2015,Regionalliga Südwest
24.10.2015,14:00,SV 07 Elversberg,FC 08 Homburg,1.420,3,1,/spielbericht/index/spielbericht/2605413,2015,Regionalliga Südwest
30.10.2015,19:00,SV 07 Elversberg,SV Saar 05,1.087,1,0,/spielbericht/index/spielbericht/2605420,2015,Regionalliga Südwest
07.11.2015,14:00,W. Mannheim,SV 07 Elversberg,7.112,1,0,/spielbericht/index/spielbericht/2605436,2015,Regionalliga Südwest
23.11.2015,19:00,SV 07 Elversberg,Hoffenheim II,826,3,2,/spielbericht/index/spielbericht/2605439,2015,Regionalliga Südwest
27.11.2015,19:00,SV 07 Elversberg,Eintracht Trier,2.130,1,1,/spielbericht/index/spielbericht/2605453,2015,Regionalliga Südwest
05.12.2015,14:00,SpVgg Neckarelz,SV 07 Elversberg,300,1,2,/spielbericht/index/spielbericht/2605458,2015,Regionalliga Südwest
27.02.2016,14:00,SV 07 Elversberg,FCA Walldorf,1.341,2,0,/spielbericht/index/spielbericht/2605471,2015,Regionalliga Südwest
04.03.2016,19:00,K'lautern II,SV 07 Elversberg,325,0,2,/spielbericht/index/spielbericht/2605476,2015,Regionalliga Südwest
13.03.2016,14:00,SV 07 Elversberg,Bahlinger SC,1.219,3,0,/spielbericht/index/spielbericht/2605488,2015,Regionalliga Südwest
19.03.2016,14:00,Saarbrücken,SV 07 Elversberg,3.156,2,0,/spielbericht/index/spielbericht/2605495,2015,Regionalliga Südwest
23.03.2016,19:00,SV 07 Elversberg,Hessen Kassel,1.220,0,1,/spielbericht/index/spielbericht/2605509,2015,Regionalliga Südwest
28.03.2016,20:15,K. Offenbach,SV 07 Elversberg,7.327,1,1,/spielbericht/index/spielbericht/2605512,2015,Regionalliga Südwest
02.04.2016,14:00,SV 07 Elversberg,SC Freiburg II,1.106,3,0,/spielbericht/index/spielbericht/2605526,2015,Regionalliga Südwest
09.04.2016,14:00,TSV Steinbach,SV 07 Elversberg,1.100,1,1,/spielbericht/index/spielbericht/2605531,2015,Regionalliga Südwest
17.04.2016,14:00,SV 07 Elversberg,Wormatia Worms,1.352,5,0,/spielbericht/index/spielbericht/2605543,2015,Regionalliga Südwest
23.04.2016,14:00,FK Pirmasens,SV 07 Elversberg,795,0,0,/spielbericht/index/spielbericht/2605549,2015,Regionalliga Südwest
30.04.2016,14:00,SV 07 Elversberg,SV Spielberg,1.512,3,0,/spielbericht/index/spielbericht/2605559,2015,Regionalliga Südwest
07.05.2016,14:00,FC 08 Homburg,SV 07 Elversberg,1.410,2,4,/spielbericht/index/spielbericht/2605568,2015,Regionalliga Südwest
