date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.06.2015,19:00,SV 09 Bübingen,SV Alemannia Waldalgesheim,420,1,1,/spielbericht/index/spielbericht/2576963,2014,Aufstiegsrunde zur Oberliga Rheinland-Pfalz/Saar
07.06.2015,15:00,SV Alemannia Waldalgesheim,SV Mehring,883,1,1,/spielbericht/index/spielbericht/2576964,2014,Aufstiegsrunde zur Oberliga Rheinland-Pfalz/Saar
01.08.2014,19:30,SpVgg Ingelheim,SV Alemannia Waldalgesheim,510,0,2,/spielbericht/index/spielbericht/2546151,2014,Verbandsliga Südwest
10.08.2014,16:30,SV Alemannia Waldalgesheim,TDSV Mutterst.,102,3,1,/spielbericht/index/spielbericht/2546450,2014,Verbandsliga Südwest
19.08.2014,19:30,FSV Offenbach,SV Alemannia Waldalgesheim,300,1,1,/spielbericht/index/spielbericht/2546458,2014,Verbandsliga Südwest
24.08.2014,15:00,SV Alemannia Waldalgesheim,TB Jahn Zeiskam,200,3,2,/spielbericht/index/spielbericht/2546465,2014,Verbandsliga Südwest
29.08.2014,19:15,Fortuna Mombach,SV Alemannia Waldalgesheim,200,2,1,/spielbericht/index/spielbericht/2546468,2014,Verbandsliga Südwest
06.09.2014,16:00,SV Alemannia Waldalgesheim,VfR Kandel,300,2,0,/spielbericht/index/spielbericht/2546475,2014,Verbandsliga Südwest
13.09.2014,16:00,SV Morlautern,SV Alemannia Waldalgesheim,100,0,1,/spielbericht/index/spielbericht/2546484,2014,Verbandsliga Südwest
20.09.2014,15:30,SV Alemannia Waldalgesheim,ASV Fußgönheim,140,0,2,/spielbericht/index/spielbericht/2546492,2014,Verbandsliga Südwest
28.09.2014,15:00,Ludwigshaf. SC,SV Alemannia Waldalgesheim,80,0,2,/spielbericht/index/spielbericht/2546505,2014,Verbandsliga Südwest
05.10.2014,15:00,SV Alemannia Waldalgesheim,TuS Hohenecken,100,7,0,/spielbericht/index/spielbericht/2546514,2014,Verbandsliga Südwest
11.10.2014,17:00,FK Pirmasens II,SV Alemannia Waldalgesheim,250,0,0,/spielbericht/index/spielbericht/2546517,2014,Verbandsliga Südwest
18.10.2014,15:30,SV Alemannia Waldalgesheim,VfL 07 Neustadt,200,4,3,/spielbericht/index/spielbericht/2546523,2014,Verbandsliga Südwest
