date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.08.2017,16:00,TuS Sulingen,SV Atlas Delmenhorst,729,3,2,/spielbericht/index/spielbericht/2870165,2017,Oberliga Niedersachsen
19.08.2017,16:00,SV Atlas Delmenhorst,MTVE Celle,925,3,1,/spielbericht/index/spielbericht/2903127,2017,Oberliga Niedersachsen
27.08.2017,15:00,SSV Vorsfelde,SV Atlas Delmenhorst,250,1,1,/spielbericht/index/spielbericht/2903140,2017,Oberliga Niedersachsen
02.09.2017,16:00,SV Atlas Delmenhorst,1.FC Wunstorf,1.000,1,1,/spielbericht/index/spielbericht/2903143,2017,Oberliga Niedersachsen
10.09.2017,17:45,Heeslinger SC,SV Atlas Delmenhorst,500,0,2,/spielbericht/index/spielbericht/2903637,2017,Oberliga Niedersachsen
16.09.2017,14:30,SV Atlas Delmenhorst,TuS Bersenbrück,680,1,1,/spielbericht/index/spielbericht/2903638,2017,Oberliga Niedersachsen
24.09.2017,15:00,Eintr. Northeim,SV Atlas Delmenhorst,430,0,3,/spielbericht/index/spielbericht/2903648,2017,Oberliga Niedersachsen
30.09.2017,14:00,SV Atlas Delmenhorst,VfL Oldenburg,1.050,1,2,/spielbericht/index/spielbericht/2903655,2017,Oberliga Niedersachsen
08.10.2017,15:00,MTV Gifhorn,SV Atlas Delmenhorst,350,1,1,/spielbericht/index/spielbericht/2903668,2017,Oberliga Niedersachsen
15.10.2017,16:15,SV Atlas Delmenhorst,Lupo-Martini,925,1,3,/spielbericht/index/spielbericht/2903677,2017,Oberliga Niedersachsen
20.10.2017,19:30,BV Cloppenburg,SV Atlas Delmenhorst,700,0,2,/spielbericht/index/spielbericht/2904563,2017,Oberliga Niedersachsen
28.10.2017,16:00,SV Atlas Delmenhorst,TB Uphusen,870,0,0,/spielbericht/index/spielbericht/2904572,2017,Oberliga Niedersachsen
05.11.2017,14:00,Spelle-Venhaus,SV Atlas Delmenhorst,460,2,1,/spielbericht/index/spielbericht/2904581,2017,Oberliga Niedersachsen
11.11.2017,14:30,SV Atlas Delmenhorst,SVG Göttingen,750,9,2,/spielbericht/index/spielbericht/2904599,2017,Oberliga Niedersachsen
19.11.2017,14:00,Arm. Hannover,SV Atlas Delmenhorst,450,0,0,/spielbericht/index/spielbericht/2904605,2017,Oberliga Niedersachsen
11.04.2018,18:30,SV Atlas Delmenhorst,TuS Sulingen,825,0,2,/spielbericht/index/spielbericht/2904613,2017,Oberliga Niedersachsen
31.03.2018,16:00,MTVE Celle,SV Atlas Delmenhorst,320,1,5,/spielbericht/index/spielbericht/2904627,2017,Oberliga Niedersachsen
02.04.2018,15:00,SV Atlas Delmenhorst,SSV Vorsfelde,950,1,1,/spielbericht/index/spielbericht/2904628,2017,Oberliga Niedersachsen
01.05.2018,15:00,1.FC Wunstorf,SV Atlas Delmenhorst,300,3,3,/spielbericht/index/spielbericht/2904636,2017,Oberliga Niedersachsen
25.04.2018,19:00,SV Atlas Delmenhorst,Heeslinger SC,600,0,0,/spielbericht/index/spielbericht/2904644,2017,Oberliga Niedersachsen
11.03.2018,15:00,TuS Bersenbrück,SV Atlas Delmenhorst,920,3,1,/spielbericht/index/spielbericht/2904659,2017,Oberliga Niedersachsen
17.03.2018,16:00,SV Atlas Delmenhorst,Eintr. Northeim,600,2,2,/spielbericht/index/spielbericht/2904661,2017,Oberliga Niedersachsen
25.03.2018,15:00,VfL Oldenburg,SV Atlas Delmenhorst,750,4,2,/spielbericht/index/spielbericht/2904675,2017,Oberliga Niedersachsen
07.04.2018,16:00,SV Atlas Delmenhorst,MTV Gifhorn,820,2,2,/spielbericht/index/spielbericht/2904677,2017,Oberliga Niedersachsen
15.04.2018,15:00,Lupo-Martini,SV Atlas Delmenhorst,250,3,1,/spielbericht/index/spielbericht/2904691,2017,Oberliga Niedersachsen
21.04.2018,16:00,SV Atlas Delmenhorst,BV Cloppenburg,820,1,2,/spielbericht/index/spielbericht/2904692,2017,Oberliga Niedersachsen
