date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,13:30,W. Nordhausen,SV Babelsberg 03,901,1,0,/spielbericht/index/spielbericht/2479118,2014,Regionalliga Nordost
08.08.2014,19:00,SV Babelsberg 03,Berliner AK,2.080,2,0,/spielbericht/index/spielbericht/2479120,2014,Regionalliga Nordost
27.08.2014,18:30,1.FC Magdeburg,SV Babelsberg 03,6.557,1,0,/spielbericht/index/spielbericht/2479323,2014,Regionalliga Nordost
22.08.2014,19:00,SV Babelsberg 03,TSG Neustrelitz,2.072,1,0,/spielbericht/index/spielbericht/2479325,2014,Regionalliga Nordost
31.08.2014,13:30,Budissa Bautzen,SV Babelsberg 03,750,2,0,/spielbericht/index/spielbericht/2479336,2014,Regionalliga Nordost
12.09.2014,19:00,SV Babelsberg 03,Carl Zeiss Jena,3.000,2,2,/spielbericht/index/spielbericht/2479341,2014,Regionalliga Nordost
20.09.2014,13:30,BFC Dynamo,SV Babelsberg 03,2.258,1,0,/spielbericht/index/spielbericht/2479352,2014,Regionalliga Nordost
26.09.2014,19:00,SV Babelsberg 03,Hertha BSC II,2.389,3,0,/spielbericht/index/spielbericht/2479358,2014,Regionalliga Nordost
05.10.2014,13:30,Viktoria Berlin,SV Babelsberg 03,1.212,1,1,/spielbericht/index/spielbericht/2479369,2014,Regionalliga Nordost
18.10.2014,13:30,SV Babelsberg 03,Union Berlin II,2.342,3,2,/spielbericht/index/spielbericht/2479374,2014,Regionalliga Nordost
25.10.2014,13:30,G. Halberstadt,SV Babelsberg 03,635,0,2,/spielbericht/index/spielbericht/2479383,2014,Regionalliga Nordost
01.11.2014,13:30,SV Babelsberg 03,VfB Auerbach,2.034,1,1,/spielbericht/index/spielbericht/2479390,2014,Regionalliga Nordost
08.11.2014,13:30,SV Babelsberg 03,VFC Plauen,1.823,0,0,/spielbericht/index/spielbericht/2479398,2014,Regionalliga Nordost
22.11.2014,13:30,ZFC Meuselwitz,SV Babelsberg 03,719,1,3,/spielbericht/index/spielbericht/2479412,2014,Regionalliga Nordost
29.11.2014,13:30,SV Babelsberg 03,FSV Zwickau,1.834,1,2,/spielbericht/index/spielbericht/2479414,2014,Regionalliga Nordost
05.12.2014,19:00,SV Babelsberg 03,W. Nordhausen,1.861,2,2,/spielbericht/index/spielbericht/2479623,2014,Regionalliga Nordost
21.02.2015,13:30,Berliner AK,SV Babelsberg 03,1.954,1,0,/spielbericht/index/spielbericht/2479627,2014,Regionalliga Nordost
01.03.2015,14:05,SV Babelsberg 03,1.FC Magdeburg,4.380,1,2,/spielbericht/index/spielbericht/2479647,2014,Regionalliga Nordost
06.03.2015,19:00,TSG Neustrelitz,SV Babelsberg 03,1.039,1,0,/spielbericht/index/spielbericht/2479653,2014,Regionalliga Nordost
13.03.2015,19:00,SV Babelsberg 03,Budissa Bautzen,1.912,1,1,/spielbericht/index/spielbericht/2479661,2014,Regionalliga Nordost
22.03.2015,13:30,Carl Zeiss Jena,SV Babelsberg 03,5.865,1,1,/spielbericht/index/spielbericht/2479681,2014,Regionalliga Nordost
28.03.2015,13:30,SV Babelsberg 03,BFC Dynamo,3.811,0,0,/spielbericht/index/spielbericht/2479714,2014,Regionalliga Nordost
06.04.2015,14:00,Hertha BSC II,SV Babelsberg 03,1.036,1,1,/spielbericht/index/spielbericht/2479701,2014,Regionalliga Nordost
10.04.2015,19:00,SV Babelsberg 03,Viktoria Berlin,1.893,0,0,/spielbericht/index/spielbericht/2479720,2014,Regionalliga Nordost
19.04.2015,13:30,Union Berlin II,SV Babelsberg 03,552,3,1,/spielbericht/index/spielbericht/2479725,2014,Regionalliga Nordost
