date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:30,SV Darmstadt 98,SV Sandhausen,13.400,1,0,/spielbericht/index/spielbericht/2460940,2014,2. Bundesliga
10.08.2014,13:30,FC Ingolstadt,SV Darmstadt 98,9.000,2,2,/spielbericht/index/spielbericht/2460945,2014,2. Bundesliga
24.08.2014,13:30,SV Darmstadt 98,VfR Aalen,9.200,2,0,/spielbericht/index/spielbericht/2460960,2014,2. Bundesliga
31.08.2014,13:30,1860 München,SV Darmstadt 98,19.300,1,1,/spielbericht/index/spielbericht/2460964,2014,2. Bundesliga
13.09.2014,13:00,SV Darmstadt 98,Erzgebirge Aue,11.100,2,0,/spielbericht/index/spielbericht/2460978,2014,2. Bundesliga
19.09.2014,18:30,E. Braunschweig,SV Darmstadt 98,21.805,2,0,/spielbericht/index/spielbericht/2460979,2014,2. Bundesliga
24.09.2014,17:30,SV Darmstadt 98,FSV Frankfurt,12.400,4,0,/spielbericht/index/spielbericht/2460996,2014,2. Bundesliga
27.09.2014,13:00,Union Berlin,SV Darmstadt 98,18.124,1,1,/spielbericht/index/spielbericht/2461002,2014,2. Bundesliga
05.10.2014,13:30,SV Darmstadt 98,F. Düsseldorf,16.150,1,4,/spielbericht/index/spielbericht/2461014,2014,2. Bundesliga
17.10.2014,18:30,VfL Bochum,SV Darmstadt 98,19.618,1,1,/spielbericht/index/spielbericht/2461022,2014,2. Bundesliga
27.10.2014,20:15,SV Darmstadt 98,1.FC Nürnberg,16.500,3,0,/spielbericht/index/spielbericht/2461032,2014,2. Bundesliga
01.11.2014,13:00,1.FC Heidenheim,SV Darmstadt 98,12.000,1,1,/spielbericht/index/spielbericht/2461040,2014,2. Bundesliga
08.11.2014,13:00,SV Darmstadt 98,RB Leipzig,14.400,1,0,/spielbericht/index/spielbericht/2461050,2014,2. Bundesliga
21.11.2014,20:30,1.FC K'lautern,SV Darmstadt 98,36.013,0,0,/spielbericht/index/spielbericht/2461052,2014,2. Bundesliga
28.11.2014,18:30,SV Darmstadt 98,Karlsruher SC,15.200,0,0,/spielbericht/index/spielbericht/2461068,2014,2. Bundesliga
06.12.2014,13:00,SV Darmstadt 98,Greuther Fürth,11.200,0,0,/spielbericht/index/spielbericht/2461077,2014,2. Bundesliga
14.12.2014,13:30,FC St. Pauli,SV Darmstadt 98,22.500,0,1,/spielbericht/index/spielbericht/2461081,2014,2. Bundesliga
17.12.2014,17:30,SV Sandhausen,SV Darmstadt 98,5.096,1,2,/spielbericht/index/spielbericht/2461093,2014,2. Bundesliga
21.12.2014,13:30,SV Darmstadt 98,FC Ingolstadt,14.300,2,2,/spielbericht/index/spielbericht/2461104,2014,2. Bundesliga
06.02.2015,18:30,VfR Aalen,SV Darmstadt 98,5.287,0,0,/spielbericht/index/spielbericht/2461109,2014,2. Bundesliga
