date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:00,SV Drochtersen/Assel,Rotenburger SV,250,3,0,/spielbericht/index/spielbericht/2462871,2014,Oberliga Niedersachsen
10.08.2014,15:00,VfV Hildesheim,SV Drochtersen/Assel,470,1,2,/spielbericht/index/spielbericht/2464293,2014,Oberliga Niedersachsen
17.08.2014,15:00,SV Drochtersen/Assel,Göttingen 05,270,0,0,/spielbericht/index/spielbericht/2470157,2014,Oberliga Niedersachsen
23.08.2014,16:00,TB Uphusen,SV Drochtersen/Assel,120,0,2,/spielbericht/index/spielbericht/2470161,2014,Oberliga Niedersachsen
31.08.2014,15:00,Teutonia Uelzen,SV Drochtersen/Assel,300,1,3,/spielbericht/index/spielbericht/2470176,2014,Oberliga Niedersachsen
05.09.2014,20:15,SV Drochtersen/Assel,VfL Oldenburg,550,3,1,/spielbericht/index/spielbericht/2486070,2014,Oberliga Niedersachsen
13.09.2014,16:00,Spelle-Venhaus,SV Drochtersen/Assel,280,0,0,/spielbericht/index/spielbericht/2491033,2014,Oberliga Niedersachsen
21.09.2014,15:00,SV Drochtersen/Assel,Osnabrück II,300,2,2,/spielbericht/index/spielbericht/2495817,2014,Oberliga Niedersachsen
28.09.2014,15:00,Arm. Hannover,SV Drochtersen/Assel,340,0,4,/spielbericht/index/spielbericht/2495823,2014,Oberliga Niedersachsen
05.10.2014,15:00,SV Drochtersen/Assel,Ottersberg,350,5,0,/spielbericht/index/spielbericht/2499163,2014,Oberliga Niedersachsen
12.10.2014,15:00,Eintr. Northeim,SV Drochtersen/Assel,480,1,2,/spielbericht/index/spielbericht/2499172,2014,Oberliga Niedersachsen
19.10.2014,15:00,SV Drochtersen/Assel,Lupo-Martini,300,2,1,/spielbericht/index/spielbericht/2499180,2014,Oberliga Niedersachsen
25.10.2014,16:00,G. Egestorf/L.,SV Drochtersen/Assel,200,2,1,/spielbericht/index/spielbericht/2499184,2014,Oberliga Niedersachsen
02.11.2014,14:00,SV Drochtersen/Assel,1.FC Wunstorf,350,2,1,/spielbericht/index/spielbericht/2499196,2014,Oberliga Niedersachsen
08.11.2014,16:00,SSV Jeddeloh II,SV Drochtersen/Assel,938,3,1,/spielbericht/index/spielbericht/2499199,2014,Oberliga Niedersachsen
15.11.2014,14:00,Rotenburger SV,SV Drochtersen/Assel,160,2,3,/spielbericht/index/spielbericht/2499207,2014,Oberliga Niedersachsen
23.11.2014,14:00,SV Drochtersen/Assel,VfV Hildesheim,610,1,1,/spielbericht/index/spielbericht/2499214,2014,Oberliga Niedersachsen
30.11.2014,14:00,Göttingen 05,SV Drochtersen/Assel,150,0,7,/spielbericht/index/spielbericht/2499227,2014,Oberliga Niedersachsen
27.02.2015,20:00,SV Drochtersen/Assel,TB Uphusen,430,5,0,/spielbericht/index/spielbericht/2499230,2014,Oberliga Niedersachsen
08.03.2015,15:00,SV Drochtersen/Assel,Teutonia Uelzen,470,2,1,/spielbericht/index/spielbericht/2499240,2014,Oberliga Niedersachsen
13.03.2015,20:00,VfL Oldenburg,SV Drochtersen/Assel,390,1,4,/spielbericht/index/spielbericht/2499246,2014,Oberliga Niedersachsen
22.03.2015,15:00,SV Drochtersen/Assel,Spelle-Venhaus,460,1,2,/spielbericht/index/spielbericht/2499259,2014,Oberliga Niedersachsen
29.03.2015,15:00,Osnabrück II,SV Drochtersen/Assel,102,2,5,/spielbericht/index/spielbericht/2499267,2014,Oberliga Niedersachsen
12.04.2015,15:00,SV Drochtersen/Assel,Arm. Hannover,430,2,1,/spielbericht/index/spielbericht/2499274,2014,Oberliga Niedersachsen
19.04.2015,15:00,Ottersberg,SV Drochtersen/Assel,220,0,3,/spielbericht/index/spielbericht/2499283,2014,Oberliga Niedersachsen
26.04.2015,15:00,SV Drochtersen/Assel,Eintr. Northeim,460,2,1,/spielbericht/index/spielbericht/2499292,2014,Oberliga Niedersachsen
03.05.2015,15:00,Lupo-Martini,SV Drochtersen/Assel,180,2,5,/spielbericht/index/spielbericht/2499299,2014,Oberliga Niedersachsen
10.05.2015,15:00,SV Drochtersen/Assel,G. Egestorf/L.,1.130,2,0,/spielbericht/index/spielbericht/2499306,2014,Oberliga Niedersachsen
16.05.2015,16:00,1.FC Wunstorf,SV Drochtersen/Assel,50,2,2,/spielbericht/index/spielbericht/2499317,2014,Oberliga Niedersachsen
23.05.2015,17:00,SV Drochtersen/Assel,SSV Jeddeloh II,920,3,2,/spielbericht/index/spielbericht/2499320,2014,Oberliga Niedersachsen
25.07.2015,14:00,Wolfsburg II,SV Drochtersen/Assel,391,1,1,/spielbericht/index/spielbericht/2586347,2015,Regionalliga Nord
02.08.2015,15:00,SV Drochtersen/Assel,BV Cloppenburg,1.100,0,1,/spielbericht/index/spielbericht/2586366,2015,Regionalliga Nord
09.08.2015,14:00,ETSV Weiche,SV Drochtersen/Assel,478,4,0,/spielbericht/index/spielbericht/2586369,2015,Regionalliga Nord
16.08.2015,15:00,SV Drochtersen/Assel,VfV Hildesheim,850,1,0,/spielbericht/index/spielbericht/2586384,2015,Regionalliga Nord
