date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,SpVgg Neckarelz,SV Eintracht Trier 05,630,1,0,/spielbericht/index/spielbericht/2467008,2014,Regionalliga Südwest
06.08.2014,19:30,SV Eintracht Trier 05,Wormatia Worms,1.869,1,2,/spielbericht/index/spielbericht/2467019,2014,Regionalliga Südwest
10.08.2014,14:00,FC 08 Homburg,SV Eintracht Trier 05,1.170,0,2,/spielbericht/index/spielbericht/2467028,2014,Regionalliga Südwest
17.09.2014,19:00,SV Eintracht Trier 05,SC Freiburg II,1.022,0,3,/spielbericht/index/spielbericht/2497716,2014,Regionalliga Südwest
22.08.2014,19:30,FCA Walldorf,SV Eintracht Trier 05,720,2,1,/spielbericht/index/spielbericht/2467033,2014,Regionalliga Südwest
26.08.2014,19:30,SV Eintracht Trier 05,SV Elversberg,1.317,0,0,/spielbericht/index/spielbericht/2467056,2014,Regionalliga Südwest
30.08.2014,14:00,KSV Baunatal,SV Eintracht Trier 05,400,3,1,/spielbericht/index/spielbericht/2467129,2014,Regionalliga Südwest
06.09.2014,14:00,SV Eintracht Trier 05,SVN Zweibrücken,1.157,1,0,/spielbericht/index/spielbericht/2467137,2014,Regionalliga Südwest
21.10.2014,19:00,FC Nöttingen,SV Eintracht Trier 05,421,3,1,/spielbericht/index/spielbericht/2467144,2014,Regionalliga Südwest
22.09.2014,20:15,SV Eintracht Trier 05,TuS Koblenz,1.647,0,0,/spielbericht/index/spielbericht/2467159,2014,Regionalliga Südwest
27.09.2014,14:00,W. Mannheim,SV Eintracht Trier 05,2.200,0,1,/spielbericht/index/spielbericht/2467164,2014,Regionalliga Südwest
03.10.2014,15:30,SV Eintracht Trier 05,Saarbrücken,5.219,0,2,/spielbericht/index/spielbericht/2467171,2014,Regionalliga Südwest
12.10.2014,14:00,K'lautern II,SV Eintracht Trier 05,420,0,1,/spielbericht/index/spielbericht/2467181,2014,Regionalliga Südwest
17.10.2014,19:30,SV Eintracht Trier 05,Hoffenheim II,1.176,2,0,/spielbericht/index/spielbericht/2467187,2014,Regionalliga Südwest
24.10.2014,19:30,SV Eintracht Trier 05,K. Offenbach,2.393,0,1,/spielbericht/index/spielbericht/2467198,2014,Regionalliga Südwest
02.11.2014,14:00,Hessen Kassel,SV Eintracht Trier 05,1.700,0,0,/spielbericht/index/spielbericht/2467212,2014,Regionalliga Südwest
08.11.2014,14:00,SV Eintracht Trier 05,FK Pirmasens,1.079,0,0,/spielbericht/index/spielbericht/2467216,2014,Regionalliga Südwest
22.11.2014,14:00,SV Eintracht Trier 05,SpVgg Neckarelz,924,4,2,/spielbericht/index/spielbericht/2467228,2014,Regionalliga Südwest
29.11.2014,14:00,Wormatia Worms,SV Eintracht Trier 05,1.072,0,0,/spielbericht/index/spielbericht/2467233,2014,Regionalliga Südwest
05.12.2014,19:30,SV Eintracht Trier 05,FC 08 Homburg,1.139,0,3,/spielbericht/index/spielbericht/2467243,2014,Regionalliga Südwest
28.02.2015,14:00,SC Freiburg II,SV Eintracht Trier 05,150,0,0,/spielbericht/index/spielbericht/2490717,2014,Regionalliga Südwest
07.03.2015,14:00,SV Eintracht Trier 05,FCA Walldorf,1.191,0,0,/spielbericht/index/spielbericht/2490726,2014,Regionalliga Südwest
14.03.2015,14:00,SV Elversberg,SV Eintracht Trier 05,1.012,2,1,/spielbericht/index/spielbericht/2490734,2014,Regionalliga Südwest
21.03.2015,14:00,SV Eintracht Trier 05,KSV Baunatal,977,1,0,/spielbericht/index/spielbericht/2490749,2014,Regionalliga Südwest
28.03.2015,14:00,SVN Zweibrücken,SV Eintracht Trier 05,444,0,1,/spielbericht/index/spielbericht/2490751,2014,Regionalliga Südwest
31.03.2015,19:00,SV Eintracht Trier 05,FC Nöttingen,1.097,2,0,/spielbericht/index/spielbericht/2490765,2014,Regionalliga Südwest
05.04.2015,14:00,TuS Koblenz,SV Eintracht Trier 05,1.709,1,1,/spielbericht/index/spielbericht/2490769,2014,Regionalliga Südwest
12.04.2015,14:00,SV Eintracht Trier 05,W. Mannheim,1.260,0,0,/spielbericht/index/spielbericht/2490781,2014,Regionalliga Südwest
18.04.2015,14:00,Saarbrücken,SV Eintracht Trier 05,4.803,1,2,/spielbericht/index/spielbericht/2490787,2014,Regionalliga Südwest
24.04.2015,19:00,SV Eintracht Trier 05,K'lautern II,1.364,1,1,/spielbericht/index/spielbericht/2490798,2014,Regionalliga Südwest
03.05.2015,17:00,Hoffenheim II,SV Eintracht Trier 05,260,2,6,/spielbericht/index/spielbericht/2490805,2014,Regionalliga Südwest
09.05.2015,14:00,K. Offenbach,SV Eintracht Trier 05,5.782,1,0,/spielbericht/index/spielbericht/2490814,2014,Regionalliga Südwest
