date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
09.08.2014,17:00,SV Linx,FC Singen 04,280,2,5,/spielbericht/index/spielbericht/3717149,2014,Verbandsliga Südbaden
16.08.2014,15:30,FC Radolfzell,SV Linx,220,1,3,/spielbericht/index/spielbericht/3717141,2014,Verbandsliga Südbaden
23.08.2014,15:30,SV Linx,FC Bötzingen,210,5,0,/spielbericht/index/spielbericht/3717290,2014,Verbandsliga Südbaden
31.08.2014,15:00,Offenburger FV,SV Linx,332,1,2,/spielbericht/index/spielbericht/3717308,2014,Verbandsliga Südbaden
06.09.2014,15:30,SV Linx,SV Oberachern,530,1,3,/spielbericht/index/spielbericht/3717313,2014,Verbandsliga Südbaden
14.09.2014,15:00,Rielasingen,SV Linx,360,0,4,/spielbericht/index/spielbericht/3717333,2014,Verbandsliga Südbaden
20.09.2014,15:30,SV Linx,SV Endingen,240,6,2,/spielbericht/index/spielbericht/3717337,2014,Verbandsliga Südbaden
27.09.2014,15:30,SV Kuppenheim,SV Linx,450,3,3,/spielbericht/index/spielbericht/3717343,2014,Verbandsliga Südbaden
04.10.2014,15:30,SV Linx,FC Denzlingen,,0,0,/spielbericht/index/spielbericht/3717358,2014,Verbandsliga Südbaden
12.10.2014,15:00,Rhodia Freiburg,SV Linx,100,0,3,/spielbericht/index/spielbericht/3717368,2014,Verbandsliga Südbaden
18.10.2014,15:30,SV Linx,SC Offenburg,310,0,2,/spielbericht/index/spielbericht/3717374,2014,Verbandsliga Südbaden
25.10.2014,15:30,SV Linx,SV Waldkirch,200,6,1,/spielbericht/index/spielbericht/3717382,2014,Verbandsliga Südbaden
02.11.2014,14:30,SV Bühlertal,SV Linx,280,0,2,/spielbericht/index/spielbericht/3717392,2014,Verbandsliga Südbaden
09.11.2014,14:30,SV Linx,FC St. Georgen,180,2,0,/spielbericht/index/spielbericht/3717400,2014,Verbandsliga Südbaden
15.11.2014,14:30,FC Bad Dürrheim,SV Linx,150,1,0,/spielbericht/index/spielbericht/3717402,2014,Verbandsliga Südbaden
22.11.2014,14:30,FC Singen 04,SV Linx,,2,1,/spielbericht/index/spielbericht/3717413,2014,Verbandsliga Südbaden
29.11.2014,14:30,SV Linx,FC Radolfzell,,2,2,/spielbericht/index/spielbericht/3717420,2014,Verbandsliga Südbaden
06.12.2014,14:30,FC Bötzingen,SV Linx,,2,1,/spielbericht/index/spielbericht/3717430,2014,Verbandsliga Südbaden
14.03.2015,15:30,SV Linx,Offenburger FV,,3,1,/spielbericht/index/spielbericht/3717437,2014,Verbandsliga Südbaden
22.03.2015,15:00,SV Oberachern,SV Linx,650,2,3,/spielbericht/index/spielbericht/3717448,2014,Verbandsliga Südbaden
28.03.2015,15:30,SV Linx,Rielasingen,180,0,0,/spielbericht/index/spielbericht/3717453,2014,Verbandsliga Südbaden
04.04.2015,15:30,SV Endingen,SV Linx,90,2,1,/spielbericht/index/spielbericht/3717463,2014,Verbandsliga Südbaden
11.04.2015,15:30,SV Linx,SV Kuppenheim,280,2,3,/spielbericht/index/spielbericht/3717466,2014,Verbandsliga Südbaden
18.04.2015,15:30,FC Denzlingen,SV Linx,150,0,1,/spielbericht/index/spielbericht/3717477,2014,Verbandsliga Südbaden
25.04.2015,15:30,SV Linx,Rhodia Freiburg,200,2,0,/spielbericht/index/spielbericht/3717484,2014,Verbandsliga Südbaden
02.05.2015,15:30,SC Offenburg,SV Linx,150,1,2,/spielbericht/index/spielbericht/3717493,2014,Verbandsliga Südbaden
10.05.2015,15:00,SV Waldkirch,SV Linx,150,1,3,/spielbericht/index/spielbericht/3717504,2014,Verbandsliga Südbaden
