date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,16:00,VfB Lübeck,SV Meppen,1.977,0,2,/spielbericht/index/spielbericht/2463632,2014,Regionalliga Nord
01.08.2014,19:30,SV Meppen,Goslarer SC,1.782,1,1,/spielbericht/index/spielbericht/2471365,2014,Regionalliga Nord
10.08.2014,14:00,E. Norderstedt,SV Meppen,540,2,1,/spielbericht/index/spielbericht/2471377,2014,Regionalliga Nord
17.08.2014,15:00,SV Meppen,VfB Oldenburg,2.629,1,2,/spielbericht/index/spielbericht/2471397,2014,Regionalliga Nord
24.08.2014,14:00,ETSV Weiche,SV Meppen,546,0,1,/spielbericht/index/spielbericht/2485667,2014,Regionalliga Nord
30.08.2014,15:00,SV Meppen,Wolfsburg II,1.056,3,1,/spielbericht/index/spielbericht/2485675,2014,Regionalliga Nord
07.09.2014,15:00,LSK Hansa,SV Meppen,750,1,3,/spielbericht/index/spielbericht/2485688,2014,Regionalliga Nord
12.09.2014,19:45,SV Meppen,W. Bremen II,1.459,1,3,/spielbericht/index/spielbericht/2486134,2014,Regionalliga Nord
19.09.2014,19:30,BV Cloppenburg,SV Meppen,913,4,0,/spielbericht/index/spielbericht/2486144,2014,Regionalliga Nord
26.09.2014,19:00,SV Meppen,Braunschweig II,1.139,3,3,/spielbericht/index/spielbericht/2486153,2014,Regionalliga Nord
03.10.2014,17:00,BSV Rehden,SV Meppen,1.100,1,1,/spielbericht/index/spielbericht/2490254,2014,Regionalliga Nord
13.10.2014,20:15,SV Meppen,St. Pauli II,1.859,2,2,/spielbericht/index/spielbericht/2490271,2014,Regionalliga Nord
18.10.2014,13:00,Hannover 96 II,SV Meppen,1.179,3,0,/spielbericht/index/spielbericht/2490272,2014,Regionalliga Nord
26.10.2014,15:00,SV Meppen,VfR Neumünster,1.135,3,0,/spielbericht/index/spielbericht/2490289,2014,Regionalliga Nord
02.11.2014,14:00,Hamburger SV II,SV Meppen,750,0,0,/spielbericht/index/spielbericht/2490295,2014,Regionalliga Nord
09.11.2014,14:00,FT Braunschweig,SV Meppen,194,1,4,/spielbericht/index/spielbericht/2490303,2014,Regionalliga Nord
16.11.2014,15:00,SV Meppen,TSV Havelse,1.279,4,3,/spielbericht/index/spielbericht/2490316,2014,Regionalliga Nord
23.11.2014,14:00,Goslarer SC,SV Meppen,400,0,5,/spielbericht/index/spielbericht/2490449,2014,Regionalliga Nord
30.11.2014,15:00,SV Meppen,E. Norderstedt,1.035,0,0,/spielbericht/index/spielbericht/2490462,2014,Regionalliga Nord
07.12.2014,14:00,VfB Oldenburg,SV Meppen,1.799,1,2,/spielbericht/index/spielbericht/2490471,2014,Regionalliga Nord
15.02.2015,14:00,SV Meppen,ETSV Weiche,1.590,2,2,/spielbericht/index/spielbericht/2490479,2014,Regionalliga Nord
21.02.2015,13:00,Wolfsburg II,SV Meppen,416,3,0,/spielbericht/index/spielbericht/2490481,2014,Regionalliga Nord
01.03.2015,14:00,SV Meppen,LSK Hansa,1.250,2,1,/spielbericht/index/spielbericht/2490497,2014,Regionalliga Nord
08.03.2015,14:00,W. Bremen II,SV Meppen,885,1,1,/spielbericht/index/spielbericht/2490503,2014,Regionalliga Nord
13.03.2015,19:00,SV Meppen,BV Cloppenburg,1.833,2,0,/spielbericht/index/spielbericht/2490516,2014,Regionalliga Nord
20.03.2015,19:00,Braunschweig II,SV Meppen,229,2,0,/spielbericht/index/spielbericht/2490518,2014,Regionalliga Nord
27.03.2015,19:30,SV Meppen,BSV Rehden,1.104,1,2,/spielbericht/index/spielbericht/2490534,2014,Regionalliga Nord
11.04.2015,14:00,St. Pauli II,SV Meppen,198,0,0,/spielbericht/index/spielbericht/2490535,2014,Regionalliga Nord
19.04.2015,15:00,SV Meppen,Hannover 96 II,1.555,0,3,/spielbericht/index/spielbericht/2490552,2014,Regionalliga Nord
26.04.2015,14:00,VfR Neumünster,SV Meppen,342,1,0,/spielbericht/index/spielbericht/2490557,2014,Regionalliga Nord
30.04.2015,19:00,SV Meppen,Hamburger SV II,1.214,2,1,/spielbericht/index/spielbericht/2490569,2014,Regionalliga Nord
09.05.2015,15:00,SV Meppen,FT Braunschweig,717,1,0,/spielbericht/index/spielbericht/2490578,2014,Regionalliga Nord
17.05.2015,14:00,TSV Havelse,SV Meppen,417,1,1,/spielbericht/index/spielbericht/2490584,2014,Regionalliga Nord
22.05.2015,19:30,SV Meppen,VfB Lübeck,972,1,2,/spielbericht/index/spielbericht/2490590,2014,Regionalliga Nord
23.07.2014,19:00,TuS Lingen,SV Meppen,,4,5,/spielbericht/index/spielbericht/2538989,2014,Niedersachsenpokal (- 17/18)
06.08.2014,19:00,TB Uphusen,SV Meppen,,2,3,/spielbericht/index/spielbericht/2539045,2014,Niedersachsenpokal (- 17/18)
20.08.2014,18:30,Rotenburger SV,SV Meppen,,0,1,/spielbericht/index/spielbericht/2539052,2014,Niedersachsenpokal (- 17/18)
06.04.2015,15:00,SV Meppen,LSK Hansa,6.284,2,1,/spielbericht/index/spielbericht/2539057,2014,Niedersachsenpokal (- 17/18)
13.05.2015,18:30,SV Meppen,VfL Osnabrück,10.662,4,5,/spielbericht/index/spielbericht/2561609,2014,Niedersachsenpokal (- 17/18)
26.07.2015,15:00,LSK Hansa,SV Meppen,926,1,1,/spielbericht/index/spielbericht/2586354,2015,Regionalliga Nord
02.08.2015,14:00,SV Meppen,Goslarer SC,1.344,3,0,/spielbericht/index/spielbericht/2586363,2015,Regionalliga Nord
19.08.2015,18:15,TSV Schilksee,SV Meppen,515,1,2,/spielbericht/index/spielbericht/2586375,2015,Regionalliga Nord
16.08.2015,14:00,SV Meppen,Wolfsburg II,1.251,1,1,/spielbericht/index/spielbericht/2586382,2015,Regionalliga Nord
