date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
29.05.2016,16:00,SV Morlautern,TuS Koblenz II,,4,2,/spielbericht/index/spielbericht/2694811,2015,Aufstiegsrunde zur Oberliga Rheinland-Pfalz/Saar
05.06.2016,15:00,SV Mettlach,SV Morlautern,1.200,1,3,/spielbericht/index/spielbericht/2694821,2015,Aufstiegsrunde zur Oberliga Rheinland-Pfalz/Saar
06.08.2016,15:30,SV Morlautern,SV Saar 05,350,2,2,/spielbericht/index/spielbericht/2720315,2016,Oberliga Rheinland-Pfalz/Saar
13.08.2016,15:30,Mechtersheim,SV Morlautern,247,0,0,/spielbericht/index/spielbericht/2741979,2016,Oberliga Rheinland-Pfalz/Saar
17.08.2016,18:45,SV Morlautern,FV Diefflen,290,0,3,/spielbericht/index/spielbericht/2741984,2016,Oberliga Rheinland-Pfalz/Saar
20.08.2016,15:30,FSV Salmrohr,SV Morlautern,242,1,2,/spielbericht/index/spielbericht/2741991,2016,Oberliga Rheinland-Pfalz/Saar
27.08.2016,15:30,SV Morlautern,SpVgg Burgbrohl,140,2,1,/spielbericht/index/spielbericht/2741999,2016,Oberliga Rheinland-Pfalz/Saar
31.08.2016,19:00,Schott Mainz,SV Morlautern,200,2,1,/spielbericht/index/spielbericht/2742007,2016,Oberliga Rheinland-Pfalz/Saar
03.09.2016,15:30,SV Morlautern,B. Neunkirchen,351,3,0,/spielbericht/index/spielbericht/2742010,2016,Oberliga Rheinland-Pfalz/Saar
11.09.2016,15:00,SV Gonsenheim,SV Morlautern,120,5,3,/spielbericht/index/spielbericht/2742022,2016,Oberliga Rheinland-Pfalz/Saar
17.09.2016,15:30,SV Morlautern,FSV Jägersburg,136,1,4,/spielbericht/index/spielbericht/2742024,2016,Oberliga Rheinland-Pfalz/Saar
24.09.2016,15:30,A. Ludwigshafen,SV Morlautern,175,2,6,/spielbericht/index/spielbericht/2742033,2016,Oberliga Rheinland-Pfalz/Saar
01.10.2016,16:00,FC Karbach,SV Morlautern,338,5,2,/spielbericht/index/spielbericht/2742040,2016,Oberliga Rheinland-Pfalz/Saar
08.10.2016,15:30,SV Morlautern,Hertha Wiesbach,120,0,1,/spielbericht/index/spielbericht/2742047,2016,Oberliga Rheinland-Pfalz/Saar
16.10.2016,15:00,RW Koblenz,SV Morlautern,100,2,1,/spielbericht/index/spielbericht/2742083,2016,Oberliga Rheinland-Pfalz/Saar
22.10.2016,15:30,SV Morlautern,Pfeddersheim,198,2,1,/spielbericht/index/spielbericht/2742074,2016,Oberliga Rheinland-Pfalz/Saar
29.10.2016,15:30,SC Hauenstein,SV Morlautern,150,2,3,/spielbericht/index/spielbericht/2742068,2016,Oberliga Rheinland-Pfalz/Saar
05.11.2016,14:30,SV Morlautern,SV Röchling,102,1,0,/spielbericht/index/spielbericht/2742059,2016,Oberliga Rheinland-Pfalz/Saar
20.11.2016,18:00,FK Pirmasens II,SV Morlautern,120,1,0,/spielbericht/index/spielbericht/2742055,2016,Oberliga Rheinland-Pfalz/Saar
26.11.2016,14:30,SV Saar 05,SV Morlautern,120,1,0,/spielbericht/index/spielbericht/2742194,2016,Oberliga Rheinland-Pfalz/Saar
03.12.2016,14:30,SV Morlautern,Mechtersheim,123,0,1,/spielbericht/index/spielbericht/2742201,2016,Oberliga Rheinland-Pfalz/Saar
25.02.2017,15:30,FV Diefflen,SV Morlautern,250,2,2,/spielbericht/index/spielbericht/2742213,2016,Oberliga Rheinland-Pfalz/Saar
04.03.2017,15:30,SV Morlautern,FSV Salmrohr,223,3,0,/spielbericht/index/spielbericht/2742215,2016,Oberliga Rheinland-Pfalz/Saar
11.03.2017,15:30,SpVgg Burgbrohl,SV Morlautern,50,0,8,/spielbericht/index/spielbericht/2742225,2016,Oberliga Rheinland-Pfalz/Saar
18.03.2017,15:30,SV Morlautern,Schott Mainz,163,1,1,/spielbericht/index/spielbericht/2742234,2016,Oberliga Rheinland-Pfalz/Saar
25.03.2017,15:30,B. Neunkirchen,SV Morlautern,302,1,1,/spielbericht/index/spielbericht/2742244,2016,Oberliga Rheinland-Pfalz/Saar
01.04.2017,15:30,SV Morlautern,SV Gonsenheim,140,0,2,/spielbericht/index/spielbericht/2742255,2016,Oberliga Rheinland-Pfalz/Saar
08.04.2017,14:30,FSV Jägersburg,SV Morlautern,300,1,2,/spielbericht/index/spielbericht/2742271,2016,Oberliga Rheinland-Pfalz/Saar
12.04.2017,18:00,SV Morlautern,A. Ludwigshafen,175,1,2,/spielbericht/index/spielbericht/2742291,2016,Oberliga Rheinland-Pfalz/Saar
15.04.2017,15:30,SV Morlautern,FC Karbach,149,0,1,/spielbericht/index/spielbericht/2742295,2016,Oberliga Rheinland-Pfalz/Saar
22.04.2017,15:30,Hertha Wiesbach,SV Morlautern,350,3,2,/spielbericht/index/spielbericht/2742302,2016,Oberliga Rheinland-Pfalz/Saar
26.04.2017,18:45,SV Morlautern,RW Koblenz,135,2,1,/spielbericht/index/spielbericht/2742309,2016,Oberliga Rheinland-Pfalz/Saar
29.04.2017,15:30,Pfeddersheim,SV Morlautern,150,0,0,/spielbericht/index/spielbericht/2742316,2016,Oberliga Rheinland-Pfalz/Saar
06.05.2017,15:30,SV Morlautern,SC Hauenstein,164,3,0,/spielbericht/index/spielbericht/2742324,2016,Oberliga Rheinland-Pfalz/Saar
13.05.2017,15:30,SV Röchling,SV Morlautern,227,0,2,/spielbericht/index/spielbericht/2742332,2016,Oberliga Rheinland-Pfalz/Saar
20.05.2017,15:30,SV Morlautern,FK Pirmasens II,89,1,1,/spielbericht/index/spielbericht/2742338,2016,Oberliga Rheinland-Pfalz/Saar
20.09.2016,19:30,VfR Grünstadt,SV Morlautern,150,2,3,/spielbericht/index/spielbericht/2844420,2016,Landespokal Südwest
28.09.2016,19:00,SV Herschberg,SV Morlautern,250,0,1,/spielbericht/index/spielbericht/2844646,2016,Landespokal Südwest
12.10.2016,19:30,FV Dudenhofen,SV Morlautern,358,0,1,/spielbericht/index/spielbericht/2844656,2016,Landespokal Südwest
12.11.2016,14:00,SV Morlautern,SV Gonsenheim,400,3,1,/spielbericht/index/spielbericht/2844658,2016,Landespokal Südwest
25.05.2017,17:00,Wormatia Worms,SV Morlautern,2.410,1,2,/spielbericht/index/spielbericht/2845202,2016,Landespokal Südwest
29.07.2017,15:30,SV Morlautern,FK Pirmasens,608,2,1,/spielbericht/index/spielbericht/2882344,2017,Oberliga Rheinland-Pfalz/Saar
05.08.2017,16:30,FV Engers 07,SV Morlautern,450,3,2,/spielbericht/index/spielbericht/2895692,2017,Oberliga Rheinland-Pfalz/Saar
19.08.2017,15:30,SV Morlautern,Idar-Oberstein,219,1,0,/spielbericht/index/spielbericht/2895709,2017,Oberliga Rheinland-Pfalz/Saar
23.08.2017,19:00,K'lautern II,SV Morlautern,698,3,1,/spielbericht/index/spielbericht/2895717,2017,Oberliga Rheinland-Pfalz/Saar
27.08.2017,15:00,RW Koblenz,SV Morlautern,150,3,2,/spielbericht/index/spielbericht/2899044,2017,Oberliga Rheinland-Pfalz/Saar
