date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,SV Rödinghausen,FC Kray,1.069,1,0,/spielbericht/index/spielbericht/2470739,2014,Regionalliga West
08.08.2014,19:30,M'gladbach II,SV Rödinghausen,316,0,1,/spielbericht/index/spielbericht/2470745,2014,Regionalliga West
16.08.2014,14:00,SV Rödinghausen,Schalke 04 II,2.027,3,1,/spielbericht/index/spielbericht/2470756,2014,Regionalliga West
23.08.2014,14:00,Viktoria Köln,SV Rödinghausen,655,5,0,/spielbericht/index/spielbericht/2470769,2014,Regionalliga West
30.08.2014,14:00,KFC Uerdingen,SV Rödinghausen,1.840,3,2,/spielbericht/index/spielbericht/2470771,2014,Regionalliga West
05.09.2014,19:00,SV Rödinghausen,SC Verl,1.300,2,0,/spielbericht/index/spielbericht/2470786,2014,Regionalliga West
13.09.2014,14:00,Spfr. Siegen,SV Rödinghausen,1.111,1,2,/spielbericht/index/spielbericht/2470821,2014,Regionalliga West
20.09.2014,14:00,SV Rödinghausen,Wattenscheid 09,1.033,0,0,/spielbericht/index/spielbericht/2470833,2014,Regionalliga West
11.10.2014,14:00,Hennef 05,SV Rödinghausen,418,0,0,/spielbericht/index/spielbericht/2470838,2014,Regionalliga West
29.09.2014,19:30,SV Rödinghausen,RW Essen,2.243,0,1,/spielbericht/index/spielbericht/2470850,2014,Regionalliga West
04.10.2014,14:00,Düsseldorf II,SV Rödinghausen,274,2,1,/spielbericht/index/spielbericht/2470861,2014,Regionalliga West
18.10.2014,14:00,SV Rödinghausen,1.FC Köln II,1.098,0,1,/spielbericht/index/spielbericht/2470868,2014,Regionalliga West
24.10.2014,19:30,SF Lotte,SV Rödinghausen,710,1,1,/spielbericht/index/spielbericht/2470877,2014,Regionalliga West
31.10.2014,19:00,SV Rödinghausen,SC Wiedenbrück,1.100,7,1,/spielbericht/index/spielbericht/2470886,2014,Regionalliga West
08.11.2014,14:00,Alem. Aachen,SV Rödinghausen,8.400,3,0,/spielbericht/index/spielbericht/2471386,2014,Regionalliga West
15.11.2014,14:00,SV Rödinghausen,VfL Bochum II,1.021,1,2,/spielbericht/index/spielbericht/2471406,2014,Regionalliga West
29.11.2014,14:00,RW Oberhausen,SV Rödinghausen,1.895,3,1,/spielbericht/index/spielbericht/2471411,2014,Regionalliga West
06.12.2014,14:00,FC Kray,SV Rödinghausen,270,0,0,/spielbericht/index/spielbericht/2471432,2014,Regionalliga West
28.04.2015,18:30,SV Rödinghausen,M'gladbach II,1.498,3,1,/spielbericht/index/spielbericht/2471435,2014,Regionalliga West
04.04.2015,14:00,Schalke 04 II,SV Rödinghausen,200,4,1,/spielbericht/index/spielbericht/2471459,2014,Regionalliga West
14.02.2015,14:00,SV Rödinghausen,Viktoria Köln,1.114,1,1,/spielbericht/index/spielbericht/2471469,2014,Regionalliga West
21.02.2015,14:00,SV Rödinghausen,KFC Uerdingen,912,3,0,/spielbericht/index/spielbericht/2471471,2014,Regionalliga West
28.02.2015,14:00,SC Verl,SV Rödinghausen,516,2,2,/spielbericht/index/spielbericht/2473345,2014,Regionalliga West
07.03.2015,14:00,SV Rödinghausen,Spfr. Siegen,1.027,0,2,/spielbericht/index/spielbericht/2473352,2014,Regionalliga West
14.03.2015,14:00,Wattenscheid 09,SV Rödinghausen,473,2,1,/spielbericht/index/spielbericht/2473364,2014,Regionalliga West
21.03.2015,14:00,SV Rödinghausen,Hennef 05,820,3,0,/spielbericht/index/spielbericht/2473368,2014,Regionalliga West
27.03.2015,19:30,RW Essen,SV Rödinghausen,6.107,0,3,/spielbericht/index/spielbericht/2473381,2014,Regionalliga West
11.04.2015,14:00,SV Rödinghausen,Düsseldorf II,724,1,0,/spielbericht/index/spielbericht/2473391,2014,Regionalliga West
18.04.2015,14:00,1.FC Köln II,SV Rödinghausen,250,0,1,/spielbericht/index/spielbericht/2473398,2014,Regionalliga West
24.04.2015,19:00,SV Rödinghausen,SF Lotte,1.271,1,2,/spielbericht/index/spielbericht/2473407,2014,Regionalliga West
02.05.2015,14:00,SC Wiedenbrück,SV Rödinghausen,520,1,1,/spielbericht/index/spielbericht/2473416,2014,Regionalliga West
09.05.2015,14:00,SV Rödinghausen,Alem. Aachen,1.100,0,3,/spielbericht/index/spielbericht/2473423,2014,Regionalliga West
16.05.2015,14:00,VfL Bochum II,SV Rödinghausen,200,0,2,/spielbericht/index/spielbericht/2473434,2014,Regionalliga West
23.05.2015,14:00,SV Rödinghausen,RW Oberhausen,728,3,2,/spielbericht/index/spielbericht/2473439,2014,Regionalliga West
10.09.2014,19:30,Arm. Bielefeld,SV Rödinghausen,3.970,1,0,/spielbericht/index/spielbericht/2537874,2014,Landespokal Westfalen
01.08.2015,14:00,Wegberg-Beeck,SV Rödinghausen,630,0,5,/spielbericht/index/spielbericht/2587069,2015,Regionalliga West
08.08.2015,14:00,SV Rödinghausen,SSVg Velbert 02,825,4,1,/spielbericht/index/spielbericht/2587077,2015,Regionalliga West
14.08.2015,19:30,RW Essen,SV Rödinghausen,7.212,1,1,/spielbericht/index/spielbericht/2587089,2015,Regionalliga West
22.08.2015,14:00,SV Rödinghausen,Düsseldorf II,1.094,1,0,/spielbericht/index/spielbericht/2587095,2015,Regionalliga West
25.08.2015,19:30,SC Verl,SV Rödinghausen,554,1,1,/spielbericht/index/spielbericht/2587108,2015,Regionalliga West
29.08.2015,14:00,SV Rödinghausen,Viktoria Köln,1.292,4,2,/spielbericht/index/spielbericht/2587113,2015,Regionalliga West
