date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:30,Darmstadt 98,SV Sandhausen,13.400,1,0,/spielbericht/index/spielbericht/2460940,2014,2. Bundesliga
10.08.2014,15:30,SV Sandhausen,1.FC K'lautern,11.100,1,1,/spielbericht/index/spielbericht/2460947,2014,2. Bundesliga
22.08.2014,18:30,FC St. Pauli,SV Sandhausen,26.581,2,1,/spielbericht/index/spielbericht/2460955,2014,2. Bundesliga
31.08.2014,13:30,SV Sandhausen,FC Ingolstadt,4.000,0,3,/spielbericht/index/spielbericht/2460967,2014,2. Bundesliga
14.09.2014,13:30,SV Sandhausen,Greuther Fürth,4.608,1,0,/spielbericht/index/spielbericht/2460974,2014,2. Bundesliga
19.09.2014,18:30,VfR Aalen,SV Sandhausen,5.000,0,1,/spielbericht/index/spielbericht/2460985,2014,2. Bundesliga
23.09.2014,17:30,SV Sandhausen,1860 München,5.083,1,0,/spielbericht/index/spielbericht/2460992,2014,2. Bundesliga
26.09.2014,18:30,E. Braunschweig,SV Sandhausen,20.680,2,1,/spielbericht/index/spielbericht/2460998,2014,2. Bundesliga
05.10.2014,13:30,SV Sandhausen,FSV Frankfurt,5.012,0,3,/spielbericht/index/spielbericht/2461011,2014,2. Bundesliga
18.10.2014,13:00,Union Berlin,SV Sandhausen,17.106,3,1,/spielbericht/index/spielbericht/2461019,2014,2. Bundesliga
26.10.2014,13:30,SV Sandhausen,Erzgebirge Aue,4.066,1,1,/spielbericht/index/spielbericht/2461030,2014,2. Bundesliga
31.10.2014,18:30,Karlsruher SC,SV Sandhausen,13.203,1,1,/spielbericht/index/spielbericht/2461035,2014,2. Bundesliga
07.11.2014,18:30,SV Sandhausen,1.FC Nürnberg,6.436,2,1,/spielbericht/index/spielbericht/2461048,2014,2. Bundesliga
21.11.2014,18:30,1.FC Heidenheim,SV Sandhausen,11.000,3,0,/spielbericht/index/spielbericht/2461058,2014,2. Bundesliga
30.11.2014,13:30,SV Sandhausen,RB Leipzig,4.518,0,0,/spielbericht/index/spielbericht/2461065,2014,2. Bundesliga
05.12.2014,18:30,F. Düsseldorf,SV Sandhausen,27.274,1,3,/spielbericht/index/spielbericht/2461072,2014,2. Bundesliga
12.12.2014,18:30,SV Sandhausen,VfL Bochum,4.023,0,0,/spielbericht/index/spielbericht/2461084,2014,2. Bundesliga
17.12.2014,17:30,SV Sandhausen,Darmstadt 98,5.096,1,2,/spielbericht/index/spielbericht/2461093,2014,2. Bundesliga
21.12.2014,13:30,1.FC K'lautern,SV Sandhausen,27.818,1,0,/spielbericht/index/spielbericht/2461097,2014,2. Bundesliga
07.02.2015,13:00,SV Sandhausen,FC St. Pauli,7.364,0,0,/spielbericht/index/spielbericht/2461110,2014,2. Bundesliga
