date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
24.08.2014,15:00,VfL Repelen,SV Straelen,130,2,2,/spielbericht/index/spielbericht/2539750,2014,Landesliga Niederrhein - Gruppe 2
31.08.2014,15:00,SV Straelen,Union Nettetal,80,4,1,/spielbericht/index/spielbericht/2539758,2014,Landesliga Niederrhein - Gruppe 2
08.10.2014,19:30,DJK St. Tönis,SV Straelen,140,2,1,/spielbericht/index/spielbericht/2539766,2014,Landesliga Niederrhein - Gruppe 2
14.09.2014,15:00,1.FC Kleve,SV Straelen,362,3,1,/spielbericht/index/spielbericht/2539769,2014,Landesliga Niederrhein - Gruppe 2
21.09.2014,15:00,SV Straelen,1.FC M'gladbach,120,0,1,/spielbericht/index/spielbericht/2539774,2014,Landesliga Niederrhein - Gruppe 2
05.10.2014,15:00,SV Straelen,GSV Moers,60,6,0,/spielbericht/index/spielbericht/2539786,2014,Landesliga Niederrhein - Gruppe 2
19.10.2014,15:00,1.FC Viersen,SV Straelen,130,1,1,/spielbericht/index/spielbericht/2539797,2014,Landesliga Niederrhein - Gruppe 2
26.10.2014,15:00,SV Straelen,VSF Amern,110,1,0,/spielbericht/index/spielbericht/2539803,2014,Landesliga Niederrhein - Gruppe 2
02.11.2014,14:30,Viktoria Goch,SV Straelen,200,2,0,/spielbericht/index/spielbericht/2539807,2014,Landesliga Niederrhein - Gruppe 2
09.11.2014,14:30,SV Straelen,Odenkirchen,100,0,3,/spielbericht/index/spielbericht/2539815,2014,Landesliga Niederrhein - Gruppe 2
16.11.2014,14:30,VfL Tönisberg,SV Straelen,80,2,3,/spielbericht/index/spielbericht/2539819,2014,Landesliga Niederrhein - Gruppe 2
30.11.2014,14:30,SV Straelen,SF Broekhuysen,400,1,0,/spielbericht/index/spielbericht/2539826,2014,Landesliga Niederrhein - Gruppe 2
08.03.2015,15:00,SV Straelen,VfL Repelen,100,1,1,/spielbericht/index/spielbericht/2539834,2014,Landesliga Niederrhein - Gruppe 2
15.03.2015,15:00,Union Nettetal,SV Straelen,100,0,1,/spielbericht/index/spielbericht/2539837,2014,Landesliga Niederrhein - Gruppe 2
22.03.2015,15:00,SV Straelen,1.FC Kleve,200,0,2,/spielbericht/index/spielbericht/2539843,2014,Landesliga Niederrhein - Gruppe 2
29.03.2015,15:00,1.FC M'gladbach,SV Straelen,30,4,0,/spielbericht/index/spielbericht/2539851,2014,Landesliga Niederrhein - Gruppe 2
12.04.2015,15:00,SV Straelen,DJK St. Tönis,100,1,3,/spielbericht/index/spielbericht/2539857,2014,Landesliga Niederrhein - Gruppe 2
26.04.2015,15:00,GSV Moers,SV Straelen,100,0,1,/spielbericht/index/spielbericht/2539869,2014,Landesliga Niederrhein - Gruppe 2
03.05.2015,15:00,SV Straelen,1.FC Viersen,80,0,2,/spielbericht/index/spielbericht/2539871,2014,Landesliga Niederrhein - Gruppe 2
10.05.2015,15:00,VSF Amern,SV Straelen,200,2,1,/spielbericht/index/spielbericht/2539877,2014,Landesliga Niederrhein - Gruppe 2
17.05.2015,15:00,SV Straelen,Viktoria Goch,105,2,0,/spielbericht/index/spielbericht/2539888,2014,Landesliga Niederrhein - Gruppe 2
25.05.2015,15:00,Odenkirchen,SV Straelen,100,2,1,/spielbericht/index/spielbericht/2539890,2014,Landesliga Niederrhein - Gruppe 2
31.05.2015,15:00,SV Straelen,VfL Tönisberg,120,4,0,/spielbericht/index/spielbericht/2539896,2014,Landesliga Niederrhein - Gruppe 2
07.06.2015,15:00,SF Broekhuysen,SV Straelen,370,2,7,/spielbericht/index/spielbericht/2539902,2014,Landesliga Niederrhein - Gruppe 2
14.08.2016,15:15,Königshardt,SV Straelen,75,0,1,/spielbericht/index/spielbericht/2715609,2016,Landesliga Niederrhein - Gruppe 2
17.08.2016,20:00,SV Straelen,Duisburger SV,100,3,1,/spielbericht/index/spielbericht/2715614,2016,Landesliga Niederrhein - Gruppe 2
21.08.2016,15:00,PSV Wesel,SV Straelen,96,1,3,/spielbericht/index/spielbericht/2715625,2016,Landesliga Niederrhein - Gruppe 2
28.08.2016,15:00,SV Straelen,1.FC Kleve,300,3,2,/spielbericht/index/spielbericht/2751101,2016,Landesliga Niederrhein - Gruppe 2
04.09.2016,15:00,Sterkrade-Nord,SV Straelen,150,0,4,/spielbericht/index/spielbericht/2751108,2016,Landesliga Niederrhein - Gruppe 2
11.09.2016,15:00,SV Straelen,VfB Speldorf,150,0,3,/spielbericht/index/spielbericht/2754932,2016,Landesliga Niederrhein - Gruppe 2
18.09.2016,15:00,SV Sonsbeck,SV Straelen,250,5,3,/spielbericht/index/spielbericht/2754945,2016,Landesliga Niederrhein - Gruppe 2
25.09.2016,15:00,SV Straelen,FSV Duisburg,200,3,1,/spielbericht/index/spielbericht/2754949,2016,Landesliga Niederrhein - Gruppe 2
02.10.2016,15:00,ESC Rellinghsn.,SV Straelen,100,0,4,/spielbericht/index/spielbericht/2758665,2016,Landesliga Niederrhein - Gruppe 2
09.10.2016,15:00,SV Straelen,Vikt. Buchholz,310,3,0,/spielbericht/index/spielbericht/2758671,2016,Landesliga Niederrhein - Gruppe 2
16.10.2016,15:00,Oberhausen II,SV Straelen,300,5,4,/spielbericht/index/spielbericht/2764022,2016,Landesliga Niederrhein - Gruppe 2
23.10.2016,15:00,SV Straelen,VfL Rhede,120,2,0,/spielbericht/index/spielbericht/2764030,2016,Landesliga Niederrhein - Gruppe 2
30.10.2016,15:15,A. Klosterhardt,SV Straelen,280,0,2,/spielbericht/index/spielbericht/2764045,2016,Landesliga Niederrhein - Gruppe 2
06.11.2016,14:30,SV Straelen,SV Schwafheim,150,5,0,/spielbericht/index/spielbericht/2764048,2016,Landesliga Niederrhein - Gruppe 2
13.11.2016,14:30,SV Straelen,Niederwenigern,100,2,0,/spielbericht/index/spielbericht/2766415,2016,Landesliga Niederrhein - Gruppe 2
27.11.2016,14:30,VfL Repelen,SV Straelen,60,0,2,/spielbericht/index/spielbericht/2766427,2016,Landesliga Niederrhein - Gruppe 2
04.12.2016,14:15,SV Straelen,TuS Essen-West,130,5,1,/spielbericht/index/spielbericht/2766433,2016,Landesliga Niederrhein - Gruppe 2
11.12.2016,14:15,SV Straelen,Königshardt,120,3,1,/spielbericht/index/spielbericht/2766446,2016,Landesliga Niederrhein - Gruppe 2
17.12.2016,16:00,Duisburger SV,SV Straelen,150,1,1,/spielbericht/index/spielbericht/2766450,2016,Landesliga Niederrhein - Gruppe 2
05.03.2017,15:00,1.FC Kleve,SV Straelen,300,0,2,/spielbericht/index/spielbericht/2804799,2016,Landesliga Niederrhein - Gruppe 2
12.03.2017,15:00,SV Straelen,Sterkrade-Nord,287,8,0,/spielbericht/index/spielbericht/2804808,2016,Landesliga Niederrhein - Gruppe 2
19.03.2017,15:15,VfB Speldorf,SV Straelen,250,1,1,/spielbericht/index/spielbericht/2838509,2016,Landesliga Niederrhein - Gruppe 2
26.03.2017,15:00,SV Straelen,SV Sonsbeck,400,3,0,/spielbericht/index/spielbericht/2838518,2016,Landesliga Niederrhein - Gruppe 2
29.03.2017,19:30,SV Straelen,PSV Wesel,200,3,1,/spielbericht/index/spielbericht/2838527,2016,Landesliga Niederrhein - Gruppe 2
02.04.2017,15:30,FSV Duisburg,SV Straelen,250,2,1,/spielbericht/index/spielbericht/2838543,2016,Landesliga Niederrhein - Gruppe 2
09.04.2017,15:00,SV Straelen,ESC Rellinghsn.,200,1,1,/spielbericht/index/spielbericht/2838549,2016,Landesliga Niederrhein - Gruppe 2
13.04.2017,19:30,Vikt. Buchholz,SV Straelen,150,2,0,/spielbericht/index/spielbericht/2838555,2016,Landesliga Niederrhein - Gruppe 2
23.04.2017,15:00,SV Straelen,Oberhausen II,166,4,1,/spielbericht/index/spielbericht/2838566,2016,Landesliga Niederrhein - Gruppe 2
30.04.2017,15:00,VfL Rhede,SV Straelen,138,1,2,/spielbericht/index/spielbericht/2844220,2016,Landesliga Niederrhein - Gruppe 2
03.05.2017,19:30,Niederwenigern,SV Straelen,120,1,1,/spielbericht/index/spielbericht/2844228,2016,Landesliga Niederrhein - Gruppe 2
07.05.2017,15:00,SV Straelen,A. Klosterhardt,180,3,1,/spielbericht/index/spielbericht/2844238,2016,Landesliga Niederrhein - Gruppe 2
14.05.2017,15:30,SV Schwafheim,SV Straelen,180,0,0,/spielbericht/index/spielbericht/2844252,2016,Landesliga Niederrhein - Gruppe 2
21.05.2017,15:00,SV Straelen,VfL Repelen,250,4,0,/spielbericht/index/spielbericht/2844215,2016,Landesliga Niederrhein - Gruppe 2
28.05.2017,15:30,TuS Essen-West,SV Straelen,150,2,4,/spielbericht/index/spielbericht/2838573,2016,Landesliga Niederrhein - Gruppe 2
13.08.2017,15:00,SV Straelen,SSVg Velbert 02,200,2,0,/spielbericht/index/spielbericht/2885270,2017,Oberliga Niederrhein
16.08.2017,20:00,Cronenberger SC,SV Straelen,150,0,2,/spielbericht/index/spielbericht/2885278,2017,Oberliga Niederrhein
20.08.2017,15:00,SV Straelen,Jahn Hiesfeld,250,1,3,/spielbericht/index/spielbericht/2885296,2017,Oberliga Niederrhein
27.08.2017,15:00,SW Essen,SV Straelen,410,4,2,/spielbericht/index/spielbericht/2885311,2017,Oberliga Niederrhein
13.09.2017,20:00,Ratingen 04/19,SV Straelen,100,0,1,/spielbericht/index/spielbericht/2885322,2017,Oberliga Niederrhein
10.09.2017,15:00,DSC 99,SV Straelen,150,1,4,/spielbericht/index/spielbericht/2885336,2017,Oberliga Niederrhein
17.09.2017,15:00,SV Straelen,1.FC Monheim,200,6,0,/spielbericht/index/spielbericht/2889391,2017,Oberliga Niederrhein
24.09.2017,15:00,1.FC Bocholt,SV Straelen,250,0,1,/spielbericht/index/spielbericht/2889402,2017,Oberliga Niederrhein
01.10.2017,15:00,SV Straelen,VfB Hilden,150,0,1,/spielbericht/index/spielbericht/2889500,2017,Oberliga Niederrhein
08.10.2017,15:00,FSV Vohwinkel,SV Straelen,119,0,3,/spielbericht/index/spielbericht/2889510,2017,Oberliga Niederrhein
15.10.2017,15:00,TuRU Düsseldorf,SV Straelen,200,0,3,/spielbericht/index/spielbericht/2889686,2017,Oberliga Niederrhein
22.10.2017,15:00,SV Straelen,VfB Speldorf,250,1,3,/spielbericht/index/spielbericht/2889698,2017,Oberliga Niederrhein
29.10.2017,15:00,Schonnebeck,SV Straelen,390,1,1,/spielbericht/index/spielbericht/2889705,2017,Oberliga Niederrhein
05.11.2017,14:30,SV Straelen,VfB Homberg,350,2,1,/spielbericht/index/spielbericht/2889716,2017,Oberliga Niederrhein
12.11.2017,14:30,SF Baumberg,SV Straelen,80,2,1,/spielbericht/index/spielbericht/2889728,2017,Oberliga Niederrhein
19.11.2017,14:30,SV Straelen,Düsseldorf-West,200,3,1,/spielbericht/index/spielbericht/2889733,2017,Oberliga Niederrhein
03.12.2017,14:15,VfR Fischeln,SV Straelen,100,1,2,/spielbericht/index/spielbericht/2891050,2017,Oberliga Niederrhein
04.02.2018,15:00,SSVg Velbert 02,SV Straelen,150,0,0,/spielbericht/index/spielbericht/2891053,2017,Oberliga Niederrhein
10.02.2018,15:00,SV Straelen,Cronenberger SC,100,5,1,/spielbericht/index/spielbericht/2891058,2017,Oberliga Niederrhein
18.02.2018,15:00,Jahn Hiesfeld,SV Straelen,315,3,3,/spielbericht/index/spielbericht/2891070,2017,Oberliga Niederrhein
25.02.2018,15:00,SV Straelen,SW Essen,250,1,1,/spielbericht/index/spielbericht/2891080,2017,Oberliga Niederrhein
04.03.2018,17:00,SV Straelen,Ratingen 04/19,200,1,1,/spielbericht/index/spielbericht/2891086,2017,Oberliga Niederrhein
11.03.2018,15:00,SV Straelen,DSC 99,200,5,0,/spielbericht/index/spielbericht/2919657,2017,Oberliga Niederrhein
18.03.2018,15:00,1.FC Monheim,SV Straelen,200,1,2,/spielbericht/index/spielbericht/2891091,2017,Oberliga Niederrhein
