date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2015,14:00,SV Todesfelde,FC Reher/Puls,320,4,1,/spielbericht/index/spielbericht/2598521,2015,Oberliga Schleswig-Holstein
05.08.2015,19:00,TuRa Meldorf,SV Todesfelde,250,2,0,/spielbericht/index/spielbericht/2608378,2015,Oberliga Schleswig-Holstein
08.08.2015,14:00,TSB Flensburg,SV Todesfelde,212,6,1,/spielbericht/index/spielbericht/2609319,2015,Oberliga Schleswig-Holstein
12.08.2015,18:45,SV Todesfelde,VfR Neumünster,350,1,0,/spielbericht/index/spielbericht/2611329,2015,Oberliga Schleswig-Holstein
16.08.2015,14:00,SV Todesfelde,Holst. Kiel II,275,4,2,/spielbericht/index/spielbericht/2611339,2015,Oberliga Schleswig-Holstein
23.08.2015,14:00,SV Todesfelde,Henstedt-Ulz.,270,1,0,/spielbericht/index/spielbericht/2612575,2015,Oberliga Schleswig-Holstein
29.08.2015,16:00,FC Kilia Kiel,SV Todesfelde,120,3,3,/spielbericht/index/spielbericht/2612582,2015,Oberliga Schleswig-Holstein
06.09.2015,14:00,SV Todesfelde,Oldenburger SV,245,4,1,/spielbericht/index/spielbericht/2612592,2015,Oberliga Schleswig-Holstein
12.09.2015,15:00,PSV Neumünster,SV Todesfelde,138,2,1,/spielbericht/index/spielbericht/2612599,2015,Oberliga Schleswig-Holstein
20.09.2015,14:00,SV Todesfelde,Heider SV,180,1,3,/spielbericht/index/spielbericht/2612608,2015,Oberliga Schleswig-Holstein
26.09.2015,15:30,Preetzer TSV,SV Todesfelde,101,0,2,/spielbericht/index/spielbericht/2625105,2015,Oberliga Schleswig-Holstein
04.10.2015,14:00,SV Todesfelde,TSV Altenholz,250,5,4,/spielbericht/index/spielbericht/2625115,2015,Oberliga Schleswig-Holstein
10.10.2015,14:00,Flensburg 08,SV Todesfelde,100,6,2,/spielbericht/index/spielbericht/2632154,2015,Oberliga Schleswig-Holstein
18.10.2015,14:00,SV Todesfelde,TuS Hartenholm,410,3,0,/spielbericht/index/spielbericht/2632168,2015,Oberliga Schleswig-Holstein
24.10.2015,14:30,TSV Kropp,SV Todesfelde,150,2,2,/spielbericht/index/spielbericht/2632175,2015,Oberliga Schleswig-Holstein
01.11.2015,14:00,SV Todesfelde,SV Eichede,320,1,2,/spielbericht/index/spielbericht/2632414,2015,Oberliga Schleswig-Holstein
07.11.2015,14:00,Eutin 08,SV Todesfelde,355,1,0,/spielbericht/index/spielbericht/2632425,2015,Oberliga Schleswig-Holstein
