date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
10.08.2014,15:00,FC St. Georgen,SV Waldkirch,410,2,1,/spielbericht/index/spielbericht/3717152,2014,Verbandsliga Südbaden
03.09.2014,18:00,SV Waldkirch,SV Endingen,250,3,3,/spielbericht/index/spielbericht/3717145,2014,Verbandsliga Südbaden
24.08.2014,15:00,SV Waldkirch,FC Bad Dürrheim,150,1,3,/spielbericht/index/spielbericht/3717292,2014,Verbandsliga Südbaden
30.08.2014,15:30,SV Kuppenheim,SV Waldkirch,250,3,1,/spielbericht/index/spielbericht/3717303,2014,Verbandsliga Südbaden
07.09.2014,15:00,SV Waldkirch,FC Singen 04,200,3,1,/spielbericht/index/spielbericht/3717315,2014,Verbandsliga Südbaden
13.09.2014,15:30,FC Denzlingen,SV Waldkirch,215,1,1,/spielbericht/index/spielbericht/3717328,2014,Verbandsliga Südbaden
21.09.2014,15:00,SV Waldkirch,FC Radolfzell,150,0,6,/spielbericht/index/spielbericht/3717338,2014,Verbandsliga Südbaden
28.09.2014,15:00,Rhodia Freiburg,SV Waldkirch,,4,1,/spielbericht/index/spielbericht/3717348,2014,Verbandsliga Südbaden
05.10.2014,15:00,SV Waldkirch,FC Bötzingen,,0,1,/spielbericht/index/spielbericht/3717359,2014,Verbandsliga Südbaden
11.10.2014,15:30,SC Offenburg,SV Waldkirch,150,3,2,/spielbericht/index/spielbericht/3717365,2014,Verbandsliga Südbaden
19.10.2014,15:00,SV Waldkirch,Offenburger FV,,6,2,/spielbericht/index/spielbericht/3717377,2014,Verbandsliga Südbaden
25.10.2014,15:30,SV Linx,SV Waldkirch,200,6,1,/spielbericht/index/spielbericht/3717382,2014,Verbandsliga Südbaden
02.11.2014,14:30,SV Waldkirch,SV Oberachern,200,0,2,/spielbericht/index/spielbericht/3717390,2014,Verbandsliga Südbaden
08.11.2014,14:30,SV Bühlertal,SV Waldkirch,120,0,2,/spielbericht/index/spielbericht/3717398,2014,Verbandsliga Südbaden
16.11.2014,14:30,SV Waldkirch,Rielasingen,150,0,2,/spielbericht/index/spielbericht/3717407,2014,Verbandsliga Südbaden
23.11.2014,14:45,SV Waldkirch,FC St. Georgen,200,2,1,/spielbericht/index/spielbericht/3717417,2014,Verbandsliga Südbaden
29.11.2014,14:30,SV Endingen,SV Waldkirch,200,0,0,/spielbericht/index/spielbericht/3717418,2014,Verbandsliga Südbaden
06.12.2014,14:30,FC Bad Dürrheim,SV Waldkirch,,2,4,/spielbericht/index/spielbericht/3717426,2014,Verbandsliga Südbaden
14.03.2015,15:30,SV Waldkirch,SV Kuppenheim,,0,0,/spielbericht/index/spielbericht/3717435,2014,Verbandsliga Südbaden
21.03.2015,15:30,FC Singen 04,SV Waldkirch,150,5,3,/spielbericht/index/spielbericht/3717442,2014,Verbandsliga Südbaden
29.03.2015,15:00,SV Waldkirch,FC Denzlingen,280,1,0,/spielbericht/index/spielbericht/3717455,2014,Verbandsliga Südbaden
04.04.2015,15:30,FC Radolfzell,SV Waldkirch,,4,1,/spielbericht/index/spielbericht/3717459,2014,Verbandsliga Südbaden
12.04.2015,15:00,SV Waldkirch,Rhodia Freiburg,250,3,1,/spielbericht/index/spielbericht/3717472,2014,Verbandsliga Südbaden
17.04.2015,18:15,FC Bötzingen,SV Waldkirch,140,3,0,/spielbericht/index/spielbericht/3717474,2014,Verbandsliga Südbaden
26.04.2015,15:00,SV Waldkirch,SC Offenburg,210,9,0,/spielbericht/index/spielbericht/3717488,2014,Verbandsliga Südbaden
02.05.2015,15:30,Offenburger FV,SV Waldkirch,140,2,1,/spielbericht/index/spielbericht/3717490,2014,Verbandsliga Südbaden
10.05.2015,15:00,SV Waldkirch,SV Linx,150,1,3,/spielbericht/index/spielbericht/3717504,2014,Verbandsliga Südbaden
16.05.2015,17:00,SV Oberachern,SV Waldkirch,,1,4,/spielbericht/index/spielbericht/3717511,2014,Verbandsliga Südbaden
23.05.2015,16:30,SV Waldkirch,SV Bühlertal,250,2,3,/spielbericht/index/spielbericht/3717519,2014,Verbandsliga Südbaden
30.05.2015,15:30,Rielasingen,SV Waldkirch,350,2,6,/spielbericht/index/spielbericht/3717522,2014,Verbandsliga Südbaden
