date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,SV Wehen Wiesbaden,Stuttg. Kickers,2.591,2,1,/spielbericht/index/spielbericht/2462898,2014,3. Liga
02.08.2014,14:00,Unterhaching,SV Wehen Wiesbaden,3.000,3,3,/spielbericht/index/spielbericht/2462910,2014,3. Liga
05.08.2014,19:00,SV Wehen Wiesbaden,B. Dortmund II,3.382,1,0,/spielbericht/index/spielbericht/2462919,2014,3. Liga
10.08.2014,14:00,Hansa Rostock,SV Wehen Wiesbaden,10.500,0,1,/spielbericht/index/spielbericht/2462932,2014,3. Liga
22.08.2014,19:00,SV Wehen Wiesbaden,Stuttgart II,2.575,4,1,/spielbericht/index/spielbericht/2462939,2014,3. Liga
26.08.2014,19:00,Energie Cottbus,SV Wehen Wiesbaden,6.258,2,0,/spielbericht/index/spielbericht/2462953,2014,3. Liga
30.08.2014,14:00,SV Wehen Wiesbaden,Dynamo Dresden,5.300,0,2,/spielbericht/index/spielbericht/2462959,2014,3. Liga
07.09.2014,14:00,Pr. Münster,SV Wehen Wiesbaden,7.661,3,2,/spielbericht/index/spielbericht/2462966,2014,3. Liga
12.09.2014,19:00,SV Wehen Wiesbaden,Rot-Weiß Erfurt,2.783,3,1,/spielbericht/index/spielbericht/2462979,2014,3. Liga
20.09.2014,14:00,Holstein Kiel,SV Wehen Wiesbaden,3.945,0,0,/spielbericht/index/spielbericht/2462988,2014,3. Liga
23.09.2014,19:00,VfL Osnabrück,SV Wehen Wiesbaden,7.132,1,3,/spielbericht/index/spielbericht/2462994,2014,3. Liga
27.09.2014,14:00,SV Wehen Wiesbaden,J. Regensburg,3.225,2,0,/spielbericht/index/spielbericht/2463009,2014,3. Liga
05.10.2014,14:00,Sonnenhof-Gr.,SV Wehen Wiesbaden,1.089,0,3,/spielbericht/index/spielbericht/2463021,2014,3. Liga
18.10.2014,14:00,SV Wehen Wiesbaden,FSV Mainz 05 II,3.475,1,2,/spielbericht/index/spielbericht/2463029,2014,3. Liga
25.10.2014,14:00,Hallescher FC,SV Wehen Wiesbaden,5.483,3,1,/spielbericht/index/spielbericht/2463043,2014,3. Liga
01.11.2014,14:00,SV Wehen Wiesbaden,Chemnitzer FC,3.210,2,0,/spielbericht/index/spielbericht/2463049,2014,3. Liga
08.11.2014,14:00,Arm. Bielefeld,SV Wehen Wiesbaden,12.923,1,1,/spielbericht/index/spielbericht/2463056,2014,3. Liga
22.11.2014,14:00,SV Wehen Wiesbaden,Fortuna Köln,2.950,0,1,/spielbericht/index/spielbericht/2463069,2014,3. Liga
29.11.2014,14:00,MSV Duisburg,SV Wehen Wiesbaden,10.203,3,2,/spielbericht/index/spielbericht/2463078,2014,3. Liga
06.12.2014,14:00,Stuttg. Kickers,SV Wehen Wiesbaden,2.155,2,1,/spielbericht/index/spielbericht/2463090,2014,3. Liga
13.12.2014,14:00,SV Wehen Wiesbaden,Unterhaching,3.936,4,0,/spielbericht/index/spielbericht/2463100,2014,3. Liga
03.02.2015,19:00,B. Dortmund II,SV Wehen Wiesbaden,953,0,0,/spielbericht/index/spielbericht/2463109,2014,3. Liga
31.01.2015,14:00,SV Wehen Wiesbaden,Hansa Rostock,3.374,1,2,/spielbericht/index/spielbericht/2463122,2014,3. Liga
03.03.2015,18:30,Stuttgart II,SV Wehen Wiesbaden,420,1,1,/spielbericht/index/spielbericht/2463129,2014,3. Liga
