date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,Hertha BSC,SV Werder Bremen,59.762,2,2,/spielbericht/index/spielbericht/2460631,2014,Bundesliga
30.08.2014,15:30,SV Werder Bremen,TSG Hoffenheim,38.900,1,1,/spielbericht/index/spielbericht/2460640,2014,Bundesliga
12.09.2014,20:30,B. Leverkusen,SV Werder Bremen,30.210,3,3,/spielbericht/index/spielbericht/2460646,2014,Bundesliga
20.09.2014,15:30,FC Augsburg,SV Werder Bremen,29.044,4,2,/spielbericht/index/spielbericht/2460656,2014,Bundesliga
23.09.2014,20:00,SV Werder Bremen,FC Schalke 04,40.139,0,3,/spielbericht/index/spielbericht/2460669,2014,Bundesliga
27.09.2014,18:30,VfL Wolfsburg,SV Werder Bremen,29.117,2,1,/spielbericht/index/spielbericht/2460672,2014,Bundesliga
04.10.2014,15:30,SV Werder Bremen,SC Freiburg,40.029,1,1,/spielbericht/index/spielbericht/2460687,2014,Bundesliga
18.10.2014,15:30,Bayern München,SV Werder Bremen,71.000,6,0,/spielbericht/index/spielbericht/2460689,2014,Bundesliga
24.10.2014,20:30,SV Werder Bremen,1.FC Köln,42.100,0,1,/spielbericht/index/spielbericht/2460705,2014,Bundesliga
01.11.2014,15:30,1.FSV Mainz 05,SV Werder Bremen,31.017,1,2,/spielbericht/index/spielbericht/2460710,2014,Bundesliga
08.11.2014,18:30,SV Werder Bremen,VfB Stuttgart,40.284,2,0,/spielbericht/index/spielbericht/2460722,2014,Bundesliga
23.11.2014,15:30,Hamburger SV,SV Werder Bremen,57.000,2,0,/spielbericht/index/spielbericht/2460731,2014,Bundesliga
29.11.2014,15:30,SV Werder Bremen,SC Paderborn,41.800,4,0,/spielbericht/index/spielbericht/2460740,2014,Bundesliga
07.12.2014,17:30,E. Frankfurt,SV Werder Bremen,46.800,5,2,/spielbericht/index/spielbericht/2460747,2014,Bundesliga
13.12.2014,15:30,SV Werder Bremen,Hannover 96,40.932,3,3,/spielbericht/index/spielbericht/2460759,2014,Bundesliga
17.12.2014,20:00,Bor. M'gladbach,SV Werder Bremen,44.513,4,1,/spielbericht/index/spielbericht/2460763,2014,Bundesliga
20.12.2014,15:30,SV Werder Bremen,Bor. Dortmund,42.100,2,1,/spielbericht/index/spielbericht/2460776,2014,Bundesliga
01.02.2015,15:30,SV Werder Bremen,Hertha BSC,40.187,2,0,/spielbericht/index/spielbericht/2460784,2014,Bundesliga
04.02.2015,20:00,TSG Hoffenheim,SV Werder Bremen,23.631,1,2,/spielbericht/index/spielbericht/2460791,2014,Bundesliga
08.02.2015,15:30,SV Werder Bremen,B. Leverkusen,39.653,2,1,/spielbericht/index/spielbericht/2460801,2014,Bundesliga
14.02.2015,15:30,SV Werder Bremen,FC Augsburg,39.746,3,2,/spielbericht/index/spielbericht/2460813,2014,Bundesliga
21.02.2015,15:30,FC Schalke 04,SV Werder Bremen,61.973,1,1,/spielbericht/index/spielbericht/2460815,2014,Bundesliga
01.03.2015,17:30,SV Werder Bremen,VfL Wolfsburg,40.126,3,5,/spielbericht/index/spielbericht/2460831,2014,Bundesliga
07.03.2015,15:30,SC Freiburg,SV Werder Bremen,24.000,0,1,/spielbericht/index/spielbericht/2460837,2014,Bundesliga
14.03.2015,15:30,SV Werder Bremen,Bayern München,42.100,0,4,/spielbericht/index/spielbericht/2460849,2014,Bundesliga
21.03.2015,15:30,1.FC Köln,SV Werder Bremen,49.968,1,1,/spielbericht/index/spielbericht/2460858,2014,Bundesliga
04.04.2015,15:30,SV Werder Bremen,1.FSV Mainz 05,41.000,0,0,/spielbericht/index/spielbericht/2460866,2014,Bundesliga
