date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
10.07.2014,18:30,SpVgg Bayreuth,W. Burghausen,2.047,1,1,/spielbericht/index/spielbericht/2467065,2014,Regionalliga Bayern
29.07.2014,19:00,SV Heimstetten,SpVgg Bayreuth,407,4,0,/spielbericht/index/spielbericht/2467259,2014,Regionalliga Bayern
19.07.2014,14:00,SpVgg Bayreuth,TSV Buchbach,708,0,3,/spielbericht/index/spielbericht/2467264,2014,Regionalliga Bayern
25.07.2014,19:30,Schweinfurt 05,SpVgg Bayreuth,1.277,5,3,/spielbericht/index/spielbericht/2467272,2014,Regionalliga Bayern
01.08.2014,18:30,SpVgg Bayreuth,1860 München II,1.400,0,1,/spielbericht/index/spielbericht/2467278,2014,Regionalliga Bayern
09.08.2014,13:00,FC Augsburg II,SpVgg Bayreuth,229,0,2,/spielbericht/index/spielbericht/2467290,2014,Regionalliga Bayern
15.08.2014,18:30,SpVgg Bayreuth,Ingolstadt II,1.012,0,0,/spielbericht/index/spielbericht/2467300,2014,Regionalliga Bayern
23.08.2014,14:00,FV Illertissen,SpVgg Bayreuth,394,2,2,/spielbericht/index/spielbericht/2467311,2014,Regionalliga Bayern
30.08.2014,14:00,SpVgg Bayreuth,Seligenporten,1.123,0,1,/spielbericht/index/spielbericht/2467320,2014,Regionalliga Bayern
05.09.2014,18:00,Eintr. Bamberg,SpVgg Bayreuth,1.455,0,0,/spielbericht/index/spielbericht/2467323,2014,Regionalliga Bayern
07.10.2014,19:00,SpVgg Bayreuth,VfR Garching,300,1,0,/spielbericht/index/spielbericht/2467333,2014,Regionalliga Bayern
20.09.2014,14:00,SpVgg Bayreuth,Gr. Fürth II,762,2,1,/spielbericht/index/spielbericht/2490657,2014,Regionalliga Bayern
26.09.2014,19:30,FC Memmingen,SpVgg Bayreuth,680,2,1,/spielbericht/index/spielbericht/2467352,2014,Regionalliga Bayern
03.10.2014,14:00,SpVgg Bayreuth,B. München II,5.122,1,2,/spielbericht/index/spielbericht/2467361,2014,Regionalliga Bayern
11.10.2014,14:00,SV Schalding,SpVgg Bayreuth,931,3,2,/spielbericht/index/spielbericht/2467376,2014,Regionalliga Bayern
17.10.2014,19:00,SpVgg Bayreuth,Nürnberg II,523,2,0,/spielbericht/index/spielbericht/2467378,2014,Regionalliga Bayern
24.10.2014,19:00,Würzb. Kickers,SpVgg Bayreuth,2.111,4,1,/spielbericht/index/spielbericht/2467391,2014,Regionalliga Bayern
31.10.2014,19:00,W. Burghausen,SpVgg Bayreuth,1.050,1,3,/spielbericht/index/spielbericht/2467395,2014,Regionalliga Bayern
08.11.2014,14:00,SpVgg Bayreuth,SV Heimstetten,617,2,0,/spielbericht/index/spielbericht/2467410,2014,Regionalliga Bayern
15.11.2014,14:00,TSV Buchbach,SpVgg Bayreuth,816,0,3,/spielbericht/index/spielbericht/2467413,2014,Regionalliga Bayern
22.11.2014,14:00,SpVgg Bayreuth,Schweinfurt 05,1.146,2,0,/spielbericht/index/spielbericht/2467425,2014,Regionalliga Bayern
29.11.2014,14:00,1860 München II,SpVgg Bayreuth,1.200,0,1,/spielbericht/index/spielbericht/2467433,2014,Regionalliga Bayern
07.03.2015,14:00,SpVgg Bayreuth,FC Augsburg II,657,1,3,/spielbericht/index/spielbericht/2490604,2014,Regionalliga Bayern
14.03.2015,14:00,Ingolstadt II,SpVgg Bayreuth,250,0,2,/spielbericht/index/spielbericht/2490610,2014,Regionalliga Bayern
20.03.2015,19:00,SpVgg Bayreuth,FV Illertissen,580,1,1,/spielbericht/index/spielbericht/2490623,2014,Regionalliga Bayern
27.03.2015,18:30,Seligenporten,SpVgg Bayreuth,300,1,1,/spielbericht/index/spielbericht/2490629,2014,Regionalliga Bayern
