date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,15:30,VfL Bochum,SpVgg Greuther Fürth,18.146,1,1,/spielbericht/index/spielbericht/2460937,2014,2. Bundesliga
11.08.2014,20:15,SpVgg Greuther Fürth,1.FC Nürnberg,17.200,5,1,/spielbericht/index/spielbericht/2460942,2014,2. Bundesliga
24.08.2014,13:30,FC Ingolstadt,SpVgg Greuther Fürth,8.021,2,0,/spielbericht/index/spielbericht/2460956,2014,2. Bundesliga
01.09.2014,20:15,SpVgg Greuther Fürth,FC St. Pauli,14.035,3,0,/spielbericht/index/spielbericht/2460962,2014,2. Bundesliga
14.09.2014,13:30,SV Sandhausen,SpVgg Greuther Fürth,4.608,1,0,/spielbericht/index/spielbericht/2460974,2014,2. Bundesliga
20.09.2014,13:00,SpVgg Greuther Fürth,1.FC K'lautern,13.015,2,1,/spielbericht/index/spielbericht/2460980,2014,2. Bundesliga
23.09.2014,17:30,SpVgg Greuther Fürth,VfR Aalen,9.045,1,1,/spielbericht/index/spielbericht/2460988,2014,2. Bundesliga
26.09.2014,18:30,1860 München,SpVgg Greuther Fürth,18.300,2,0,/spielbericht/index/spielbericht/2461001,2014,2. Bundesliga
03.10.2014,18:30,SpVgg Greuther Fürth,Erzgebirge Aue,12.690,2,0,/spielbericht/index/spielbericht/2461006,2014,2. Bundesliga
18.10.2014,13:00,E. Braunschweig,SpVgg Greuther Fürth,21.200,2,2,/spielbericht/index/spielbericht/2461016,2014,2. Bundesliga
24.10.2014,18:30,SpVgg Greuther Fürth,FSV Frankfurt,9.805,2,5,/spielbericht/index/spielbericht/2461024,2014,2. Bundesliga
31.10.2014,18:30,Union Berlin,SpVgg Greuther Fürth,18.702,0,1,/spielbericht/index/spielbericht/2461037,2014,2. Bundesliga
09.11.2014,13:30,SpVgg Greuther Fürth,Karlsruher SC,11.485,0,3,/spielbericht/index/spielbericht/2461042,2014,2. Bundesliga
24.11.2014,20:15,F. Düsseldorf,SpVgg Greuther Fürth,28.791,3,3,/spielbericht/index/spielbericht/2461054,2014,2. Bundesliga
28.11.2014,18:30,SpVgg Greuther Fürth,1.FC Heidenheim,10.130,0,0,/spielbericht/index/spielbericht/2461061,2014,2. Bundesliga
06.12.2014,13:00,Darmstadt 98,SpVgg Greuther Fürth,11.200,0,0,/spielbericht/index/spielbericht/2461077,2014,2. Bundesliga
12.12.2014,18:30,SpVgg Greuther Fürth,RB Leipzig,10.225,0,1,/spielbericht/index/spielbericht/2461079,2014,2. Bundesliga
16.12.2014,17:30,SpVgg Greuther Fürth,VfL Bochum,8.750,0,0,/spielbericht/index/spielbericht/2461088,2014,2. Bundesliga
20.12.2014,13:00,1.FC Nürnberg,SpVgg Greuther Fürth,47.501,0,0,/spielbericht/index/spielbericht/2461096,2014,2. Bundesliga
06.02.2015,18:30,SpVgg Greuther Fürth,FC Ingolstadt,10.620,0,1,/spielbericht/index/spielbericht/2461105,2014,2. Bundesliga
16.02.2015,20:15,FC St. Pauli,SpVgg Greuther Fürth,23.383,0,1,/spielbericht/index/spielbericht/2461116,2014,2. Bundesliga
20.02.2015,18:30,SpVgg Greuther Fürth,SV Sandhausen,9.135,0,0,/spielbericht/index/spielbericht/2461123,2014,2. Bundesliga
27.02.2015,18:30,1.FC K'lautern,SpVgg Greuther Fürth,23.796,2,1,/spielbericht/index/spielbericht/2461132,2014,2. Bundesliga
07.03.2015,13:00,VfR Aalen,SpVgg Greuther Fürth,6.012,1,1,/spielbericht/index/spielbericht/2461146,2014,2. Bundesliga
13.03.2015,18:30,SpVgg Greuther Fürth,1860 München,13.370,0,3,/spielbericht/index/spielbericht/2461149,2014,2. Bundesliga
22.03.2015,13:30,Erzgebirge Aue,SpVgg Greuther Fürth,7.600,0,0,/spielbericht/index/spielbericht/2461165,2014,2. Bundesliga
04.04.2015,13:00,SpVgg Greuther Fürth,E. Braunschweig,10.280,1,2,/spielbericht/index/spielbericht/2461167,2014,2. Bundesliga
11.04.2015,13:00,FSV Frankfurt,SpVgg Greuther Fürth,4.745,1,1,/spielbericht/index/spielbericht/2461181,2014,2. Bundesliga
19.04.2015,13:30,SpVgg Greuther Fürth,Union Berlin,11.080,2,2,/spielbericht/index/spielbericht/2461185,2014,2. Bundesliga
25.04.2015,13:00,Karlsruher SC,SpVgg Greuther Fürth,15.273,2,1,/spielbericht/index/spielbericht/2461196,2014,2. Bundesliga
03.05.2015,13:30,SpVgg Greuther Fürth,F. Düsseldorf,11.845,3,0,/spielbericht/index/spielbericht/2461204,2014,2. Bundesliga
10.05.2015,13:30,1.FC Heidenheim,SpVgg Greuther Fürth,14.000,3,0,/spielbericht/index/spielbericht/2461219,2014,2. Bundesliga
17.05.2015,15:30,SpVgg Greuther Fürth,Darmstadt 98,17.500,1,0,/spielbericht/index/spielbericht/2461222,2014,2. Bundesliga
24.05.2015,15:30,RB Leipzig,SpVgg Greuther Fürth,27.117,2,0,/spielbericht/index/spielbericht/2461237,2014,2. Bundesliga
16.08.2014,15:30,SV Waldkirch,SpVgg Greuther Fürth,3.820,0,3,/spielbericht/index/spielbericht/2458338,2014,DFB-Pokal
28.10.2014,20:30,1.FC K'lautern,SpVgg Greuther Fürth,23.111,2,0,/spielbericht/index/spielbericht/2488536,2014,DFB-Pokal
25.07.2015,13:00,SpVgg Greuther Fürth,Karlsruher SC,10.835,1,0,/spielbericht/index/spielbericht/2581161,2015,2. Bundesliga
03.08.2015,20:15,RB Leipzig,SpVgg Greuther Fürth,27.216,2,2,/spielbericht/index/spielbericht/2581415,2015,2. Bundesliga
16.08.2015,13:30,FC St. Pauli,SpVgg Greuther Fürth,28.421,3,2,/spielbericht/index/spielbericht/2581441,2015,2. Bundesliga
21.08.2015,18:30,SpVgg Greuther Fürth,FSV Frankfurt,9.245,0,2,/spielbericht/index/spielbericht/2583822,2015,2. Bundesliga
