date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,14:00,Holstein Kiel,SpVgg Unterhaching,5.247,0,0,/spielbericht/index/spielbericht/2467002,2014,3. Liga
02.08.2014,14:00,SpVgg Unterhaching,Wehen Wiesbaden,3.000,3,3,/spielbericht/index/spielbericht/2462910,2014,3. Liga
05.08.2014,19:00,J. Regensburg,SpVgg Unterhaching,5.090,0,2,/spielbericht/index/spielbericht/2462920,2014,3. Liga
09.08.2014,14:00,SpVgg Unterhaching,Sonnenhof-Gr.,2.800,3,1,/spielbericht/index/spielbericht/2462930,2014,3. Liga
23.08.2014,14:00,FSV Mainz 05 II,SpVgg Unterhaching,731,1,5,/spielbericht/index/spielbericht/2462942,2014,3. Liga
27.08.2014,19:00,SpVgg Unterhaching,Hallescher FC,2.600,0,4,/spielbericht/index/spielbericht/2462950,2014,3. Liga
30.08.2014,14:00,Chemnitzer FC,SpVgg Unterhaching,4.137,2,0,/spielbericht/index/spielbericht/2462955,2014,3. Liga
16.09.2014,19:00,SpVgg Unterhaching,Arm. Bielefeld,2.400,1,3,/spielbericht/index/spielbericht/2462970,2014,3. Liga
13.09.2014,14:00,Fortuna Köln,SpVgg Unterhaching,1.160,2,0,/spielbericht/index/spielbericht/2462977,2014,3. Liga
19.09.2014,19:00,SpVgg Unterhaching,MSV Duisburg,2.200,1,1,/spielbericht/index/spielbericht/2462990,2014,3. Liga
23.09.2014,19:00,Stuttg. Kickers,SpVgg Unterhaching,2.200,3,0,/spielbericht/index/spielbericht/2462999,2014,3. Liga
27.09.2014,14:00,SpVgg Unterhaching,VfL Osnabrück,1.700,3,4,/spielbericht/index/spielbericht/2463010,2014,3. Liga
04.10.2014,14:00,SpVgg Unterhaching,B. Dortmund II,1.500,2,0,/spielbericht/index/spielbericht/2463020,2014,3. Liga
18.10.2014,14:00,Hansa Rostock,SpVgg Unterhaching,6.500,2,2,/spielbericht/index/spielbericht/2463032,2014,3. Liga
25.10.2014,14:00,SpVgg Unterhaching,Stuttgart II,1.750,0,1,/spielbericht/index/spielbericht/2463040,2014,3. Liga
01.11.2014,14:00,Energie Cottbus,SpVgg Unterhaching,6.862,3,0,/spielbericht/index/spielbericht/2463053,2014,3. Liga
08.11.2014,14:00,SpVgg Unterhaching,Dynamo Dresden,7.000,3,0,/spielbericht/index/spielbericht/2463060,2014,3. Liga
22.11.2014,14:00,Pr. Münster,SpVgg Unterhaching,8.519,2,0,/spielbericht/index/spielbericht/2463066,2014,3. Liga
29.11.2014,14:00,SpVgg Unterhaching,Rot-Weiß Erfurt,1.300,4,2,/spielbericht/index/spielbericht/2463080,2014,3. Liga
06.12.2014,14:00,SpVgg Unterhaching,Holstein Kiel,1.600,1,1,/spielbericht/index/spielbericht/2463089,2014,3. Liga
13.12.2014,14:00,Wehen Wiesbaden,SpVgg Unterhaching,3.936,4,0,/spielbericht/index/spielbericht/2463100,2014,3. Liga
20.12.2014,14:00,SpVgg Unterhaching,J. Regensburg,2.000,3,2,/spielbericht/index/spielbericht/2463110,2014,3. Liga
24.02.2015,19:00,Sonnenhof-Gr.,SpVgg Unterhaching,600,1,4,/spielbericht/index/spielbericht/2463120,2014,3. Liga
10.03.2015,18:30,SpVgg Unterhaching,FSV Mainz 05 II,1.200,1,2,/spielbericht/index/spielbericht/2463132,2014,3. Liga
14.02.2015,14:00,Hallescher FC,SpVgg Unterhaching,5.208,2,1,/spielbericht/index/spielbericht/2463140,2014,3. Liga
20.02.2015,19:00,SpVgg Unterhaching,Chemnitzer FC,1.750,0,0,/spielbericht/index/spielbericht/2463145,2014,3. Liga
28.02.2015,14:00,Arm. Bielefeld,SpVgg Unterhaching,12.087,4,0,/spielbericht/index/spielbericht/2463160,2014,3. Liga
07.03.2015,14:00,SpVgg Unterhaching,Fortuna Köln,1.800,1,1,/spielbericht/index/spielbericht/2463167,2014,3. Liga
14.03.2015,14:00,MSV Duisburg,SpVgg Unterhaching,11.322,1,0,/spielbericht/index/spielbericht/2463180,2014,3. Liga
21.03.2015,14:00,SpVgg Unterhaching,Stuttg. Kickers,2.000,1,2,/spielbericht/index/spielbericht/2463189,2014,3. Liga
05.04.2015,14:00,VfL Osnabrück,SpVgg Unterhaching,7.596,1,0,/spielbericht/index/spielbericht/2463200,2014,3. Liga
12.04.2015,14:00,B. Dortmund II,SpVgg Unterhaching,2.785,1,0,/spielbericht/index/spielbericht/2463210,2014,3. Liga
17.04.2015,19:00,SpVgg Unterhaching,Hansa Rostock,5.000,2,1,/spielbericht/index/spielbericht/2463222,2014,3. Liga
26.04.2015,14:00,Stuttgart II,SpVgg Unterhaching,630,1,3,/spielbericht/index/spielbericht/2463230,2014,3. Liga
02.05.2015,14:00,SpVgg Unterhaching,Energie Cottbus,3.000,3,3,/spielbericht/index/spielbericht/2463243,2014,3. Liga
09.05.2015,14:00,Dynamo Dresden,SpVgg Unterhaching,20.202,5,1,/spielbericht/index/spielbericht/2463250,2014,3. Liga
16.05.2015,13:30,SpVgg Unterhaching,Pr. Münster,3.600,1,0,/spielbericht/index/spielbericht/2463256,2014,3. Liga
