date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:30,RW Essen,Sportfreunde Lotte,10.260,1,1,/spielbericht/index/spielbericht/2470735,2014,Regionalliga West
09.08.2014,14:00,Sportfreunde Lotte,Düsseldorf II,642,1,2,/spielbericht/index/spielbericht/2470750,2014,Regionalliga West
16.08.2014,14:00,1.FC Köln II,Sportfreunde Lotte,430,3,0,/spielbericht/index/spielbericht/2470757,2014,Regionalliga West
22.08.2014,19:30,Sportfreunde Lotte,KFC Uerdingen,650,1,2,/spielbericht/index/spielbericht/2470762,2014,Regionalliga West
29.08.2014,19:30,Sportfreunde Lotte,SC Wiedenbrück,487,1,1,/spielbericht/index/spielbericht/2470777,2014,Regionalliga West
08.09.2014,20:15,Alem. Aachen,Sportfreunde Lotte,8.100,1,1,/spielbericht/index/spielbericht/2470784,2014,Regionalliga West
12.09.2014,19:30,Sportfreunde Lotte,VfL Bochum II,559,1,0,/spielbericht/index/spielbericht/2470823,2014,Regionalliga West
19.09.2014,19:30,RW Oberhausen,Sportfreunde Lotte,2.275,0,1,/spielbericht/index/spielbericht/2470829,2014,Regionalliga West
23.09.2014,19:30,Sportfreunde Lotte,FC Kray,400,4,1,/spielbericht/index/spielbericht/2470842,2014,Regionalliga West
27.09.2014,14:00,M'gladbach II,Sportfreunde Lotte,292,2,2,/spielbericht/index/spielbericht/2470845,2014,Regionalliga West
04.10.2014,14:00,Sportfreunde Lotte,Schalke 04 II,624,1,0,/spielbericht/index/spielbericht/2470859,2014,Regionalliga West
17.10.2014,19:30,Viktoria Köln,Sportfreunde Lotte,846,1,1,/spielbericht/index/spielbericht/2470869,2014,Regionalliga West
24.10.2014,19:30,Sportfreunde Lotte,SV Rödinghausen,710,1,1,/spielbericht/index/spielbericht/2470877,2014,Regionalliga West
02.11.2014,14:00,SC Verl,Sportfreunde Lotte,627,1,0,/spielbericht/index/spielbericht/2470885,2014,Regionalliga West
09.11.2014,14:00,Sportfreunde Lotte,Spfr. Siegen,687,1,0,/spielbericht/index/spielbericht/2471388,2014,Regionalliga West
15.11.2014,14:00,Wattenscheid 09,Sportfreunde Lotte,385,1,0,/spielbericht/index/spielbericht/2471403,2014,Regionalliga West
29.11.2014,14:00,Sportfreunde Lotte,Hennef 05,400,0,0,/spielbericht/index/spielbericht/2471415,2014,Regionalliga West
06.12.2014,14:00,Sportfreunde Lotte,RW Essen,2.150,1,1,/spielbericht/index/spielbericht/2471427,2014,Regionalliga West
13.12.2014,14:00,Düsseldorf II,Sportfreunde Lotte,88,0,3,/spielbericht/index/spielbericht/2471441,2014,Regionalliga West
07.02.2015,14:00,Sportfreunde Lotte,1.FC Köln II,411,2,1,/spielbericht/index/spielbericht/2471460,2014,Regionalliga West
14.02.2015,14:00,KFC Uerdingen,Sportfreunde Lotte,1.298,0,4,/spielbericht/index/spielbericht/2471468,2014,Regionalliga West
21.02.2015,14:00,SC Wiedenbrück,Sportfreunde Lotte,481,0,1,/spielbericht/index/spielbericht/2471477,2014,Regionalliga West
01.03.2015,14:00,Sportfreunde Lotte,Alem. Aachen,1.659,2,2,/spielbericht/index/spielbericht/2473343,2014,Regionalliga West
07.03.2015,14:00,VfL Bochum II,Sportfreunde Lotte,200,0,4,/spielbericht/index/spielbericht/2473354,2014,Regionalliga West
14.03.2015,14:00,Sportfreunde Lotte,RW Oberhausen,711,0,1,/spielbericht/index/spielbericht/2473360,2014,Regionalliga West
22.03.2015,14:00,FC Kray,Sportfreunde Lotte,450,2,2,/spielbericht/index/spielbericht/2473372,2014,Regionalliga West
28.03.2015,14:00,Sportfreunde Lotte,M'gladbach II,1.079,2,2,/spielbericht/index/spielbericht/2473375,2014,Regionalliga West
