date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,Sportfreunde Siegen,VfL Bochum II,1.524,2,3,/spielbericht/index/spielbericht/2470737,2014,Regionalliga West
09.08.2014,14:00,RW Oberhausen,Sportfreunde Siegen,2.335,2,1,/spielbericht/index/spielbericht/2470747,2014,Regionalliga West
17.09.2014,19:30,Sportfreunde Siegen,FC Kray,1.135,0,0,/spielbericht/index/spielbericht/2470761,2014,Regionalliga West
23.08.2014,14:00,M'gladbach II,Sportfreunde Siegen,391,1,0,/spielbericht/index/spielbericht/2470763,2014,Regionalliga West
30.08.2014,14:00,Sportfreunde Siegen,Schalke 04 II,1.469,2,3,/spielbericht/index/spielbericht/2470775,2014,Regionalliga West
03.09.2014,19:30,Viktoria Köln,Sportfreunde Siegen,1.044,5,0,/spielbericht/index/spielbericht/2470780,2014,Regionalliga West
13.09.2014,14:00,Sportfreunde Siegen,SV Rödinghausen,1.111,1,2,/spielbericht/index/spielbericht/2470821,2014,Regionalliga West
20.09.2014,14:00,SC Verl,Sportfreunde Siegen,584,0,0,/spielbericht/index/spielbericht/2470832,2014,Regionalliga West
23.09.2014,19:30,KFC Uerdingen,Sportfreunde Siegen,1.470,3,0,/spielbericht/index/spielbericht/2470836,2014,Regionalliga West
28.09.2014,14:00,Sportfreunde Siegen,Wattenscheid 09,1.000,1,2,/spielbericht/index/spielbericht/2470849,2014,Regionalliga West
05.10.2014,14:00,Hennef 05,Sportfreunde Siegen,663,1,2,/spielbericht/index/spielbericht/2470855,2014,Regionalliga West
17.10.2014,19:30,Sportfreunde Siegen,RW Essen,2.414,1,3,/spielbericht/index/spielbericht/2470866,2014,Regionalliga West
25.10.2014,14:00,Düsseldorf II,Sportfreunde Siegen,150,1,0,/spielbericht/index/spielbericht/2470879,2014,Regionalliga West
02.11.2014,14:30,Sportfreunde Siegen,1.FC Köln II,1.415,1,0,/spielbericht/index/spielbericht/2470884,2014,Regionalliga West
09.11.2014,14:00,SF Lotte,Sportfreunde Siegen,687,1,0,/spielbericht/index/spielbericht/2471388,2014,Regionalliga West
15.11.2014,14:00,Sportfreunde Siegen,SC Wiedenbrück,1.580,1,0,/spielbericht/index/spielbericht/2471404,2014,Regionalliga West
28.11.2014,19:30,Alem. Aachen,Sportfreunde Siegen,8.500,2,1,/spielbericht/index/spielbericht/2471413,2014,Regionalliga West
05.12.2014,18:30,VfL Bochum II,Sportfreunde Siegen,200,1,1,/spielbericht/index/spielbericht/2471430,2014,Regionalliga West
17.03.2015,19:30,Sportfreunde Siegen,RW Oberhausen,1.570,1,1,/spielbericht/index/spielbericht/2471437,2014,Regionalliga West
28.04.2015,19:30,FC Kray,Sportfreunde Siegen,158,1,0,/spielbericht/index/spielbericht/2471457,2014,Regionalliga West
14.02.2015,14:00,Sportfreunde Siegen,M'gladbach II,1.366,0,2,/spielbericht/index/spielbericht/2471462,2014,Regionalliga West
22.02.2015,13:30,Schalke 04 II,Sportfreunde Siegen,1.450,1,1,/spielbericht/index/spielbericht/2471475,2014,Regionalliga West
05.05.2015,19:30,Sportfreunde Siegen,Viktoria Köln,1.223,1,3,/spielbericht/index/spielbericht/2473346,2014,Regionalliga West
