date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
23.08.2014,15:30,TSG 1899 Hoffenheim,FC Augsburg,23.792,2,0,/spielbericht/index/spielbericht/2460629,2014,Bundesliga
30.08.2014,15:30,Werder Bremen,TSG 1899 Hoffenheim,38.900,1,1,/spielbericht/index/spielbericht/2460640,2014,Bundesliga
13.09.2014,15:30,TSG 1899 Hoffenheim,VfL Wolfsburg,23.813,1,1,/spielbericht/index/spielbericht/2460648,2014,Bundesliga
20.09.2014,15:30,VfB Stuttgart,TSG 1899 Hoffenheim,44.000,0,2,/spielbericht/index/spielbericht/2460659,2014,Bundesliga
23.09.2014,20:00,TSG 1899 Hoffenheim,SC Freiburg,24.872,3,3,/spielbericht/index/spielbericht/2460666,2014,Bundesliga
26.09.2014,20:30,1.FSV Mainz 05,TSG 1899 Hoffenheim,28.729,0,0,/spielbericht/index/spielbericht/2460673,2014,Bundesliga
04.10.2014,15:30,TSG 1899 Hoffenheim,FC Schalke 04,30.000,2,1,/spielbericht/index/spielbericht/2460685,2014,Bundesliga
19.10.2014,15:30,Hamburger SV,TSG 1899 Hoffenheim,49.003,1,1,/spielbericht/index/spielbericht/2460695,2014,Bundesliga
25.10.2014,15:30,TSG 1899 Hoffenheim,SC Paderborn,25.712,1,0,/spielbericht/index/spielbericht/2460703,2014,Bundesliga
02.11.2014,15:30,Bor. M'gladbach,TSG 1899 Hoffenheim,52.409,3,1,/spielbericht/index/spielbericht/2460709,2014,Bundesliga
08.11.2014,15:30,TSG 1899 Hoffenheim,1.FC Köln,30.150,3,4,/spielbericht/index/spielbericht/2460720,2014,Bundesliga
22.11.2014,15:30,Bayern München,TSG 1899 Hoffenheim,71.000,4,0,/spielbericht/index/spielbericht/2460725,2014,Bundesliga
29.11.2014,18:30,TSG 1899 Hoffenheim,Hannover 96,22.716,4,3,/spielbericht/index/spielbericht/2460738,2014,Bundesliga
05.12.2014,20:30,Bor. Dortmund,TSG 1899 Hoffenheim,80.667,1,0,/spielbericht/index/spielbericht/2460744,2014,Bundesliga
12.12.2014,20:30,TSG 1899 Hoffenheim,E. Frankfurt,28.000,3,2,/spielbericht/index/spielbericht/2460757,2014,Bundesliga
17.12.2014,20:00,TSG 1899 Hoffenheim,B. Leverkusen,24.731,0,1,/spielbericht/index/spielbericht/2460764,2014,Bundesliga
21.12.2014,15:30,Hertha BSC,TSG 1899 Hoffenheim,39.604,0,5,/spielbericht/index/spielbericht/2460775,2014,Bundesliga
01.02.2015,17:30,FC Augsburg,TSG 1899 Hoffenheim,27.090,3,1,/spielbericht/index/spielbericht/2460783,2014,Bundesliga
04.02.2015,20:00,TSG 1899 Hoffenheim,Werder Bremen,23.631,1,2,/spielbericht/index/spielbericht/2460791,2014,Bundesliga
07.02.2015,15:30,VfL Wolfsburg,TSG 1899 Hoffenheim,26.356,3,0,/spielbericht/index/spielbericht/2460798,2014,Bundesliga
14.02.2015,15:30,TSG 1899 Hoffenheim,VfB Stuttgart,29.309,2,1,/spielbericht/index/spielbericht/2460810,2014,Bundesliga
21.02.2015,15:30,SC Freiburg,TSG 1899 Hoffenheim,23.800,1,1,/spielbericht/index/spielbericht/2460819,2014,Bundesliga
28.02.2015,15:30,TSG 1899 Hoffenheim,1.FSV Mainz 05,24.310,2,0,/spielbericht/index/spielbericht/2460828,2014,Bundesliga
07.03.2015,15:30,FC Schalke 04,TSG 1899 Hoffenheim,60.607,3,1,/spielbericht/index/spielbericht/2460833,2014,Bundesliga
14.03.2015,15:30,TSG 1899 Hoffenheim,Hamburger SV,30.150,3,0,/spielbericht/index/spielbericht/2460847,2014,Bundesliga
21.03.2015,15:30,SC Paderborn,TSG 1899 Hoffenheim,14.401,0,0,/spielbericht/index/spielbericht/2460859,2014,Bundesliga
04.04.2015,15:30,TSG 1899 Hoffenheim,Bor. M'gladbach,30.150,1,4,/spielbericht/index/spielbericht/2460864,2014,Bundesliga
12.04.2015,15:30,1.FC Köln,TSG 1899 Hoffenheim,45.000,3,2,/spielbericht/index/spielbericht/2460876,2014,Bundesliga
18.04.2015,15:30,TSG 1899 Hoffenheim,Bayern München,30.150,0,2,/spielbericht/index/spielbericht/2460882,2014,Bundesliga
25.04.2015,15:30,Hannover 96,TSG 1899 Hoffenheim,46.200,1,2,/spielbericht/index/spielbericht/2460891,2014,Bundesliga
02.05.2015,15:30,TSG 1899 Hoffenheim,Bor. Dortmund,30.150,1,1,/spielbericht/index/spielbericht/2460901,2014,Bundesliga
09.05.2015,15:30,E. Frankfurt,TSG 1899 Hoffenheim,50.600,3,1,/spielbericht/index/spielbericht/2460909,2014,Bundesliga
16.05.2015,15:30,B. Leverkusen,TSG 1899 Hoffenheim,29.072,2,0,/spielbericht/index/spielbericht/2460915,2014,Bundesliga
23.05.2015,15:30,TSG 1899 Hoffenheim,Hertha BSC,30.150,2,1,/spielbericht/index/spielbericht/2460926,2014,Bundesliga
17.08.2014,14:30,USC Paloma,TSG 1899 Hoffenheim,5.000,0,9,/spielbericht/index/spielbericht/2458330,2014,DFB-Pokal
29.10.2014,20:30,TSG 1899 Hoffenheim,FSV Frankfurt,11.441,5,1,/spielbericht/index/spielbericht/2488534,2014,DFB-Pokal
03.03.2015,19:00,VfR Aalen,TSG 1899 Hoffenheim,8.252,0,2,/spielbericht/index/spielbericht/2507896,2014,DFB-Pokal
07.04.2015,20:30,Bor. Dortmund,TSG 1899 Hoffenheim,80.667,3,2,/spielbericht/index/spielbericht/2544475,2014,DFB-Pokal
