date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
01.08.2014,19:00,TSG Neustrelitz,Viktoria Berlin,1.028,1,2,/spielbericht/index/spielbericht/2479113,2014,Regionalliga Nordost
10.08.2014,13:30,Union Berlin II,TSG Neustrelitz,460,1,3,/spielbericht/index/spielbericht/2479124,2014,Regionalliga Nordost
17.08.2014,13:30,TSG Neustrelitz,G. Halberstadt,1.004,3,2,/spielbericht/index/spielbericht/2479319,2014,Regionalliga Nordost
22.08.2014,19:00,Babelsberg 03,TSG Neustrelitz,2.072,1,0,/spielbericht/index/spielbericht/2479325,2014,Regionalliga Nordost
31.08.2014,13:30,TSG Neustrelitz,VFC Plauen,857,0,1,/spielbericht/index/spielbericht/2479338,2014,Regionalliga Nordost
14.09.2014,13:30,ZFC Meuselwitz,TSG Neustrelitz,515,4,1,/spielbericht/index/spielbericht/2479348,2014,Regionalliga Nordost
21.09.2014,13:30,TSG Neustrelitz,FSV Zwickau,943,0,0,/spielbericht/index/spielbericht/2479355,2014,Regionalliga Nordost
28.09.2014,13:30,W. Nordhausen,TSG Neustrelitz,801,2,1,/spielbericht/index/spielbericht/2479362,2014,Regionalliga Nordost
05.10.2014,13:30,TSG Neustrelitz,Berliner AK,889,1,2,/spielbericht/index/spielbericht/2479367,2014,Regionalliga Nordost
19.10.2014,13:30,1.FC Magdeburg,TSG Neustrelitz,5.040,1,2,/spielbericht/index/spielbericht/2479376,2014,Regionalliga Nordost
26.10.2014,13:30,VfB Auerbach,TSG Neustrelitz,535,2,1,/spielbericht/index/spielbericht/2479381,2014,Regionalliga Nordost
01.11.2014,13:30,TSG Neustrelitz,Budissa Bautzen,718,2,0,/spielbericht/index/spielbericht/2479391,2014,Regionalliga Nordost
08.11.2014,13:30,Carl Zeiss Jena,TSG Neustrelitz,2.362,2,2,/spielbericht/index/spielbericht/2479404,2014,Regionalliga Nordost
21.11.2014,18:30,TSG Neustrelitz,BFC Dynamo,1.149,0,0,/spielbericht/index/spielbericht/2479407,2014,Regionalliga Nordost
30.11.2014,13:30,Hertha BSC II,TSG Neustrelitz,258,1,1,/spielbericht/index/spielbericht/2479418,2014,Regionalliga Nordost
18.03.2015,18:00,Viktoria Berlin,TSG Neustrelitz,402,0,2,/spielbericht/index/spielbericht/2479620,2014,Regionalliga Nordost
22.02.2015,13:30,TSG Neustrelitz,Union Berlin II,896,3,2,/spielbericht/index/spielbericht/2479629,2014,Regionalliga Nordost
01.03.2015,13:30,G. Halberstadt,TSG Neustrelitz,479,2,1,/spielbericht/index/spielbericht/2479646,2014,Regionalliga Nordost
06.03.2015,19:00,TSG Neustrelitz,Babelsberg 03,1.039,1,0,/spielbericht/index/spielbericht/2479653,2014,Regionalliga Nordost
15.03.2015,13:30,VFC Plauen,TSG Neustrelitz,455,0,0,/spielbericht/index/spielbericht/2479662,2014,Regionalliga Nordost
22.03.2015,13:30,TSG Neustrelitz,ZFC Meuselwitz,748,3,0,/spielbericht/index/spielbericht/2479687,2014,Regionalliga Nordost
28.03.2015,13:30,FSV Zwickau,TSG Neustrelitz,2.089,1,0,/spielbericht/index/spielbericht/2479710,2014,Regionalliga Nordost
04.04.2015,13:30,TSG Neustrelitz,W. Nordhausen,794,4,0,/spielbericht/index/spielbericht/2479705,2014,Regionalliga Nordost
12.04.2015,13:30,Berliner AK,TSG Neustrelitz,702,0,3,/spielbericht/index/spielbericht/2479718,2014,Regionalliga Nordost
19.04.2015,13:30,TSG Neustrelitz,1.FC Magdeburg,1.908,0,1,/spielbericht/index/spielbericht/2479727,2014,Regionalliga Nordost
26.04.2015,13:30,TSG Neustrelitz,VfB Auerbach,678,2,4,/spielbericht/index/spielbericht/2479732,2014,Regionalliga Nordost
01.05.2015,19:00,Budissa Bautzen,TSG Neustrelitz,730,2,2,/spielbericht/index/spielbericht/2479742,2014,Regionalliga Nordost
10.05.2015,13:30,TSG Neustrelitz,Carl Zeiss Jena,729,1,3,/spielbericht/index/spielbericht/2479755,2014,Regionalliga Nordost
17.05.2015,14:05,BFC Dynamo,TSG Neustrelitz,1.308,4,2,/spielbericht/index/spielbericht/2479758,2014,Regionalliga Nordost
24.05.2015,14:05,TSG Neustrelitz,Hertha BSC II,649,4,2,/spielbericht/index/spielbericht/2479769,2014,Regionalliga Nordost
26.07.2015,13:30,W. Nordhausen,TSG Neustrelitz,1.122,2,0,/spielbericht/index/spielbericht/2585341,2015,Regionalliga Nordost
