date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
04.08.2014,20:15,1.FC K'lautern,TSV 1860 München,41.092,3,2,/spielbericht/index/spielbericht/2460934,2014,2. Bundesliga
10.08.2014,15:30,TSV 1860 München,RB Leipzig,32.000,0,3,/spielbericht/index/spielbericht/2460943,2014,2. Bundesliga
22.08.2014,18:30,1.FC Heidenheim,TSV 1860 München,13.000,2,2,/spielbericht/index/spielbericht/2460958,2014,2. Bundesliga
31.08.2014,13:30,TSV 1860 München,Darmstadt 98,19.300,1,1,/spielbericht/index/spielbericht/2460964,2014,2. Bundesliga
14.09.2014,13:30,FC St. Pauli,TSV 1860 München,27.892,1,2,/spielbericht/index/spielbericht/2460972,2014,2. Bundesliga
20.09.2014,13:00,TSV 1860 München,FC Ingolstadt,21.800,1,1,/spielbericht/index/spielbericht/2460983,2014,2. Bundesliga
23.09.2014,17:30,SV Sandhausen,TSV 1860 München,5.083,1,0,/spielbericht/index/spielbericht/2460992,2014,2. Bundesliga
26.09.2014,18:30,TSV 1860 München,Greuther Fürth,18.300,2,0,/spielbericht/index/spielbericht/2461001,2014,2. Bundesliga
03.10.2014,18:30,VfR Aalen,TSV 1860 München,9.226,2,0,/spielbericht/index/spielbericht/2461010,2014,2. Bundesliga
19.10.2014,13:30,Erzgebirge Aue,TSV 1860 München,10.000,4,1,/spielbericht/index/spielbericht/2461021,2014,2. Bundesliga
26.10.2014,13:30,TSV 1860 München,E. Braunschweig,20.300,1,2,/spielbericht/index/spielbericht/2461026,2014,2. Bundesliga
02.11.2014,13:30,VfL Bochum,TSV 1860 München,15.607,0,3,/spielbericht/index/spielbericht/2461039,2014,2. Bundesliga
10.11.2014,20:15,TSV 1860 München,F. Düsseldorf,19.300,0,1,/spielbericht/index/spielbericht/2461044,2014,2. Bundesliga
22.11.2014,13:00,Union Berlin,TSV 1860 München,19.026,1,4,/spielbericht/index/spielbericht/2461055,2014,2. Bundesliga
30.11.2014,13:30,TSV 1860 München,FSV Frankfurt,13.800,0,2,/spielbericht/index/spielbericht/2461062,2014,2. Bundesliga
08.12.2014,20:15,1.FC Nürnberg,TSV 1860 München,31.079,2,1,/spielbericht/index/spielbericht/2461069,2014,2. Bundesliga
13.12.2014,13:00,TSV 1860 München,Karlsruher SC,16.400,2,3,/spielbericht/index/spielbericht/2461080,2014,2. Bundesliga
17.12.2014,17:30,TSV 1860 München,1.FC K'lautern,13.800,1,1,/spielbericht/index/spielbericht/2461089,2014,2. Bundesliga
22.12.2014,20:15,RB Leipzig,TSV 1860 München,27.370,1,1,/spielbericht/index/spielbericht/2461103,2014,2. Bundesliga
09.02.2015,20:15,TSV 1860 München,1.FC Heidenheim,15.100,1,2,/spielbericht/index/spielbericht/2461107,2014,2. Bundesliga
15.02.2015,13:30,Darmstadt 98,TSV 1860 München,15.600,1,1,/spielbericht/index/spielbericht/2461121,2014,2. Bundesliga
21.02.2015,13:00,TSV 1860 München,FC St. Pauli,25.100,2,1,/spielbericht/index/spielbericht/2461126,2014,2. Bundesliga
02.03.2015,20:15,FC Ingolstadt,TSV 1860 München,15.000,1,1,/spielbericht/index/spielbericht/2461134,2014,2. Bundesliga
08.03.2015,13:30,TSV 1860 München,SV Sandhausen,17.100,2,3,/spielbericht/index/spielbericht/2461144,2014,2. Bundesliga
13.03.2015,18:30,Greuther Fürth,TSV 1860 München,13.370,0,3,/spielbericht/index/spielbericht/2461149,2014,2. Bundesliga
20.03.2015,18:30,TSV 1860 München,VfR Aalen,16.700,1,1,/spielbericht/index/spielbericht/2461162,2014,2. Bundesliga
05.04.2015,13:30,TSV 1860 München,Erzgebirge Aue,20.300,0,1,/spielbericht/index/spielbericht/2461169,2014,2. Bundesliga
11.04.2015,13:00,E. Braunschweig,TSV 1860 München,22.050,2,0,/spielbericht/index/spielbericht/2461177,2014,2. Bundesliga
18.04.2015,13:00,TSV 1860 München,VfL Bochum,16.000,2,1,/spielbericht/index/spielbericht/2461187,2014,2. Bundesliga
25.04.2015,13:00,F. Düsseldorf,TSV 1860 München,25.461,1,1,/spielbericht/index/spielbericht/2461197,2014,2. Bundesliga
03.05.2015,13:30,TSV 1860 München,Union Berlin,18.800,0,3,/spielbericht/index/spielbericht/2461205,2014,2. Bundesliga
