date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
27.07.2014,14:00,TSV Havelse,FT Braunschweig,519,0,0,/spielbericht/index/spielbericht/2463635,2014,Regionalliga Nord
03.08.2014,14:00,TSV Havelse,VfB Lübeck,512,2,1,/spielbericht/index/spielbericht/2471371,2014,Regionalliga Nord
09.08.2014,14:00,Goslarer SC,TSV Havelse,402,0,2,/spielbericht/index/spielbericht/2471378,2014,Regionalliga Nord
17.08.2014,14:30,TSV Havelse,E. Norderstedt,415,3,0,/spielbericht/index/spielbericht/2471396,2014,Regionalliga Nord
24.08.2014,15:00,VfB Oldenburg,TSV Havelse,2.042,0,1,/spielbericht/index/spielbericht/2485672,2014,Regionalliga Nord
31.08.2014,14:00,TSV Havelse,ETSV Weiche,401,2,0,/spielbericht/index/spielbericht/2485681,2014,Regionalliga Nord
06.09.2014,14:00,Wolfsburg II,TSV Havelse,241,4,0,/spielbericht/index/spielbericht/2485683,2014,Regionalliga Nord
14.09.2014,13:00,TSV Havelse,LSK Hansa,421,1,2,/spielbericht/index/spielbericht/2486138,2014,Regionalliga Nord
21.09.2014,14:00,W. Bremen II,TSV Havelse,487,1,0,/spielbericht/index/spielbericht/2486149,2014,Regionalliga Nord
26.09.2014,19:30,TSV Havelse,BV Cloppenburg,365,2,2,/spielbericht/index/spielbericht/2486154,2014,Regionalliga Nord
04.10.2014,14:00,Braunschweig II,TSV Havelse,210,3,1,/spielbericht/index/spielbericht/2490259,2014,Regionalliga Nord
10.10.2014,19:30,TSV Havelse,BSV Rehden,502,3,0,/spielbericht/index/spielbericht/2490265,2014,Regionalliga Nord
18.10.2014,14:00,St. Pauli II,TSV Havelse,147,1,1,/spielbericht/index/spielbericht/2490274,2014,Regionalliga Nord
26.10.2014,14:00,TSV Havelse,Hannover 96 II,2.027,2,1,/spielbericht/index/spielbericht/2490288,2014,Regionalliga Nord
02.11.2014,14:00,VfR Neumünster,TSV Havelse,507,0,1,/spielbericht/index/spielbericht/2490296,2014,Regionalliga Nord
07.11.2014,19:00,TSV Havelse,Hamburger SV II,647,1,2,/spielbericht/index/spielbericht/2490299,2014,Regionalliga Nord
16.11.2014,15:00,SV Meppen,TSV Havelse,1.279,4,3,/spielbericht/index/spielbericht/2490316,2014,Regionalliga Nord
22.11.2014,14:00,VfB Lübeck,TSV Havelse,1.304,2,2,/spielbericht/index/spielbericht/2490447,2014,Regionalliga Nord
30.11.2014,14:00,TSV Havelse,Goslarer SC,418,3,0,/spielbericht/index/spielbericht/2490460,2014,Regionalliga Nord
06.12.2014,14:00,E. Norderstedt,TSV Havelse,229,1,0,/spielbericht/index/spielbericht/2490470,2014,Regionalliga Nord
14.02.2015,14:00,TSV Havelse,VfB Oldenburg,586,3,0,/spielbericht/index/spielbericht/2490478,2014,Regionalliga Nord
22.02.2015,14:00,ETSV Weiche,TSV Havelse,463,0,0,/spielbericht/index/spielbericht/2490483,2014,Regionalliga Nord
01.03.2015,15:00,TSV Havelse,Wolfsburg II,502,1,2,/spielbericht/index/spielbericht/2490495,2014,Regionalliga Nord
