date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,16:00,SV Gonsenheim,TSV Schott Mainz,800,2,3,/spielbericht/index/spielbericht/2466664,2014,Oberliga Rheinland-Pfalz/Saar
10.08.2014,15:00,TSV Schott Mainz,Saarbrücken II,150,2,6,/spielbericht/index/spielbericht/2466673,2014,Oberliga Rheinland-Pfalz/Saar
06.08.2014,19:30,SpVgg Wirges,TSV Schott Mainz,420,1,1,/spielbericht/index/spielbericht/2466674,2014,Oberliga Rheinland-Pfalz/Saar
17.08.2014,15:00,TSV Schott Mainz,SV Saar 05,150,1,1,/spielbericht/index/spielbericht/2466691,2014,Oberliga Rheinland-Pfalz/Saar
23.08.2014,15:00,SG Betzdorf,TSV Schott Mainz,138,0,2,/spielbericht/index/spielbericht/2466697,2014,Oberliga Rheinland-Pfalz/Saar
26.08.2014,19:00,TSV Schott Mainz,SC Hauenstein,150,1,2,/spielbericht/index/spielbericht/2466703,2014,Oberliga Rheinland-Pfalz/Saar
30.08.2014,17:30,A. Ludwigshafen,TSV Schott Mainz,210,2,4,/spielbericht/index/spielbericht/2466716,2014,Oberliga Rheinland-Pfalz/Saar
07.09.2014,15:00,TSV Schott Mainz,Pfeddersheim,200,1,4,/spielbericht/index/spielbericht/2466727,2014,Oberliga Rheinland-Pfalz/Saar
16.09.2014,19:30,Mechtersheim,TSV Schott Mainz,226,2,2,/spielbericht/index/spielbericht/2466732,2014,Oberliga Rheinland-Pfalz/Saar
21.09.2014,15:00,TSV Schott Mainz,FV Diefflen,200,3,1,/spielbericht/index/spielbericht/2466748,2014,Oberliga Rheinland-Pfalz/Saar
28.09.2014,15:00,TSV Schott Mainz,FSV Salmrohr,150,1,3,/spielbericht/index/spielbericht/2466757,2014,Oberliga Rheinland-Pfalz/Saar
05.10.2014,15:00,Elversberg II,TSV Schott Mainz,150,1,4,/spielbericht/index/spielbericht/2466765,2014,Oberliga Rheinland-Pfalz/Saar
11.10.2014,16:00,TSV Schott Mainz,B. Neunkirchen,250,2,1,/spielbericht/index/spielbericht/2466768,2014,Oberliga Rheinland-Pfalz/Saar
17.10.2014,19:30,Hertha Wiesbach,TSV Schott Mainz,300,2,2,/spielbericht/index/spielbericht/2466777,2014,Oberliga Rheinland-Pfalz/Saar
26.10.2014,15:00,TSV Schott Mainz,SpVgg Burgbrohl,100,2,1,/spielbericht/index/spielbericht/2466794,2014,Oberliga Rheinland-Pfalz/Saar
01.11.2014,14:30,Idar-Oberstein,TSV Schott Mainz,361,3,2,/spielbericht/index/spielbericht/2466798,2014,Oberliga Rheinland-Pfalz/Saar
09.11.2014,14:30,TSV Schott Mainz,SV Röchling,180,2,2,/spielbericht/index/spielbericht/2466811,2014,Oberliga Rheinland-Pfalz/Saar
23.11.2014,15:00,TSV Schott Mainz,SV Gonsenheim,400,2,2,/spielbericht/index/spielbericht/2466820,2014,Oberliga Rheinland-Pfalz/Saar
30.11.2014,15:00,Saarbrücken II,TSV Schott Mainz,100,1,4,/spielbericht/index/spielbericht/2466830,2014,Oberliga Rheinland-Pfalz/Saar
07.12.2014,15:00,TSV Schott Mainz,SpVgg Wirges,300,1,1,/spielbericht/index/spielbericht/2466839,2014,Oberliga Rheinland-Pfalz/Saar
28.02.2015,15:30,SV Saar 05,TSV Schott Mainz,300,1,1,/spielbericht/index/spielbericht/2466877,2014,Oberliga Rheinland-Pfalz/Saar
