date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,16:00,SpVgg Oberrad,TSV Steinbach,250,0,1,/spielbericht/index/spielbericht/2469919,2014,Hessenliga
09.08.2014,16:00,TSV Steinbach,SV Wiesbaden,800,2,0,/spielbericht/index/spielbericht/2469930,2014,Hessenliga
16.08.2014,16:00,OSC Vellmar,TSV Steinbach,250,0,0,/spielbericht/index/spielbericht/2470425,2014,Hessenliga
23.08.2014,16:00,TSV Steinbach,Stadtallendorf,400,3,1,/spielbericht/index/spielbericht/2470434,2014,Hessenliga
30.08.2014,16:00,TSV Lehnerz,TSV Steinbach,420,1,2,/spielbericht/index/spielbericht/2470443,2014,Hessenliga
13.09.2014,16:00,1.FC Eschborn,TSV Steinbach,202,0,1,/spielbericht/index/spielbericht/2470459,2014,Hessenliga
20.09.2014,15:30,TSV Steinbach,RW Darmstadt,400,4,1,/spielbericht/index/spielbericht/2470467,2014,Hessenliga
26.09.2014,19:00,RW Hadamar,TSV Steinbach,700,1,1,/spielbericht/index/spielbericht/2470468,2014,Hessenliga
03.10.2014,15:00,TSV Steinbach,SV Wehen II,800,4,0,/spielbericht/index/spielbericht/2470478,2014,Hessenliga
05.10.2014,15:00,FSC Lohfelden,TSV Steinbach,120,2,3,/spielbericht/index/spielbericht/2470487,2014,Hessenliga
12.10.2014,15:00,TSV Steinbach,Buch. Flieden,550,4,1,/spielbericht/index/spielbericht/2470499,2014,Hessenliga
18.10.2014,15:30,FC Ederbergland,TSV Steinbach,350,0,1,/spielbericht/index/spielbericht/2470504,2014,Hessenliga
25.10.2014,15:00,TSV Steinbach,Bayern Alzenau,660,1,0,/spielbericht/index/spielbericht/2470512,2014,Hessenliga
01.11.2014,14:30,TSV Steinbach,Schwalmstadt,380,6,0,/spielbericht/index/spielbericht/2470517,2014,Hessenliga
29.10.2014,19:00,SF Seligenstadt,TSV Steinbach,200,1,0,/spielbericht/index/spielbericht/2470531,2014,Hessenliga
15.11.2014,14:30,TSV Steinbach,Vikt. Griesheim,400,2,0,/spielbericht/index/spielbericht/2470534,2014,Hessenliga
22.11.2014,14:30,TSV Steinbach,SpVgg Oberrad,270,2,2,/spielbericht/index/spielbericht/2470544,2014,Hessenliga
06.12.2014,14:00,Stadtallendorf,TSV Steinbach,250,0,1,/spielbericht/index/spielbericht/2470551,2014,Hessenliga
28.02.2015,14:30,TSV Steinbach,TSV Lehnerz,350,0,3,/spielbericht/index/spielbericht/2470557,2014,Hessenliga
29.11.2014,14:30,SV Wiesbaden,TSV Steinbach,350,0,2,/spielbericht/index/spielbericht/2470567,2014,Hessenliga
26.07.2014,17:00,TSV Steinbach,OSC Vellmar,500,4,1,/spielbericht/index/spielbericht/2469908,2014,Hessenliga
14.03.2015,15:00,TSV Steinbach,1.FC Eschborn,210,2,2,/spielbericht/index/spielbericht/2470587,2014,Hessenliga
21.03.2015,15:00,RW Darmstadt,TSV Steinbach,150,2,0,/spielbericht/index/spielbericht/2470589,2014,Hessenliga
28.03.2015,15:00,TSV Steinbach,RW Hadamar,700,1,1,/spielbericht/index/spielbericht/2470615,2014,Hessenliga
12.04.2015,15:00,SV Wehen II,TSV Steinbach,150,4,1,/spielbericht/index/spielbericht/2470633,2014,Hessenliga
18.04.2015,16:00,TSV Steinbach,FSC Lohfelden,420,3,1,/spielbericht/index/spielbericht/2470643,2014,Hessenliga
26.04.2015,15:00,Buch. Flieden,TSV Steinbach,350,1,3,/spielbericht/index/spielbericht/2470649,2014,Hessenliga
02.05.2015,17:00,TSV Steinbach,FC Ederbergland,500,5,0,/spielbericht/index/spielbericht/2470657,2014,Hessenliga
09.05.2015,15:00,Bayern Alzenau,TSV Steinbach,800,1,1,/spielbericht/index/spielbericht/2470665,2014,Hessenliga
16.05.2015,14:00,Schwalmstadt,TSV Steinbach,300,0,3,/spielbericht/index/spielbericht/2470672,2014,Hessenliga
23.05.2015,15:00,TSV Steinbach,SF Seligenstadt,330,2,3,/spielbericht/index/spielbericht/2470687,2014,Hessenliga
06.04.2015,15:00,Vikt. Griesheim,TSV Steinbach,200,2,1,/spielbericht/index/spielbericht/2470689,2014,Hessenliga
01.08.2015,14:00,Bahlinger SC,TSV Steinbach,1.520,2,0,/spielbericht/index/spielbericht/2585969,2015,Regionalliga Südwest
08.08.2015,14:00,TSV Steinbach,Saarbrücken,1.750,0,1,/spielbericht/index/spielbericht/2605306,2015,Regionalliga Südwest
14.08.2015,19:30,Hessen Kassel,TSV Steinbach,2.063,5,0,/spielbericht/index/spielbericht/2605314,2015,Regionalliga Südwest
23.08.2015,14:00,TSV Steinbach,K. Offenbach,3.600,0,3,/spielbericht/index/spielbericht/2605328,2015,Regionalliga Südwest
26.08.2015,18:00,SC Freiburg II,TSV Steinbach,300,2,3,/spielbericht/index/spielbericht/2605333,2015,Regionalliga Südwest
29.08.2015,14:00,TSV Steinbach,FC 08 Homburg,1.200,0,2,/spielbericht/index/spielbericht/2605343,2015,Regionalliga Südwest
05.09.2015,14:00,TSV Steinbach,Wormatia Worms,1.321,2,2,/spielbericht/index/spielbericht/2605353,2015,Regionalliga Südwest
12.09.2015,14:00,FK Pirmasens,TSV Steinbach,757,4,1,/spielbericht/index/spielbericht/2605361,2015,Regionalliga Südwest
19.09.2015,14:00,TSV Steinbach,SV Spielberg,900,2,0,/spielbericht/index/spielbericht/2605371,2015,Regionalliga Südwest
26.09.2015,14:00,SV Elversberg,TSV Steinbach,1.112,4,0,/spielbericht/index/spielbericht/2605377,2015,Regionalliga Südwest
03.10.2015,14:00,TSV Steinbach,SV Saar 05,1.220,2,0,/spielbericht/index/spielbericht/2605389,2015,Regionalliga Südwest
10.10.2015,14:00,W. Mannheim,TSV Steinbach,4.160,4,0,/spielbericht/index/spielbericht/2605400,2015,Regionalliga Südwest
16.10.2015,18:30,TSV Steinbach,Hoffenheim II,1.200,0,3,/spielbericht/index/spielbericht/2605402,2015,Regionalliga Südwest
24.10.2015,14:00,Eintracht Trier,TSV Steinbach,2.723,2,2,/spielbericht/index/spielbericht/2605417,2015,Regionalliga Südwest
31.10.2015,14:00,TSV Steinbach,SpVgg Neckarelz,1.150,1,3,/spielbericht/index/spielbericht/2605425,2015,Regionalliga Südwest
07.11.2015,14:00,FCA Walldorf,TSV Steinbach,250,0,2,/spielbericht/index/spielbericht/2605433,2015,Regionalliga Südwest
21.11.2015,14:00,TSV Steinbach,K'lautern II,650,4,4,/spielbericht/index/spielbericht/2605443,2015,Regionalliga Südwest
28.11.2015,14:00,TSV Steinbach,Bahlinger SC,750,1,1,/spielbericht/index/spielbericht/2605449,2015,Regionalliga Südwest
05.12.2015,14:00,Saarbrücken,TSV Steinbach,3.771,4,0,/spielbericht/index/spielbericht/2605461,2015,Regionalliga Südwest
26.02.2016,19:00,TSV Steinbach,Hessen Kassel,1.450,2,2,/spielbericht/index/spielbericht/2605473,2015,Regionalliga Südwest
04.03.2016,19:30,K. Offenbach,TSV Steinbach,6.062,0,0,/spielbericht/index/spielbericht/2605479,2015,Regionalliga Südwest
12.03.2016,14:00,TSV Steinbach,SC Freiburg II,1.300,2,1,/spielbericht/index/spielbericht/2605490,2015,Regionalliga Südwest
19.03.2016,14:00,FC 08 Homburg,TSV Steinbach,524,0,1,/spielbericht/index/spielbericht/2605497,2015,Regionalliga Südwest
23.03.2016,19:00,Wormatia Worms,TSV Steinbach,773,1,1,/spielbericht/index/spielbericht/2605506,2015,Regionalliga Südwest
28.03.2016,14:00,TSV Steinbach,FK Pirmasens,1.550,0,2,/spielbericht/index/spielbericht/2605513,2015,Regionalliga Südwest
02.04.2016,14:00,SV Spielberg,TSV Steinbach,400,1,0,/spielbericht/index/spielbericht/2605525,2015,Regionalliga Südwest
09.04.2016,14:00,TSV Steinbach,SV Elversberg,1.100,1,1,/spielbericht/index/spielbericht/2605531,2015,Regionalliga Südwest
16.04.2016,14:00,SV Saar 05,TSV Steinbach,120,0,4,/spielbericht/index/spielbericht/2605544,2015,Regionalliga Südwest
23.04.2016,14:00,TSV Steinbach,W. Mannheim,2.000,1,0,/spielbericht/index/spielbericht/2605554,2015,Regionalliga Südwest
29.04.2016,19:00,Hoffenheim II,TSV Steinbach,275,0,1,/spielbericht/index/spielbericht/2605556,2015,Regionalliga Südwest
07.05.2016,14:00,TSV Steinbach,Eintracht Trier,1.400,2,1,/spielbericht/index/spielbericht/2605571,2015,Regionalliga Südwest
11.05.2016,19:00,SpVgg Neckarelz,TSV Steinbach,140,0,1,/spielbericht/index/spielbericht/2605578,2015,Regionalliga Südwest
14.05.2016,14:00,TSV Steinbach,FCA Walldorf,1.130,0,1,/spielbericht/index/spielbericht/2605587,2015,Regionalliga Südwest
21.05.2016,14:00,K'lautern II,TSV Steinbach,310,0,0,/spielbericht/index/spielbericht/2605596,2015,Regionalliga Südwest
15.09.2015,19:00,SV Wiesbaden,TSV Steinbach,550,1,2,/spielbericht/index/spielbericht/2833149,2015,Landespokal Hessen
13.11.2015,18:30,TSV Steinbach,Wehen Wiesbaden,1.000,1,2,/spielbericht/index/spielbericht/2832177,2015,Landespokal Hessen
06.08.2016,14:00,SC Teutonia,TSV Steinbach,3.300,3,0,/spielbericht/index/spielbericht/2710537,2016,Regionalliga Südwest
