date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
07.08.2016,15:00,TuS Bersenbrück,FT Braunschweig,390,1,0,/spielbericht/index/spielbericht/2711394,2016,Oberliga Niedersachsen
13.08.2016,16:00,1.FC Wunstorf,TuS Bersenbrück,200,3,1,/spielbericht/index/spielbericht/2734610,2016,Oberliga Niedersachsen
21.08.2016,15:00,TuS Bersenbrück,Arm. Hannover,350,1,3,/spielbericht/index/spielbericht/2734622,2016,Oberliga Niedersachsen
28.08.2016,14:00,Eintr. Northeim,TuS Bersenbrück,220,1,3,/spielbericht/index/spielbericht/2734628,2016,Oberliga Niedersachsen
04.09.2016,15:00,TuS Bersenbrück,VfL Oldenburg,270,0,3,/spielbericht/index/spielbericht/2734676,2016,Oberliga Niedersachsen
11.09.2016,15:00,TB Uphusen,TuS Bersenbrück,75,4,4,/spielbericht/index/spielbericht/2734686,2016,Oberliga Niedersachsen
18.09.2016,15:00,Spelle-Venhaus,TuS Bersenbrück,520,5,0,/spielbericht/index/spielbericht/2734694,2016,Oberliga Niedersachsen
25.09.2016,15:00,Osnabrück II,TuS Bersenbrück,200,4,0,/spielbericht/index/spielbericht/2734704,2016,Oberliga Niedersachsen
02.10.2016,15:00,TuS Bersenbrück,SSV Jeddeloh II,300,0,3,/spielbericht/index/spielbericht/2734710,2016,Oberliga Niedersachsen
09.10.2016,15:00,Heeslinger SC,TuS Bersenbrück,140,1,5,/spielbericht/index/spielbericht/2734719,2016,Oberliga Niedersachsen
16.10.2016,15:00,TuS Bersenbrück,HSC Hannover,400,5,3,/spielbericht/index/spielbericht/2734725,2016,Oberliga Niedersachsen
21.10.2016,20:00,BV Cloppenburg,TuS Bersenbrück,479,1,1,/spielbericht/index/spielbericht/2734731,2016,Oberliga Niedersachsen
30.10.2016,14:00,BW Bornreihe,TuS Bersenbrück,250,1,3,/spielbericht/index/spielbericht/2734739,2016,Oberliga Niedersachsen
06.11.2016,14:00,TuS Bersenbrück,MTV Gifhorn,250,0,1,/spielbericht/index/spielbericht/2734749,2016,Oberliga Niedersachsen
13.11.2016,14:00,SVG Göttingen,TuS Bersenbrück,180,2,1,/spielbericht/index/spielbericht/2734760,2016,Oberliga Niedersachsen
20.11.2016,14:00,FT Braunschweig,TuS Bersenbrück,180,1,2,/spielbericht/index/spielbericht/2734765,2016,Oberliga Niedersachsen
27.11.2016,13:00,TuS Bersenbrück,1.FC Wunstorf,350,2,2,/spielbericht/index/spielbericht/2734771,2016,Oberliga Niedersachsen
19.02.2017,14:00,Arm. Hannover,TuS Bersenbrück,220,2,3,/spielbericht/index/spielbericht/2734780,2016,Oberliga Niedersachsen
15.04.2017,16:00,TuS Bersenbrück,SVG Göttingen,400,1,0,/spielbericht/index/spielbericht/2734792,2016,Oberliga Niedersachsen
17.04.2017,15:00,TuS Bersenbrück,Eintr. Northeim,480,2,2,/spielbericht/index/spielbericht/2734797,2016,Oberliga Niedersachsen
12.03.2017,15:00,VfL Oldenburg,TuS Bersenbrück,374,2,1,/spielbericht/index/spielbericht/2734805,2016,Oberliga Niedersachsen
19.03.2017,15:00,TuS Bersenbrück,TB Uphusen,240,2,2,/spielbericht/index/spielbericht/2734811,2016,Oberliga Niedersachsen
26.03.2017,18:30,TuS Bersenbrück,Spelle-Venhaus,350,1,1,/spielbericht/index/spielbericht/2734818,2016,Oberliga Niedersachsen
02.04.2017,15:00,TuS Bersenbrück,Osnabrück II,500,1,0,/spielbericht/index/spielbericht/2734832,2016,Oberliga Niedersachsen
08.04.2017,16:00,SSV Jeddeloh II,TuS Bersenbrück,404,1,4,/spielbericht/index/spielbericht/2734834,2016,Oberliga Niedersachsen
23.04.2017,15:00,TuS Bersenbrück,Heeslinger SC,430,4,4,/spielbericht/index/spielbericht/2734846,2016,Oberliga Niedersachsen
29.04.2017,16:00,HSC Hannover,TuS Bersenbrück,84,2,4,/spielbericht/index/spielbericht/2734852,2016,Oberliga Niedersachsen
05.05.2017,19:00,TuS Bersenbrück,BV Cloppenburg,450,1,2,/spielbericht/index/spielbericht/2734861,2016,Oberliga Niedersachsen
14.05.2017,15:00,TuS Bersenbrück,BW Bornreihe,200,3,5,/spielbericht/index/spielbericht/2734868,2016,Oberliga Niedersachsen
21.05.2017,15:00,MTV Gifhorn,TuS Bersenbrück,150,3,0,/spielbericht/index/spielbericht/2734875,2016,Oberliga Niedersachsen
24.07.2016,15:00,TuS Bersenbrück,SSV Jeddeloh II,,4,6,/spielbericht/index/spielbericht/2727395,2016,Niedersachsenpokal (- 17/18)
11.08.2017,19:00,TuS Bersenbrück,BV Cloppenburg,500,4,0,/spielbericht/index/spielbericht/2870159,2017,Oberliga Niedersachsen
19.08.2017,16:00,TB Uphusen,TuS Bersenbrück,140,0,3,/spielbericht/index/spielbericht/2903126,2017,Oberliga Niedersachsen
27.08.2017,15:00,TuS Bersenbrück,Spelle-Venhaus,500,1,4,/spielbericht/index/spielbericht/2903138,2017,Oberliga Niedersachsen
03.09.2017,15:00,SVG Göttingen,TuS Bersenbrück,215,0,3,/spielbericht/index/spielbericht/2903145,2017,Oberliga Niedersachsen
10.09.2017,15:00,TuS Bersenbrück,Arm. Hannover,450,1,1,/spielbericht/index/spielbericht/2903633,2017,Oberliga Niedersachsen
16.09.2017,14:30,SVA Delmenhorst,TuS Bersenbrück,680,1,1,/spielbericht/index/spielbericht/2903638,2017,Oberliga Niedersachsen
24.09.2017,15:00,TuS Bersenbrück,MTVE Celle,350,1,3,/spielbericht/index/spielbericht/2903649,2017,Oberliga Niedersachsen
01.10.2017,15:00,SSV Vorsfelde,TuS Bersenbrück,100,1,1,/spielbericht/index/spielbericht/2903660,2017,Oberliga Niedersachsen
08.10.2017,15:00,TuS Bersenbrück,1.FC Wunstorf,400,5,0,/spielbericht/index/spielbericht/2903664,2017,Oberliga Niedersachsen
15.10.2017,15:00,Heeslinger SC,TuS Bersenbrück,150,2,4,/spielbericht/index/spielbericht/2903674,2017,Oberliga Niedersachsen
22.10.2017,15:00,TuS Sulingen,TuS Bersenbrück,204,0,2,/spielbericht/index/spielbericht/2904566,2017,Oberliga Niedersachsen
29.10.2017,14:00,TuS Bersenbrück,Eintr. Northeim,600,1,3,/spielbericht/index/spielbericht/2904575,2017,Oberliga Niedersachsen
05.11.2017,14:00,VfL Oldenburg,TuS Bersenbrück,500,0,0,/spielbericht/index/spielbericht/2904586,2017,Oberliga Niedersachsen
12.11.2017,14:00,TuS Bersenbrück,MTV Gifhorn,300,0,0,/spielbericht/index/spielbericht/2904601,2017,Oberliga Niedersachsen
19.11.2017,14:00,Lupo-Martini,TuS Bersenbrück,125,4,0,/spielbericht/index/spielbericht/2904609,2017,Oberliga Niedersachsen
29.03.2018,19:30,BV Cloppenburg,TuS Bersenbrück,316,0,0,/spielbericht/index/spielbericht/2904612,2017,Oberliga Niedersachsen
02.12.2017,14:00,TuS Bersenbrück,TB Uphusen,300,5,0,/spielbericht/index/spielbericht/2904621,2017,Oberliga Niedersachsen
18.02.2018,15:00,Spelle-Venhaus,TuS Bersenbrück,426,0,0,/spielbericht/index/spielbericht/2904631,2017,Oberliga Niedersachsen
25.02.2018,15:00,TuS Bersenbrück,SVG Göttingen,350,2,1,/spielbericht/index/spielbericht/2904639,2017,Oberliga Niedersachsen
25.04.2018,18:30,Arm. Hannover,TuS Bersenbrück,200,0,2,/spielbericht/index/spielbericht/2904647,2017,Oberliga Niedersachsen
11.03.2018,15:00,TuS Bersenbrück,SVA Delmenhorst,920,3,1,/spielbericht/index/spielbericht/2904659,2017,Oberliga Niedersachsen
01.05.2018,15:00,MTVE Celle,TuS Bersenbrück,150,0,2,/spielbericht/index/spielbericht/2904662,2017,Oberliga Niedersachsen
25.03.2018,15:00,TuS Bersenbrück,SSV Vorsfelde,400,2,0,/spielbericht/index/spielbericht/2904674,2017,Oberliga Niedersachsen
07.04.2018,16:00,1.FC Wunstorf,TuS Bersenbrück,200,0,0,/spielbericht/index/spielbericht/2904676,2017,Oberliga Niedersachsen
15.04.2018,15:00,TuS Bersenbrück,Heeslinger SC,200,0,3,/spielbericht/index/spielbericht/2904688,2017,Oberliga Niedersachsen
22.04.2018,15:00,TuS Bersenbrück,TuS Sulingen,380,5,1,/spielbericht/index/spielbericht/2904694,2017,Oberliga Niedersachsen
28.04.2018,16:00,Eintr. Northeim,TuS Bersenbrück,280,4,3,/spielbericht/index/spielbericht/2904700,2017,Oberliga Niedersachsen
06.05.2018,15:00,TuS Bersenbrück,VfL Oldenburg,250,1,3,/spielbericht/index/spielbericht/2904715,2017,Oberliga Niedersachsen
13.05.2018,15:00,MTV Gifhorn,TuS Bersenbrück,150,2,2,/spielbericht/index/spielbericht/2904718,2017,Oberliga Niedersachsen
19.05.2018,16:00,TuS Bersenbrück,Lupo-Martini,300,1,2,/spielbericht/index/spielbericht/2904729,2017,Oberliga Niedersachsen
23.07.2017,15:00,VfL Oythe,TuS Bersenbrück,,3,2,/spielbericht/index/spielbericht/2868237,2017,Niedersachsenpokal (- 17/18)
12.08.2018,15:00,TuS Bersenbrück,1.FC Wunstorf,400,4,0,/spielbericht/index/spielbericht/3053330,2018,Oberliga Niedersachsen
19.08.2018,15:00,Heeslinger SC,TuS Bersenbrück,296,1,1,/spielbericht/index/spielbericht/3084838,2018,Oberliga Niedersachsen
26.08.2018,15:00,TuS Bersenbrück,SVA Delmenhorst,550,1,2,/spielbericht/index/spielbericht/3084845,2018,Oberliga Niedersachsen
02.09.2018,15:00,VfV Hildesheim,TuS Bersenbrück,560,1,1,/spielbericht/index/spielbericht/3084867,2018,Oberliga Niedersachsen
09.09.2018,15:00,Hagen/Uthlede,TuS Bersenbrück,654,3,2,/spielbericht/index/spielbericht/3084870,2018,Oberliga Niedersachsen
16.09.2018,15:00,TuS Bersenbrück,Eintr. Northeim,350,2,0,/spielbericht/index/spielbericht/3084907,2018,Oberliga Niedersachsen
23.09.2018,15:00,VfL Oythe,TuS Bersenbrück,350,1,2,/spielbericht/index/spielbericht/3084920,2018,Oberliga Niedersachsen
30.09.2018,15:00,TuS Bersenbrück,Wolfenbüttel,300,3,1,/spielbericht/index/spielbericht/3084947,2018,Oberliga Niedersachsen
06.10.2018,16:00,TB Uphusen,TuS Bersenbrück,160,1,1,/spielbericht/index/spielbericht/3084958,2018,Oberliga Niedersachsen
14.10.2018,15:00,TuS Bersenbrück,HSC Hannover,520,3,1,/spielbericht/index/spielbericht/3084970,2018,Oberliga Niedersachsen
21.10.2018,15:00,Arm. Hannover,TuS Bersenbrück,291,1,4,/spielbericht/index/spielbericht/3084978,2018,Oberliga Niedersachsen
28.10.2018,14:00,TuS Bersenbrück,MTV Gifhorn,400,0,1,/spielbericht/index/spielbericht/3084986,2018,Oberliga Niedersachsen
04.11.2018,14:00,Braunschweig II,TuS Bersenbrück,164,3,3,/spielbericht/index/spielbericht/3084992,2018,Oberliga Niedersachsen
11.11.2018,14:00,TuS Bersenbrück,BV Cloppenburg,600,5,2,/spielbericht/index/spielbericht/3085002,2018,Oberliga Niedersachsen
18.11.2018,14:00,Spelle-Venhaus,TuS Bersenbrück,446,3,0,/spielbericht/index/spielbericht/3085008,2018,Oberliga Niedersachsen
24.11.2018,16:00,1.FC Wunstorf,TuS Bersenbrück,80,1,0,/spielbericht/index/spielbericht/3085014,2018,Oberliga Niedersachsen
01.12.2018,14:00,TuS Bersenbrück,Heeslinger SC,250,0,1,/spielbericht/index/spielbericht/3085020,2018,Oberliga Niedersachsen
31.10.2018,14:00,SVA Delmenhorst,TuS Bersenbrück,950,2,2,/spielbericht/index/spielbericht/3085033,2018,Oberliga Niedersachsen
24.02.2019,15:00,TuS Bersenbrück,VfV Hildesheim,350,2,0,/spielbericht/index/spielbericht/3086310,2018,Oberliga Niedersachsen
02.03.2019,15:00,TuS Bersenbrück,Hagen/Uthlede,300,2,2,/spielbericht/index/spielbericht/3086329,2018,Oberliga Niedersachsen
10.03.2019,14:00,Eintr. Northeim,TuS Bersenbrück,320,3,0,/spielbericht/index/spielbericht/3086426,2018,Oberliga Niedersachsen
17.03.2019,15:00,TuS Bersenbrück,VfL Oythe,250,3,1,/spielbericht/index/spielbericht/3086438,2018,Oberliga Niedersachsen
24.03.2019,15:00,Wolfenbüttel,TuS Bersenbrück,177,1,2,/spielbericht/index/spielbericht/3086455,2018,Oberliga Niedersachsen
30.03.2019,16:00,TuS Bersenbrück,TB Uphusen,300,3,0,/spielbericht/index/spielbericht/3086465,2018,Oberliga Niedersachsen
07.04.2019,15:00,HSC Hannover,TuS Bersenbrück,250,3,1,/spielbericht/index/spielbericht/3086478,2018,Oberliga Niedersachsen
14.04.2019,15:00,TuS Bersenbrück,Arm. Hannover,350,2,0,/spielbericht/index/spielbericht/3086496,2018,Oberliga Niedersachsen
28.04.2019,15:00,MTV Gifhorn,TuS Bersenbrück,150,1,0,/spielbericht/index/spielbericht/3086503,2018,Oberliga Niedersachsen
05.05.2019,15:00,TuS Bersenbrück,Braunschweig II,300,5,2,/spielbericht/index/spielbericht/3086510,2018,Oberliga Niedersachsen
10.05.2019,19:30,BV Cloppenburg,TuS Bersenbrück,150,2,4,/spielbericht/index/spielbericht/3086521,2018,Oberliga Niedersachsen
17.05.2019,19:00,TuS Bersenbrück,Spelle-Venhaus,500,1,2,/spielbericht/index/spielbericht/3086539,2018,Oberliga Niedersachsen
29.07.2018,15:00,VfL Oythe,TuS Bersenbrück,,1,4,/spielbericht/index/spielbericht/3052588,2018,Landespokal Niedersachsen (Amateure)
07.08.2018,19:15,TuS Bersenbrück,Spelle-Venhaus,,4,3,/spielbericht/index/spielbericht/3084049,2018,Landespokal Niedersachsen (Amateure)
03.10.2018,15:00,TuS Bersenbrück,Heeslinger SC,,4,2,/spielbericht/index/spielbericht/3090082,2018,Landespokal Niedersachsen (Amateure)
22.04.2019,15:00,Eintr. Northeim,TuS Bersenbrück,1.523,0,3,/spielbericht/index/spielbericht/3122646,2018,Landespokal Niedersachsen (Amateure)
25.05.2019,14:15,TuS Bersenbrück,SVA Delmenhorst,1.877,2,3,/spielbericht/index/spielbericht/3180931,2018,Landespokal Niedersachsen (Amateure)
04.08.2019,15:00,MTV Gifhorn,TuS Bersenbrück,250,2,2,/spielbericht/index/spielbericht/3197719,2019,Oberliga Niedersachsen
10.08.2019,16:00,TuS Bersenbrück,VfL Oldenburg,300,1,2,/spielbericht/index/spielbericht/3197731,2019,Oberliga Niedersachsen
18.08.2019,15:00,TuS Bersenbrück,FT Braunschweig,350,3,0,/spielbericht/index/spielbericht/3207295,2019,Oberliga Niedersachsen
25.08.2019,15:00,TuS Bersenbrück,MTVE Celle,250,1,5,/spielbericht/index/spielbericht/3207304,2019,Oberliga Niedersachsen
01.09.2019,15:00,Hagen/Uthlede,TuS Bersenbrück,270,2,1,/spielbericht/index/spielbericht/3207310,2019,Oberliga Niedersachsen
08.09.2019,15:00,TuS Bersenbrück,G. Egestorf/L.,300,2,1,/spielbericht/index/spielbericht/3207321,2019,Oberliga Niedersachsen
15.09.2019,15:00,Arm. Hannover,TuS Bersenbrück,320,0,2,/spielbericht/index/spielbericht/3207327,2019,Oberliga Niedersachsen
22.09.2019,15:00,TuS Bersenbrück,Lupo-Martini,300,1,1,/spielbericht/index/spielbericht/3207341,2019,Oberliga Niedersachsen
06.10.2019,15:00,TuS Bersenbrück,Wolfenbüttel,200,2,2,/spielbericht/index/spielbericht/3207359,2019,Oberliga Niedersachsen
20.10.2019,15:00,TuS Bersenbrück,Spelle-Venhaus,150,4,2,/spielbericht/index/spielbericht/3207415,2019,Oberliga Niedersachsen
27.10.2019,14:00,Eintr. Northeim,TuS Bersenbrück,255,3,1,/spielbericht/index/spielbericht/3207419,2019,Oberliga Niedersachsen
31.10.2019,15:00,TuS Bersenbrück,SVA Delmenhorst,500,0,0,/spielbericht/index/spielbericht/3207433,2019,Oberliga Niedersachsen
03.11.2019,14:00,TuS Bersenbrück,Heeslinger SC,250,2,1,/spielbericht/index/spielbericht/3207442,2019,Oberliga Niedersachsen
