date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,18:00,TuS Dassendorf,SC Victoria,514,3,3,/spielbericht/index/spielbericht/2467936,2014,Oberliga Hamburg
10.08.2014,15:00,SC Vier-Marsch.,TuS Dassendorf,,0,4,/spielbericht/index/spielbericht/2475573,2014,Oberliga Hamburg
15.08.2014,19:00,TuS Dassendorf,VfL Pinneberg,173,2,0,/spielbericht/index/spielbericht/2485737,2014,Oberliga Hamburg
24.08.2014,10:45,USC Paloma,TuS Dassendorf,270,0,3,/spielbericht/index/spielbericht/2485751,2014,Oberliga Hamburg
29.08.2014,19:00,TuS Dassendorf,TSV Buchholz 08,224,3,1,/spielbericht/index/spielbericht/2485756,2014,Oberliga Hamburg
05.09.2014,19:00,Germ. Schnelsen,TuS Dassendorf,,0,2,/spielbericht/index/spielbericht/2494592,2014,Oberliga Hamburg
13.09.2014,13:30,TuS Dassendorf,SV Curslack-N.,350,3,1,/spielbericht/index/spielbericht/2494601,2014,Oberliga Hamburg
19.09.2014,20:00,FC Süderelbe,TuS Dassendorf,722,1,2,/spielbericht/index/spielbericht/2499126,2014,Oberliga Hamburg
04.10.2014,13:30,TuS Dassendorf,SC Condor,157,3,1,/spielbericht/index/spielbericht/2500840,2014,Oberliga Hamburg
12.10.2014,14:00,Altona 93,TuS Dassendorf,1.062,3,0,/spielbericht/index/spielbericht/2502899,2014,Oberliga Hamburg
18.10.2014,13:00,TuS Dassendorf,SV Halstenbek,322,2,4,/spielbericht/index/spielbericht/2502966,2014,Oberliga Hamburg
25.10.2014,14:00,Meiendorfer SV,TuS Dassendorf,320,2,1,/spielbericht/index/spielbericht/2504688,2014,Oberliga Hamburg
01.11.2014,13:30,TuS Dassendorf,Niendorfer TSV,131,0,4,/spielbericht/index/spielbericht/2504696,2014,Oberliga Hamburg
08.11.2014,15:00,SV Rugenbergen,TuS Dassendorf,110,0,3,/spielbericht/index/spielbericht/2504707,2014,Oberliga Hamburg
15.11.2014,13:30,TuS Dassendorf,Buxtehude,123,3,1,/spielbericht/index/spielbericht/2504715,2014,Oberliga Hamburg
23.11.2014,14:00,Barmbek-U.,TuS Dassendorf,,2,1,/spielbericht/index/spielbericht/2504727,2014,Oberliga Hamburg
30.11.2014,18:00,SC Victoria,TuS Dassendorf,403,1,0,/spielbericht/index/spielbericht/2504730,2014,Oberliga Hamburg
06.12.2014,13:30,TuS Dassendorf,SC Vier-Marsch.,,4,1,/spielbericht/index/spielbericht/2504741,2014,Oberliga Hamburg
14.02.2015,14:00,VfL Pinneberg,TuS Dassendorf,178,1,1,/spielbericht/index/spielbericht/2504755,2014,Oberliga Hamburg
21.02.2015,13:30,TuS Dassendorf,USC Paloma,108,5,0,/spielbericht/index/spielbericht/2504758,2014,Oberliga Hamburg
01.03.2015,14:00,TSV Buchholz 08,TuS Dassendorf,350,2,2,/spielbericht/index/spielbericht/2504771,2014,Oberliga Hamburg
08.03.2015,13:30,TuS Dassendorf,Germ. Schnelsen,125,7,0,/spielbericht/index/spielbericht/2527473,2014,Oberliga Hamburg
14.03.2015,15:00,SV Curslack-N.,TuS Dassendorf,253,0,4,/spielbericht/index/spielbericht/2527479,2014,Oberliga Hamburg
21.03.2015,13:30,TuS Dassendorf,FC Süderelbe,138,3,0,/spielbericht/index/spielbericht/2527505,2014,Oberliga Hamburg
02.04.2015,19:00,SC Condor,TuS Dassendorf,147,1,1,/spielbericht/index/spielbericht/2527595,2014,Oberliga Hamburg
11.04.2015,13:30,TuS Dassendorf,Altona 93,334,3,0,/spielbericht/index/spielbericht/2527602,2014,Oberliga Hamburg
19.04.2015,14:00,SV Halstenbek,TuS Dassendorf,250,1,2,/spielbericht/index/spielbericht/2527614,2014,Oberliga Hamburg
25.04.2015,13:30,TuS Dassendorf,Meiendorfer SV,238,5,0,/spielbericht/index/spielbericht/2527618,2014,Oberliga Hamburg
03.05.2015,14:00,Niendorfer TSV,TuS Dassendorf,200,0,1,/spielbericht/index/spielbericht/2527639,2014,Oberliga Hamburg
09.05.2015,13:30,TuS Dassendorf,SV Rugenbergen,350,0,0,/spielbericht/index/spielbericht/2527643,2014,Oberliga Hamburg
