date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
17.08.2014,15:00,TuS Erndtebrück,TuS Ennepetal,250,2,0,/spielbericht/index/spielbericht/2469895,2014,Oberliga Westfalen
24.08.2014,15:00,Hammer SpVg,TuS Erndtebrück,450,0,4,/spielbericht/index/spielbericht/2469906,2014,Oberliga Westfalen
31.08.2014,15:00,SV Lippstadt 08,TuS Erndtebrück,355,1,2,/spielbericht/index/spielbericht/2485840,2014,Oberliga Westfalen
07.09.2014,15:00,TuS Erndtebrück,ASC 09 Dortmund,200,1,2,/spielbericht/index/spielbericht/2485847,2014,Oberliga Westfalen
13.09.2014,15:00,VfB Hüls,TuS Erndtebrück,175,2,2,/spielbericht/index/spielbericht/2485858,2014,Oberliga Westfalen
21.09.2014,15:00,TuS Erndtebrück,Sprockhövel,150,2,1,/spielbericht/index/spielbericht/2496943,2014,Oberliga Westfalen
28.09.2014,15:00,SV Zweckel,TuS Erndtebrück,265,0,3,/spielbericht/index/spielbericht/2500777,2014,Oberliga Westfalen
05.10.2014,15:00,TuS Erndtebrück,Neuenkirchen,150,4,0,/spielbericht/index/spielbericht/2500790,2014,Oberliga Westfalen
11.10.2014,16:00,Erkenschwick,TuS Erndtebrück,483,1,0,/spielbericht/index/spielbericht/2502532,2014,Oberliga Westfalen
19.10.2014,15:00,TuS Erndtebrück,Westf. Rhynern,200,5,0,/spielbericht/index/spielbericht/2504491,2014,Oberliga Westfalen
26.10.2014,15:00,SuS Stadtlohn,TuS Erndtebrück,325,1,0,/spielbericht/index/spielbericht/2504505,2014,Oberliga Westfalen
02.11.2014,14:30,TuS Erndtebrück,Rot Weiss Ahlen,570,7,1,/spielbericht/index/spielbericht/2504510,2014,Oberliga Westfalen
09.11.2014,14:30,SC Roland,TuS Erndtebrück,270,0,0,/spielbericht/index/spielbericht/2504516,2014,Oberliga Westfalen
16.11.2014,14:30,TuS Erndtebrück,A. Bielefeld II,181,2,0,/spielbericht/index/spielbericht/2504527,2014,Oberliga Westfalen
30.11.2014,14:30,Eintr. Rheine,TuS Erndtebrück,380,1,2,/spielbericht/index/spielbericht/2504540,2014,Oberliga Westfalen
07.12.2014,14:30,TuS Erndtebrück,Westfalia Herne,160,5,1,/spielbericht/index/spielbericht/2504545,2014,Oberliga Westfalen
13.05.2015,19:30,FC Gütersloh,TuS Erndtebrück,311,0,2,/spielbericht/index/spielbericht/2504560,2014,Oberliga Westfalen
22.02.2015,15:00,TuS Ennepetal,TuS Erndtebrück,95,1,1,/spielbericht/index/spielbericht/2504568,2014,Oberliga Westfalen
28.02.2015,15:00,TuS Erndtebrück,Hammer SpVg,110,0,1,/spielbericht/index/spielbericht/2504570,2014,Oberliga Westfalen
08.03.2015,15:00,TuS Erndtebrück,SV Lippstadt 08,310,1,1,/spielbericht/index/spielbericht/2504580,2014,Oberliga Westfalen
15.03.2015,15:00,ASC 09 Dortmund,TuS Erndtebrück,250,1,3,/spielbericht/index/spielbericht/2527675,2014,Oberliga Westfalen
22.03.2015,15:00,TuS Erndtebrück,VfB Hüls,180,4,1,/spielbericht/index/spielbericht/2527682,2014,Oberliga Westfalen
29.03.2015,15:00,Sprockhövel,TuS Erndtebrück,250,0,4,/spielbericht/index/spielbericht/2527693,2014,Oberliga Westfalen
06.04.2015,15:00,TuS Erndtebrück,SV Zweckel,,3,0,/spielbericht/index/spielbericht/2527698,2014,Oberliga Westfalen
12.04.2015,15:00,Neuenkirchen,TuS Erndtebrück,421,2,0,/spielbericht/index/spielbericht/2527711,2014,Oberliga Westfalen
19.04.2015,15:00,TuS Erndtebrück,Erkenschwick,315,2,0,/spielbericht/index/spielbericht/2527714,2014,Oberliga Westfalen
26.04.2015,15:00,Westf. Rhynern,TuS Erndtebrück,500,0,1,/spielbericht/index/spielbericht/2527729,2014,Oberliga Westfalen
03.05.2015,15:00,TuS Erndtebrück,SuS Stadtlohn,280,4,1,/spielbericht/index/spielbericht/2527738,2014,Oberliga Westfalen
10.05.2015,15:00,Rot Weiss Ahlen,TuS Erndtebrück,1.245,1,1,/spielbericht/index/spielbericht/2527747,2014,Oberliga Westfalen
17.05.2015,15:00,TuS Erndtebrück,SC Roland,390,0,0,/spielbericht/index/spielbericht/2527754,2014,Oberliga Westfalen
25.05.2015,15:00,A. Bielefeld II,TuS Erndtebrück,150,0,1,/spielbericht/index/spielbericht/2527758,2014,Oberliga Westfalen
31.05.2015,15:00,TuS Erndtebrück,Eintr. Rheine,420,1,0,/spielbericht/index/spielbericht/2527770,2014,Oberliga Westfalen
07.06.2015,15:00,Westfalia Herne,TuS Erndtebrück,495,2,2,/spielbericht/index/spielbericht/2527783,2014,Oberliga Westfalen
14.06.2015,15:00,TuS Erndtebrück,FC Gütersloh,510,1,0,/spielbericht/index/spielbericht/2527786,2014,Oberliga Westfalen
01.08.2015,14:00,M'gladbach II,TuS Erndtebrück,401,5,1,/spielbericht/index/spielbericht/2587068,2015,Regionalliga West
16.09.2015,19:30,TuS Erndtebrück,Wattenscheid 09,381,2,3,/spielbericht/index/spielbericht/2587078,2015,Regionalliga West
15.08.2015,14:00,Wegberg-Beeck,TuS Erndtebrück,433,0,3,/spielbericht/index/spielbericht/2587088,2015,Regionalliga West
22.08.2015,14:00,TuS Erndtebrück,SSVg Velbert 02,415,1,2,/spielbericht/index/spielbericht/2587096,2015,Regionalliga West
25.08.2015,19:30,RW Essen,TuS Erndtebrück,6.716,9,1,/spielbericht/index/spielbericht/2587107,2015,Regionalliga West
