date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,14:00,FCA Walldorf,TuS Koblenz,820,5,1,/spielbericht/index/spielbericht/2467011,2014,Regionalliga Südwest
06.08.2014,19:00,TuS Koblenz,SV Elversberg,1.433,0,1,/spielbericht/index/spielbericht/2467015,2014,Regionalliga Südwest
09.08.2014,14:00,KSV Baunatal,TuS Koblenz,475,1,0,/spielbericht/index/spielbericht/2467025,2014,Regionalliga Südwest
16.08.2014,14:00,TuS Koblenz,SVN Zweibrücken,1.076,1,1,/spielbericht/index/spielbericht/2467042,2014,Regionalliga Südwest
22.08.2014,19:00,FC Nöttingen,TuS Koblenz,784,0,2,/spielbericht/index/spielbericht/2467031,2014,Regionalliga Südwest
27.08.2014,19:00,TuS Koblenz,Hoffenheim II,1.098,0,0,/spielbericht/index/spielbericht/2467058,2014,Regionalliga Südwest
31.08.2014,14:00,TuS Koblenz,W. Mannheim,1.393,1,2,/spielbericht/index/spielbericht/2467132,2014,Regionalliga Südwest
05.09.2014,19:00,Saarbrücken,TuS Koblenz,4.215,3,0,/spielbericht/index/spielbericht/2467133,2014,Regionalliga Südwest
12.09.2014,19:00,TuS Koblenz,K'lautern II,1.032,0,3,/spielbericht/index/spielbericht/2467143,2014,Regionalliga Südwest
22.09.2014,20:15,Eintracht Trier,TuS Koblenz,1.647,0,0,/spielbericht/index/spielbericht/2467159,2014,Regionalliga Südwest
27.09.2014,14:00,TuS Koblenz,K. Offenbach,2.072,1,2,/spielbericht/index/spielbericht/2467165,2014,Regionalliga Südwest
03.10.2014,15:30,Hessen Kassel,TuS Koblenz,1.600,3,0,/spielbericht/index/spielbericht/2467172,2014,Regionalliga Südwest
12.10.2014,14:00,TuS Koblenz,FK Pirmasens,1.095,2,1,/spielbericht/index/spielbericht/2467186,2014,Regionalliga Südwest
18.10.2014,14:00,SpVgg Neckarelz,TuS Koblenz,400,1,2,/spielbericht/index/spielbericht/2467192,2014,Regionalliga Südwest
24.10.2014,19:00,TuS Koblenz,Wormatia Worms,1.176,0,2,/spielbericht/index/spielbericht/2467196,2014,Regionalliga Südwest
01.11.2014,14:00,FC 08 Homburg,TuS Koblenz,1.718,2,1,/spielbericht/index/spielbericht/2467209,2014,Regionalliga Südwest
09.11.2014,14:00,TuS Koblenz,SC Freiburg II,899,0,1,/spielbericht/index/spielbericht/2467222,2014,Regionalliga Südwest
21.11.2014,19:30,TuS Koblenz,FCA Walldorf,860,1,1,/spielbericht/index/spielbericht/2467223,2014,Regionalliga Südwest
