date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
15.07.2018,13:30,SV Pullach,Türkgücü München,300,2,0,/spielbericht/index/spielbericht/3071074,2018,Bayernliga Süd
18.07.2018,18:30,Türkgücü München,TSV Kottern,150,4,1,/spielbericht/index/spielbericht/3076153,2018,Bayernliga Süd
22.07.2018,16:00,FC Ismaning,Türkgücü München,300,0,0,/spielbericht/index/spielbericht/3078301,2018,Bayernliga Süd
28.07.2018,15:00,Türkgücü München,1865 Dachau,150,2,0,/spielbericht/index/spielbericht/3081965,2018,Bayernliga Süd
01.08.2018,18:30,1860 München II,Türkgücü München,350,0,1,/spielbericht/index/spielbericht/3084002,2018,Bayernliga Süd
05.08.2018,15:00,Türkgücü München,DJK Vilzing,120,3,0,/spielbericht/index/spielbericht/3087393,2018,Bayernliga Süd
11.08.2018,17:00,Nördlingen,Türkgücü München,750,0,2,/spielbericht/index/spielbericht/3090157,2018,Bayernliga Süd
19.08.2018,17:00,Türkgücü München,TuS Holzkirchen,240,3,2,/spielbericht/index/spielbericht/3091707,2018,Bayernliga Süd
25.08.2018,16:00,Kirchanschöring,Türkgücü München,550,1,0,/spielbericht/index/spielbericht/3091973,2018,Bayernliga Süd
02.09.2018,17:00,Türkgücü München,1.FC Sonthofen,160,4,0,/spielbericht/index/spielbericht/3091975,2018,Bayernliga Süd
08.09.2018,15:00,TSV Rain/Lech,Türkgücü München,390,0,1,/spielbericht/index/spielbericht/3091987,2018,Bayernliga Süd
16.09.2018,17:00,Türkgücü München,SpVgg Hankofen,220,3,1,/spielbericht/index/spielbericht/3091991,2018,Bayernliga Süd
23.09.2018,15:00,Schwabmünchen,Türkgücü München,510,1,3,/spielbericht/index/spielbericht/3092001,2018,Bayernliga Süd
15.08.2018,13:00,Türkgücü München,Schwaben Augsb.,220,2,0,/spielbericht/index/spielbericht/3092007,2018,Bayernliga Süd
07.10.2018,16:00,Regensburg II,Türkgücü München,250,0,2,/spielbericht/index/spielbericht/3092015,2018,Bayernliga Süd
21.10.2018,17:00,Türkgücü München,FC Unterföhring,256,1,0,/spielbericht/index/spielbericht/3092031,2018,Bayernliga Süd
28.10.2018,15:00,Türkgücü München,SV Pullach,200,2,0,/spielbericht/index/spielbericht/3092045,2018,Bayernliga Süd
03.11.2018,14:00,TSV Kottern,Türkgücü München,650,2,1,/spielbericht/index/spielbericht/3092047,2018,Bayernliga Süd
11.11.2018,17:00,Türkgücü München,FC Ismaning,305,1,0,/spielbericht/index/spielbericht/3092059,2018,Bayernliga Süd
17.11.2018,14:00,1865 Dachau,Türkgücü München,220,1,2,/spielbericht/index/spielbericht/3092063,2018,Bayernliga Süd
25.11.2018,15:00,Türkgücü München,1860 München II,305,1,1,/spielbericht/index/spielbericht/3092073,2018,Bayernliga Süd
02.03.2019,14:00,DJK Vilzing,Türkgücü München,420,3,1,/spielbericht/index/spielbericht/3092079,2018,Bayernliga Süd
09.03.2019,14:00,Türkgücü München,Nördlingen,120,2,2,/spielbericht/index/spielbericht/3092087,2018,Bayernliga Süd
10.04.2019,17:45,TuS Holzkirchen,Türkgücü München,120,3,2,/spielbericht/index/spielbericht/3092095,2018,Bayernliga Süd
24.03.2019,16:00,Türkgücü München,Kirchanschöring,200,3,0,/spielbericht/index/spielbericht/3092109,2018,Bayernliga Süd
30.03.2019,14:00,1.FC Sonthofen,Türkgücü München,290,1,4,/spielbericht/index/spielbericht/3092111,2018,Bayernliga Süd
07.04.2019,17:00,Türkgücü München,TSV Rain/Lech,250,1,1,/spielbericht/index/spielbericht/3092123,2018,Bayernliga Süd
14.04.2019,17:00,SpVgg Hankofen,Türkgücü München,470,0,0,/spielbericht/index/spielbericht/3092127,2018,Bayernliga Süd
01.05.2019,13:00,Türkgücü München,Schwabmünchen,285,1,0,/spielbericht/index/spielbericht/3092137,2018,Bayernliga Süd
27.04.2019,15:00,Schwaben Augsb.,Türkgücü München,250,2,3,/spielbericht/index/spielbericht/3092143,2018,Bayernliga Süd
05.05.2019,16:00,Türkgücü München,Regensburg II,111,3,2,/spielbericht/index/spielbericht/3092151,2018,Bayernliga Süd
18.05.2019,14:00,FC Unterföhring,Türkgücü München,73,4,1,/spielbericht/index/spielbericht/3092167,2018,Bayernliga Süd
07.08.2019,18:30,SV Oberegg,Türkgücü München,600,0,9,/spielbericht/index/spielbericht/3227529,2019,Landespokal Bayern
20.08.2019,19:00,TSV Landsberg,Türkgücü München,320,0,4,/spielbericht/index/spielbericht/3240820,2019,Landespokal Bayern
04.09.2019,19:00,Türkgücü München,Unterhaching,1.559,2,3,/spielbericht/index/spielbericht/3247434,2019,Landespokal Bayern
19.09.2020,14:00,B. München II,Türkgücü München,x,2,2,/spielbericht/index/spielbericht/3421863,2020,3. Liga
27.09.2020,14:00,Türkgücü München,1.FC K'lautern,x,3,0,/spielbericht/index/spielbericht/3421879,2020,3. Liga
03.10.2020,14:00,W. Mannheim,Türkgücü München,3.794,4,4,/spielbericht/index/spielbericht/3421891,2020,3. Liga
10.10.2020,14:00,Türkgücü München,Wehen Wiesbaden,x,0,0,/spielbericht/index/spielbericht/3421899,2020,3. Liga
16.10.2020,19:00,1.FC Magdeburg,Türkgücü München,5.100,2,0,/spielbericht/index/spielbericht/3421903,2020,3. Liga
20.10.2020,19:00,Türkgücü München,VfB Lübeck,x,4,3,/spielbericht/index/spielbericht/3421917,2020,3. Liga
04.11.2020,19:00,FSV Zwickau,Türkgücü München,x,0,1,/spielbericht/index/spielbericht/3421927,2020,3. Liga
01.11.2020,14:00,Türkgücü München,FC Ingolstadt,x,1,1,/spielbericht/index/spielbericht/3421942,2020,3. Liga
02.12.2020,19:00,Hansa Rostock,Türkgücü München,x,2,0,/spielbericht/index/spielbericht/3421945,2020,3. Liga
14.11.2020,14:00,Türkgücü München,MSV Duisburg,x,2,1,/spielbericht/index/spielbericht/3421958,2020,3. Liga
23.12.2020,17:30,SV Meppen,Türkgücü München,x,1,4,/spielbericht/index/spielbericht/3421967,2020,3. Liga
24.11.2020,19:00,Türkgücü München,Saarbrücken,x,1,1,/spielbericht/index/spielbericht/3421982,2020,3. Liga
28.11.2020,14:03,1860 München,Türkgücü München,x,2,2,/spielbericht/index/spielbericht/3421992,2020,3. Liga
19.01.2021,19:00,Türkgücü München,Unterhaching,x,0,0,/spielbericht/index/spielbericht/3422002,2020,3. Liga
12.12.2020,14:00,KFC Uerdingen,Türkgücü München,x,1,0,/spielbericht/index/spielbericht/3422003,2020,3. Liga
15.12.2020,19:00,Türkgücü München,Hallescher FC,x,0,3,/spielbericht/index/spielbericht/3422027,2020,3. Liga
20.12.2020,13:00,SC Verl,Türkgücü München,x,0,1,/spielbericht/index/spielbericht/3422038,2020,3. Liga
11.01.2021,19:00,Türkgücü München,Dynamo Dresden,x,1,0,/spielbericht/index/spielbericht/3422043,2020,3. Liga
15.01.2021,19:00,Viktoria Köln,Türkgücü München,x,0,2,/spielbericht/index/spielbericht/3422057,2020,3. Liga
22.01.2021,19:00,Türkgücü München,B. München II,x,0,0,/spielbericht/index/spielbericht/3422069,2020,3. Liga
26.01.2021,19:00,1.FC K'lautern,Türkgücü München,x,0,0,/spielbericht/index/spielbericht/3422082,2020,3. Liga
30.01.2021,14:00,Türkgücü München,W. Mannheim,x,0,2,/spielbericht/index/spielbericht/3422089,2020,3. Liga
07.02.2021,14:00,Wehen Wiesbaden,Türkgücü München,x,3,1,/spielbericht/index/spielbericht/3422103,2020,3. Liga
15.02.2021,19:00,Türkgücü München,1.FC Magdeburg,x,2,1,/spielbericht/index/spielbericht/3422112,2020,3. Liga
20.02.2021,14:00,VfB Lübeck,Türkgücü München,x,0,2,/spielbericht/index/spielbericht/3422114,2020,3. Liga
28.02.2021,13:00,Türkgücü München,FSV Zwickau,x,1,1,/spielbericht/index/spielbericht/3422130,2020,3. Liga
08.03.2021,19:00,FC Ingolstadt,Türkgücü München,x,2,1,/spielbericht/index/spielbericht/3422139,2020,3. Liga
15.03.2021,19:00,Türkgücü München,Hansa Rostock,x,0,3,/spielbericht/index/spielbericht/3422158,2020,3. Liga
20.03.2021,14:00,MSV Duisburg,Türkgücü München,x,3,2,/spielbericht/index/spielbericht/3422173,2020,3. Liga
04.04.2021,13:00,Türkgücü München,SV Meppen,x,2,0,/spielbericht/index/spielbericht/3422184,2020,3. Liga
10.04.2021,14:00,Saarbrücken,Türkgücü München,x,2,1,/spielbericht/index/spielbericht/3422201,2020,3. Liga
17.04.2021,14:00,Türkgücü München,1860 München,x,0,2,/spielbericht/index/spielbericht/3422209,2020,3. Liga
21.04.2021,19:00,Unterhaching,Türkgücü München,x,0,2,/spielbericht/index/spielbericht/3422220,2020,3. Liga
24.04.2021,14:00,Türkgücü München,KFC Uerdingen,x,0,2,/spielbericht/index/spielbericht/3422229,2020,3. Liga
04.05.2021,19:00,Hallescher FC,Türkgücü München,x,4,1,/spielbericht/index/spielbericht/3422236,2020,3. Liga
07.05.2021,19:00,Türkgücü München,SC Verl,x,1,2,/spielbericht/index/spielbericht/3422243,2020,3. Liga
16.05.2021,14:00,Dynamo Dresden,Türkgücü München,x,4,0,/spielbericht/index/spielbericht/3422260,2020,3. Liga
22.05.2021,13:30,Türkgücü München,Viktoria Köln,x,1,1,/spielbericht/index/spielbericht/3422272,2020,3. Liga
12.07.2019,18:30,SV Schalding,Türkgücü München,1.904,0,2,/spielbericht/index/spielbericht/3202109,2020,Regionalliga Bayern
20.07.2019,14:00,Türkgücü München,Aschaffenburg,670,3,1,/spielbericht/index/spielbericht/3211662,2020,Regionalliga Bayern
23.07.2019,19:00,VfR Garching,Türkgücü München,1.000,2,0,/spielbericht/index/spielbericht/3211668,2020,Regionalliga Bayern
27.07.2019,14:00,Türkgücü München,FC Memmingen,347,4,2,/spielbericht/index/spielbericht/3211677,2020,Regionalliga Bayern
04.08.2019,11:00,TSV Buchbach,Türkgücü München,1.512,2,1,/spielbericht/index/spielbericht/3211691,2020,Regionalliga Bayern
10.08.2019,14:00,Türkgücü München,FC Augsburg II,487,3,2,/spielbericht/index/spielbericht/3221802,2020,Regionalliga Bayern
17.08.2019,14:00,FV Illertissen,Türkgücü München,420,0,2,/spielbericht/index/spielbericht/3221814,2020,Regionalliga Bayern
24.08.2019,14:00,Türkgücü München,Nürnberg II,461,2,0,/spielbericht/index/spielbericht/3221820,2020,Regionalliga Bayern
30.08.2019,18:00,SpVgg Bayreuth,Türkgücü München,1.734,0,0,/spielbericht/index/spielbericht/3221830,2020,Regionalliga Bayern
07.09.2019,14:00,Türkgücü München,1860 Rosenheim,454,4,1,/spielbericht/index/spielbericht/3221838,2020,Regionalliga Bayern
14.09.2019,14:00,Türkgücü München,VfB Eichstätt,386,0,1,/spielbericht/index/spielbericht/3221847,2020,Regionalliga Bayern
21.09.2019,14:00,TSV Aubstadt,Türkgücü München,944,1,3,/spielbericht/index/spielbericht/3221854,2020,Regionalliga Bayern
28.09.2019,13:00,Türkgücü München,Gr. Fürth II,317,2,0,/spielbericht/index/spielbericht/3221865,2020,Regionalliga Bayern
07.10.2019,20:15,W. Burghausen,Türkgücü München,850,1,2,/spielbericht/index/spielbericht/3221879,2020,Regionalliga Bayern
12.10.2019,14:00,Türkgücü München,TSV Rain/Lech,422,2,0,/spielbericht/index/spielbericht/3221883,2020,Regionalliga Bayern
21.10.2019,20:15,Schweinfurt 05,Türkgücü München,2.642,1,1,/spielbericht/index/spielbericht/3221895,2020,Regionalliga Bayern
26.10.2019,14:00,Türkgücü München,SV Heimstetten,506,4,0,/spielbericht/index/spielbericht/3221901,2020,Regionalliga Bayern
02.11.2019,14:00,Türkgücü München,SV Schalding,321,3,0,/spielbericht/index/spielbericht/3221911,2020,Regionalliga Bayern
09.11.2019,14:00,Aschaffenburg,Türkgücü München,2.269,0,1,/spielbericht/index/spielbericht/3221919,2020,Regionalliga Bayern
16.11.2019,14:00,Türkgücü München,VfR Garching,503,3,1,/spielbericht/index/spielbericht/3221927,2020,Regionalliga Bayern
23.11.2019,14:00,FC Memmingen,Türkgücü München,1.531,3,4,/spielbericht/index/spielbericht/3221937,2020,Regionalliga Bayern
30.11.2019,14:00,Türkgücü München,TSV Buchbach,659,4,1,/spielbericht/index/spielbericht/3221951,2020,Regionalliga Bayern
07.03.2020,14:00,FC Augsburg II,Türkgücü München,936,1,1,/spielbericht/index/spielbericht/3221955,2020,Regionalliga Bayern
25.07.2021,14:00,SC Verl,Türkgücü München,874,,,/spielbericht/index/spielbericht/3594101,2021,3. Liga
01.08.2021,13:00,Türkgücü München,Hallescher FC,688,,,/spielbericht/index/spielbericht/3594164,2021,3. Liga
14.08.2021,14:00,1860 München,Türkgücü München,4.225,,,/spielbericht/index/spielbericht/3594178,2021,3. Liga
22.08.2021,15:00,Türkgücü München,SC Freiburg II,1.000,,,/spielbericht/index/spielbericht/3594174,2021,3. Liga
25.08.2021,19:00,TSV Havelse,Türkgücü München,782,,,/spielbericht/index/spielbericht/3594150,2021,3. Liga
28.08.2021,14:00,Türkgücü München,VfL Osnabrück,784,,,/spielbericht/index/spielbericht/3594204,2021,3. Liga
04.09.2021,14:00,W. Mannheim,Türkgücü München,7.792,,,/spielbericht/index/spielbericht/3594250,2021,3. Liga
13.09.2021,19:00,Türkgücü München,MSV Duisburg,600,,,/spielbericht/index/spielbericht/3594194,2021,3. Liga
18.09.2021,14:00,Saarbrücken,Türkgücü München,6.300,,,/spielbericht/index/spielbericht/3594243,2021,3. Liga
26.09.2021,13:00,Türkgücü München,B. Dortmund II,2.209,,,/spielbericht/index/spielbericht/3594136,2021,3. Liga
04.10.2021,19:00,1.FC Magdeburg,Türkgücü München,14.855,,,/spielbericht/index/spielbericht/3594223,2021,3. Liga
17.10.2021,13:00,Türkgücü München,Wehen Wiesbaden,1.946,,,/spielbericht/index/spielbericht/3594216,2021,3. Liga
23.10.2021,14:00,Würzb. Kickers,Türkgücü München,3.012,,,/spielbericht/index/spielbericht/3594237,2021,3. Liga
31.10.2021,13:00,SV Meppen,Türkgücü München,7.261,,,/spielbericht/index/spielbericht/3594405,2021,3. Liga
05.11.2021,19:00,Türkgücü München,Viktoria Köln,1.016,,,/spielbericht/index/spielbericht/3594344,2021,3. Liga
20.11.2021,14:00,E. Braunschweig,Türkgücü München,7.795,,,/spielbericht/index/spielbericht/3594145,2021,3. Liga
29.11.2021,19:00,Türkgücü München,FSV Zwickau,388,,,/spielbericht/index/spielbericht/3594359,2021,3. Liga
04.12.2021,14:00,Viktoria Berlin,Türkgücü München,574,,,/spielbericht/index/spielbericht/3594310,2021,3. Liga
10.12.2021,19:00,Türkgücü München,1.FC K'lautern,x,,,/spielbericht/index/spielbericht/3594276,2021,3. Liga
18.12.2021,14:00,Türkgücü München,SC Verl,x,,,/spielbericht/index/spielbericht/3594486,2021,3. Liga
08.02.2022,19:00,Hallescher FC,Türkgücü München,3.318,,,/spielbericht/index/spielbericht/3594328,2021,3. Liga
16.02.2022,19:00,Türkgücü München,1860 München,8.503,,,/spielbericht/index/spielbericht/3594449,2021,3. Liga
25.01.2022,19:00,SC Freiburg II,Türkgücü München,750,,,/spielbericht/index/spielbericht/3594421,2021,3. Liga
29.01.2022,14:00,Türkgücü München,TSV Havelse,600,,,/spielbericht/index/spielbericht/3594318,2021,3. Liga
05.02.2022,14:00,VfL Osnabrück,Türkgücü München,500,,,/spielbericht/index/spielbericht/3594289,2021,3. Liga
12.02.2022,14:00,Türkgücü München,W. Mannheim,1.000,,,/spielbericht/index/spielbericht/3594454,2021,3. Liga
19.02.2022,14:00,MSV Duisburg,Türkgücü München,5.892,,,/spielbericht/index/spielbericht/3594381,2021,3. Liga
28.02.2022,19:00,Türkgücü München,Saarbrücken,800,,,/spielbericht/index/spielbericht/3594475,2021,3. Liga
,,B. Dortmund II,Türkgücü München,1.015,,,/spielbericht/index/spielbericht/3594354,2021,3. Liga
12.03.2022,14:00,Türkgücü München,1.FC Magdeburg,2.489,,,/spielbericht/index/spielbericht/3594447,2021,3. Liga
19.03.2022,14:00,Wehen Wiesbaden,Türkgücü München,1.618,,,/spielbericht/index/spielbericht/3594305,2021,3. Liga
03.04.2022,13:00,Türkgücü München,Würzb. Kickers,,,,/spielbericht/index/spielbericht/3594377,2021,3. Liga
09.04.2022,14:00,Türkgücü München,SV Meppen,,,,/spielbericht/index/spielbericht/3594284,2021,3. Liga
16.04.2022,14:00,Viktoria Köln,Türkgücü München,,,,/spielbericht/index/spielbericht/3594423,2021,3. Liga
23.04.2022,unbekannt,Türkgücü München,E. Braunschweig,,,,/spielbericht/index/spielbericht/3594481,2021,3. Liga
30.04.2022,unbekannt,FSV Zwickau,Türkgücü München,,,,/spielbericht/index/spielbericht/3594430,2021,3. Liga
07.05.2022,unbekannt,Türkgücü München,Viktoria Berlin,,,,/spielbericht/index/spielbericht/3594398,2021,3. Liga
14.05.2022,unbekannt,1.FC K'lautern,Türkgücü München,,,,/spielbericht/index/spielbericht/3594262,2021,3. Liga
08.08.2021,15:30,Türkgücü München,Union Berlin,2.500,0,1,/spielbericht/index/spielbericht/3601608,2021,DFB-Pokal
16.07.2022,14:00,SV Heimstetten,Türkgücü München,580,1,2,/spielbericht/index/spielbericht/3837544,2022,Regionalliga Bayern
22.07.2022,19:00,W. Burghausen,Türkgücü München,760,2,1,/spielbericht/index/spielbericht/3855206,2022,Regionalliga Bayern
31.07.2022,14:00,B. München II,Türkgücü München,1.415,3,2,/spielbericht/index/spielbericht/3855312,2022,Regionalliga Bayern
20.09.2022,18:30,Türkgücü München,Gr. Fürth II,111,0,1,/spielbericht/index/spielbericht/3855322,2022,Regionalliga Bayern
06.08.2022,17:00,TSV Aubstadt,Türkgücü München,418,1,1,/spielbericht/index/spielbericht/3855301,2022,Regionalliga Bayern
13.08.2022,14:00,Türkgücü München,Würzb. Kickers,650,0,0,/spielbericht/index/spielbericht/3855290,2022,Regionalliga Bayern
20.08.2022,14:00,SpVgg Hankofen,Türkgücü München,700,1,4,/spielbericht/index/spielbericht/3855222,2022,Regionalliga Bayern
23.08.2022,18:30,Türkgücü München,Nürnberg II,370,0,1,/spielbericht/index/spielbericht/3855227,2022,Regionalliga Bayern
26.08.2022,18:00,FC Pipinsried,Türkgücü München,615,2,0,/spielbericht/index/spielbericht/3855240,2022,Regionalliga Bayern
03.09.2022,14:00,VfB Eichstätt,Türkgücü München,340,2,4,/spielbericht/index/spielbericht/3862855,2022,Regionalliga Bayern
10.09.2022,14:00,SpVgg Ansbach,Türkgücü München,820,0,1,/spielbericht/index/spielbericht/3855328,2022,Regionalliga Bayern
17.09.2022,14:00,Türkgücü München,TSV Rain/Lech,150,2,0,/spielbericht/index/spielbericht/3855342,2022,Regionalliga Bayern
24.09.2022,14:00,Türkgücü München,DJK Vilzing,289,3,0,/spielbericht/index/spielbericht/3862705,2022,Regionalliga Bayern
30.09.2022,19:00,Aschaffenburg,Türkgücü München,901,1,2,/spielbericht/index/spielbericht/3862713,2022,Regionalliga Bayern
03.10.2022,14:00,Türkgücü München,Unterhaching,943,0,3,/spielbericht/index/spielbericht/3862725,2022,Regionalliga Bayern
07.10.2022,19:00,Schweinfurt 05,Türkgücü München,635,0,1,/spielbericht/index/spielbericht/3862741,2022,Regionalliga Bayern
15.10.2022,14:00,Türkgücü München,TSV Buchbach,264,2,2,/spielbericht/index/spielbericht/3862745,2022,Regionalliga Bayern
21.10.2022,19:00,FV Illertissen,Türkgücü München,280,2,0,/spielbericht/index/spielbericht/3862759,2022,Regionalliga Bayern
28.10.2022,14:00,FC Augsburg II,Türkgücü München,380,2,0,/spielbericht/index/spielbericht/3862765,2022,Regionalliga Bayern
07.03.2023,19:00,Türkgücü München,SV Heimstetten,300,1,1,/spielbericht/index/spielbericht/3862776,2022,Regionalliga Bayern
13.11.2022,14:00,Türkgücü München,W. Burghausen,300,2,0,/spielbericht/index/spielbericht/3889478,2022,Regionalliga Bayern
15.03.2023,18:00,Türkgücü München,B. München II,x,0,3,/spielbericht/index/spielbericht/3862885,2022,Regionalliga Bayern
26.11.2022,14:00,Gr. Fürth II,Türkgücü München,358,1,2,/spielbericht/index/spielbericht/3862795,2022,Regionalliga Bayern
03.12.2022,14:00,Türkgücü München,TSV Aubstadt,111,1,0,/spielbericht/index/spielbericht/3862803,2022,Regionalliga Bayern
24.02.2023,18:30,Würzb. Kickers,Türkgücü München,2.251,1,1,/spielbericht/index/spielbericht/3862815,2022,Regionalliga Bayern
04.03.2023,14:00,Türkgücü München,SpVgg Hankofen,280,0,0,/spielbericht/index/spielbericht/3862829,2022,Regionalliga Bayern
12.03.2023,14:00,Nürnberg II,Türkgücü München,333,4,1,/spielbericht/index/spielbericht/3862835,2022,Regionalliga Bayern
18.03.2023,14:00,Türkgücü München,FC Pipinsried,200,4,1,/spielbericht/index/spielbericht/3862848,2022,Regionalliga Bayern
25.03.2023,14:00,Türkgücü München,VfB Eichstätt,198,3,0,/spielbericht/index/spielbericht/3855280,2022,Regionalliga Bayern
01.04.2023,14:00,Türkgücü München,SpVgg Ansbach,150,0,1,/spielbericht/index/spielbericht/3862866,2022,Regionalliga Bayern
10.04.2023,14:00,TSV Rain/Lech,Türkgücü München,222,0,3,/spielbericht/index/spielbericht/3862875,2022,Regionalliga Bayern
25.04.2023,18:15,DJK Vilzing,Türkgücü München,687,3,2,/spielbericht/index/spielbericht/3862895,2022,Regionalliga Bayern
20.04.2023,18:15,Türkgücü München,Aschaffenburg,150,0,0,/spielbericht/index/spielbericht/3862903,2022,Regionalliga Bayern
29.04.2023,14:00,Unterhaching,Türkgücü München,2.500,2,0,/spielbericht/index/spielbericht/3862915,2022,Regionalliga Bayern
04.05.2023,18:30,Türkgücü München,Schweinfurt 05,320,0,3,/spielbericht/index/spielbericht/3862931,2022,Regionalliga Bayern
12.05.2023,19:00,TSV Buchbach,Türkgücü München,649,3,0,/spielbericht/index/spielbericht/3862935,2022,Regionalliga Bayern
20.05.2023,14:00,Türkgücü München,FV Illertissen,170,1,1,/spielbericht/index/spielbericht/3862949,2022,Regionalliga Bayern
27.05.2023,14:00,Türkgücü München,FC Augsburg II,200,2,3,/spielbericht/index/spielbericht/4055305,2022,Regionalliga Bayern
26.07.2022,19:30,1906 Haidhausen,Türkgücü München,650,1,7,/spielbericht/index/spielbericht/3886272,2022,Landespokal Bayern
16.08.2022,18:00,TSV Seebach,Türkgücü München,260,0,3,/spielbericht/index/spielbericht/3892054,2022,Landespokal Bayern
06.09.2022,19:00,Türkgücü München,1860 München,6.038,1,3,/spielbericht/index/spielbericht/3909502,2022,Landespokal Bayern
22.07.2023,14:00,Türkgücü München,FC Augsburg II,350,1,1,/spielbericht/index/spielbericht/4102451,2023,Regionalliga Bayern
28.07.2023,19:00,B. München II,Türkgücü München,1.124,1,4,/spielbericht/index/spielbericht/4102455,2023,Regionalliga Bayern
05.08.2023,14:00,Türkgücü München,FV Illertissen,188,3,1,/spielbericht/index/spielbericht/4114586,2023,Regionalliga Bayern
11.08.2023,18:15,TSV Aubstadt,Türkgücü München,1.076,3,0,/spielbericht/index/spielbericht/4114579,2023,Regionalliga Bayern
19.08.2023,14:00,Türkgücü München,SpVgg Ansbach,270,4,1,/spielbericht/index/spielbericht/4114604,2023,Regionalliga Bayern
25.08.2023,19:00,Aschaffenburg,Türkgücü München,980,2,1,/spielbericht/index/spielbericht/4114595,2023,Regionalliga Bayern
29.08.2023,19:00,Türkgücü München,TSV Buchbach,220,1,0,/spielbericht/index/spielbericht/4114533,2023,Regionalliga Bayern
02.09.2023,14:00,Gr. Fürth II,Türkgücü München,320,1,2,/spielbericht/index/spielbericht/4114643,2023,Regionalliga Bayern
09.09.2023,14:00,Türkgücü München,Eintr. Bamberg,240,4,0,/spielbericht/index/spielbericht/4114615,2023,Regionalliga Bayern
15.09.2023,19:00,W. Burghausen,Türkgücü München,800,0,3,/spielbericht/index/spielbericht/4114624,2023,Regionalliga Bayern
23.09.2023,14:00,Schweinfurt 05,Türkgücü München,678,1,1,/spielbericht/index/spielbericht/4114647,2023,Regionalliga Bayern
28.09.2023,18:00,Türkgücü München,Würzb. Kickers,375,0,1,/spielbericht/index/spielbericht/4114658,2023,Regionalliga Bayern
03.10.2023,14:00,Nürnberg II,Türkgücü München,701,2,0,/spielbericht/index/spielbericht/4114672,2023,Regionalliga Bayern
07.10.2023,14:00,Türkgücü München,SpVgg Bayreuth,310,1,0,/spielbericht/index/spielbericht/4114685,2023,Regionalliga Bayern
14.10.2023,14:00,SV Schalding,Türkgücü München,652,1,4,/spielbericht/index/spielbericht/4114669,2023,Regionalliga Bayern
17.10.2023,19:00,Türkgücü München,DJK Vilzing,200,1,1,/spielbericht/index/spielbericht/4114423,2023,Regionalliga Bayern
20.10.2023,19:00,FC Memmingen,Türkgücü München,827,0,2,/spielbericht/index/spielbericht/4114439,2023,Regionalliga Bayern
27.10.2023,19:00,FC Augsburg II,Türkgücü München,310,0,1,/spielbericht/index/spielbericht/4114693,2023,Regionalliga Bayern
05.11.2023,14:00,Türkgücü München,B. München II,550,2,0,/spielbericht/index/spielbericht/4114702,2023,Regionalliga Bayern
11.11.2023,14:00,FV Illertissen,Türkgücü München,400,1,2,/spielbericht/index/spielbericht/4114433,2023,Regionalliga Bayern
24.02.2024,14:00,Türkgücü München,TSV Aubstadt,250,0,1,/spielbericht/index/spielbericht/4114449,2023,Regionalliga Bayern
02.04.2024,17:45,SpVgg Ansbach,Türkgücü München,804,5,0,/spielbericht/index/spielbericht/4114479,2023,Regionalliga Bayern
03.03.2024,14:00,Türkgücü München,Aschaffenburg,116,1,2,/spielbericht/index/spielbericht/4114491,2023,Regionalliga Bayern
08.03.2024,19:00,TSV Buchbach,Türkgücü München,442,1,0,/spielbericht/index/spielbericht/4114469,2023,Regionalliga Bayern
17.03.2024,14:00,Türkgücü München,Gr. Fürth II,133,1,3,/spielbericht/index/spielbericht/4114462,2023,Regionalliga Bayern
23.03.2024,14:00,Eintr. Bamberg,Türkgücü München,648,1,1,/spielbericht/index/spielbericht/4114496,2023,Regionalliga Bayern
30.03.2024,14:00,Türkgücü München,W. Burghausen,450,0,4,/spielbericht/index/spielbericht/4114506,2023,Regionalliga Bayern
07.04.2024,15:00,Türkgücü München,Schweinfurt 05,170,3,3,/spielbericht/index/spielbericht/4114520,2023,Regionalliga Bayern
13.04.2024,14:00,Würzb. Kickers,Türkgücü München,1.872,4,0,/spielbericht/index/spielbericht/4114569,2023,Regionalliga Bayern
20.04.2024,14:00,Türkgücü München,Nürnberg II,150,0,2,/spielbericht/index/spielbericht/4114513,2023,Regionalliga Bayern
26.04.2024,19:00,SpVgg Bayreuth,Türkgücü München,1.928,4,0,/spielbericht/index/spielbericht/4114707,2023,Regionalliga Bayern
03.05.2024,18:30,Türkgücü München,SV Schalding,150,2,1,/spielbericht/index/spielbericht/4114553,2023,Regionalliga Bayern
11.05.2024,14:00,DJK Vilzing,Türkgücü München,728,7,0,/spielbericht/index/spielbericht/4114542,2023,Regionalliga Bayern
17.05.2024,18:30,Türkgücü München,FC Memmingen,260,0,1,/spielbericht/index/spielbericht/4114560,2023,Regionalliga Bayern
01.08.2023,18:30,Jettingen,Türkgücü München,292,2,3,/spielbericht/index/spielbericht/4144003,2023,Landespokal Bayern
