date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:00,Germ. Schnelsen,USC Paloma Hamburg,250,3,1,/spielbericht/index/spielbericht/2467941,2014,Oberliga Hamburg
10.08.2014,10:45,USC Paloma Hamburg,SV Curslack-N.,230,3,2,/spielbericht/index/spielbericht/2475570,2014,Oberliga Hamburg
02.09.2014,20:00,FC Süderelbe,USC Paloma Hamburg,220,3,0,/spielbericht/index/spielbericht/2485739,2014,Oberliga Hamburg
24.08.2014,10:45,USC Paloma Hamburg,TuS Dassendorf,270,0,3,/spielbericht/index/spielbericht/2485751,2014,Oberliga Hamburg
31.08.2014,00:00,SC Condor,USC Paloma Hamburg,200,2,2,/spielbericht/index/spielbericht/2485763,2014,Oberliga Hamburg
07.09.2014,10:45,USC Paloma Hamburg,Altona 93,340,1,4,/spielbericht/index/spielbericht/2494595,2014,Oberliga Hamburg
14.09.2014,14:00,SV Halstenbek,USC Paloma Hamburg,350,3,1,/spielbericht/index/spielbericht/2494605,2014,Oberliga Hamburg
21.09.2014,10:45,USC Paloma Hamburg,Meiendorfer SV,230,1,0,/spielbericht/index/spielbericht/2499129,2014,Oberliga Hamburg
28.09.2014,14:00,Niendorfer TSV,USC Paloma Hamburg,110,3,0,/spielbericht/index/spielbericht/2500978,2014,Oberliga Hamburg
05.10.2014,10:45,USC Paloma Hamburg,SV Rugenbergen,200,2,3,/spielbericht/index/spielbericht/2500842,2014,Oberliga Hamburg
12.10.2014,10:45,USC Paloma Hamburg,Buxtehude,220,2,1,/spielbericht/index/spielbericht/2502897,2014,Oberliga Hamburg
19.10.2014,10:45,USC Paloma Hamburg,Barmbek-U.,550,2,2,/spielbericht/index/spielbericht/2502968,2014,Oberliga Hamburg
24.10.2014,19:30,SC Victoria,USC Paloma Hamburg,319,5,0,/spielbericht/index/spielbericht/2504686,2014,Oberliga Hamburg
02.11.2014,10:45,USC Paloma Hamburg,SC Vier-Marsch.,300,2,6,/spielbericht/index/spielbericht/2504700,2014,Oberliga Hamburg
09.11.2014,14:00,VfL Pinneberg,USC Paloma Hamburg,100,4,0,/spielbericht/index/spielbericht/2504709,2014,Oberliga Hamburg
23.11.2014,10:45,USC Paloma Hamburg,TSV Buchholz 08,220,2,3,/spielbericht/index/spielbericht/2504725,2014,Oberliga Hamburg
30.11.2014,10:45,USC Paloma Hamburg,Germ. Schnelsen,140,2,1,/spielbericht/index/spielbericht/2504732,2014,Oberliga Hamburg
06.12.2014,14:00,SV Curslack-N.,USC Paloma Hamburg,142,2,1,/spielbericht/index/spielbericht/2504742,2014,Oberliga Hamburg
15.02.2015,10:45,USC Paloma Hamburg,FC Süderelbe,150,0,2,/spielbericht/index/spielbericht/2504751,2014,Oberliga Hamburg
21.02.2015,13:30,TuS Dassendorf,USC Paloma Hamburg,108,5,0,/spielbericht/index/spielbericht/2504758,2014,Oberliga Hamburg
01.03.2015,10:45,USC Paloma Hamburg,SC Condor,120,1,0,/spielbericht/index/spielbericht/2504769,2014,Oberliga Hamburg
08.03.2015,14:00,Altona 93,USC Paloma Hamburg,901,0,2,/spielbericht/index/spielbericht/2527474,2014,Oberliga Hamburg
15.03.2015,10:45,USC Paloma Hamburg,SV Halstenbek,130,0,4,/spielbericht/index/spielbericht/2527480,2014,Oberliga Hamburg
21.03.2015,14:00,Meiendorfer SV,USC Paloma Hamburg,253,0,1,/spielbericht/index/spielbericht/2527506,2014,Oberliga Hamburg
29.03.2015,10:45,USC Paloma Hamburg,Niendorfer TSV,,4,0,/spielbericht/index/spielbericht/2527527,2014,Oberliga Hamburg
05.05.2015,19:00,SV Rugenbergen,USC Paloma Hamburg,100,1,0,/spielbericht/index/spielbericht/2527592,2014,Oberliga Hamburg
12.04.2015,11:30,Buxtehude,USC Paloma Hamburg,135,1,2,/spielbericht/index/spielbericht/2527604,2014,Oberliga Hamburg
19.04.2015,14:00,Barmbek-U.,USC Paloma Hamburg,450,1,1,/spielbericht/index/spielbericht/2527612,2014,Oberliga Hamburg
26.04.2015,10:45,USC Paloma Hamburg,SC Victoria,140,0,1,/spielbericht/index/spielbericht/2527622,2014,Oberliga Hamburg
03.05.2015,15:00,SC Vier-Marsch.,USC Paloma Hamburg,100,1,5,/spielbericht/index/spielbericht/2527641,2014,Oberliga Hamburg
10.05.2015,10:45,USC Paloma Hamburg,VfL Pinneberg,120,2,0,/spielbericht/index/spielbericht/2527645,2014,Oberliga Hamburg
22.05.2015,19:00,TSV Buchholz 08,USC Paloma Hamburg,,3,1,/spielbericht/index/spielbericht/2527659,2014,Oberliga Hamburg
17.08.2014,14:30,USC Paloma Hamburg,TSG Hoffenheim,5.000,0,9,/spielbericht/index/spielbericht/2458330,2014,DFB-Pokal
27.07.2014,10:45,SC Osterbek,USC Paloma Hamburg,,0,7,/spielbericht/index/spielbericht/2762528,2014,Landespokal Hamburg
05.08.2014,19:00,SV Lohkamp,USC Paloma Hamburg,,2,5,/spielbericht/index/spielbericht/2762678,2014,Landespokal Hamburg
30.09.2014,19:00,RW Wilhelmsburg,USC Paloma Hamburg,,0,1,/spielbericht/index/spielbericht/2762841,2014,Landespokal Hamburg
08.02.2015,10:45,SC Condor,USC Paloma Hamburg,200,3,0,/spielbericht/index/spielbericht/2762859,2014,Landespokal Hamburg
02.08.2015,10:45,USC Paloma Hamburg,SC Condor,220,1,3,/spielbericht/index/spielbericht/2583691,2015,Oberliga Hamburg
07.08.2015,19:30,SC Victoria,USC Paloma Hamburg,227,1,0,/spielbericht/index/spielbericht/2583698,2015,Oberliga Hamburg
16.08.2015,10:45,USC Paloma Hamburg,SV Halstenbek,150,2,3,/spielbericht/index/spielbericht/2584372,2015,Oberliga Hamburg
21.08.2015,18:45,Buxtehude,USC Paloma Hamburg,200,2,2,/spielbericht/index/spielbericht/2584383,2015,Oberliga Hamburg
30.08.2015,10:45,USC Paloma Hamburg,Altona 93,392,2,0,/spielbericht/index/spielbericht/2584390,2015,Oberliga Hamburg
05.09.2015,15:00,SV Curslack-N.,USC Paloma Hamburg,163,3,3,/spielbericht/index/spielbericht/2584398,2015,Oberliga Hamburg
13.09.2015,10:45,USC Paloma Hamburg,Barmbek-U.,420,1,2,/spielbericht/index/spielbericht/2584409,2015,Oberliga Hamburg
19.09.2015,14:00,SV Rugenbergen,USC Paloma Hamburg,100,4,1,/spielbericht/index/spielbericht/2584414,2015,Oberliga Hamburg
27.09.2015,10:45,USC Paloma Hamburg,TSV Buchholz 08,200,1,5,/spielbericht/index/spielbericht/2584426,2015,Oberliga Hamburg
10.10.2015,14:00,Meiendorfer SV,USC Paloma Hamburg,504,3,0,/spielbericht/index/spielbericht/2584432,2015,Oberliga Hamburg
18.10.2015,14:00,Niendorfer TSV,USC Paloma Hamburg,100,3,0,/spielbericht/index/spielbericht/2584446,2015,Oberliga Hamburg
25.10.2015,10:45,USC Paloma Hamburg,VfL Pinneberg,100,0,2,/spielbericht/index/spielbericht/2584452,2015,Oberliga Hamburg
30.10.2015,20:00,FC Süderelbe,USC Paloma Hamburg,324,3,0,/spielbericht/index/spielbericht/2584461,2015,Oberliga Hamburg
08.11.2015,10:45,USC Paloma Hamburg,SV Lurup,180,5,1,/spielbericht/index/spielbericht/2584479,2015,Oberliga Hamburg
