date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
09.08.2014,14:00,Tasmania Berlin,VSG Altglienicke,140,4,0,/spielbericht/index/spielbericht/2551131,2014,Berlin-Liga
14.08.2014,19:00,VSG Altglienicke,SC Gatow,60,6,0,/spielbericht/index/spielbericht/2972576,2014,Berlin-Liga
16.08.2014,13:00,Internationale,VSG Altglienicke,60,1,1,/spielbericht/index/spielbericht/2973425,2014,Berlin-Liga
24.08.2014,14:00,VfB Hermsdorf,VSG Altglienicke,70,3,5,/spielbericht/index/spielbericht/2973974,2014,Berlin-Liga
30.08.2014,13:00,VSG Altglienicke,TSV Rudow,101,5,2,/spielbericht/index/spielbericht/2974576,2014,Berlin-Liga
14.09.2014,14:00,BFC Dynamo II,VSG Altglienicke,35,1,2,/spielbericht/index/spielbericht/2975365,2014,Berlin-Liga
20.09.2014,13:00,VSG Altglienicke,TeBe Berlin,201,0,4,/spielbericht/index/spielbericht/2975394,2014,Berlin-Liga
28.09.2014,14:00,E. Mahlsdorf,VSG Altglienicke,65,4,1,/spielbericht/index/spielbericht/2975428,2014,Berlin-Liga
04.10.2014,14:00,VSG Altglienicke,CFC Hertha 06,61,0,3,/spielbericht/index/spielbericht/2977164,2014,Berlin-Liga
19.10.2014,12:00,Köpenicker SC,VSG Altglienicke,50,3,4,/spielbericht/index/spielbericht/2978341,2014,Berlin-Liga
25.10.2014,13:00,VSG Altglienicke,SV Empor Berlin,46,1,2,/spielbericht/index/spielbericht/2978567,2014,Berlin-Liga
02.11.2014,14:00,SC Staaken,VSG Altglienicke,115,1,3,/spielbericht/index/spielbericht/2978630,2014,Berlin-Liga
08.11.2014,13:00,VSG Altglienicke,SV Sparta,53,5,0,/spielbericht/index/spielbericht/2978790,2014,Berlin-Liga
16.11.2014,12:45,SFC Stern,VSG Altglienicke,70,1,3,/spielbericht/index/spielbericht/2979075,2014,Berlin-Liga
22.11.2014,13:00,VSG Altglienicke,Berliner SC,33,5,2,/spielbericht/index/spielbericht/2979483,2014,Berlin-Liga
30.11.2014,15:00,FC Wilmersdorf,VSG Altglienicke,43,3,1,/spielbericht/index/spielbericht/2979630,2014,Berlin-Liga
06.12.2014,13:00,VSG Altglienicke,Nordberliner SC,43,4,1,/spielbericht/index/spielbericht/2979744,2014,Berlin-Liga
14.02.2015,13:00,VSG Altglienicke,FC Wilmersdorf,53,0,4,/spielbericht/index/spielbericht/2980963,2014,Berlin-Liga
22.02.2015,12:30,Berliner SC,VSG Altglienicke,55,0,4,/spielbericht/index/spielbericht/2538237,2014,Berlin-Liga
01.03.2015,14:30,TSV Rudow,VSG Altglienicke,44,7,2,/spielbericht/index/spielbericht/2982128,2014,Berlin-Liga
07.03.2015,14:00,VSG Altglienicke,BFC Dynamo II,60,4,2,/spielbericht/index/spielbericht/2982312,2014,Berlin-Liga
13.03.2015,19:00,TeBe Berlin,VSG Altglienicke,419,0,1,/spielbericht/index/spielbericht/2982460,2014,Berlin-Liga
21.03.2015,13:00,VSG Altglienicke,E. Mahlsdorf,51,3,6,/spielbericht/index/spielbericht/2982664,2014,Berlin-Liga
28.03.2015,14:00,SV Empor Berlin,VSG Altglienicke,90,2,2,/spielbericht/index/spielbericht/2982684,2014,Berlin-Liga
03.04.2015,13:00,VSG Altglienicke,Tasmania Berlin,150,0,1,/spielbericht/index/spielbericht/2551154,2014,Berlin-Liga
06.04.2015,14:00,SC Gatow,VSG Altglienicke,38,0,4,/spielbericht/index/spielbericht/2551148,2014,Berlin-Liga
11.04.2015,14:00,VSG Altglienicke,Köpenicker SC,53,2,1,/spielbericht/index/spielbericht/2983262,2014,Berlin-Liga
18.04.2015,13:00,VSG Altglienicke,VfB Hermsdorf,40,5,2,/spielbericht/index/spielbericht/2983305,2014,Berlin-Liga
26.04.2015,14:00,CFC Hertha 06,VSG Altglienicke,22,4,1,/spielbericht/index/spielbericht/2983320,2014,Berlin-Liga
02.05.2015,13:00,VSG Altglienicke,Internationale,43,2,3,/spielbericht/index/spielbericht/2983339,2014,Berlin-Liga
09.05.2015,13:00,VSG Altglienicke,SC Staaken,50,5,2,/spielbericht/index/spielbericht/2983730,2014,Berlin-Liga
17.05.2015,14:00,Nordberliner SC,VSG Altglienicke,50,0,2,/spielbericht/index/spielbericht/2983769,2014,Berlin-Liga
31.05.2015,14:00,SV Sparta,VSG Altglienicke,37,1,7,/spielbericht/index/spielbericht/2983775,2014,Berlin-Liga
06.06.2015,13:00,VSG Altglienicke,SFC Stern,61,5,0,/spielbericht/index/spielbericht/2972479,2014,Berlin-Liga
13.08.2015,19:00,SV Empor Berlin,VSG Altglienicke,166,1,5,/spielbericht/index/spielbericht/2619124,2015,Berlin-Liga
