date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
12.07.2014,14:00,VfB Eichstätt,Wolfratshausen,270,1,0,/spielbericht/index/spielbericht/2469684,2014,Bayernliga Süd
16.07.2014,19:00,FC Unterföhring,VfB Eichstätt,120,1,2,/spielbericht/index/spielbericht/2469696,2014,Bayernliga Süd
19.07.2014,16:00,TSV Bogen,VfB Eichstätt,200,1,0,/spielbericht/index/spielbericht/2469701,2014,Bayernliga Süd
26.07.2014,17:00,VfB Eichstätt,Schwabmünchen,210,0,0,/spielbericht/index/spielbericht/2473472,2014,Bayernliga Süd
30.07.2014,18:30,SpVgg Landshut,VfB Eichstätt,200,1,1,/spielbericht/index/spielbericht/2481169,2014,Bayernliga Süd
02.08.2014,17:00,VfB Eichstätt,Bad Kötzting,240,1,1,/spielbericht/index/spielbericht/2481178,2014,Bayernliga Süd
09.08.2014,14:00,1860 Rosenheim,VfB Eichstätt,150,1,1,/spielbericht/index/spielbericht/2481188,2014,Bayernliga Süd
03.09.2014,17:45,VfB Eichstätt,1865 Dachau,360,3,5,/spielbericht/index/spielbericht/2485298,2014,Bayernliga Süd
16.08.2014,14:00,TSV Landsberg,VfB Eichstätt,320,2,4,/spielbericht/index/spielbericht/2485302,2014,Bayernliga Süd
23.08.2014,17:00,VfB Eichstätt,DJK Vilzing,300,3,3,/spielbericht/index/spielbericht/2485317,2014,Bayernliga Süd
06.09.2014,16:00,VfB Eichstätt,SV Raisting,405,1,0,/spielbericht/index/spielbericht/2485334,2014,Bayernliga Süd
17.09.2014,19:00,1.FC Sonthofen,VfB Eichstätt,180,1,0,/spielbericht/index/spielbericht/2485343,2014,Bayernliga Süd
13.09.2014,17:00,VfB Eichstätt,SpVgg Hankofen,200,1,1,/spielbericht/index/spielbericht/2485352,2014,Bayernliga Süd
21.09.2014,15:00,Unterhaching II,VfB Eichstätt,50,1,1,/spielbericht/index/spielbericht/2485359,2014,Bayernliga Süd
27.09.2014,15:00,VfB Eichstätt,SV Pullach,170,1,4,/spielbericht/index/spielbericht/2485370,2014,Bayernliga Süd
03.10.2014,14:00,SB Rosenheim,VfB Eichstätt,160,3,0,/spielbericht/index/spielbericht/2485375,2014,Bayernliga Süd
11.10.2014,15:00,VfB Eichstätt,FC Pipinsried,620,0,3,/spielbericht/index/spielbericht/2485388,2014,Bayernliga Süd
18.10.2014,14:00,TSV Rain/Lech,VfB Eichstätt,350,1,0,/spielbericht/index/spielbericht/2485391,2014,Bayernliga Süd
25.10.2014,14:00,Wolfratshausen,VfB Eichstätt,130,1,1,/spielbericht/index/spielbericht/2485407,2014,Bayernliga Süd
02.11.2014,14:00,VfB Eichstätt,FC Unterföhring,250,3,0,/spielbericht/index/spielbericht/2485416,2014,Bayernliga Süd
08.11.2014,14:00,VfB Eichstätt,TSV Bogen,270,2,0,/spielbericht/index/spielbericht/2485417,2014,Bayernliga Süd
16.11.2014,14:00,Schwabmünchen,VfB Eichstätt,250,1,1,/spielbericht/index/spielbericht/2485433,2014,Bayernliga Süd
22.11.2014,14:00,VfB Eichstätt,SpVgg Landshut,250,1,1,/spielbericht/index/spielbericht/2485441,2014,Bayernliga Süd
29.11.2014,14:00,Bad Kötzting,VfB Eichstätt,250,2,1,/spielbericht/index/spielbericht/2485451,2014,Bayernliga Süd
08.04.2015,17:45,VfB Eichstätt,1860 Rosenheim,320,2,1,/spielbericht/index/spielbericht/2485457,2014,Bayernliga Süd
14.03.2015,14:00,1865 Dachau,VfB Eichstätt,150,1,2,/spielbericht/index/spielbericht/2485469,2014,Bayernliga Süd
21.03.2015,15:00,VfB Eichstätt,TSV Landsberg,250,0,1,/spielbericht/index/spielbericht/2485473,2014,Bayernliga Süd
29.03.2015,15:00,DJK Vilzing,VfB Eichstätt,300,1,1,/spielbericht/index/spielbericht/2485488,2014,Bayernliga Süd
12.04.2015,15:00,SV Raisting,VfB Eichstätt,370,2,2,/spielbericht/index/spielbericht/2485505,2014,Bayernliga Süd
18.04.2015,15:00,VfB Eichstätt,1.FC Sonthofen,280,1,1,/spielbericht/index/spielbericht/2485514,2014,Bayernliga Süd
25.04.2015,16:00,SpVgg Hankofen,VfB Eichstätt,350,3,2,/spielbericht/index/spielbericht/2485523,2014,Bayernliga Süd
