date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,16:00,VfB Lübeck,SV Meppen,1.977,0,2,/spielbericht/index/spielbericht/2463632,2014,Regionalliga Nord
03.08.2014,14:00,TSV Havelse,VfB Lübeck,512,2,1,/spielbericht/index/spielbericht/2471371,2014,Regionalliga Nord
09.08.2014,18:00,VfB Lübeck,FT Braunschweig,1.393,1,0,/spielbericht/index/spielbericht/2471374,2014,Regionalliga Nord
16.08.2014,14:00,VfB Lübeck,Goslarer SC,1.382,1,0,/spielbericht/index/spielbericht/2471393,2014,Regionalliga Nord
24.08.2014,14:00,E. Norderstedt,VfB Lübeck,1.240,3,0,/spielbericht/index/spielbericht/2485668,2014,Regionalliga Nord
29.08.2014,19:30,VfB Lübeck,VfB Oldenburg,1.589,2,1,/spielbericht/index/spielbericht/2485673,2014,Regionalliga Nord
07.09.2014,14:00,ETSV Weiche,VfB Lübeck,945,1,1,/spielbericht/index/spielbericht/2485686,2014,Regionalliga Nord
13.09.2014,14:00,VfB Lübeck,Wolfsburg II,1.385,1,0,/spielbericht/index/spielbericht/2486137,2014,Regionalliga Nord
03.09.2014,18:00,LSK Hansa,VfB Lübeck,1.200,2,3,/spielbericht/index/spielbericht/2486143,2014,Regionalliga Nord
26.09.2014,19:30,VfB Lübeck,W. Bremen II,1.754,2,2,/spielbericht/index/spielbericht/2486152,2014,Regionalliga Nord
05.10.2014,14:00,BV Cloppenburg,VfB Lübeck,595,2,2,/spielbericht/index/spielbericht/2490260,2014,Regionalliga Nord
10.10.2014,19:30,VfB Lübeck,Braunschweig II,2.120,0,1,/spielbericht/index/spielbericht/2490264,2014,Regionalliga Nord
19.10.2014,15:00,BSV Rehden,VfB Lübeck,400,0,2,/spielbericht/index/spielbericht/2490280,2014,Regionalliga Nord
24.10.2014,19:30,VfB Lübeck,St. Pauli II,2.182,0,0,/spielbericht/index/spielbericht/2490281,2014,Regionalliga Nord
01.11.2014,13:00,Hannover 96 II,VfB Lübeck,1.300,1,1,/spielbericht/index/spielbericht/2490290,2014,Regionalliga Nord
07.11.2014,19:30,VfB Lübeck,VfR Neumünster,1.838,1,2,/spielbericht/index/spielbericht/2490300,2014,Regionalliga Nord
15.11.2014,14:00,Hamburger SV II,VfB Lübeck,1.250,2,2,/spielbericht/index/spielbericht/2490310,2014,Regionalliga Nord
22.11.2014,14:00,VfB Lübeck,TSV Havelse,1.304,2,2,/spielbericht/index/spielbericht/2490447,2014,Regionalliga Nord
30.11.2014,14:00,FT Braunschweig,VfB Lübeck,201,1,3,/spielbericht/index/spielbericht/2490457,2014,Regionalliga Nord
06.04.2015,14:00,Goslarer SC,VfB Lübeck,725,3,0,/spielbericht/index/spielbericht/2490469,2014,Regionalliga Nord
14.02.2015,14:00,VfB Lübeck,E. Norderstedt,1.217,1,0,/spielbericht/index/spielbericht/2490474,2014,Regionalliga Nord
22.02.2015,15:00,VfB Oldenburg,VfB Lübeck,1.199,0,1,/spielbericht/index/spielbericht/2490489,2014,Regionalliga Nord
