date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
24.08.2014,17:30,Bor. M'gladbach,VfB Stuttgart,50.203,1,1,/spielbericht/index/spielbericht/2460628,2014,Bundesliga
30.08.2014,15:30,VfB Stuttgart,1.FC Köln,55.000,0,2,/spielbericht/index/spielbericht/2460642,2014,Bundesliga
13.09.2014,15:30,Bayern München,VfB Stuttgart,71.000,2,0,/spielbericht/index/spielbericht/2460644,2014,Bundesliga
20.09.2014,15:30,VfB Stuttgart,TSG Hoffenheim,44.000,0,2,/spielbericht/index/spielbericht/2460659,2014,Bundesliga
24.09.2014,20:00,Bor. Dortmund,VfB Stuttgart,79.500,2,2,/spielbericht/index/spielbericht/2460663,2014,Bundesliga
27.09.2014,15:30,VfB Stuttgart,Hannover 96,40.500,1,0,/spielbericht/index/spielbericht/2460676,2014,Bundesliga
03.10.2014,20:30,Hertha BSC,VfB Stuttgart,46.312,3,2,/spielbericht/index/spielbericht/2460686,2014,Bundesliga
18.10.2014,15:30,VfB Stuttgart,B. Leverkusen,40.900,3,3,/spielbericht/index/spielbericht/2460694,2014,Bundesliga
25.10.2014,15:30,E. Frankfurt,VfB Stuttgart,49.700,4,5,/spielbericht/index/spielbericht/2460706,2014,Bundesliga
01.11.2014,15:30,VfB Stuttgart,VfL Wolfsburg,50.050,0,4,/spielbericht/index/spielbericht/2460712,2014,Bundesliga
08.11.2014,18:30,Werder Bremen,VfB Stuttgart,40.284,2,0,/spielbericht/index/spielbericht/2460722,2014,Bundesliga
23.11.2014,17:30,VfB Stuttgart,FC Augsburg,48.200,0,1,/spielbericht/index/spielbericht/2460730,2014,Bundesliga
28.11.2014,20:30,SC Freiburg,VfB Stuttgart,24.000,1,4,/spielbericht/index/spielbericht/2460742,2014,Bundesliga
06.12.2014,15:30,VfB Stuttgart,FC Schalke 04,44.700,0,4,/spielbericht/index/spielbericht/2460748,2014,Bundesliga
13.12.2014,18:30,1.FSV Mainz 05,VfB Stuttgart,29.279,1,1,/spielbericht/index/spielbericht/2460755,2014,Bundesliga
16.12.2014,20:00,Hamburger SV,VfB Stuttgart,48.223,0,1,/spielbericht/index/spielbericht/2460767,2014,Bundesliga
20.12.2014,15:30,VfB Stuttgart,SC Paderborn,55.000,0,0,/spielbericht/index/spielbericht/2460778,2014,Bundesliga
31.01.2015,15:30,VfB Stuttgart,Bor. M'gladbach,46.200,0,1,/spielbericht/index/spielbericht/2460786,2014,Bundesliga
04.02.2015,20:00,1.FC Köln,VfB Stuttgart,48.400,0,0,/spielbericht/index/spielbericht/2460795,2014,Bundesliga
07.02.2015,15:30,VfB Stuttgart,Bayern München,60.000,0,2,/spielbericht/index/spielbericht/2460803,2014,Bundesliga
14.02.2015,15:30,TSG Hoffenheim,VfB Stuttgart,29.309,2,1,/spielbericht/index/spielbericht/2460810,2014,Bundesliga
20.02.2015,20:30,VfB Stuttgart,Bor. Dortmund,60.000,2,3,/spielbericht/index/spielbericht/2460820,2014,Bundesliga
28.02.2015,15:30,Hannover 96,VfB Stuttgart,40.200,1,1,/spielbericht/index/spielbericht/2460829,2014,Bundesliga
06.03.2015,20:30,VfB Stuttgart,Hertha BSC,45.420,0,0,/spielbericht/index/spielbericht/2460838,2014,Bundesliga
13.03.2015,20:30,B. Leverkusen,VfB Stuttgart,29.384,4,0,/spielbericht/index/spielbericht/2460843,2014,Bundesliga
