date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,15:30,VfL Bochum,Greuther Fürth,18.146,1,1,/spielbericht/index/spielbericht/2460937,2014,2. Bundesliga
09.08.2014,15:30,Erzgebirge Aue,VfL Bochum,8.850,1,5,/spielbericht/index/spielbericht/2460949,2014,2. Bundesliga
25.08.2014,20:15,VfL Bochum,Union Berlin,16.307,1,1,/spielbericht/index/spielbericht/2460957,2014,2. Bundesliga
31.08.2014,13:30,E. Braunschweig,VfL Bochum,22.275,1,2,/spielbericht/index/spielbericht/2460961,2014,2. Bundesliga
12.09.2014,18:30,VfL Bochum,Karlsruher SC,21.168,1,1,/spielbericht/index/spielbericht/2460975,2014,2. Bundesliga
20.09.2014,13:00,FSV Frankfurt,VfL Bochum,5.677,1,5,/spielbericht/index/spielbericht/2460986,2014,2. Bundesliga
25.09.2014,20:15,VfL Bochum,F. Düsseldorf,24.500,1,1,/spielbericht/index/spielbericht/2460994,2014,2. Bundesliga
28.09.2014,13:30,1.FC Heidenheim,VfL Bochum,11.500,5,0,/spielbericht/index/spielbericht/2461005,2014,2. Bundesliga
03.10.2014,18:30,VfL Bochum,1.FC Nürnberg,25.092,1,1,/spielbericht/index/spielbericht/2461012,2014,2. Bundesliga
17.10.2014,18:30,VfL Bochum,Darmstadt 98,19.618,1,1,/spielbericht/index/spielbericht/2461022,2014,2. Bundesliga
24.10.2014,18:30,RB Leipzig,VfL Bochum,30.194,2,0,/spielbericht/index/spielbericht/2461031,2014,2. Bundesliga
02.11.2014,13:30,VfL Bochum,1860 München,15.607,0,3,/spielbericht/index/spielbericht/2461039,2014,2. Bundesliga
07.11.2014,18:30,1.FC K'lautern,VfL Bochum,24.708,2,2,/spielbericht/index/spielbericht/2461043,2014,2. Bundesliga
21.11.2014,18:30,VfL Bochum,VfR Aalen,11.709,4,0,/spielbericht/index/spielbericht/2461057,2014,2. Bundesliga
29.11.2014,13:00,FC Ingolstadt,VfL Bochum,8.000,3,0,/spielbericht/index/spielbericht/2461064,2014,2. Bundesliga
05.12.2014,18:30,VfL Bochum,FC St. Pauli,17.134,3,3,/spielbericht/index/spielbericht/2461074,2014,2. Bundesliga
12.12.2014,18:30,SV Sandhausen,VfL Bochum,4.023,0,0,/spielbericht/index/spielbericht/2461084,2014,2. Bundesliga
16.12.2014,17:30,Greuther Fürth,VfL Bochum,8.750,0,0,/spielbericht/index/spielbericht/2461088,2014,2. Bundesliga
21.12.2014,13:30,VfL Bochum,Erzgebirge Aue,12.025,1,1,/spielbericht/index/spielbericht/2461101,2014,2. Bundesliga
07.02.2015,13:00,Union Berlin,VfL Bochum,19.015,2,1,/spielbericht/index/spielbericht/2461108,2014,2. Bundesliga
13.02.2015,18:30,VfL Bochum,E. Braunschweig,13.778,3,2,/spielbericht/index/spielbericht/2461118,2014,2. Bundesliga
21.02.2015,13:00,Karlsruher SC,VfL Bochum,11.989,0,0,/spielbericht/index/spielbericht/2461124,2014,2. Bundesliga
27.02.2015,18:30,VfL Bochum,FSV Frankfurt,11.594,3,3,/spielbericht/index/spielbericht/2461136,2014,2. Bundesliga
06.03.2015,18:30,F. Düsseldorf,VfL Bochum,33.481,2,2,/spielbericht/index/spielbericht/2461143,2014,2. Bundesliga
13.03.2015,18:30,VfL Bochum,1.FC Heidenheim,14.639,4,1,/spielbericht/index/spielbericht/2461155,2014,2. Bundesliga
23.03.2015,20:15,1.FC Nürnberg,VfL Bochum,25.528,1,2,/spielbericht/index/spielbericht/2461158,2014,2. Bundesliga
05.04.2015,13:30,Darmstadt 98,VfL Bochum,16.000,2,0,/spielbericht/index/spielbericht/2461175,2014,2. Bundesliga
