date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,18:00,VfL Oldenburg,SSV Jeddeloh II,698,2,2,/spielbericht/index/spielbericht/2462874,2014,Oberliga Niedersachsen
09.08.2014,16:00,Rotenburger SV,VfL Oldenburg,175,2,1,/spielbericht/index/spielbericht/2464288,2014,Oberliga Niedersachsen
17.08.2014,15:00,VfL Oldenburg,VfV Hildesheim,180,1,3,/spielbericht/index/spielbericht/2470156,2014,Oberliga Niedersachsen
23.08.2014,16:00,Göttingen 05,VfL Oldenburg,317,0,2,/spielbericht/index/spielbericht/2470162,2014,Oberliga Niedersachsen
31.08.2014,15:00,VfL Oldenburg,TB Uphusen,215,1,2,/spielbericht/index/spielbericht/2470180,2014,Oberliga Niedersachsen
05.09.2014,20:15,Drochtersen/A.,VfL Oldenburg,550,3,1,/spielbericht/index/spielbericht/2486070,2014,Oberliga Niedersachsen
14.09.2014,15:00,Teutonia Uelzen,VfL Oldenburg,276,2,1,/spielbericht/index/spielbericht/2491035,2014,Oberliga Niedersachsen
21.09.2014,15:00,VfL Oldenburg,Spelle-Venhaus,190,5,1,/spielbericht/index/spielbericht/2495816,2014,Oberliga Niedersachsen
28.09.2014,15:00,Osnabrück II,VfL Oldenburg,120,2,0,/spielbericht/index/spielbericht/2495824,2014,Oberliga Niedersachsen
05.10.2014,15:00,VfL Oldenburg,Arm. Hannover,335,3,2,/spielbericht/index/spielbericht/2499162,2014,Oberliga Niedersachsen
12.10.2014,15:00,Ottersberg,VfL Oldenburg,259,0,3,/spielbericht/index/spielbericht/2499173,2014,Oberliga Niedersachsen
19.10.2014,15:00,VfL Oldenburg,Eintr. Northeim,345,0,4,/spielbericht/index/spielbericht/2499179,2014,Oberliga Niedersachsen
25.10.2014,15:00,Lupo-Martini,VfL Oldenburg,150,2,0,/spielbericht/index/spielbericht/2499187,2014,Oberliga Niedersachsen
02.11.2014,14:00,VfL Oldenburg,G. Egestorf/L.,385,1,1,/spielbericht/index/spielbericht/2499195,2014,Oberliga Niedersachsen
09.11.2014,14:00,1.FC Wunstorf,VfL Oldenburg,120,3,2,/spielbericht/index/spielbericht/2499201,2014,Oberliga Niedersachsen
14.11.2014,19:30,SSV Jeddeloh II,VfL Oldenburg,628,2,2,/spielbericht/index/spielbericht/2499206,2014,Oberliga Niedersachsen
23.11.2014,14:00,VfL Oldenburg,Rotenburger SV,180,2,1,/spielbericht/index/spielbericht/2499215,2014,Oberliga Niedersachsen
30.11.2014,14:00,VfV Hildesheim,VfL Oldenburg,610,0,1,/spielbericht/index/spielbericht/2499226,2014,Oberliga Niedersachsen
01.03.2015,15:00,VfL Oldenburg,Göttingen 05,388,4,1,/spielbericht/index/spielbericht/2499237,2014,Oberliga Niedersachsen
08.03.2015,15:00,TB Uphusen,VfL Oldenburg,200,1,1,/spielbericht/index/spielbericht/2499243,2014,Oberliga Niedersachsen
13.03.2015,20:00,VfL Oldenburg,Drochtersen/A.,390,1,4,/spielbericht/index/spielbericht/2499246,2014,Oberliga Niedersachsen
22.03.2015,15:00,VfL Oldenburg,Teutonia Uelzen,380,1,0,/spielbericht/index/spielbericht/2499256,2014,Oberliga Niedersachsen
29.03.2015,15:00,Spelle-Venhaus,VfL Oldenburg,346,2,1,/spielbericht/index/spielbericht/2499266,2014,Oberliga Niedersachsen
10.04.2015,20:00,VfL Oldenburg,Osnabrück II,356,1,2,/spielbericht/index/spielbericht/2499270,2014,Oberliga Niedersachsen
19.04.2015,15:00,Arm. Hannover,VfL Oldenburg,280,3,0,/spielbericht/index/spielbericht/2499282,2014,Oberliga Niedersachsen
26.04.2015,15:00,VfL Oldenburg,Ottersberg,321,1,1,/spielbericht/index/spielbericht/2499293,2014,Oberliga Niedersachsen
03.05.2015,14:00,Eintr. Northeim,VfL Oldenburg,230,4,1,/spielbericht/index/spielbericht/2499298,2014,Oberliga Niedersachsen
10.05.2015,15:00,VfL Oldenburg,Lupo-Martini,336,1,3,/spielbericht/index/spielbericht/2499307,2014,Oberliga Niedersachsen
16.05.2015,16:00,G. Egestorf/L.,VfL Oldenburg,100,2,0,/spielbericht/index/spielbericht/2499316,2014,Oberliga Niedersachsen
23.05.2015,17:00,VfL Oldenburg,1.FC Wunstorf,150,6,2,/spielbericht/index/spielbericht/2499321,2014,Oberliga Niedersachsen
27.07.2014,15:00,TB Uphusen,VfL Oldenburg,,6,1,/spielbericht/index/spielbericht/2538994,2014,Niedersachsenpokal (- 17/18)
09.08.2015,15:00,Lupo-Martini,VfL Oldenburg,200,2,0,/spielbericht/index/spielbericht/2587238,2015,Oberliga Niedersachsen
16.08.2015,15:00,VfL Oldenburg,SVG Göttingen,185,1,5,/spielbericht/index/spielbericht/2607035,2015,Oberliga Niedersachsen
23.08.2015,15:00,TB Uphusen,VfL Oldenburg,135,0,2,/spielbericht/index/spielbericht/2607045,2015,Oberliga Niedersachsen
26.08.2015,20:00,VfL Oldenburg,SSV Jeddeloh II,567,2,2,/spielbericht/index/spielbericht/2607046,2015,Oberliga Niedersachsen
04.09.2015,20:00,VfL Oldenburg,Arm. Hannover,200,3,1,/spielbericht/index/spielbericht/2607054,2015,Oberliga Niedersachsen
13.09.2015,15:00,1.FC Wunstorf,VfL Oldenburg,150,3,0,/spielbericht/index/spielbericht/2607065,2015,Oberliga Niedersachsen
20.09.2015,15:00,VfL Oldenburg,VfL Bückeburg,331,1,0,/spielbericht/index/spielbericht/2607075,2015,Oberliga Niedersachsen
27.09.2015,15:00,Spelle-Venhaus,VfL Oldenburg,365,2,2,/spielbericht/index/spielbericht/2607082,2015,Oberliga Niedersachsen
04.10.2015,15:00,VfL Oldenburg,Osnabrück II,287,1,0,/spielbericht/index/spielbericht/2607092,2015,Oberliga Niedersachsen
