date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
26.07.2014,18:00,VfL Osnabrück,Energie Cottbus,8.800,1,3,/spielbericht/index/spielbericht/2462901,2014,3. Liga
02.08.2014,14:00,Chemnitzer FC,VfL Osnabrück,6.071,2,0,/spielbericht/index/spielbericht/2462905,2014,3. Liga
06.08.2014,18:30,VfL Osnabrück,Dynamo Dresden,10.131,2,2,/spielbericht/index/spielbericht/2462914,2014,3. Liga
09.08.2014,14:00,Arm. Bielefeld,VfL Osnabrück,16.542,1,2,/spielbericht/index/spielbericht/2462926,2014,3. Liga
23.08.2014,14:00,VfL Osnabrück,Pr. Münster,12.282,0,1,/spielbericht/index/spielbericht/2462934,2014,3. Liga
26.08.2014,19:00,Fortuna Köln,VfL Osnabrück,1.900,0,1,/spielbericht/index/spielbericht/2462947,2014,3. Liga
30.08.2014,14:00,VfL Osnabrück,Rot-Weiß Erfurt,7.196,3,1,/spielbericht/index/spielbericht/2462954,2014,3. Liga
06.09.2014,14:00,MSV Duisburg,VfL Osnabrück,11.764,3,0,/spielbericht/index/spielbericht/2462968,2014,3. Liga
13.09.2014,14:00,VfL Osnabrück,Holstein Kiel,7.211,2,1,/spielbericht/index/spielbericht/2462974,2014,3. Liga
19.09.2014,19:00,Stuttg. Kickers,VfL Osnabrück,2.835,1,1,/spielbericht/index/spielbericht/2462989,2014,3. Liga
23.09.2014,19:00,VfL Osnabrück,Wehen Wiesbaden,7.132,1,3,/spielbericht/index/spielbericht/2462994,2014,3. Liga
27.09.2014,14:00,Unterhaching,VfL Osnabrück,1.700,3,4,/spielbericht/index/spielbericht/2463010,2014,3. Liga
04.10.2014,14:00,VfL Osnabrück,J. Regensburg,7.664,2,0,/spielbericht/index/spielbericht/2463014,2014,3. Liga
18.10.2014,14:00,B. Dortmund II,VfL Osnabrück,2.519,2,2,/spielbericht/index/spielbericht/2463031,2014,3. Liga
25.10.2014,14:00,VfL Osnabrück,Sonnenhof-Gr.,7.307,2,0,/spielbericht/index/spielbericht/2463034,2014,3. Liga
31.10.2014,19:00,Hansa Rostock,VfL Osnabrück,9.200,2,2,/spielbericht/index/spielbericht/2463052,2014,3. Liga
08.11.2014,14:00,VfL Osnabrück,FSV Mainz 05 II,7.672,2,0,/spielbericht/index/spielbericht/2463054,2014,3. Liga
21.11.2014,19:00,VfL Osnabrück,Stuttgart II,9.256,3,1,/spielbericht/index/spielbericht/2463064,2014,3. Liga
29.11.2014,14:00,Hallescher FC,VfL Osnabrück,5.328,2,1,/spielbericht/index/spielbericht/2463083,2014,3. Liga
07.12.2014,14:00,Energie Cottbus,VfL Osnabrück,6.035,2,2,/spielbericht/index/spielbericht/2463084,2014,3. Liga
13.12.2014,14:00,VfL Osnabrück,Chemnitzer FC,8.276,2,0,/spielbericht/index/spielbericht/2463095,2014,3. Liga
20.12.2014,14:00,Dynamo Dresden,VfL Osnabrück,22.953,2,1,/spielbericht/index/spielbericht/2463104,2014,3. Liga
18.02.2015,19:00,VfL Osnabrück,Arm. Bielefeld,15.500,0,4,/spielbericht/index/spielbericht/2463116,2014,3. Liga
07.02.2015,14:00,Pr. Münster,VfL Osnabrück,14.300,2,0,/spielbericht/index/spielbericht/2463124,2014,3. Liga
13.02.2015,19:00,VfL Osnabrück,Fortuna Köln,8.800,0,1,/spielbericht/index/spielbericht/2463137,2014,3. Liga
21.02.2015,14:00,Rot-Weiß Erfurt,VfL Osnabrück,5.952,3,1,/spielbericht/index/spielbericht/2463144,2014,3. Liga
28.02.2015,14:00,VfL Osnabrück,MSV Duisburg,8.300,1,1,/spielbericht/index/spielbericht/2463158,2014,3. Liga
07.03.2015,14:00,Holstein Kiel,VfL Osnabrück,7.441,1,0,/spielbericht/index/spielbericht/2463164,2014,3. Liga
14.03.2015,14:00,VfL Osnabrück,Stuttg. Kickers,8.053,4,1,/spielbericht/index/spielbericht/2463179,2014,3. Liga
20.03.2015,19:00,Wehen Wiesbaden,VfL Osnabrück,2.636,2,0,/spielbericht/index/spielbericht/2463184,2014,3. Liga
05.04.2015,14:00,VfL Osnabrück,Unterhaching,7.596,1,0,/spielbericht/index/spielbericht/2463200,2014,3. Liga
11.04.2015,14:00,J. Regensburg,VfL Osnabrück,4.300,1,1,/spielbericht/index/spielbericht/2463204,2014,3. Liga
18.04.2015,14:00,VfL Osnabrück,B. Dortmund II,7.637,1,1,/spielbericht/index/spielbericht/2463221,2014,3. Liga
24.04.2015,19:00,Sonnenhof-Gr.,VfL Osnabrück,1.800,1,0,/spielbericht/index/spielbericht/2463224,2014,3. Liga
03.05.2015,14:00,VfL Osnabrück,Hansa Rostock,9.500,1,0,/spielbericht/index/spielbericht/2463242,2014,3. Liga
09.05.2015,14:00,FSV Mainz 05 II,VfL Osnabrück,844,1,1,/spielbericht/index/spielbericht/2463244,2014,3. Liga
16.05.2015,13:30,Stuttgart II,VfL Osnabrück,400,0,0,/spielbericht/index/spielbericht/2463254,2014,3. Liga
23.05.2015,13:30,VfL Osnabrück,Hallescher FC,7.500,2,0,/spielbericht/index/spielbericht/2463273,2014,3. Liga
13.08.2014,18:00,Goslarer SC,VfL Osnabrück,,0,5,/spielbericht/index/spielbericht/2539051,2014,Niedersachsenpokal (- 17/18)
10.09.2014,19:30,VfL Osnabrück,FT Braunschweig,3.161,3,0,/spielbericht/index/spielbericht/2539054,2014,Niedersachsenpokal (- 17/18)
02.04.2015,17:30,VfB Oldenburg,VfL Osnabrück,5.940,3,5,/spielbericht/index/spielbericht/2539056,2014,Niedersachsenpokal (- 17/18)
13.05.2015,18:30,SV Meppen,VfL Osnabrück,10.662,4,5,/spielbericht/index/spielbericht/2561609,2014,Niedersachsenpokal (- 17/18)
25.07.2015,14:00,Erzgebirge Aue,VfL Osnabrück,8.800,0,0,/spielbericht/index/spielbericht/2584696,2015,3. Liga
01.08.2015,14:00,VfL Osnabrück,Stuttg. Kickers,8.633,1,1,/spielbericht/index/spielbericht/2584934,2015,3. Liga
14.08.2015,19:00,VfR Aalen,VfL Osnabrück,4.774,1,0,/spielbericht/index/spielbericht/2584942,2015,3. Liga
