date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
22.08.2014,20:30,Bayern München,VfL Wolfsburg,71.137,2,1,/spielbericht/index/spielbericht/2460626,2014,Bundesliga
30.08.2014,15:30,VfL Wolfsburg,E. Frankfurt,27.528,2,2,/spielbericht/index/spielbericht/2460637,2014,Bundesliga
13.09.2014,15:30,TSG Hoffenheim,VfL Wolfsburg,23.813,1,1,/spielbericht/index/spielbericht/2460648,2014,Bundesliga
21.09.2014,15:30,VfL Wolfsburg,B. Leverkusen,27.811,4,1,/spielbericht/index/spielbericht/2460654,2014,Bundesliga
24.09.2014,20:00,Hertha BSC,VfL Wolfsburg,35.847,1,0,/spielbericht/index/spielbericht/2460668,2014,Bundesliga
27.09.2014,18:30,VfL Wolfsburg,Werder Bremen,29.117,2,1,/spielbericht/index/spielbericht/2460672,2014,Bundesliga
05.10.2014,15:30,VfL Wolfsburg,FC Augsburg,25.734,1,0,/spielbericht/index/spielbericht/2460683,2014,Bundesliga
18.10.2014,15:30,SC Freiburg,VfL Wolfsburg,23.500,1,2,/spielbericht/index/spielbericht/2460693,2014,Bundesliga
26.10.2014,15:30,VfL Wolfsburg,1.FSV Mainz 05,26.238,3,0,/spielbericht/index/spielbericht/2460700,2014,Bundesliga
01.11.2014,15:30,VfB Stuttgart,VfL Wolfsburg,50.050,0,4,/spielbericht/index/spielbericht/2460712,2014,Bundesliga
09.11.2014,15:30,VfL Wolfsburg,Hamburger SV,30.000,2,0,/spielbericht/index/spielbericht/2460718,2014,Bundesliga
22.11.2014,15:30,FC Schalke 04,VfL Wolfsburg,60.989,3,2,/spielbericht/index/spielbericht/2460726,2014,Bundesliga
30.11.2014,15:30,VfL Wolfsburg,Bor. M'gladbach,30.000,1,0,/spielbericht/index/spielbericht/2460736,2014,Bundesliga
06.12.2014,15:30,Hannover 96,VfL Wolfsburg,41.400,1,3,/spielbericht/index/spielbericht/2460746,2014,Bundesliga
14.12.2014,17:30,VfL Wolfsburg,SC Paderborn,26.044,1,1,/spielbericht/index/spielbericht/2460754,2014,Bundesliga
17.12.2014,20:00,Bor. Dortmund,VfL Wolfsburg,80.667,2,2,/spielbericht/index/spielbericht/2460762,2014,Bundesliga
20.12.2014,18:30,VfL Wolfsburg,1.FC Köln,26.824,2,1,/spielbericht/index/spielbericht/2460772,2014,Bundesliga
30.01.2015,20:30,VfL Wolfsburg,Bayern München,30.000,4,1,/spielbericht/index/spielbericht/2460781,2014,Bundesliga
03.02.2015,20:00,E. Frankfurt,VfL Wolfsburg,34.400,1,1,/spielbericht/index/spielbericht/2460794,2014,Bundesliga
07.02.2015,15:30,VfL Wolfsburg,TSG Hoffenheim,26.356,3,0,/spielbericht/index/spielbericht/2460798,2014,Bundesliga
14.02.2015,15:30,B. Leverkusen,VfL Wolfsburg,29.227,4,5,/spielbericht/index/spielbericht/2460808,2014,Bundesliga
22.02.2015,17:30,VfL Wolfsburg,Hertha BSC,27.683,2,1,/spielbericht/index/spielbericht/2460816,2014,Bundesliga
01.03.2015,17:30,Werder Bremen,VfL Wolfsburg,40.126,3,5,/spielbericht/index/spielbericht/2460831,2014,Bundesliga
07.03.2015,15:30,FC Augsburg,VfL Wolfsburg,28.721,1,0,/spielbericht/index/spielbericht/2460835,2014,Bundesliga
15.03.2015,15:30,VfL Wolfsburg,SC Freiburg,26.538,3,0,/spielbericht/index/spielbericht/2460844,2014,Bundesliga
22.03.2015,15:30,1.FSV Mainz 05,VfL Wolfsburg,32.236,1,1,/spielbericht/index/spielbericht/2460853,2014,Bundesliga
04.04.2015,15:30,VfL Wolfsburg,VfB Stuttgart,30.000,3,1,/spielbericht/index/spielbericht/2460862,2014,Bundesliga
11.04.2015,18:30,Hamburger SV,VfL Wolfsburg,57.000,0,2,/spielbericht/index/spielbericht/2460875,2014,Bundesliga
19.04.2015,17:30,VfL Wolfsburg,FC Schalke 04,30.000,1,1,/spielbericht/index/spielbericht/2460880,2014,Bundesliga
26.04.2015,17:30,Bor. M'gladbach,VfL Wolfsburg,52.147,1,0,/spielbericht/index/spielbericht/2460889,2014,Bundesliga
02.05.2015,15:30,VfL Wolfsburg,Hannover 96,29.514,2,2,/spielbericht/index/spielbericht/2460898,2014,Bundesliga
10.05.2015,15:30,SC Paderborn,VfL Wolfsburg,14.659,1,3,/spielbericht/index/spielbericht/2460913,2014,Bundesliga
16.05.2015,15:30,VfL Wolfsburg,Bor. Dortmund,30.000,2,1,/spielbericht/index/spielbericht/2460916,2014,Bundesliga
23.05.2015,15:30,1.FC Köln,VfL Wolfsburg,49.200,2,2,/spielbericht/index/spielbericht/2460930,2014,Bundesliga
18.09.2014,21:05,FC Everton,VfL Wolfsburg,29.593,4,1,/spielbericht/index/spielbericht/2492444,2014,UEFA Europa League
02.10.2014,19:00,VfL Wolfsburg,LOSC Lille,16.097,1,1,/spielbericht/index/spielbericht/2492447,2014,UEFA Europa League
23.10.2014,18:00,FK Krasnodar,VfL Wolfsburg,22.500,2,4,/spielbericht/index/spielbericht/2492448,2014,UEFA Europa League
06.11.2014,21:05,VfL Wolfsburg,FK Krasnodar,16.674,5,1,/spielbericht/index/spielbericht/2492451,2014,UEFA Europa League
27.11.2014,19:00,VfL Wolfsburg,FC Everton,23.375,0,2,/spielbericht/index/spielbericht/2492453,2014,UEFA Europa League
