date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
02.08.2014,13:00,RB Leipzig,VfR Aalen,21.354,0,0,/spielbericht/index/spielbericht/2460939,2014,2. Bundesliga
08.08.2014,18:30,VfR Aalen,FC St. Pauli,9.583,2,0,/spielbericht/index/spielbericht/2460946,2014,2. Bundesliga
24.08.2014,13:30,Darmstadt 98,VfR Aalen,9.200,2,0,/spielbericht/index/spielbericht/2460960,2014,2. Bundesliga
29.08.2014,18:30,VfR Aalen,1.FC K'lautern,8.306,2,2,/spielbericht/index/spielbericht/2460966,2014,2. Bundesliga
12.09.2014,18:30,FC Ingolstadt,VfR Aalen,6.100,4,1,/spielbericht/index/spielbericht/2460973,2014,2. Bundesliga
19.09.2014,18:30,VfR Aalen,SV Sandhausen,5.000,0,1,/spielbericht/index/spielbericht/2460985,2014,2. Bundesliga
23.09.2014,17:30,Greuther Fürth,VfR Aalen,9.045,1,1,/spielbericht/index/spielbericht/2460988,2014,2. Bundesliga
26.09.2014,18:30,Erzgebirge Aue,VfR Aalen,7.000,1,0,/spielbericht/index/spielbericht/2461004,2014,2. Bundesliga
03.10.2014,18:30,VfR Aalen,1860 München,9.226,2,0,/spielbericht/index/spielbericht/2461010,2014,2. Bundesliga
19.10.2014,13:30,Karlsruher SC,VfR Aalen,12.494,0,0,/spielbericht/index/spielbericht/2461017,2014,2. Bundesliga
24.10.2014,18:30,VfR Aalen,Union Berlin,5.435,1,2,/spielbericht/index/spielbericht/2461029,2014,2. Bundesliga
02.11.2014,13:30,E. Braunschweig,VfR Aalen,21.140,2,1,/spielbericht/index/spielbericht/2461034,2014,2. Bundesliga
07.11.2014,18:30,VfR Aalen,FSV Frankfurt,5.388,0,1,/spielbericht/index/spielbericht/2461047,2014,2. Bundesliga
21.11.2014,18:30,VfL Bochum,VfR Aalen,11.709,4,0,/spielbericht/index/spielbericht/2461057,2014,2. Bundesliga
29.11.2014,13:00,VfR Aalen,F. Düsseldorf,6.500,2,0,/spielbericht/index/spielbericht/2461066,2014,2. Bundesliga
05.12.2014,18:30,1.FC Heidenheim,VfR Aalen,13.000,0,1,/spielbericht/index/spielbericht/2461075,2014,2. Bundesliga
14.12.2014,13:30,VfR Aalen,1.FC Nürnberg,11.184,1,2,/spielbericht/index/spielbericht/2461083,2014,2. Bundesliga
17.12.2014,17:30,VfR Aalen,RB Leipzig,5.015,0,0,/spielbericht/index/spielbericht/2461092,2014,2. Bundesliga
20.12.2014,13:00,FC St. Pauli,VfR Aalen,21.712,3,1,/spielbericht/index/spielbericht/2461100,2014,2. Bundesliga
06.02.2015,18:30,VfR Aalen,Darmstadt 98,5.287,0,0,/spielbericht/index/spielbericht/2461109,2014,2. Bundesliga
14.02.2015,13:00,1.FC K'lautern,VfR Aalen,23.147,1,0,/spielbericht/index/spielbericht/2461114,2014,2. Bundesliga
