date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
05.08.2016,19:30,VfR Wormatia Worms,K. Offenbach,2.280,2,2,/spielbericht/index/spielbericht/2710541,2016,Regionalliga Südwest
13.08.2016,14:00,Stuttgart II,VfR Wormatia Worms,365,1,1,/spielbericht/index/spielbericht/2710566,2016,Regionalliga Südwest
16.08.2016,19:00,Hoffenheim II,VfR Wormatia Worms,200,1,0,/spielbericht/index/spielbericht/2710576,2016,Regionalliga Südwest
07.09.2016,19:00,VfR Wormatia Worms,FCA Walldorf,962,0,1,/spielbericht/index/spielbericht/2710694,2016,Regionalliga Südwest
26.08.2016,18:30,Saarbrücken,VfR Wormatia Worms,2.601,2,0,/spielbericht/index/spielbericht/2710711,2016,Regionalliga Südwest
30.08.2016,19:00,VfR Wormatia Worms,FK Pirmasens,1.003,2,1,/spielbericht/index/spielbericht/2710747,2016,Regionalliga Südwest
03.09.2016,14:00,SC Teutonia,VfR Wormatia Worms,512,0,1,/spielbericht/index/spielbericht/2710770,2016,Regionalliga Südwest
11.09.2016,14:00,VfR Wormatia Worms,FC Nöttingen,832,4,0,/spielbericht/index/spielbericht/2710811,2016,Regionalliga Südwest
20.09.2016,19:00,VfR Wormatia Worms,Eintracht Trier,1.012,1,0,/spielbericht/index/spielbericht/2710846,2016,Regionalliga Südwest
24.09.2016,14:00,Stuttg. Kickers,VfR Wormatia Worms,2.650,1,1,/spielbericht/index/spielbericht/2710865,2016,Regionalliga Südwest
01.10.2016,14:00,VfR Wormatia Worms,W. Mannheim,2.026,0,0,/spielbericht/index/spielbericht/2710882,2016,Regionalliga Südwest
05.10.2016,19:00,SV Elversberg,VfR Wormatia Worms,1.270,0,0,/spielbericht/index/spielbericht/2710951,2016,Regionalliga Südwest
08.10.2016,14:00,VfR Wormatia Worms,K'lautern II,1.012,1,0,/spielbericht/index/spielbericht/2710961,2016,Regionalliga Südwest
16.10.2016,14:00,FC 08 Homburg,VfR Wormatia Worms,874,2,1,/spielbericht/index/spielbericht/2710967,2016,Regionalliga Südwest
21.10.2016,19:00,VfR Wormatia Worms,TSV Steinbach,867,1,1,/spielbericht/index/spielbericht/2710979,2016,Regionalliga Südwest
29.10.2016,14:00,Hessen Kassel,VfR Wormatia Worms,1.536,1,0,/spielbericht/index/spielbericht/2710984,2016,Regionalliga Südwest
01.11.2016,14:00,VfR Wormatia Worms,SSV Ulm 1846,1.003,1,2,/spielbericht/index/spielbericht/2711015,2016,Regionalliga Südwest
06.11.2016,14:00,TuS Koblenz,VfR Wormatia Worms,1.255,1,0,/spielbericht/index/spielbericht/2711072,2016,Regionalliga Südwest
12.11.2016,14:00,K. Offenbach,VfR Wormatia Worms,4.123,2,0,/spielbericht/index/spielbericht/2710943,2016,Regionalliga Südwest
19.11.2016,14:00,VfR Wormatia Worms,Stuttgart II,786,3,1,/spielbericht/index/spielbericht/2710935,2016,Regionalliga Südwest
26.11.2016,14:00,VfR Wormatia Worms,Hoffenheim II,773,1,0,/spielbericht/index/spielbericht/2710918,2016,Regionalliga Südwest
02.12.2016,19:00,FCA Walldorf,VfR Wormatia Worms,315,2,0,/spielbericht/index/spielbericht/2710916,2016,Regionalliga Südwest
10.12.2016,14:00,VfR Wormatia Worms,Saarbrücken,1.511,2,0,/spielbericht/index/spielbericht/2710898,2016,Regionalliga Südwest
18.02.2017,14:00,FK Pirmasens,VfR Wormatia Worms,683,1,3,/spielbericht/index/spielbericht/2710891,2016,Regionalliga Südwest
24.02.2017,19:00,VfR Wormatia Worms,SC Teutonia,804,1,4,/spielbericht/index/spielbericht/2710869,2016,Regionalliga Südwest
06.03.2017,19:30,FC Nöttingen,VfR Wormatia Worms,515,2,2,/spielbericht/index/spielbericht/2710856,2016,Regionalliga Südwest
