date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
03.08.2014,15:00,TB Uphusen,VfV Borussia 06 Hildesheim,160,0,3,/spielbericht/index/spielbericht/2462872,2014,Oberliga Niedersachsen
10.08.2014,15:00,VfV Borussia 06 Hildesheim,Drochtersen/A.,470,1,2,/spielbericht/index/spielbericht/2464293,2014,Oberliga Niedersachsen
17.08.2014,15:00,VfL Oldenburg,VfV Borussia 06 Hildesheim,180,1,3,/spielbericht/index/spielbericht/2470156,2014,Oberliga Niedersachsen
24.08.2014,15:00,VfV Borussia 06 Hildesheim,Spelle-Venhaus,330,2,1,/spielbericht/index/spielbericht/2470164,2014,Oberliga Niedersachsen
31.08.2014,15:00,Osnabrück II,VfV Borussia 06 Hildesheim,100,1,1,/spielbericht/index/spielbericht/2470178,2014,Oberliga Niedersachsen
07.09.2014,15:00,VfV Borussia 06 Hildesheim,Arm. Hannover,760,0,1,/spielbericht/index/spielbericht/2486073,2014,Oberliga Niedersachsen
14.09.2014,15:00,Ottersberg,VfV Borussia 06 Hildesheim,325,0,2,/spielbericht/index/spielbericht/2491038,2014,Oberliga Niedersachsen
21.09.2014,15:00,VfV Borussia 06 Hildesheim,Eintr. Northeim,310,1,3,/spielbericht/index/spielbericht/2495814,2014,Oberliga Niedersachsen
28.09.2014,15:00,Lupo-Martini,VfV Borussia 06 Hildesheim,120,1,3,/spielbericht/index/spielbericht/2495827,2014,Oberliga Niedersachsen
05.10.2014,15:00,VfV Borussia 06 Hildesheim,G. Egestorf/L.,410,1,0,/spielbericht/index/spielbericht/2499161,2014,Oberliga Niedersachsen
12.10.2014,15:00,1.FC Wunstorf,VfV Borussia 06 Hildesheim,200,0,1,/spielbericht/index/spielbericht/2499169,2014,Oberliga Niedersachsen
19.10.2014,15:00,VfV Borussia 06 Hildesheim,SSV Jeddeloh II,610,4,0,/spielbericht/index/spielbericht/2499176,2014,Oberliga Niedersachsen
25.10.2014,14:00,Rotenburger SV,VfV Borussia 06 Hildesheim,140,1,2,/spielbericht/index/spielbericht/2499182,2014,Oberliga Niedersachsen
02.11.2014,14:00,Teutonia Uelzen,VfV Borussia 06 Hildesheim,304,0,3,/spielbericht/index/spielbericht/2499191,2014,Oberliga Niedersachsen
08.11.2014,14:00,Göttingen 05,VfV Borussia 06 Hildesheim,275,1,4,/spielbericht/index/spielbericht/2499200,2014,Oberliga Niedersachsen
16.11.2014,14:00,VfV Borussia 06 Hildesheim,TB Uphusen,480,7,0,/spielbericht/index/spielbericht/2499212,2014,Oberliga Niedersachsen
23.11.2014,14:00,Drochtersen/A.,VfV Borussia 06 Hildesheim,610,1,1,/spielbericht/index/spielbericht/2499214,2014,Oberliga Niedersachsen
30.11.2014,14:00,VfV Borussia 06 Hildesheim,VfL Oldenburg,610,0,1,/spielbericht/index/spielbericht/2499226,2014,Oberliga Niedersachsen
01.03.2015,15:00,Spelle-Venhaus,VfV Borussia 06 Hildesheim,446,0,2,/spielbericht/index/spielbericht/2499231,2014,Oberliga Niedersachsen
08.03.2015,15:00,VfV Borussia 06 Hildesheim,Osnabrück II,,0,2,/spielbericht/index/spielbericht/2499241,2014,Oberliga Niedersachsen
15.03.2015,14:00,Arm. Hannover,VfV Borussia 06 Hildesheim,420,1,1,/spielbericht/index/spielbericht/2499247,2014,Oberliga Niedersachsen
22.03.2015,15:00,VfV Borussia 06 Hildesheim,Ottersberg,450,5,0,/spielbericht/index/spielbericht/2499261,2014,Oberliga Niedersachsen
28.03.2015,16:00,Eintr. Northeim,VfV Borussia 06 Hildesheim,625,0,1,/spielbericht/index/spielbericht/2499262,2014,Oberliga Niedersachsen
12.04.2015,15:00,VfV Borussia 06 Hildesheim,Lupo-Martini,643,1,1,/spielbericht/index/spielbericht/2499275,2014,Oberliga Niedersachsen
18.04.2015,16:00,G. Egestorf/L.,VfV Borussia 06 Hildesheim,170,1,1,/spielbericht/index/spielbericht/2499278,2014,Oberliga Niedersachsen
26.04.2015,15:00,VfV Borussia 06 Hildesheim,1.FC Wunstorf,410,3,0,/spielbericht/index/spielbericht/2499289,2014,Oberliga Niedersachsen
02.05.2015,16:00,SSV Jeddeloh II,VfV Borussia 06 Hildesheim,371,1,3,/spielbericht/index/spielbericht/2499294,2014,Oberliga Niedersachsen
10.05.2015,15:00,VfV Borussia 06 Hildesheim,Rotenburger SV,380,4,2,/spielbericht/index/spielbericht/2499303,2014,Oberliga Niedersachsen
